date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,16,72.73,12.38,0.56
2025-02-03,21,15,71.43,12.40,0.59
2025-02-04,22,15,68.18,11.86,0.54
2025-02-05,23,16,69.57,13.17,0.57
2025-02-06,23,15,65.22,7.28,0.32
2025-02-07,23,14,60.87,-0.02,-0.00
2025-02-10,21,13,61.90,-4.20,-0.20
2025-02-11,22,14,63.64,-3.79,-0.17
2025-02-12,23,14,60.87,-8.66,-0.38
2025-02-13,23,14,60.87,-10.45,-0.45
2025-02-14,23,14,60.87,-8.11,-0.35
2025-02-17,21,12,57.14,-7.93,-0.38
2025-02-18,22,13,59.09,-7.52,-0.34
2025-02-19,23,14,60.87,-5.07,-0.22
2025-02-20,23,14,60.87,-4.05,-0.18
2025-02-21,23,15,65.22,0.71,0.03
2025-02-24,21,13,61.90,-3.93,-0.19
2025-02-25,22,14,63.64,-2.76,-0.13
2025-02-27,21,14,66.67,-0.19,-0.01
2025-02-28,20,13,65.00,-2.44,-0.12
2025-03-03,18,12,66.67,-2.89,-0.16
2025-03-04,18,12,66.67,-1.83,-0.10
2025-03-05,19,13,68.42,-1.14,-0.06
2025-03-06,19,13,68.42,-2.02,-0.11
2025-03-07,19,13,68.42,-2.89,-0.15
2025-03-10,17,14,82.35,7.22,0.42
2025-03-11,18,15,83.33,7.81,0.43
2025-03-12,18,15,83.33,7.81,0.43
2025-03-13,18,15,83.33,8.63,0.48
2025-03-17,15,13,86.67,11.06,0.74
2025-03-18,15,13,86.67,11.06,0.74
2025-03-19,16,14,87.50,12.11,0.76
2025-03-20,16,14,87.50,11.94,0.75
2025-03-21,16,14,87.50,11.72,0.73
2025-03-24,14,11,78.57,8.22,0.59
2025-03-25,15,12,80.00,9.83,0.66
2025-03-26,16,13,81.25,11.01,0.69
2025-03-27,16,13,81.25,10.48,0.66
2025-03-28,17,14,82.35,10.86,0.64
2025-04-01,17,14,82.35,11.74,0.69
2025-04-02,18,14,77.78,8.60,0.48
2025-04-03,18,14,77.78,8.28,0.46
2025-04-04,18,14,77.78,9.58,0.53
2025-04-07,16,13,81.25,11.02,0.69
2025-04-08,17,14,82.35,22.50,1.32
2025-04-09,18,15,83.33,24.81,1.38
2025-04-11,18,14,77.78,22.87,1.27
2025-04-15,17,14,82.35,22.41,1.32
2025-04-16,17,14,82.35,22.41,1.32
2025-04-17,18,15,83.33,22.52,1.25
2025-04-21,15,12,80.00,17.56,1.17
2025-04-22,16,13,81.25,18.09,1.13
2025-04-23,17,14,82.35,18.29,1.08
2025-04-24,17,13,76.47,14.57,0.86
2025-04-25,17,13,76.47,13.83,0.81
2025-04-28,15,11,73.33,11.85,0.79
2025-04-29,16,12,75.00,12.49,0.78
2025-04-30,16,12,75.00,12.49,0.78
2025-05-02,16,13,81.25,15.76,0.99
2025-05-05,14,10,71.43,10.32,0.74
2025-05-06,15,11,73.33,10.45,0.70
2025-05-07,16,12,75.00,11.03,0.69
2025-05-08,16,12,75.00,0.68,0.04
2025-05-09,16,11,68.75,-1.90,-0.12
2025-05-12,15,10,66.67,1.20,0.08
2025-05-13,16,10,62.50,0.80,0.05
2025-05-14,16,10,62.50,0.80,0.05
2025-05-15,17,11,64.71,1.18,0.07
2025-05-16,18,11,61.11,-0.15,-0.01
2025-05-19,17,11,64.71,1.69,0.10
2025-05-20,18,12,66.67,3.01,0.17
2025-05-21,19,12,63.16,0.69,0.04
2025-05-22,18,11,61.11,0.16,0.01
2025-05-23,18,10,55.56,-1.02,-0.06
2025-05-26,16,8,50.00,-3.91,-0.24
2025-05-27,17,8,47.06,-7.36,-0.43
2025-05-28,18,9,50.00,-5.91,-0.33
2025-05-29,18,9,50.00,-5.96,-0.33
2025-05-30,19,9,47.37,-7.22,-0.38
2025-06-02,18,8,44.44,-6.32,-0.35
2025-06-03,19,9,47.37,-5.63,-0.30
2025-06-04,20,10,50.00,-5.06,-0.25
2025-06-05,20,10,50.00,-5.01,-0.25
2025-06-06,20,10,50.00,-5.25,-0.26
2025-06-09,18,10,55.56,-7.84,-0.44
2025-06-10,19,11,57.89,-7.44,-0.39
2025-06-11,20,12,60.00,-7.28,-0.36
2025-06-12,20,13,65.00,-6.30,-0.32
2025-06-13,21,13,61.90,-6.62,-0.32
2025-06-16,19,11,57.89,-5.20,-0.27
2025-06-17,19,11,57.89,-5.20,-0.27
2025-06-18,19,11,57.89,-5.20,-0.27
2025-06-19,19,11,57.89,-5.96,-0.31
2025-06-20,19,12,63.16,-3.45,-0.18
2025-06-23,18,13,72.22,2.96,0.16
2025-06-24,19,13,68.42,3.70,0.19
2025-06-25,20,14,70.00,4.56,0.23
2025-06-26,20,14,70.00,7.78,0.39
2025-06-27,20,13,65.00,2.81,0.14
2025-06-30,18,13,72.22,4.45,0.25
2025-07-01,19,13,68.42,3.32,0.17
2025-07-02,20,14,70.00,3.46,0.17
2025-07-03,20,14,70.00,2.99,0.15
2025-07-04,20,14,70.00,2.81,0.14
2025-07-07,17,11,64.71,1.42,0.08
2025-07-08,18,12,66.67,1.95,0.11
2025-07-09,19,13,68.42,2.31,0.12
2025-07-10,19,13,68.42,2.08,0.11
2025-07-11,19,13,68.42,2.21,0.12
2025-07-14,17,13,76.47,1.86,0.11
2025-07-15,18,13,72.22,1.48,0.08
2025-07-16,19,13,68.42,-0.43,-0.02
2025-07-17,20,14,70.00,0.08,0.00
2025-07-18,21,15,71.43,0.55,0.03
2025-07-21,18,12,66.67,-1.28,-0.07
2025-07-22,19,13,68.42,-0.94,-0.05
2025-07-23,20,13,65.00,-0.04,-0.00
2025-07-24,20,14,70.00,-0.32,-0.02
2025-07-25,19,13,68.42,-1.18,-0.06
2025-07-28,16,12,75.00,1.98,0.12
2025-07-29,17,12,70.59,1.52,0.09
2025-07-30,18,13,72.22,2.38,0.13
2025-07-31,17,13,76.47,3.51,0.21
2025-08-01,17,13,76.47,3.81,0.22
2025-08-04,16,11,68.75,1.26,0.08
2025-08-05,17,12,70.59,1.58,0.09
2025-08-06,17,12,70.59,1.58,0.09
2025-08-07,17,12,70.59,1.22,0.07
2025-08-08,17,12,70.59,2.52,0.15
2025-08-11,15,9,60.00,3.34,0.22
2025-08-12,16,9,56.25,2.35,0.15
2025-08-13,16,9,56.25,2.35,0.15
2025-08-14,16,9,56.25,2.04,0.13
2025-08-18,14,7,50.00,-0.09,-0.01
2025-08-19,15,8,53.33,0.22,0.01
2025-08-20,16,9,56.25,0.48,0.03
2025-08-21,16,9,56.25,0.27,0.02
2025-08-22,16,10,62.50,0.69,0.04
2025-08-25,16,10,62.50,0.79,0.05
2025-08-26,17,11,64.71,0.98,0.06
2025-08-28,17,11,64.71,-2.52,-0.15
2025-08-29,17,10,58.82,-4.51,-0.27
2025-09-01,16,9,56.25,-6.33,-0.40
2025-09-02,16,9,56.25,-6.33,-0.40
2025-09-03,17,10,58.82,-5.53,-0.33
2025-09-04,17,10,58.82,-5.22,-0.31
2025-09-05,18,11,61.11,-4.70,-0.26
2025-09-08,16,10,62.50,-8.08,-0.51
2025-09-09,17,11,64.71,-7.89,-0.46
2025-09-10,18,12,66.67,-6.73,-0.37
2025-09-11,18,13,72.22,-5.01,-0.28
2025-09-12,19,14,73.68,-4.82,-0.25
2025-09-15,18,15,83.33,-0.79,-0.04
2025-09-16,19,16,84.21,-0.67,-0.04
2025-09-17,20,17,85.00,-0.13,-0.01
2025-09-18,20,17,85.00,0.02,0.00
2025-09-19,20,17,85.00,0.36,0.02
2025-09-22,18,15,83.33,-0.60,-0.03
2025-09-23,19,16,84.21,-0.23,-0.01
2025-09-24,20,16,80.00,0.69,0.03
2025-09-25,20,16,80.00,0.75,0.04
2025-09-26,20,17,85.00,5.68,0.28
2025-09-29,19,18,94.74,10.44,0.55
2025-09-30,20,19,95.00,10.69,0.53
2025-10-01,21,20,95.24,12.31,0.59
2025-10-03,20,19,95.00,11.51,0.58
2025-10-06,18,17,94.44,10.50,0.58
2025-10-07,19,17,89.47,5.82,0.31
2025-10-08,20,17,85.00,4.84,0.24
2025-10-09,19,16,84.21,4.65,0.24
2025-10-10,19,15,78.95,2.88,0.15
2025-10-13,17,13,76.47,2.14,0.13
2025-10-14,17,13,76.47,2.14,0.13
2025-10-15,18,14,77.78,2.57,0.14
2025-10-16,18,13,72.22,3.17,0.18
2025-10-17,18,13,72.22,3.55,0.20
2025-10-20,16,11,68.75,2.32,0.14
2025-10-21,16,11,68.75,2.32,0.14
2025-10-23,15,10,66.67,1.95,0.13
2025-10-24,15,11,73.33,1.24,0.08
2025-10-27,13,9,69.23,-0.10,-0.01
2025-10-28,14,10,71.43,0.01,0.00
2025-10-29,15,11,73.33,0.21,0.01
2025-10-30,15,10,66.67,-1.97,-0.13
2025-10-31,14,9,64.29,-3.59,-0.26
2025-11-03,13,8,61.54,-4.08,-0.31
2025-11-04,14,9,64.29,-3.16,-0.23
2025-11-06,13,9,69.23,1.52,0.12
2025-11-07,13,10,76.92,3.11,0.24
2025-11-10,12,10,83.33,4.18,0.35
2025-11-11,13,11,84.62,4.37,0.34
