date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,14,66.67,-4.72,-0.22
2025-02-03,21,14,66.67,-4.09,-0.19
2025-02-04,22,14,63.64,-3.09,-0.14
2025-02-05,23,14,60.87,-3.24,-0.14
2025-02-06,23,14,60.87,-3.15,-0.14
2025-02-07,23,15,65.22,-0.50,-0.02
2025-02-10,21,13,61.90,0.95,0.05
2025-02-11,22,13,59.09,-1.74,-0.08
2025-02-12,23,13,56.52,-5.10,-0.22
2025-02-13,23,14,60.87,0.23,0.01
2025-02-14,23,13,56.52,-0.84,-0.04
2025-02-17,21,12,57.14,-1.86,-0.09
2025-02-18,22,13,59.09,-0.78,-0.04
2025-02-19,23,14,60.87,-0.38,-0.02
2025-02-20,23,14,60.87,-0.86,-0.04
2025-02-21,23,14,60.87,-0.90,-0.04
2025-02-24,21,12,57.14,0.81,0.04
2025-02-25,22,13,59.09,2.28,0.10
2025-02-27,22,14,63.64,4.89,0.22
2025-02-28,22,14,63.64,2.42,0.11
2025-03-03,20,12,60.00,3.62,0.18
2025-03-04,20,12,60.00,2.98,0.15
2025-03-05,21,13,61.90,3.28,0.16
2025-03-06,20,13,65.00,2.28,0.11
2025-03-07,20,13,65.00,2.06,0.10
2025-03-10,18,12,66.67,-0.04,-0.00
2025-03-11,19,13,68.42,0.26,0.01
2025-03-12,20,13,65.00,0.61,0.03
2025-03-13,20,14,70.00,3.44,0.17
2025-03-17,17,12,70.59,5.13,0.30
2025-03-18,18,13,72.22,5.68,0.32
2025-03-19,19,14,73.68,6.12,0.32
2025-03-20,19,13,68.42,3.25,0.17
2025-03-21,18,12,66.67,2.85,0.16
2025-03-24,16,11,68.75,2.62,0.16
2025-03-25,17,12,70.59,4.87,0.29
2025-03-26,18,13,72.22,5.43,0.30
2025-03-27,18,12,66.67,0.80,0.04
2025-03-28,18,12,66.67,1.99,0.11
2025-04-01,17,11,64.71,5.68,0.33
2025-04-02,18,11,61.11,6.13,0.34
2025-04-03,18,11,61.11,6.32,0.35
2025-04-04,18,11,61.11,6.90,0.38
2025-04-07,17,11,64.71,7.32,0.43
2025-04-08,18,11,61.11,11.98,0.67
2025-04-09,19,11,57.89,14.84,0.78
2025-04-11,18,11,61.11,15.11,0.84
2025-04-15,17,10,58.82,15.32,0.90
2025-04-16,18,10,55.56,12.40,0.69
2025-04-17,18,10,55.56,12.36,0.69
2025-04-21,16,9,56.25,13.74,0.86
2025-04-22,17,10,58.82,13.93,0.82
2025-04-23,18,10,55.56,14.20,0.79
2025-04-24,17,9,52.94,11.95,0.70
2025-04-25,17,8,47.06,13.19,0.78
2025-04-28,15,7,46.67,6.72,0.45
2025-04-29,16,8,50.00,8.30,0.52
2025-04-30,17,9,52.94,8.91,0.52
2025-05-02,17,9,52.94,7.09,0.42
2025-05-05,15,7,46.67,6.43,0.43
2025-05-06,16,8,50.00,7.06,0.44
2025-05-07,16,8,50.00,7.06,0.44
2025-05-08,16,8,50.00,6.18,0.39
2025-05-09,16,8,50.00,4.19,0.26
2025-05-12,15,7,46.67,3.75,0.25
2025-05-13,16,7,43.75,4.82,0.30
2025-05-14,17,8,47.06,5.64,0.33
2025-05-15,18,9,50.00,6.03,0.33
2025-05-16,18,10,55.56,9.19,0.51
2025-05-19,17,9,52.94,8.07,0.47
2025-05-20,18,9,50.00,6.33,0.35
2025-05-21,19,10,52.63,6.68,0.35
2025-05-22,19,10,52.63,7.51,0.40
2025-05-23,19,11,57.89,7.47,0.39
2025-05-26,17,11,64.71,11.20,0.66
2025-05-27,18,12,66.67,11.55,0.64
2025-05-28,19,12,63.16,11.33,0.60
2025-05-29,19,12,63.16,9.92,0.52
2025-05-30,18,11,61.11,9.31,0.52
2025-06-02,17,11,64.71,10.02,0.59
2025-06-03,18,12,66.67,10.41,0.58
2025-06-04,19,13,68.42,11.59,0.61
2025-06-05,19,12,63.16,10.34,0.54
2025-06-06,20,12,60.00,9.60,0.48
2025-06-09,18,13,72.22,3.44,0.19
2025-06-10,19,13,68.42,3.21,0.17
2025-06-11,19,13,68.42,3.21,0.17
2025-06-12,19,14,73.68,2.35,0.12
2025-06-13,19,13,68.42,-0.41,-0.02
2025-06-16,17,10,58.82,0.27,0.02
2025-06-17,18,11,61.11,0.90,0.05
2025-06-18,19,12,63.16,1.62,0.09
2025-06-19,19,13,68.42,4.31,0.23
2025-06-20,19,12,63.16,2.04,0.11
2025-06-23,18,11,61.11,1.71,0.10
2025-06-24,19,12,63.16,2.42,0.13
2025-06-25,20,12,60.00,2.78,0.14
2025-06-26,20,11,55.00,2.45,0.12
2025-06-27,20,12,60.00,2.81,0.14
2025-06-30,19,10,52.63,3.00,0.16
2025-07-01,19,10,52.63,3.00,0.16
2025-07-02,20,11,55.00,3.11,0.16
2025-07-03,20,11,55.00,2.84,0.14
2025-07-04,19,10,52.63,1.66,0.09
2025-07-07,17,9,52.94,2.72,0.16
2025-07-08,18,9,50.00,1.62,0.09
2025-07-09,19,10,52.63,2.00,0.11
2025-07-10,18,10,55.56,2.23,0.12
2025-07-11,18,10,55.56,2.23,0.12
2025-07-14,15,9,60.00,2.54,0.17
2025-07-15,16,9,56.25,2.07,0.13
2025-07-16,17,9,52.94,1.07,0.06
2025-07-17,16,8,50.00,0.44,0.03
2025-07-18,16,8,50.00,0.16,0.01
2025-07-21,14,6,42.86,-0.09,-0.01
2025-07-22,15,7,46.67,0.07,0.00
2025-07-23,16,8,50.00,0.19,0.01
2025-07-24,16,8,50.00,-0.23,-0.01
2025-07-25,16,9,56.25,-0.41,-0.03
2025-07-28,14,8,57.14,-2.72,-0.19
2025-07-29,15,8,53.33,-4.28,-0.29
2025-07-30,16,9,56.25,-3.45,-0.22
