date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,20,95.24,10.36,0.49
2025-02-03,20,19,95.00,10.34,0.52
2025-02-04,21,20,95.24,10.80,0.51
2025-02-05,22,21,95.45,11.73,0.53
2025-02-06,22,20,90.91,11.91,0.54
2025-02-07,22,20,90.91,11.96,0.54
2025-02-10,20,18,90.00,9.30,0.47
2025-02-11,21,19,90.48,10.07,0.48
2025-02-12,22,20,90.91,11.02,0.50
2025-02-13,22,20,90.91,9.26,0.42
2025-02-14,22,19,86.36,8.62,0.39
2025-02-17,21,18,85.71,7.67,0.37
2025-02-18,22,19,86.36,7.84,0.36
2025-02-19,23,20,86.96,8.14,0.35
2025-02-20,22,19,86.36,7.59,0.34
2025-02-21,22,18,81.82,6.89,0.31
2025-02-24,20,16,80.00,6.19,0.31
2025-02-25,21,16,76.19,4.58,0.22
2025-02-27,21,16,76.19,4.87,0.23
2025-02-28,21,15,71.43,3.99,0.19
2025-03-03,19,13,68.42,2.95,0.16
2025-03-04,19,13,68.42,2.39,0.13
2025-03-05,19,13,68.42,2.39,0.13
2025-03-06,19,12,63.16,-0.72,-0.04
2025-03-07,19,12,63.16,-1.28,-0.07
2025-03-10,17,12,70.59,1.17,0.07
2025-03-11,18,13,72.22,1.85,0.10
2025-03-12,19,14,73.68,2.44,0.13
2025-03-13,19,14,73.68,3.69,0.19
2025-03-17,16,11,68.75,1.40,0.09
2025-03-18,17,12,70.59,3.12,0.18
2025-03-19,18,13,72.22,3.80,0.21
2025-03-20,17,12,70.59,3.63,0.21
2025-03-21,17,11,64.71,0.72,0.04
2025-03-24,16,10,62.50,-1.21,-0.08
2025-03-25,17,11,64.71,0.15,0.01
2025-03-26,17,11,64.71,0.15,0.01
2025-03-27,17,11,64.71,1.83,0.11
2025-03-28,17,11,64.71,1.19,0.07
2025-04-01,16,11,68.75,1.45,0.09
2025-04-02,17,12,70.59,2.37,0.14
2025-04-03,17,12,70.59,2.94,0.17
2025-04-04,17,12,70.59,2.94,0.17
2025-04-07,15,11,73.33,4.89,0.33
2025-04-08,16,12,75.00,6.23,0.39
2025-04-09,17,13,76.47,6.96,0.41
2025-04-11,16,12,75.00,5.92,0.37
2025-04-15,15,11,73.33,5.28,0.35
2025-04-16,16,11,68.75,5.81,0.36
2025-04-17,16,11,68.75,4.23,0.26
2025-04-21,14,10,71.43,4.48,0.32
2025-04-22,15,10,66.67,5.24,0.35
2025-04-23,16,11,68.75,5.61,0.35
2025-04-24,16,11,68.75,4.81,0.30
2025-04-25,17,12,70.59,5.50,0.32
2025-04-28,15,11,73.33,5.25,0.35
2025-04-29,16,12,75.00,5.97,0.37
2025-04-30,16,12,75.00,5.97,0.37
2025-05-02,16,12,75.00,5.46,0.34
2025-05-05,15,11,73.33,4.41,0.29
2025-05-06,16,12,75.00,5.11,0.32
2025-05-07,17,12,70.59,4.50,0.26
2025-05-08,16,11,68.75,3.16,0.20
2025-05-09,16,11,68.75,2.54,0.16
2025-05-12,15,10,66.67,1.58,0.11
2025-05-13,16,10,62.50,1.21,0.08
2025-05-14,16,10,62.50,1.21,0.08
2025-05-15,17,11,64.71,1.43,0.08
2025-05-16,17,12,70.59,1.25,0.07
2025-05-19,16,11,68.75,2.70,0.17
2025-05-20,17,12,70.59,3.07,0.18
2025-05-21,18,13,72.22,3.55,0.20
2025-05-22,18,14,77.78,2.96,0.16
2025-05-23,17,13,76.47,2.59,0.15
2025-05-26,15,11,73.33,1.46,0.10
2025-05-27,15,11,73.33,1.46,0.10
2025-05-28,15,11,73.33,1.46,0.10
2025-05-29,15,10,66.67,0.23,0.02
2025-05-30,15,10,66.67,0.23,0.02
2025-06-02,14,9,64.29,0.07,0.00
2025-06-03,15,10,66.67,0.74,0.05
2025-06-04,16,11,68.75,1.71,0.11
2025-06-05,16,10,62.50,-0.03,-0.00
2025-06-06,16,11,68.75,1.14,0.07
2025-06-09,15,11,73.33,1.55,0.10
2025-06-10,15,11,73.33,1.55,0.10
2025-06-11,16,12,75.00,1.76,0.11
2025-06-12,16,13,81.25,2.24,0.14
2025-06-13,17,14,82.35,3.00,0.18
2025-06-16,15,12,80.00,5.06,0.34
2025-06-17,16,12,75.00,4.02,0.25
2025-06-18,17,13,76.47,5.00,0.29
2025-06-19,17,13,76.47,5.02,0.30
2025-06-20,17,13,76.47,4.95,0.29
2025-06-23,16,12,75.00,4.79,0.30
2025-06-24,17,13,76.47,4.90,0.29
2025-06-25,18,14,77.78,5.56,0.31
2025-06-26,18,14,77.78,5.56,0.31
2025-06-27,19,14,73.68,3.29,0.17
2025-06-30,18,13,72.22,2.46,0.14
2025-07-01,19,13,68.42,2.01,0.11
2025-07-02,19,13,68.42,2.01,0.11
2025-07-03,19,13,68.42,2.25,0.12
2025-07-04,19,13,68.42,1.69,0.09
2025-07-07,17,12,70.59,2.20,0.13
2025-07-08,18,13,72.22,2.39,0.13
2025-07-09,19,14,73.68,2.49,0.13
2025-07-10,20,15,75.00,2.96,0.15
2025-07-11,20,15,75.00,2.85,0.14
2025-07-14,18,13,72.22,-0.59,-0.03
2025-07-15,19,14,73.68,-0.08,-0.00
2025-07-16,20,14,70.00,-0.55,-0.03
2025-07-17,20,15,75.00,1.03,0.05
2025-07-18,20,15,75.00,0.35,0.02
2025-07-21,18,12,66.67,-1.47,-0.08
2025-07-22,19,13,68.42,-1.17,-0.06
2025-07-23,19,13,68.42,-1.17,-0.06
2025-07-24,19,12,63.16,-2.61,-0.14
2025-07-25,19,11,57.89,-2.92,-0.15
2025-07-28,18,12,66.67,1.00,0.06
2025-07-29,19,12,63.16,-1.04,-0.05
2025-07-30,20,13,65.00,-0.03,-0.00
2025-07-31,20,13,65.00,0.50,0.02
2025-08-01,21,13,61.90,0.55,0.03
2025-08-04,18,10,55.56,-0.92,-0.05
2025-08-05,19,11,57.89,-0.68,-0.04
2025-08-06,20,11,55.00,-1.54,-0.08
2025-08-07,19,10,52.63,-1.73,-0.09
2025-08-08,19,9,47.37,-2.11,-0.11
2025-08-11,17,7,41.18,-3.18,-0.19
2025-08-12,18,7,38.89,-3.36,-0.19
2025-08-13,18,7,38.89,-3.36,-0.19
2025-08-14,17,6,35.29,-3.87,-0.23
2025-08-18,14,4,28.57,-3.43,-0.25
2025-08-19,15,5,33.33,-2.52,-0.17
2025-08-20,16,5,31.25,-3.00,-0.19
2025-08-21,16,4,25.00,-2.83,-0.18
2025-08-22,17,5,29.41,-2.57,-0.15
2025-08-25,14,4,28.57,-2.29,-0.16
2025-08-26,15,5,33.33,-1.84,-0.12
2025-08-28,15,5,33.33,-0.85,-0.06
2025-08-29,15,4,26.67,-2.52,-0.17
2025-09-01,14,5,35.71,-1.82,-0.13
2025-09-02,14,5,35.71,-1.82,-0.13
2025-09-03,15,6,40.00,-1.41,-0.09
2025-09-04,15,5,33.33,-2.02,-0.13
2025-09-05,15,6,40.00,-0.18,-0.01
2025-09-08,14,7,50.00,1.82,0.13
2025-09-09,15,8,53.33,2.06,0.14
2025-09-10,15,8,53.33,2.06,0.14
2025-09-11,15,9,60.00,2.80,0.19
2025-09-12,16,10,62.50,3.24,0.20
2025-09-15,16,11,68.75,4.28,0.27
2025-09-16,17,12,70.59,4.66,0.27
2025-09-17,17,12,70.59,4.66,0.27
2025-09-18,17,11,64.71,3.63,0.21
2025-09-19,16,11,68.75,4.11,0.26
2025-09-22,15,11,73.33,3.78,0.25
2025-09-23,15,11,73.33,3.78,0.25
2025-09-24,16,11,68.75,3.19,0.20
2025-09-25,16,10,62.50,3.08,0.19
2025-09-26,16,10,62.50,3.82,0.24
2025-09-29,15,10,66.67,4.12,0.27
2025-09-30,16,11,68.75,4.39,0.27
2025-10-01,17,11,64.71,3.44,0.20
2025-10-03,17,10,58.82,2.99,0.18
2025-10-06,15,9,60.00,3.05,0.20
2025-10-07,16,9,56.25,2.48,0.16
2025-10-08,16,9,56.25,2.48,0.16
2025-10-09,15,8,53.33,2.24,0.15
2025-10-10,15,8,53.33,2.24,0.15
2025-10-13,13,6,46.15,0.31,0.02
2025-10-14,14,7,50.00,0.44,0.03
2025-10-15,15,8,53.33,0.89,0.06
2025-10-16,15,7,46.67,-0.09,-0.01
2025-10-17,16,8,50.00,0.05,0.00
2025-10-20,14,7,50.00,-0.23,-0.02
2025-10-21,15,7,46.67,-1.46,-0.10
2025-10-23,16,8,50.00,-1.02,-0.06
2025-10-24,16,9,56.25,0.47,0.03
2025-10-27,14,9,64.29,0.76,0.05
2025-10-28,15,9,60.00,-1.69,-0.11
2025-10-29,16,10,62.50,-1.05,-0.07
2025-10-30,16,10,62.50,-1.00,-0.06
2025-10-31,16,10,62.50,-0.27,-0.02
2025-11-03,15,10,66.67,-0.55,-0.04
2025-11-04,16,11,68.75,-0.32,-0.02
2025-11-06,16,11,68.75,-0.06,-0.00
2025-11-07,17,12,70.59,0.10,0.01
2025-11-10,17,11,64.71,-2.35,-0.14
2025-11-11,18,12,66.67,-0.81,-0.05
2025-11-12,19,12,63.16,-1.89,-0.10
2025-11-13,19,11,57.89,-2.77,-0.15
2025-11-14,19,10,52.63,-2.90,-0.15
2025-11-17,18,10,55.56,-2.27,-0.13
2025-11-18,19,10,52.63,-2.24,-0.12
2025-11-19,20,11,55.00,-1.82,-0.09
2025-11-20,20,11,55.00,-0.84,-0.04
