date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,0,0.00,-14.39,-0.63
2025-02-03,22,0,0.00,-16.42,-0.75
2025-02-04,23,0,0.00,-14.97,-0.65
2025-02-05,24,0,0.00,-12.67,-0.53
2025-02-06,24,0,0.00,-9.89,-0.41
2025-02-07,24,0,0.00,-11.38,-0.47
2025-02-10,22,0,0.00,-6.98,-0.32
2025-02-11,23,0,0.00,-10.51,-0.46
2025-02-12,24,0,0.00,-9.78,-0.41
2025-02-13,24,0,0.00,-8.19,-0.34
2025-02-14,24,0,0.00,-16.55,-0.69
2025-02-17,22,0,0.00,-20.18,-0.92
2025-02-18,23,0,0.00,-21.02,-0.91
2025-02-19,24,0,0.00,-19.22,-0.80
2025-02-20,24,0,0.00,-18.73,-0.78
2025-02-21,24,0,0.00,-17.67,-0.74
2025-02-24,22,0,0.00,-15.20,-0.69
2025-02-25,23,0,0.00,-17.38,-0.76
2025-02-27,23,0,0.00,-15.07,-0.66
2025-02-28,23,0,0.00,-15.70,-0.68
2025-03-03,21,0,0.00,-14.80,-0.70
2025-03-04,21,0,0.00,-11.89,-0.57
2025-03-05,22,0,0.00,-8.50,-0.39
2025-03-06,22,0,0.00,-7.89,-0.36
2025-03-07,22,0,0.00,-9.99,-0.45
2025-03-10,20,0,0.00,-12.81,-0.64
2025-03-11,21,0,0.00,-10.47,-0.50
2025-03-12,22,0,0.00,-11.54,-0.52
2025-03-13,22,0,0.00,-10.62,-0.48
2025-03-17,19,0,0.00,-2.43,-0.13
2025-03-18,20,0,0.00,-1.22,-0.06
2025-03-19,21,0,0.00,0.50,0.02
2025-03-20,21,0,0.00,0.97,0.05
2025-03-21,21,0,0.00,3.38,0.16
2025-03-24,19,0,0.00,2.10,0.11
2025-03-25,20,0,0.00,-1.96,-0.10
2025-03-26,21,0,0.00,-3.26,-0.16
2025-03-27,21,0,0.00,0.05,0.00
2025-03-28,21,0,0.00,1.68,0.08
2025-04-01,20,0,0.00,7.62,0.38
2025-04-02,21,0,0.00,8.19,0.39
2025-04-03,21,0,0.00,13.04,0.62
2025-04-04,21,0,0.00,7.05,0.34
2025-04-07,19,0,0.00,9.10,0.48
2025-04-08,20,0,0.00,9.50,0.48
2025-04-09,21,0,0.00,8.24,0.39
2025-04-11,20,0,0.00,9.46,0.47
2025-04-15,19,0,0.00,10.33,0.54
2025-04-16,20,0,0.00,12.15,0.61
2025-04-17,20,0,0.00,14.25,0.71
2025-04-21,17,0,0.00,12.37,0.73
2025-04-22,18,0,0.00,12.95,0.72
2025-04-23,19,0,0.00,11.30,0.59
2025-04-24,19,0,0.00,7.90,0.42
2025-04-25,19,0,0.00,9.13,0.48
2025-04-28,17,0,0.00,10.06,0.59
2025-04-29,18,0,0.00,9.90,0.55
2025-04-30,19,0,0.00,8.20,0.43
2025-05-02,19,0,0.00,5.85,0.31
2025-05-05,17,0,0.00,4.57,0.27
2025-05-06,18,0,0.00,-0.81,-0.05
2025-05-07,19,0,0.00,2.27,0.12
2025-05-08,19,0,0.00,-0.57,-0.03
2025-05-09,19,0,0.00,3.05,0.16
2025-05-12,18,0,0.00,4.03,0.22
2025-05-13,19,0,0.00,7.55,0.40
2025-05-14,20,0,0.00,7.77,0.39
2025-05-15,21,0,0.00,6.88,0.33
2025-05-16,21,0,0.00,9.28,0.44
2025-05-19,20,0,0.00,5.55,0.28
2025-05-20,21,0,0.00,3.79,0.18
2025-05-21,22,0,0.00,4.59,0.21
2025-05-22,22,0,0.00,1.59,0.07
2025-05-23,22,0,0.00,1.04,0.05
2025-05-26,20,0,0.00,5.68,0.28
2025-05-27,21,0,0.00,6.70,0.32
2025-05-28,22,0,0.00,8.97,0.41
2025-05-29,22,0,0.00,5.66,0.26
2025-05-30,22,0,0.00,9.13,0.42
2025-06-02,21,0,0.00,13.35,0.64
2025-06-03,22,0,0.00,11.58,0.53
2025-06-04,23,0,0.00,12.45,0.54
2025-06-05,23,0,0.00,11.87,0.52
2025-06-06,23,0,0.00,16.19,0.70
2025-06-09,21,0,0.00,8.62,0.41
2025-06-10,22,0,0.00,8.15,0.37
2025-06-11,23,0,0.00,6.59,0.29
2025-06-12,23,0,0.00,4.70,0.20
2025-06-13,23,0,0.00,3.97,0.17
2025-06-16,21,0,0.00,3.23,0.15
2025-06-17,22,0,0.00,1.36,0.06
2025-06-18,23,0,0.00,0.40,0.02
2025-06-19,23,0,0.00,-1.93,-0.08
2025-06-20,23,0,0.00,2.14,0.09
2025-06-23,21,0,0.00,3.70,0.18
2025-06-24,22,1,4.55,5.02,0.23
2025-06-25,23,1,4.35,4.88,0.21
2025-06-26,23,1,4.35,5.01,0.22
2025-06-27,23,1,4.35,3.57,0.16
2025-06-30,21,1,4.76,1.32,0.06
2025-07-01,22,1,4.55,2.14,0.10
2025-07-02,23,1,4.35,1.59,0.07
2025-07-03,23,1,4.35,-0.71,-0.03
2025-07-04,23,1,4.35,1.79,0.08
2025-07-07,21,1,4.76,2.36,0.11
