date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,0,0.00,-16.72,-0.73
2025-02-03,22,0,0.00,-15.72,-0.71
2025-02-04,23,1,4.35,-14.53,-0.63
2025-02-05,24,2,8.33,-7.87,-0.33
2025-02-06,24,3,12.50,2.86,0.12
2025-02-07,24,3,12.50,1.56,0.06
2025-02-10,22,3,13.64,6.09,0.28
2025-02-11,23,3,13.04,4.59,0.20
2025-02-12,24,3,12.50,4.01,0.17
2025-02-13,24,3,12.50,5.87,0.24
2025-02-14,24,3,12.50,-1.76,-0.07
2025-02-17,22,3,13.64,5.56,0.25
2025-02-18,23,3,13.04,5.34,0.23
2025-02-19,24,3,12.50,5.66,0.24
2025-02-20,24,3,12.50,8.96,0.37
2025-02-21,24,3,12.50,11.83,0.49
2025-02-24,22,3,13.64,17.34,0.79
2025-02-25,23,3,13.04,18.46,0.80
2025-02-27,23,3,13.04,20.27,0.88
2025-02-28,23,3,13.04,19.30,0.84
2025-03-03,21,3,14.29,17.35,0.83
2025-03-04,21,3,14.29,19.65,0.94
2025-03-05,22,3,13.64,19.92,0.91
2025-03-06,22,4,18.18,22.12,1.01
2025-03-07,22,3,13.64,18.82,0.86
2025-03-10,20,1,5.00,3.91,0.20
2025-03-11,21,1,4.76,8.56,0.41
2025-03-12,22,1,4.55,6.82,0.31
2025-03-13,22,1,4.55,1.50,0.07
2025-03-17,19,1,5.26,11.19,0.59
2025-03-18,20,1,5.00,8.07,0.40
2025-03-19,21,1,4.76,6.29,0.30
2025-03-20,21,1,4.76,-2.69,-0.13
2025-03-21,21,1,4.76,-2.05,-0.10
2025-03-24,19,1,5.26,-5.72,-0.30
2025-03-25,20,1,5.00,-11.19,-0.56
2025-03-26,21,1,4.76,-13.30,-0.63
2025-03-27,21,1,4.76,-11.82,-0.56
2025-03-28,21,1,4.76,-16.66,-0.79
2025-04-01,20,1,5.00,-11.52,-0.58
2025-04-02,21,1,4.76,-13.97,-0.67
2025-04-03,21,1,4.76,-15.65,-0.75
2025-04-04,21,1,4.76,-17.58,-0.84
2025-04-07,19,0,0.00,-13.33,-0.70
2025-04-08,20,0,0.00,-17.87,-0.89
2025-04-09,21,0,0.00,-16.82,-0.80
2025-04-11,20,0,0.00,-20.11,-1.01
