date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,18,81.82,-0.58,-0.03
2025-02-03,21,18,85.71,1.45,0.07
2025-02-04,22,19,86.36,1.60,0.07
2025-02-05,22,19,86.36,1.60,0.07
2025-02-06,22,20,90.91,5.51,0.25
2025-02-07,22,19,86.36,4.15,0.19
2025-02-10,19,16,84.21,2.85,0.15
2025-02-11,20,17,85.00,3.03,0.15
2025-02-12,20,17,85.00,3.03,0.15
2025-02-13,20,17,85.00,3.15,0.16
2025-02-14,20,17,85.00,3.21,0.16
2025-02-17,18,16,88.89,4.12,0.23
2025-02-18,19,17,89.47,4.56,0.24
2025-02-19,20,18,90.00,4.99,0.25
2025-02-20,20,17,85.00,2.65,0.13
2025-02-21,20,17,85.00,2.69,0.13
2025-02-24,18,15,83.33,2.55,0.14
2025-02-25,19,15,78.95,3.03,0.16
2025-02-27,18,14,77.78,1.97,0.11
2025-02-28,17,13,76.47,1.60,0.09
2025-03-03,15,12,80.00,3.45,0.23
2025-03-04,15,12,80.00,3.20,0.21
2025-03-05,16,12,75.00,2.65,0.17
2025-03-06,16,12,75.00,2.63,0.16
2025-03-07,17,12,70.59,1.65,0.10
2025-03-10,16,12,75.00,2.41,0.15
2025-03-11,16,12,75.00,2.41,0.15
2025-03-12,17,13,76.47,3.95,0.23
2025-03-13,17,13,76.47,3.90,0.23
2025-03-17,15,10,66.67,2.01,0.13
2025-03-18,16,11,68.75,2.53,0.16
2025-03-19,17,11,64.71,1.90,0.11
2025-03-20,17,11,64.71,2.22,0.13
2025-03-21,17,11,64.71,2.01,0.12
2025-03-24,15,9,60.00,1.15,0.08
2025-03-25,16,10,62.50,1.50,0.09
2025-03-26,17,11,64.71,1.80,0.11
2025-03-27,17,12,70.59,1.42,0.08
2025-03-28,18,13,72.22,1.62,0.09
2025-04-01,18,13,72.22,1.32,0.07
2025-04-02,19,14,73.68,2.17,0.11
2025-04-03,19,13,68.42,2.05,0.11
2025-04-04,19,13,68.42,0.81,0.04
2025-04-07,17,12,70.59,2.03,0.12
2025-04-08,18,12,66.67,5.63,0.31
2025-04-09,19,12,63.16,4.67,0.25
2025-04-11,18,11,61.11,3.13,0.17
2025-04-15,17,10,58.82,2.71,0.16
2025-04-16,18,10,55.56,1.38,0.08
2025-04-17,18,9,50.00,-0.51,-0.03
2025-04-21,15,8,53.33,0.85,0.06
2025-04-22,16,9,56.25,1.34,0.08
2025-04-23,17,10,58.82,1.45,0.09
2025-04-24,17,9,52.94,1.05,0.06
2025-04-25,17,9,52.94,1.03,0.06
2025-04-28,15,7,46.67,0.60,0.04
2025-04-29,16,8,50.00,1.05,0.07
2025-04-30,17,9,52.94,1.32,0.08
2025-05-02,16,8,50.00,0.47,0.03
2025-05-05,14,8,57.14,2.10,0.15
2025-05-06,14,8,57.14,2.10,0.15
2025-05-07,14,8,57.14,2.10,0.15
2025-05-08,14,9,64.29,0.56,0.04
2025-05-09,14,9,64.29,1.19,0.08
2025-05-12,14,9,64.29,0.81,0.06
2025-05-13,15,9,60.00,-0.86,-0.06
2025-05-14,16,9,56.25,-0.51,-0.03
2025-05-15,16,9,56.25,-0.51,-0.03
2025-05-16,15,9,60.00,0.82,0.05
2025-05-19,14,9,64.29,2.29,0.16
2025-05-20,15,9,60.00,1.03,0.07
2025-05-21,16,10,62.50,1.59,0.10
2025-05-22,16,10,62.50,1.74,0.11
2025-05-23,15,9,60.00,1.63,0.11
2025-05-26,13,8,61.54,1.33,0.10
2025-05-27,13,8,61.54,1.33,0.10
2025-05-28,13,8,61.54,1.33,0.10
2025-05-29,13,8,61.54,1.02,0.08
