date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,15,71.43,12.68,0.60
2025-02-03,20,13,65.00,12.02,0.60
2025-02-04,21,14,66.67,12.33,0.59
2025-02-05,22,14,63.64,10.35,0.47
2025-02-06,22,14,63.64,10.07,0.46
2025-02-07,22,14,63.64,9.39,0.43
2025-02-10,20,14,70.00,8.89,0.44
2025-02-11,21,14,66.67,7.66,0.36
2025-02-12,22,15,68.18,7.83,0.36
2025-02-13,22,14,63.64,6.78,0.31
2025-02-14,22,14,63.64,6.89,0.31
2025-02-17,20,14,70.00,7.57,0.38
2025-02-18,21,15,71.43,7.93,0.38
2025-02-19,22,16,72.73,8.23,0.37
2025-02-20,22,16,72.73,8.33,0.38
2025-02-21,22,17,77.27,9.79,0.44
2025-02-24,20,14,70.00,3.68,0.18
2025-02-25,21,15,71.43,3.99,0.19
2025-02-27,21,16,76.19,4.67,0.22
2025-02-28,21,16,76.19,4.54,0.22
2025-03-03,20,15,75.00,4.94,0.25
2025-03-04,20,15,75.00,4.42,0.22
2025-03-05,21,16,76.19,5.64,0.27
2025-03-06,21,17,80.95,6.12,0.29
2025-03-07,21,17,80.95,5.98,0.28
2025-03-10,18,15,83.33,7.29,0.40
2025-03-11,19,16,84.21,7.90,0.42
2025-03-12,20,17,85.00,9.26,0.46
2025-03-13,21,18,85.71,9.63,0.46
2025-03-17,18,17,94.44,10.54,0.59
2025-03-18,19,17,89.47,7.51,0.40
2025-03-19,20,17,85.00,6.66,0.33
2025-03-20,20,16,80.00,4.86,0.24
2025-03-21,20,16,80.00,4.64,0.23
2025-03-24,18,14,77.78,5.32,0.30
2025-03-25,19,15,78.95,7.21,0.38
2025-03-26,20,16,80.00,8.12,0.41
2025-03-27,20,17,85.00,8.47,0.42
2025-03-28,20,16,80.00,7.80,0.39
2025-04-01,19,15,78.95,7.56,0.40
2025-04-02,20,16,80.00,8.79,0.44
2025-04-03,20,15,75.00,5.36,0.27
2025-04-04,20,15,75.00,5.38,0.27
2025-04-07,18,12,66.67,8.12,0.45
2025-04-08,19,12,63.16,8.88,0.47
2025-04-09,20,13,65.00,10.14,0.51
2025-04-11,20,13,65.00,11.25,0.56
2025-04-15,19,11,57.89,8.18,0.43
