date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,15,71.43,-2.57,-0.12
2025-02-03,20,14,70.00,-3.60,-0.18
2025-02-04,21,15,71.43,-3.04,-0.14
2025-02-05,22,15,68.18,-3.74,-0.17
2025-02-06,22,16,72.73,0.26,0.01
2025-02-07,22,16,72.73,0.24,0.01
2025-02-10,21,16,76.19,1.01,0.05
2025-02-11,22,17,77.27,1.18,0.05
2025-02-12,23,17,73.91,1.08,0.05
2025-02-13,23,17,73.91,0.62,0.03
2025-02-14,23,16,69.57,0.03,0.00
2025-02-17,21,13,61.90,-5.22,-0.25
2025-02-18,22,14,63.64,-4.88,-0.22
2025-02-19,23,15,65.22,-3.80,-0.17
2025-02-20,23,15,65.22,-3.52,-0.15
2025-02-21,23,15,65.22,-4.03,-0.18
2025-02-24,20,13,65.00,-4.46,-0.22
2025-02-25,21,13,61.90,-4.12,-0.20
2025-02-27,21,14,66.67,-1.27,-0.06
2025-02-28,20,14,70.00,2.16,0.11
2025-03-03,18,12,66.67,-0.20,-0.01
2025-03-04,18,12,66.67,0.06,0.00
2025-03-05,19,13,68.42,0.71,0.04
2025-03-06,19,13,68.42,1.23,0.06
2025-03-07,19,13,68.42,1.60,0.08
2025-03-10,17,11,64.71,0.55,0.03
2025-03-11,17,11,64.71,0.55,0.03
2025-03-12,18,12,66.67,2.62,0.15
2025-03-13,18,12,66.67,2.73,0.15
2025-03-17,15,11,73.33,6.78,0.45
2025-03-18,16,12,75.00,7.99,0.50
2025-03-19,17,13,76.47,8.39,0.49
2025-03-20,17,12,70.59,7.34,0.43
2025-03-21,17,12,70.59,6.79,0.40
2025-03-24,16,11,68.75,6.52,0.41
2025-03-25,16,11,68.75,6.52,0.41
2025-03-26,17,12,70.59,7.75,0.46
2025-03-27,16,12,75.00,7.41,0.46
2025-03-28,15,11,73.33,7.22,0.48
2025-04-01,15,12,80.00,9.63,0.64
2025-04-02,16,13,81.25,10.69,0.67
2025-04-03,16,13,81.25,11.34,0.71
2025-04-04,16,12,75.00,12.81,0.80
2025-04-07,14,10,71.43,6.51,0.47
2025-04-08,15,10,66.67,12.53,0.84
2025-04-09,16,10,62.50,11.89,0.74
2025-04-11,16,10,62.50,11.79,0.74
2025-04-15,15,9,60.00,9.54,0.64
2025-04-16,16,9,56.25,7.64,0.48
2025-04-17,15,8,53.33,6.43,0.43
2025-04-21,11,5,45.45,5.83,0.53
2025-04-22,12,5,41.67,5.25,0.44
2025-04-23,13,6,46.15,5.70,0.44
2025-04-24,14,7,50.00,6.10,0.44
2025-04-25,14,6,42.86,0.97,0.07
2025-04-28,14,6,42.86,1.14,0.08
2025-04-29,15,7,46.67,2.38,0.16
2025-04-30,16,8,50.00,2.70,0.17
2025-05-02,16,7,43.75,2.11,0.13
2025-05-05,14,7,50.00,3.96,0.28
2025-05-06,15,8,53.33,5.62,0.37
2025-05-07,16,9,56.25,6.07,0.38
2025-05-08,16,10,62.50,0.77,0.05
2025-05-09,16,11,68.75,2.05,0.13
2025-05-12,15,11,73.33,4.01,0.27
2025-05-13,16,12,75.00,5.15,0.32
2025-05-14,17,12,70.59,2.93,0.17
2025-05-15,17,12,70.59,2.93,0.17
2025-05-16,17,13,76.47,4.93,0.29
2025-05-19,18,14,77.78,5.38,0.30
2025-05-20,19,14,73.68,2.38,0.13
2025-05-21,19,14,73.68,2.38,0.13
2025-05-22,19,15,78.95,3.68,0.19
2025-05-23,19,15,78.95,3.46,0.18
2025-05-26,17,14,82.35,6.96,0.41
2025-05-27,18,14,77.78,5.45,0.30
2025-05-28,18,14,77.78,5.45,0.30
2025-05-29,17,13,76.47,4.21,0.25
2025-05-30,17,12,70.59,3.76,0.22
2025-06-02,16,12,75.00,3.50,0.22
2025-06-03,17,13,76.47,3.71,0.22
2025-06-04,18,14,77.78,3.95,0.22
2025-06-05,17,13,76.47,2.29,0.13
2025-06-06,17,13,76.47,2.03,0.12
2025-06-09,15,10,66.67,-3.77,-0.25
2025-06-10,16,10,62.50,-4.88,-0.31
2025-06-11,17,10,58.82,-5.41,-0.32
2025-06-12,17,9,52.94,-7.04,-0.41
2025-06-13,17,10,58.82,-4.63,-0.27
2025-06-16,16,8,50.00,-5.58,-0.35
2025-06-17,17,9,52.94,-5.10,-0.30
2025-06-18,18,10,55.56,-4.77,-0.27
2025-06-19,18,11,61.11,-1.53,-0.09
2025-06-20,19,11,57.89,-2.29,-0.12
2025-06-23,17,9,52.94,-3.51,-0.21
2025-06-24,18,9,50.00,-4.51,-0.25
2025-06-25,19,10,52.63,-3.70,-0.19
2025-06-26,19,10,52.63,-2.17,-0.11
2025-06-27,20,11,55.00,-1.91,-0.10
2025-06-30,19,11,57.89,-1.61,-0.08
2025-07-01,20,11,55.00,-3.50,-0.17
2025-07-02,21,12,57.14,-2.43,-0.12
2025-07-03,21,12,57.14,-1.77,-0.08
2025-07-04,21,11,52.38,-1.86,-0.09
2025-07-07,20,11,55.00,-0.72,-0.04
2025-07-08,20,11,55.00,-0.72,-0.04
2025-07-09,21,11,52.38,0.17,0.01
2025-07-10,21,12,57.14,1.83,0.09
2025-07-11,20,12,60.00,2.36,0.12
2025-07-14,18,12,66.67,3.84,0.21
2025-07-15,19,12,63.16,5.82,0.31
2025-07-16,20,12,60.00,5.93,0.30
2025-07-17,20,12,60.00,5.67,0.28
2025-07-18,20,12,60.00,5.67,0.28
2025-07-21,18,10,55.56,5.18,0.29
2025-07-22,19,11,57.89,5.35,0.28
2025-07-23,20,11,55.00,4.41,0.22
2025-07-24,20,11,55.00,5.24,0.26
2025-07-25,19,10,52.63,4.43,0.23
2025-07-28,17,9,52.94,4.03,0.24
2025-07-29,17,9,52.94,4.03,0.24
2025-07-30,18,10,55.56,4.75,0.26
2025-07-31,18,10,55.56,6.38,0.35
2025-08-01,18,9,50.00,5.96,0.33
2025-08-04,16,7,43.75,1.00,0.06
2025-08-05,17,8,47.06,1.70,0.10
2025-08-06,18,9,50.00,2.39,0.13
2025-08-07,19,10,52.63,2.50,0.13
2025-08-08,19,10,52.63,1.28,0.07
2025-08-11,18,9,50.00,0.57,0.03
2025-08-12,19,10,52.63,2.33,0.12
2025-08-13,20,10,50.00,2.90,0.15
2025-08-14,20,11,55.00,1.15,0.06
2025-08-18,17,9,52.94,1.72,0.10
2025-08-19,18,10,55.56,1.88,0.10
2025-08-20,18,10,55.56,1.88,0.10
2025-08-21,18,9,50.00,0.42,0.02
2025-08-22,17,9,52.94,1.36,0.08
2025-08-25,16,8,50.00,-0.09,-0.01
2025-08-26,17,8,47.06,-0.02,-0.00
2025-08-28,18,9,50.00,0.15,0.01
2025-08-29,18,9,50.00,0.83,0.05
2025-09-01,16,10,62.50,4.44,0.28
2025-09-02,17,10,58.82,3.76,0.22
2025-09-03,17,10,58.82,3.76,0.22
2025-09-04,17,10,58.82,3.68,0.22
2025-09-05,17,10,58.82,3.19,0.19
2025-09-08,14,8,57.14,2.79,0.20
2025-09-09,15,9,60.00,3.37,0.22
2025-09-10,16,10,62.50,3.77,0.24
2025-09-11,15,9,60.00,2.01,0.13
2025-09-12,15,9,60.00,1.79,0.12
2025-09-15,13,8,61.54,1.15,0.09
2025-09-16,14,9,64.29,1.60,0.11
2025-09-17,15,9,60.00,2.10,0.14
2025-09-18,14,8,57.14,1.94,0.14
2025-09-19,15,9,60.00,2.47,0.16
2025-09-22,14,9,64.29,4.64,0.33
2025-09-23,15,9,60.00,2.85,0.19
2025-09-24,16,10,62.50,3.28,0.21
2025-09-25,16,11,68.75,3.37,0.21
2025-09-26,16,10,62.50,1.63,0.10
2025-09-29,15,8,53.33,-2.49,-0.17
2025-09-30,16,8,50.00,-2.75,-0.17
2025-10-01,17,9,52.94,-2.28,-0.13
2025-10-03,17,10,58.82,-1.46,-0.09
2025-10-06,16,8,50.00,-4.18,-0.26
2025-10-07,17,9,52.94,-3.05,-0.18
2025-10-08,18,10,55.56,-2.72,-0.15
2025-10-09,18,9,50.00,-3.37,-0.19
2025-10-10,18,9,50.00,-3.04,-0.17
2025-10-13,18,10,55.56,-2.93,-0.16
2025-10-14,19,10,52.63,-4.31,-0.23
2025-10-15,20,11,55.00,-4.20,-0.21
2025-10-16,20,11,55.00,-4.20,-0.21
2025-10-17,20,12,60.00,-4.57,-0.23
2025-10-20,19,12,63.16,-4.64,-0.24
2025-10-21,20,13,65.00,-4.12,-0.21
2025-10-23,20,14,70.00,-1.74,-0.09
2025-10-24,20,14,70.00,-1.96,-0.10
2025-10-27,18,14,77.78,2.30,0.13
2025-10-28,19,15,78.95,2.95,0.16
2025-10-29,19,15,78.95,2.95,0.16
2025-10-30,19,15,78.95,2.12,0.11
2025-10-31,19,14,73.68,-0.01,-0.00
2025-11-03,18,14,77.78,1.92,0.11
2025-11-04,19,14,73.68,0.87,0.05
2025-11-06,19,14,73.68,-0.16,-0.01
2025-11-07,19,14,73.68,-0.27,-0.01
2025-11-10,17,13,76.47,-0.91,-0.05
2025-11-11,18,14,77.78,-0.43,-0.02
2025-11-12,19,15,78.95,-0.06,-0.00
2025-11-13,19,16,84.21,1.65,0.09
2025-11-14,19,16,84.21,1.67,0.09
2025-11-17,17,14,82.35,1.30,0.08
2025-11-18,18,15,83.33,1.77,0.10
2025-11-19,19,16,84.21,2.24,0.12
2025-11-20,19,16,84.21,1.94,0.10
2025-11-21,19,16,84.21,1.86,0.10
2025-11-24,17,14,82.35,1.28,0.08
2025-11-25,18,14,77.78,1.26,0.07
2025-11-26,18,14,77.78,1.26,0.07
