date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,13,61.90,-8.21,-0.39
2025-02-03,19,11,57.89,-10.53,-0.55
2025-02-04,20,11,55.00,-12.28,-0.61
2025-02-05,21,12,57.14,-9.77,-0.47
2025-02-06,21,11,52.38,-12.89,-0.61
2025-02-07,21,11,52.38,-13.61,-0.65
2025-02-10,20,10,50.00,-12.93,-0.65
2025-02-11,21,10,47.62,-17.46,-0.83
2025-02-12,22,10,45.45,-22.27,-1.01
2025-02-13,22,11,50.00,-16.25,-0.74
2025-02-14,22,11,50.00,-17.77,-0.81
2025-02-17,20,10,50.00,-18.80,-0.94
2025-02-18,21,10,47.62,-18.47,-0.88
2025-02-19,22,11,50.00,-18.28,-0.83
2025-02-20,22,11,50.00,-18.51,-0.84
2025-02-21,21,10,47.62,-19.06,-0.91
2025-02-24,19,9,47.37,-13.02,-0.69
2025-02-25,20,10,50.00,-12.35,-0.62
2025-02-27,20,10,50.00,-13.31,-0.67
2025-02-28,20,11,55.00,-9.09,-0.45
2025-03-03,18,10,55.56,-7.09,-0.39
2025-03-04,19,11,57.89,-5.74,-0.30
2025-03-05,20,12,60.00,-4.84,-0.24
2025-03-06,21,13,61.90,-2.61,-0.12
2025-03-07,21,14,66.67,0.46,0.02
2025-03-10,19,12,63.16,-1.26,-0.07
2025-03-11,20,13,65.00,0.55,0.03
2025-03-12,21,14,66.67,1.47,0.07
2025-03-13,20,14,70.00,5.06,0.25
2025-03-17,17,13,76.47,12.82,0.75
2025-03-18,18,13,72.22,10.94,0.61
2025-03-19,19,13,68.42,7.82,0.41
2025-03-20,19,13,68.42,8.59,0.45
2025-03-21,19,14,73.68,8.36,0.44
2025-03-24,18,13,72.22,9.53,0.53
2025-03-25,19,14,73.68,10.89,0.57
2025-03-26,20,15,75.00,11.71,0.59
2025-03-27,20,14,70.00,10.56,0.53
2025-03-28,20,14,70.00,10.19,0.51
2025-04-01,19,13,68.42,6.22,0.33
2025-04-02,20,14,70.00,7.22,0.36
2025-04-03,20,14,70.00,7.38,0.37
2025-04-04,20,13,65.00,2.51,0.13
2025-04-07,18,10,55.56,-5.23,-0.29
