date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,3,13.04,-3.54,-0.15
2025-02-03,22,3,13.64,-7.32,-0.33
2025-02-04,23,3,13.04,-3.88,-0.17
2025-02-05,24,3,12.50,-4.07,-0.17
2025-02-06,24,3,12.50,-1.68,-0.07
2025-02-07,24,3,12.50,-2.98,-0.12
2025-02-10,22,3,13.64,-2.24,-0.10
2025-02-11,23,3,13.04,-4.74,-0.21
2025-02-12,24,3,12.50,-3.60,-0.15
2025-02-13,24,3,12.50,-0.65,-0.03
2025-02-14,24,2,8.33,-7.28,-0.30
2025-02-17,22,2,9.09,-8.81,-0.40
2025-02-18,23,2,8.70,-9.06,-0.39
2025-02-19,24,2,8.33,-7.60,-0.32
2025-02-20,24,2,8.33,-8.87,-0.37
2025-02-21,24,2,8.33,-9.19,-0.38
2025-02-24,22,2,9.09,-0.26,-0.01
2025-02-25,23,2,8.70,-1.48,-0.06
2025-02-27,23,2,8.70,-0.99,-0.04
2025-02-28,23,1,4.35,-5.53,-0.24
2025-03-03,21,0,0.00,-11.51,-0.55
2025-03-04,21,0,0.00,-5.97,-0.28
2025-03-05,22,0,0.00,-2.19,-0.10
2025-03-06,22,0,0.00,1.42,0.06
2025-03-07,22,0,0.00,-1.69,-0.08
2025-03-10,20,0,0.00,-4.72,-0.24
2025-03-11,21,0,0.00,-3.95,-0.19
2025-03-12,22,0,0.00,-7.22,-0.33
2025-03-13,22,0,0.00,-4.95,-0.23
2025-03-17,19,0,0.00,0.29,0.02
2025-03-18,20,0,0.00,2.87,0.14
2025-03-19,21,0,0.00,4.83,0.23
2025-03-20,21,0,0.00,4.37,0.21
2025-03-21,21,0,0.00,7.83,0.37
2025-03-24,19,0,0.00,6.99,0.37
2025-03-25,20,0,0.00,5.33,0.27
2025-03-26,21,0,0.00,5.22,0.25
2025-03-27,21,0,0.00,4.72,0.22
2025-03-28,21,0,0.00,3.96,0.19
2025-04-01,20,0,0.00,4.12,0.21
2025-04-02,21,0,0.00,3.36,0.16
2025-04-03,21,1,4.76,11.68,0.56
2025-04-04,21,1,4.76,9.16,0.44
2025-04-07,19,1,5.26,6.54,0.34
2025-04-08,20,1,5.00,8.27,0.41
2025-04-09,21,1,4.76,5.03,0.24
2025-04-11,20,1,5.00,8.49,0.42
2025-04-15,19,1,5.26,13.24,0.70
2025-04-16,20,2,10.00,17.46,0.87
2025-04-17,20,2,10.00,17.31,0.87
2025-04-21,17,2,11.76,8.40,0.49
2025-04-22,18,2,11.11,8.56,0.48
2025-04-23,19,2,10.53,7.76,0.41
2025-04-24,19,2,10.53,7.33,0.39
2025-04-25,19,2,10.53,8.29,0.44
2025-04-28,17,2,11.76,10.37,0.61
2025-04-29,18,2,11.11,7.61,0.42
2025-04-30,19,2,10.53,5.64,0.30
2025-05-02,19,2,10.53,5.65,0.30
2025-05-05,17,1,5.88,1.47,0.09
2025-05-06,18,1,5.56,-1.60,-0.09
2025-05-07,19,1,5.26,-1.67,-0.09
2025-05-08,19,1,5.26,-4.60,-0.24
2025-05-09,19,1,5.26,-5.68,-0.30
2025-05-12,18,1,5.56,-2.82,-0.16
2025-05-13,19,1,5.26,-0.89,-0.05
2025-05-14,20,1,5.00,-0.03,-0.00
2025-05-15,21,1,4.76,0.39,0.02
2025-05-16,21,1,4.76,1.23,0.06
2025-05-19,20,0,0.00,-1.57,-0.08
2025-05-20,21,0,0.00,-2.54,-0.12
2025-05-21,22,0,0.00,-3.81,-0.17
2025-05-22,22,0,0.00,-5.32,-0.24
2025-05-23,22,0,0.00,-5.66,-0.26
2025-05-26,20,0,0.00,-2.86,-0.14
2025-05-27,21,0,0.00,-3.06,-0.15
2025-05-28,22,0,0.00,-1.46,-0.07
2025-05-29,22,0,0.00,-6.50,-0.30
2025-05-30,22,0,0.00,-1.43,-0.07
2025-06-02,21,1,4.76,6.55,0.31
2025-06-03,22,1,4.55,3.59,0.16
2025-06-04,23,1,4.35,3.04,0.13
2025-06-05,23,1,4.35,0.63,0.03
2025-06-06,23,1,4.35,3.98,0.17
2025-06-09,21,1,4.76,5.82,0.28
2025-06-10,22,1,4.55,4.50,0.20
2025-06-11,23,1,4.35,3.88,0.17
2025-06-12,23,1,4.35,3.96,0.17
2025-06-13,23,1,4.35,4.58,0.20
2025-06-16,21,1,4.76,3.51,0.17
2025-06-17,22,2,9.09,4.45,0.20
2025-06-18,23,2,8.70,3.85,0.17
2025-06-19,23,2,8.70,-0.54,-0.02
2025-06-20,23,2,8.70,-0.11,-0.00
2025-06-23,21,2,9.52,3.41,0.16
2025-06-24,22,3,13.64,3.82,0.17
2025-06-25,23,3,13.04,2.71,0.12
2025-06-26,23,4,17.39,4.86,0.21
2025-06-27,23,4,17.39,3.29,0.14
2025-06-30,21,5,23.81,3.70,0.18
2025-07-01,22,5,22.73,4.19,0.19
2025-07-02,23,5,21.74,3.91,0.17
2025-07-03,23,4,17.39,-1.61,-0.07
2025-07-04,23,4,17.39,1.94,0.08
2025-07-07,21,4,19.05,2.59,0.12
2025-07-08,22,4,18.18,1.73,0.08
2025-07-09,23,4,17.39,1.80,0.08
2025-07-10,23,4,17.39,-0.98,-0.04
2025-07-11,23,4,17.39,0.36,0.02
2025-07-14,21,5,23.81,0.03,0.00
2025-07-15,22,5,22.73,-0.53,-0.02
2025-07-16,23,5,21.74,0.35,0.02
2025-07-17,23,5,21.74,-1.98,-0.09
2025-07-18,23,4,17.39,-3.93,-0.17
2025-07-21,21,4,19.05,-0.59,-0.03
2025-07-22,22,4,18.18,-1.77,-0.08
2025-07-23,23,4,17.39,-2.53,-0.11
2025-07-24,23,5,21.74,-1.41,-0.06
2025-07-25,23,4,17.39,-4.07,-0.18
2025-07-28,21,3,14.29,-5.31,-0.25
2025-07-29,22,3,13.64,-4.77,-0.22
2025-07-30,23,3,13.04,-7.45,-0.32
2025-07-31,23,2,8.70,-7.44,-0.32
2025-08-01,23,2,8.70,-8.24,-0.36
2025-08-04,21,3,14.29,-5.03,-0.24
2025-08-05,22,3,13.64,-5.82,-0.26
2025-08-06,23,3,13.04,-5.25,-0.23
2025-08-07,23,4,17.39,-2.32,-0.10
2025-08-08,23,5,21.74,-0.58,-0.03
2025-08-11,21,6,28.57,2.94,0.14
2025-08-12,22,6,27.27,2.29,0.10
2025-08-13,23,6,26.09,1.64,0.07
2025-08-14,23,5,21.74,-0.42,-0.02
2025-08-18,20,5,25.00,1.62,0.08
2025-08-19,21,5,23.81,0.82,0.04
2025-08-20,22,5,22.73,0.67,0.03
2025-08-21,22,5,22.73,0.47,0.02
2025-08-22,22,5,22.73,1.95,0.09
2025-08-25,20,4,20.00,2.99,0.15
2025-08-26,21,4,19.05,1.35,0.06
2025-08-28,21,4,19.05,3.05,0.15
2025-08-29,21,4,19.05,2.60,0.12
2025-09-01,19,5,26.32,5.10,0.27
2025-09-02,20,5,25.00,4.56,0.23
2025-09-03,21,5,23.81,5.57,0.27
2025-09-04,21,4,19.05,2.20,0.10
2025-09-05,21,4,19.05,3.08,0.15
2025-09-08,19,3,15.79,1.06,0.06
2025-09-09,20,3,15.00,1.00,0.05
2025-09-10,21,4,19.05,2.95,0.14
2025-09-11,21,3,14.29,1.03,0.05
2025-09-12,21,3,14.29,1.91,0.09
2025-09-15,20,3,15.00,3.01,0.15
2025-09-16,21,3,14.29,2.74,0.13
2025-09-17,22,4,18.18,4.86,0.22
2025-09-18,22,4,18.18,3.85,0.18
2025-09-19,22,4,18.18,4.77,0.22
2025-09-22,20,4,20.00,4.79,0.24
2025-09-23,21,4,19.05,3.48,0.17
2025-09-24,22,5,22.73,5.75,0.26
2025-09-25,22,5,22.73,6.59,0.30
2025-09-26,22,5,22.73,7.56,0.34
2025-09-29,21,6,28.57,10.11,0.48
2025-09-30,22,7,31.82,11.29,0.51
2025-10-01,23,7,30.43,9.55,0.42
2025-10-03,22,7,31.82,9.90,0.45
2025-10-06,20,8,40.00,10.70,0.53
2025-10-07,21,8,38.10,10.39,0.49
2025-10-08,22,8,36.36,10.75,0.49
2025-10-09,22,7,31.82,10.08,0.46
2025-10-10,22,8,36.36,11.74,0.53
2025-10-13,20,7,35.00,10.26,0.51
2025-10-14,21,7,33.33,8.22,0.39
2025-10-15,22,7,31.82,9.04,0.41
2025-10-16,22,8,36.36,11.01,0.50
2025-10-17,22,8,36.36,11.16,0.51
2025-10-20,20,8,40.00,10.24,0.51
2025-10-21,21,8,38.10,8.86,0.42
2025-10-23,21,9,42.86,10.75,0.51
2025-10-24,21,10,47.62,14.36,0.68
2025-10-27,19,9,47.37,12.20,0.64
2025-10-28,20,10,50.00,13.89,0.69
2025-10-29,21,10,47.62,13.67,0.65
2025-10-30,21,9,42.86,10.97,0.52
2025-10-31,21,9,42.86,11.34,0.54
2025-11-03,20,9,45.00,13.47,0.67
2025-11-04,21,9,42.86,12.23,0.58
2025-11-06,21,8,38.10,10.33,0.49
2025-11-07,21,8,38.10,11.79,0.56
2025-11-10,19,8,42.11,9.35,0.49
2025-11-11,20,8,40.00,8.20,0.41
2025-11-12,21,8,38.10,7.67,0.37
2025-11-13,21,8,38.10,7.09,0.34
2025-11-14,21,8,38.10,9.18,0.44
2025-11-17,19,8,42.11,8.03,0.42
2025-11-18,20,8,40.00,7.26,0.36
2025-11-19,21,8,38.10,6.74,0.32
2025-11-20,21,7,33.33,5.05,0.24
2025-11-21,21,7,33.33,2.90,0.14
2025-11-24,20,5,25.00,-1.29,-0.06
2025-11-25,21,6,28.57,1.11,0.05
2025-11-26,22,7,31.82,2.40,0.11
2025-11-27,22,7,31.82,-0.39,-0.02
2025-11-28,22,6,27.27,-2.05,-0.09
2025-12-01,20,6,30.00,-1.41,-0.07
2025-12-02,21,6,28.57,-4.76,-0.23
2025-12-03,22,6,27.27,-10.74,-0.49
2025-12-04,22,5,22.73,-14.01,-0.64
2025-12-05,22,5,22.73,-11.89,-0.54
2025-12-08,21,5,23.81,-15.61,-0.74
2025-12-09,22,5,22.73,-13.68,-0.62
2025-12-10,23,5,21.74,-14.98,-0.65
2025-12-11,23,4,17.39,-15.21,-0.66
2025-12-12,23,4,17.39,-13.45,-0.58
2025-12-15,21,4,19.05,-13.83,-0.66
2025-12-16,22,4,18.18,-15.22,-0.69
2025-12-17,23,4,17.39,-14.91,-0.65
2025-12-18,23,3,13.04,-16.37,-0.71
2025-12-19,23,3,13.04,-15.29,-0.66
2025-12-22,21,3,14.29,-9.45,-0.45
2025-12-23,22,3,13.64,-10.09,-0.46
2025-12-24,23,3,13.04,-10.85,-0.47
2025-12-26,22,2,9.09,-13.57,-0.62
2025-12-29,20,1,5.00,-11.21,-0.56
2025-12-30,21,2,9.52,-9.26,-0.44
2025-12-31,22,3,13.64,-7.90,-0.36
2026-01-01,22,2,9.09,-10.14,-0.46
2026-01-02,22,3,13.64,-5.45,-0.25
2026-01-05,20,3,15.00,0.11,0.01
2026-01-06,21,3,14.29,0.03,0.00
2026-01-07,22,3,13.64,0.44,0.02
2026-01-08,22,3,13.64,0.53,0.02
2026-01-09,22,4,18.18,1.48,0.07
2026-01-12,20,4,20.00,1.25,0.06
2026-01-13,21,4,19.05,-0.45,-0.02
2026-01-14,22,5,22.73,1.39,0.06
2026-01-16,21,6,28.57,3.68,0.18
2026-01-19,19,6,31.58,4.06,0.21
2026-01-20,20,6,30.00,2.06,0.10
2026-01-21,21,6,28.57,2.45,0.12
2026-01-22,21,7,33.33,2.35,0.11
2026-01-23,21,8,38.10,3.67,0.17
2026-01-27,20,8,40.00,4.54,0.23
2026-01-28,21,9,42.86,5.77,0.27
2026-01-29,21,10,47.62,5.91,0.28
2026-01-30,21,9,42.86,4.38,0.21
2026-02-01,20,8,40.00,-4.24,-0.21
2026-02-02,20,7,35.00,-6.52,-0.33
2026-02-03,21,7,33.33,-6.02,-0.29
2026-02-04,22,7,31.82,-4.16,-0.19
2026-02-05,22,7,31.82,-3.07,-0.14
2026-02-06,22,7,31.82,-3.73,-0.17
2026-02-09,20,7,35.00,-2.60,-0.13
2026-02-10,21,7,33.33,-2.61,-0.12
2026-02-11,22,7,31.82,-4.02,-0.18
2026-02-12,22,7,31.82,-5.17,-0.23
2026-02-13,22,7,31.82,-3.66,-0.17
2026-02-16,21,5,23.81,-3.52,-0.17
2026-02-17,22,6,27.27,-2.40,-0.11
2026-02-18,23,7,30.43,-1.94,-0.08
2026-02-19,23,7,30.43,-4.61,-0.20
2026-02-20,23,7,30.43,-0.59,-0.03
2026-02-23,21,6,28.57,-1.20,-0.06
2026-02-24,22,6,27.27,-0.75,-0.03
2026-02-25,23,6,26.09,-1.33,-0.06
2026-02-26,24,6,25.00,-0.95,-0.04
2026-02-27,24,6,25.00,-0.90,-0.04
2026-03-02,22,4,18.18,-2.17,-0.10
2026-03-04,22,4,18.18,4.10,0.19
2026-03-05,22,5,22.73,5.26,0.24
2026-03-06,22,5,22.73,4.02,0.18
2026-03-09,20,5,25.00,-0.64,-0.03
2026-03-10,20,5,25.00,-0.64,-0.03
2026-03-11,21,5,23.81,-2.19,-0.10
2026-03-12,21,4,19.05,-3.04,-0.14
2026-03-13,21,4,19.05,-7.46,-0.36
2026-03-16,19,4,21.05,-2.70,-0.14
2026-03-17,19,4,21.05,-2.70,-0.14
2026-03-18,20,5,25.00,-1.13,-0.06
2026-03-19,20,5,25.00,-4.45,-0.22
2026-03-20,20,5,25.00,-4.47,-0.22
2026-03-23,18,4,22.22,-7.73,-0.43
2026-03-24,19,5,26.32,-6.42,-0.34
2026-03-25,19,5,26.32,-6.42,-0.34
2026-03-27,18,4,22.22,-11.54,-0.64
2026-03-30,16,4,25.00,-12.61,-0.79
2026-04-01,17,5,29.41,-11.53,-0.68
2026-04-02,17,5,29.41,-13.11,-0.77
2026-04-06,15,5,33.33,-10.76,-0.72
2026-04-07,16,5,31.25,-10.07,-0.63
2026-04-08,17,5,29.41,-13.01,-0.77
2026-04-09,17,6,35.29,-8.42,-0.50
2026-04-10,18,6,33.33,-6.72,-0.37
2026-04-13,16,6,37.50,1.42,0.09
2026-04-15,17,7,41.18,1.61,0.09
2026-04-16,17,7,41.18,-0.55,-0.03
2026-04-17,18,7,38.89,-0.51,-0.03
2026-04-20,16,5,31.25,-3.97,-0.25
2026-04-21,17,5,29.41,-5.32,-0.31
2026-04-22,18,5,27.78,-4.99,-0.28
2026-04-23,18,5,27.78,-3.67,-0.20
2026-04-24,18,4,22.22,-5.30,-0.29
2026-04-27,18,5,27.78,-0.65,-0.04
2026-04-28,19,5,26.32,-1.32,-0.07
2026-04-29,20,6,30.00,0.53,0.03
2026-04-30,20,6,30.00,0.47,0.02
2026-05-04,18,5,27.78,-0.38,-0.02
2026-05-05,19,5,26.32,2.82,0.15
2026-05-06,20,6,30.00,4.05,0.20
2026-05-07,20,5,25.00,2.32,0.12
2026-05-08,20,5,25.00,2.68,0.13
2026-05-11,18,4,22.22,0.26,0.01
2026-05-12,19,4,21.05,-0.70,-0.04
2026-05-13,20,4,20.00,-2.24,-0.11
2026-05-14,20,5,25.00,-2.78,-0.14
2026-05-15,21,5,23.81,-4.43,-0.21
2026-05-18,19,4,21.05,-3.95,-0.21
2026-05-19,20,4,20.00,-3.42,-0.17
2026-05-20,21,4,19.05,-3.42,-0.16
2026-05-21,21,5,23.81,-0.81,-0.04
2026-05-22,21,5,23.81,1.09,0.05
2026-05-25,19,6,31.58,2.53,0.13
2026-05-26,20,6,30.00,1.33,0.07
2026-05-27,21,6,28.57,1.30,0.06
2026-05-29,20,5,25.00,2.04,0.10
2026-06-01,19,4,21.05,-2.44,-0.13
2026-06-02,20,4,20.00,-0.61,-0.03
2026-06-03,21,5,23.81,0.40,0.02
2026-06-04,22,5,22.73,-0.91,-0.04
2026-06-05,22,6,27.27,-1.82,-0.08
2026-06-08,20,5,25.00,-1.62,-0.08
2026-06-09,21,6,28.57,0.07,0.00
2026-06-10,22,6,27.27,-2.95,-0.13
2026-06-11,22,6,27.27,-0.61,-0.03
2026-06-12,22,7,31.82,1.83,0.08
2026-06-15,20,6,30.00,4.52,0.23
2026-06-16,20,6,30.00,4.52,0.23
2026-06-17,21,6,28.57,2.31,0.11
2026-06-18,21,6,28.57,3.02,0.14
2026-06-19,21,6,28.57,2.03,0.10
2026-06-22,19,6,31.58,0.69,0.04
2026-06-23,20,7,35.00,1.18,0.06
2026-06-24,21,8,38.10,1.31,0.06
2026-06-25,21,8,38.10,1.22,0.06
2026-06-29,19,9,47.37,1.74,0.09
