date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,4,17.39,-3.74,-0.16
2025-02-03,22,3,13.64,-3.60,-0.16
2025-02-04,23,4,17.39,-3.08,-0.13
2025-02-05,24,4,16.67,-3.49,-0.15
2025-02-06,24,4,16.67,-2.85,-0.12
2025-02-07,24,4,16.67,-2.90,-0.12
2025-02-10,22,3,13.64,-5.18,-0.24
2025-02-11,23,3,13.04,-5.42,-0.24
2025-02-12,24,3,12.50,-6.61,-0.28
2025-02-13,24,3,12.50,-8.27,-0.34
2025-02-14,24,3,12.50,-6.54,-0.27
2025-02-17,22,3,13.64,-2.27,-0.10
2025-02-18,23,3,13.04,-1.87,-0.08
2025-02-19,24,3,12.50,-3.79,-0.16
2025-02-20,24,3,12.50,-1.93,-0.08
2025-02-21,24,3,12.50,-1.24,-0.05
2025-02-24,22,2,9.09,-6.57,-0.30
2025-02-25,23,2,8.70,-5.16,-0.22
2025-02-27,23,2,8.70,-3.13,-0.14
2025-02-28,23,2,8.70,-6.78,-0.29
2025-03-03,21,1,4.76,-7.98,-0.38
2025-03-04,21,1,4.76,-6.52,-0.31
2025-03-05,22,2,9.09,-4.74,-0.22
2025-03-06,22,2,9.09,-6.21,-0.28
2025-03-07,22,1,4.55,-7.76,-0.35
2025-03-10,20,1,5.00,-5.53,-0.28
2025-03-11,21,1,4.76,-6.62,-0.32
2025-03-12,22,1,4.55,-9.60,-0.44
2025-03-13,22,1,4.55,-9.54,-0.43
2025-03-17,19,1,5.26,-4.02,-0.21
2025-03-18,20,1,5.00,-3.20,-0.16
2025-03-19,21,1,4.76,-4.23,-0.20
2025-03-20,21,2,9.52,-2.80,-0.13
2025-03-21,21,2,9.52,-2.30,-0.11
2025-03-24,19,2,10.53,-1.65,-0.09
2025-03-25,20,3,15.00,-0.52,-0.03
2025-03-26,21,3,14.29,-2.13,-0.10
2025-03-27,21,3,14.29,0.29,0.01
2025-03-28,21,3,14.29,-2.39,-0.11
2025-04-01,20,3,15.00,0.04,0.00
2025-04-02,21,3,14.29,0.98,0.05
2025-04-03,21,3,14.29,-2.27,-0.11
2025-04-04,21,3,14.29,-2.54,-0.12
2025-04-07,19,2,10.53,-0.16,-0.01
2025-04-08,20,2,10.00,-0.00,-0.00
2025-04-09,21,2,9.52,-0.02,-0.00
2025-04-11,20,3,15.00,1.09,0.05
2025-04-15,19,3,15.79,4.02,0.21
2025-04-16,20,3,15.00,3.17,0.16
2025-04-17,20,3,15.00,1.53,0.08
2025-04-21,17,3,17.65,0.70,0.04
2025-04-22,18,3,16.67,-0.51,-0.03
2025-04-23,19,4,21.05,0.18,0.01
2025-04-24,19,4,21.05,0.61,0.03
2025-04-25,19,3,15.79,-0.22,-0.01
2025-04-28,17,3,17.65,2.25,0.13
2025-04-29,18,3,16.67,3.19,0.18
2025-04-30,19,3,15.79,3.54,0.19
2025-05-02,19,3,15.79,4.65,0.24
2025-05-05,17,3,17.65,6.21,0.37
2025-05-06,18,3,16.67,6.54,0.36
2025-05-07,19,3,15.79,7.13,0.38
2025-05-08,19,3,15.79,4.35,0.23
2025-05-09,19,3,15.79,4.58,0.24
2025-05-12,17,2,11.76,3.53,0.21
2025-05-13,18,2,11.11,0.86,0.05
2025-05-14,19,2,10.53,1.94,0.10
2025-05-15,20,2,10.00,3.39,0.17
2025-05-16,20,2,10.00,3.25,0.16
2025-05-19,19,2,10.53,1.60,0.08
2025-05-20,20,2,10.00,0.99,0.05
2025-05-21,21,2,9.52,1.01,0.05
2025-05-22,21,1,4.76,-0.91,-0.04
2025-05-23,21,2,9.52,2.38,0.11
2025-05-26,19,1,5.26,2.13,0.11
2025-05-27,20,1,5.00,1.52,0.08
2025-05-28,21,1,4.76,0.91,0.04
2025-05-29,21,1,4.76,0.63,0.03
2025-05-30,21,1,4.76,-0.75,-0.04
2025-06-02,20,1,5.00,-1.82,-0.09
2025-06-03,21,1,4.76,-2.76,-0.13
2025-06-04,22,1,4.55,-2.16,-0.10
2025-06-05,22,1,4.55,-1.13,-0.05
2025-06-06,22,1,4.55,-0.91,-0.04
2025-06-09,20,1,5.00,-2.51,-0.13
2025-06-10,21,1,4.76,-1.75,-0.08
2025-06-11,22,2,9.09,0.73,0.03
2025-06-12,23,2,8.70,0.19,0.01
2025-06-13,23,2,8.70,4.53,0.20
2025-06-16,21,3,14.29,5.48,0.26
2025-06-17,22,3,13.64,6.72,0.31
2025-06-18,23,3,13.04,7.46,0.32
2025-06-19,23,3,13.04,8.25,0.36
2025-06-20,23,3,13.04,9.20,0.40
2025-06-23,21,2,9.52,6.49,0.31
2025-06-24,22,2,9.09,5.40,0.25
2025-06-25,23,2,8.70,6.95,0.30
2025-06-26,23,2,8.70,6.52,0.28
2025-06-27,23,2,8.70,6.63,0.29
2025-06-30,21,2,9.52,7.00,0.33
2025-07-01,22,2,9.09,7.00,0.32
2025-07-02,23,3,13.04,8.48,0.37
2025-07-03,23,3,13.04,8.78,0.38
2025-07-04,23,3,13.04,10.68,0.46
2025-07-07,21,3,14.29,8.16,0.39
2025-07-08,22,3,13.64,8.84,0.40
2025-07-09,23,3,13.04,8.54,0.37
2025-07-10,23,3,13.04,7.45,0.32
2025-07-11,23,3,13.04,7.65,0.33
2025-07-14,21,2,9.52,2.67,0.13
2025-07-15,22,3,13.64,5.11,0.23
2025-07-16,23,3,13.04,6.88,0.30
2025-07-17,23,2,8.70,3.86,0.17
2025-07-18,23,2,8.70,2.25,0.10
2025-07-21,21,2,9.52,1.80,0.09
2025-07-22,22,2,9.09,2.11,0.10
2025-07-23,23,2,8.70,2.10,0.09
2025-07-24,23,2,8.70,1.39,0.06
2025-07-25,23,2,8.70,0.71,0.03
2025-07-28,21,2,9.52,-0.57,-0.03
2025-07-29,22,2,9.09,-0.47,-0.02
2025-07-30,23,2,8.70,-0.50,-0.02
2025-07-31,23,2,8.70,0.32,0.01
2025-08-01,23,2,8.70,-1.25,-0.05
2025-08-04,21,1,4.76,-2.38,-0.11
2025-08-05,22,1,4.55,-3.57,-0.16
2025-08-06,23,1,4.35,-4.71,-0.20
2025-08-07,23,1,4.35,-3.36,-0.15
2025-08-08,23,1,4.35,-4.18,-0.18
2025-08-11,21,1,4.76,-2.86,-0.14
2025-08-12,22,1,4.55,-3.08,-0.14
2025-08-13,23,1,4.35,-2.98,-0.13
2025-08-14,23,2,8.70,0.62,0.03
2025-08-18,20,1,5.00,-4.14,-0.21
2025-08-19,21,1,4.76,-3.59,-0.17
2025-08-20,22,2,9.09,-1.31,-0.06
2025-08-21,22,2,9.09,-2.45,-0.11
2025-08-22,22,2,9.09,-3.41,-0.15
2025-08-25,20,3,15.00,1.33,0.07
2025-08-26,21,3,14.29,1.83,0.09
2025-08-28,21,3,14.29,-0.29,-0.01
2025-08-29,21,3,14.29,-2.56,-0.12
