date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,14,66.67,-0.77,-0.04
2025-02-03,20,13,65.00,0.06,0.00
2025-02-04,21,14,66.67,1.47,0.07
2025-02-05,22,15,68.18,2.35,0.11
2025-02-06,22,14,63.64,1.23,0.06
2025-02-07,22,13,59.09,-3.95,-0.18
2025-02-10,20,13,65.00,1.44,0.07
2025-02-11,21,14,66.67,2.52,0.12
2025-02-12,22,15,68.18,2.89,0.13
2025-02-13,22,16,72.73,7.71,0.35
2025-02-14,21,15,71.43,6.57,0.31
2025-02-17,20,14,70.00,4.78,0.24
2025-02-18,21,15,71.43,7.97,0.38
2025-02-19,22,16,72.73,8.62,0.39
2025-02-20,22,17,77.27,9.89,0.45
2025-02-21,22,17,77.27,10.37,0.47
2025-02-24,20,17,85.00,12.41,0.62
2025-02-25,21,17,80.95,11.67,0.56
2025-02-27,21,18,85.71,16.81,0.80
2025-02-28,21,18,85.71,16.53,0.79
2025-03-03,19,16,84.21,15.90,0.84
2025-03-04,19,16,84.21,13.28,0.70
2025-03-05,20,17,85.00,15.46,0.77
2025-03-06,20,16,80.00,11.89,0.59
2025-03-07,20,16,80.00,11.89,0.59
2025-03-10,18,15,83.33,8.41,0.47
2025-03-11,19,16,84.21,8.65,0.46
2025-03-12,20,17,85.00,11.58,0.58
2025-03-13,20,16,80.00,8.79,0.44
2025-03-17,18,14,77.78,9.01,0.50
2025-03-18,19,15,78.95,9.80,0.52
2025-03-19,20,16,80.00,10.21,0.51
2025-03-20,20,15,75.00,5.40,0.27
2025-03-21,20,15,75.00,7.70,0.39
2025-03-24,18,12,66.67,5.22,0.29
2025-03-25,18,12,66.67,5.22,0.29
2025-03-26,19,13,68.42,6.10,0.32
2025-03-27,19,14,73.68,8.12,0.43
2025-03-28,19,13,68.42,7.09,0.37
2025-04-01,18,12,66.67,3.14,0.17
2025-04-02,19,12,63.16,1.00,0.05
2025-04-03,18,11,61.11,0.47,0.03
2025-04-04,18,10,55.56,-2.90,-0.16
2025-04-07,16,9,56.25,-0.23,-0.01
2025-04-08,17,10,58.82,10.54,0.62
2025-04-09,18,10,55.56,12.08,0.67
2025-04-11,17,9,52.94,9.08,0.53
2025-04-15,16,8,50.00,8.07,0.50
2025-04-16,17,8,47.06,8.87,0.52
2025-04-17,17,8,47.06,8.73,0.51
2025-04-21,14,7,50.00,7.66,0.55
2025-04-22,15,8,53.33,8.29,0.55
2025-04-23,16,9,56.25,8.74,0.55
2025-04-24,17,10,58.82,9.23,0.54
2025-04-25,17,10,58.82,9.33,0.55
2025-04-28,15,8,53.33,4.15,0.28
2025-04-29,16,9,56.25,5.18,0.32
2025-04-30,17,10,58.82,5.63,0.33
2025-05-02,17,11,64.71,8.09,0.48
2025-05-05,16,12,75.00,13.57,0.85
2025-05-06,17,13,76.47,13.84,0.81
2025-05-07,18,14,77.78,14.80,0.82
2025-05-08,18,14,77.78,7.06,0.39
2025-05-09,18,15,83.33,7.68,0.43
2025-05-12,17,15,88.24,12.76,0.75
2025-05-13,18,15,83.33,12.12,0.67
2025-05-14,18,15,83.33,12.12,0.67
2025-05-15,19,15,78.95,12.90,0.68
2025-05-16,19,16,84.21,12.80,0.67
2025-05-19,18,15,83.33,12.27,0.68
