date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,15,71.43,-5.57,-0.27
2025-02-03,21,14,66.67,-9.07,-0.43
2025-02-04,22,15,68.18,-5.66,-0.26
2025-02-05,23,15,65.22,-9.89,-0.43
2025-02-06,23,15,65.22,-8.76,-0.38
2025-02-07,23,15,65.22,-7.92,-0.34
2025-02-10,21,15,71.43,-0.39,-0.02
2025-02-11,22,16,72.73,0.34,0.02
2025-02-12,23,16,69.57,3.64,0.16
2025-02-13,23,16,69.57,5.25,0.23
2025-02-14,23,15,65.22,1.56,0.07
2025-02-17,21,13,61.90,1.45,0.07
2025-02-18,22,13,59.09,-0.18,-0.01
2025-02-19,22,13,59.09,-0.18,-0.01
2025-02-20,22,13,59.09,-0.03,-0.00
2025-02-21,22,13,59.09,-1.62,-0.07
2025-02-24,20,12,60.00,4.35,0.22
2025-02-25,21,13,61.90,5.35,0.25
2025-02-27,22,13,59.09,-0.90,-0.04
2025-02-28,22,12,54.55,-0.43,-0.02
2025-03-03,20,11,55.00,-0.16,-0.01
2025-03-04,20,11,55.00,-1.58,-0.08
2025-03-05,21,12,57.14,-0.60,-0.03
2025-03-06,21,12,57.14,3.68,0.18
2025-03-07,21,12,57.14,1.93,0.09
2025-03-10,19,11,57.89,3.16,0.17
2025-03-11,20,11,55.00,1.53,0.08
2025-03-12,21,12,57.14,2.04,0.10
2025-03-13,21,11,52.38,-3.13,-0.15
2025-03-17,18,11,61.11,-2.36,-0.13
2025-03-18,19,11,57.89,-4.99,-0.26
2025-03-19,20,11,55.00,-8.59,-0.43
2025-03-20,20,10,50.00,-16.85,-0.84
2025-03-21,20,11,55.00,-15.11,-0.76
2025-03-24,19,9,47.37,-19.78,-1.04
2025-03-25,20,10,50.00,-19.58,-0.98
2025-03-26,21,10,47.62,-20.74,-0.99
2025-03-27,21,11,52.38,-19.66,-0.94
2025-03-28,21,10,47.62,-18.00,-0.86
2025-04-01,20,11,55.00,-11.32,-0.57
2025-04-02,21,12,57.14,-9.42,-0.45
2025-04-03,20,11,55.00,-10.81,-0.54
2025-04-04,20,10,50.00,-17.57,-0.88
2025-04-07,18,8,44.44,-17.07,-0.95
2025-04-08,19,8,42.11,-13.90,-0.73
2025-04-09,20,9,45.00,-12.55,-0.63
2025-04-11,19,9,47.37,-8.44,-0.44
2025-04-15,18,8,44.44,-10.48,-0.58
2025-04-16,19,9,47.37,-9.91,-0.52
2025-04-17,19,8,42.11,-12.87,-0.68
2025-04-21,16,8,50.00,0.77,0.05
2025-04-22,17,9,52.94,1.07,0.06
2025-04-23,18,10,55.56,1.70,0.09
2025-04-24,18,11,61.11,6.44,0.36
2025-04-25,18,10,55.56,3.39,0.19
2025-04-28,16,10,62.50,1.32,0.08
2025-04-29,17,11,64.71,2.47,0.15
2025-04-30,18,11,61.11,0.34,0.02
2025-05-02,18,11,61.11,-0.50,-0.03
2025-05-05,17,11,64.71,3.82,0.22
2025-05-06,18,12,66.67,4.81,0.27
2025-05-07,19,13,68.42,9.23,0.49
2025-05-08,19,14,73.68,6.42,0.34
2025-05-09,19,14,73.68,3.78,0.20
2025-05-12,18,12,66.67,-1.85,-0.10
2025-05-13,19,12,63.16,-0.99,-0.05
2025-05-14,20,13,65.00,-0.86,-0.04
2025-05-15,21,14,66.67,-0.57,-0.03
2025-05-16,21,15,71.43,6.65,0.32
2025-05-19,20,14,70.00,8.20,0.41
2025-05-20,21,15,71.43,8.47,0.40
2025-05-21,22,16,72.73,9.95,0.45
2025-05-22,22,16,72.73,10.16,0.46
2025-05-23,22,15,68.18,9.77,0.44
2025-05-26,20,14,70.00,11.47,0.57
2025-05-27,21,14,66.67,14.80,0.70
2025-05-28,22,14,63.64,15.66,0.71
2025-05-29,22,14,63.64,15.22,0.69
2025-05-30,22,14,63.64,14.17,0.64
2025-06-02,21,14,66.67,16.62,0.79
2025-06-03,22,14,63.64,16.14,0.73
2025-06-04,23,15,65.22,16.72,0.73
