date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,20,13,65.00,-5.61,-0.28
2025-02-03,19,12,63.16,-6.05,-0.32
2025-02-04,20,12,60.00,-7.01,-0.35
2025-02-05,21,12,57.14,-8.20,-0.39
2025-02-06,21,12,57.14,-9.63,-0.46
2025-02-07,21,12,57.14,-9.45,-0.45
2025-02-10,18,11,61.11,-6.87,-0.38
2025-02-11,19,12,63.16,-6.32,-0.33
2025-02-12,20,12,60.00,-7.74,-0.39
2025-02-13,20,11,55.00,-7.56,-0.38
2025-02-14,19,11,57.89,-2.89,-0.15
2025-02-17,16,9,56.25,-3.67,-0.23
2025-02-18,17,10,58.82,-3.03,-0.18
2025-02-19,18,10,55.56,-5.98,-0.33
2025-02-20,18,10,55.56,-5.69,-0.32
2025-02-21,18,9,50.00,-6.76,-0.38
2025-02-24,16,8,50.00,-5.29,-0.33
2025-02-25,17,8,47.06,-8.86,-0.52
2025-02-27,17,9,52.94,-5.49,-0.32
2025-02-28,17,9,52.94,-7.02,-0.41
2025-03-03,17,8,47.06,-11.36,-0.67
2025-03-04,17,8,47.06,-10.97,-0.65
2025-03-05,18,9,50.00,-10.18,-0.57
2025-03-06,18,10,55.56,-8.97,-0.50
2025-03-07,18,10,55.56,-8.15,-0.45
2025-03-10,17,8,47.06,-10.92,-0.64
2025-03-11,18,9,50.00,-10.75,-0.60
2025-03-12,19,9,47.37,-9.43,-0.50
2025-03-13,19,9,47.37,-9.86,-0.52
2025-03-17,18,10,55.56,-8.83,-0.49
2025-03-18,19,10,52.63,-10.23,-0.54
2025-03-19,20,10,50.00,-11.98,-0.60
2025-03-20,20,10,50.00,-12.25,-0.61
2025-03-21,20,10,50.00,-8.96,-0.45
2025-03-24,18,9,50.00,-7.24,-0.40
2025-03-25,19,9,47.37,-8.53,-0.45
2025-03-26,20,10,50.00,-6.61,-0.33
2025-03-27,20,11,55.00,-2.50,-0.12
2025-03-28,20,11,55.00,-2.29,-0.11
2025-04-01,19,11,57.89,1.45,0.08
2025-04-02,20,11,55.00,0.36,0.02
2025-04-03,20,11,55.00,-0.10,-0.01
2025-04-04,20,10,50.00,-1.98,-0.10
2025-04-07,18,9,50.00,-3.87,-0.21
2025-04-08,19,9,47.37,0.18,0.01
2025-04-09,20,9,45.00,0.09,0.00
2025-04-11,19,9,47.37,-0.31,-0.02
2025-04-15,18,7,38.89,-0.54,-0.03
2025-04-16,19,7,36.84,-0.37,-0.02
2025-04-17,19,8,42.11,1.30,0.07
2025-04-21,16,6,37.50,1.57,0.10
2025-04-22,17,6,35.29,-0.33,-0.02
2025-04-23,18,7,38.89,-0.11,-0.01
2025-04-24,18,7,38.89,-1.95,-0.11
2025-04-25,18,7,38.89,-2.10,-0.12
2025-04-28,16,6,37.50,-1.96,-0.12
2025-04-29,17,7,41.18,-1.71,-0.10
2025-04-30,18,7,38.89,-3.88,-0.22
2025-05-02,18,8,44.44,-2.54,-0.14
2025-05-05,15,7,46.67,1.94,0.13
2025-05-06,16,8,50.00,2.36,0.15
2025-05-07,17,9,52.94,2.74,0.16
2025-05-08,17,10,58.82,0.59,0.03
2025-05-09,17,11,64.71,0.93,0.05
2025-05-12,16,11,68.75,2.01,0.13
2025-05-13,17,11,64.71,-2.28,-0.13
2025-05-14,18,11,61.11,-1.31,-0.07
2025-05-15,19,12,63.16,-1.19,-0.06
2025-05-16,19,13,68.42,-0.96,-0.05
2025-05-19,18,12,66.67,-2.31,-0.13
2025-05-20,18,12,66.67,-2.31,-0.13
2025-05-21,19,13,68.42,-1.97,-0.10
2025-05-22,18,13,72.22,-0.07,-0.00
2025-05-23,18,13,72.22,0.36,0.02
2025-05-26,16,12,75.00,2.32,0.14
2025-05-27,17,13,76.47,2.45,0.14
2025-05-28,18,14,77.78,2.56,0.14
2025-05-29,18,14,77.78,3.15,0.17
2025-05-30,18,14,77.78,5.71,0.32
2025-06-02,18,13,72.22,4.25,0.24
2025-06-03,19,14,73.68,4.64,0.24
2025-06-04,20,15,75.00,5.19,0.26
2025-06-05,20,15,75.00,5.33,0.27
2025-06-06,20,15,75.00,5.73,0.29
2025-06-09,18,13,72.22,1.80,0.10
2025-06-10,19,13,68.42,0.86,0.05
2025-06-11,20,14,70.00,1.22,0.06
2025-06-12,20,15,75.00,6.07,0.30
2025-06-13,20,16,80.00,5.54,0.28
2025-06-16,18,15,83.33,7.65,0.43
2025-06-17,18,15,83.33,7.65,0.43
2025-06-18,19,15,78.95,6.53,0.34
2025-06-19,19,15,78.95,6.53,0.34
2025-06-20,19,14,73.68,4.65,0.24
2025-06-23,18,13,72.22,3.73,0.21
2025-06-24,19,14,73.68,4.18,0.22
2025-06-25,20,15,75.00,5.11,0.26
2025-06-26,19,14,73.68,4.98,0.26
2025-06-27,19,14,73.68,5.39,0.28
2025-06-30,17,14,82.35,5.57,0.33
2025-07-01,18,14,77.78,5.52,0.31
2025-07-02,19,15,78.95,5.98,0.31
2025-07-03,18,14,77.78,5.59,0.31
2025-07-04,18,14,77.78,5.21,0.29
2025-07-07,15,11,73.33,3.46,0.23
2025-07-08,15,11,73.33,3.46,0.23
2025-07-09,16,12,75.00,3.57,0.22
2025-07-10,15,12,80.00,4.51,0.30
2025-07-11,15,12,80.00,4.44,0.30
2025-07-14,13,9,69.23,0.09,0.01
2025-07-15,14,9,64.29,-0.76,-0.05
2025-07-16,15,9,60.00,-2.42,-0.16
2025-07-17,16,9,56.25,-3.67,-0.23
2025-07-18,16,10,62.50,-2.16,-0.13
2025-07-21,15,10,66.67,-0.89,-0.06
2025-07-22,16,11,68.75,-0.74,-0.05
2025-07-23,17,12,70.59,-0.48,-0.03
2025-07-24,17,12,70.59,-0.45,-0.03
2025-07-25,17,12,70.59,-0.45,-0.03
2025-07-28,16,11,68.75,-0.61,-0.04
2025-07-29,17,12,70.59,0.03,0.00
2025-07-30,18,13,72.22,0.53,0.03
2025-07-31,17,13,76.47,0.58,0.03
2025-08-01,17,13,76.47,0.80,0.05
2025-08-04,17,12,70.59,-0.97,-0.06
2025-08-05,18,13,72.22,-0.46,-0.03
2025-08-06,19,14,73.68,0.56,0.03
2025-08-07,20,15,75.00,1.14,0.06
2025-08-08,20,15,75.00,2.09,0.10
2025-08-11,19,15,78.95,2.96,0.16
2025-08-12,20,16,80.00,3.15,0.16
2025-08-13,21,16,76.19,2.36,0.11
2025-08-14,21,17,80.95,3.64,0.17
2025-08-18,18,15,83.33,6.69,0.37
2025-08-19,19,15,78.95,5.70,0.30
2025-08-20,20,16,80.00,5.92,0.30
2025-08-21,19,15,78.95,5.77,0.30
2025-08-22,19,15,78.95,5.86,0.31
2025-08-25,17,13,76.47,4.36,0.26
2025-08-26,18,13,72.22,3.60,0.20
2025-08-28,18,12,66.67,1.27,0.07
2025-08-29,18,11,61.11,-0.06,-0.00
2025-09-01,16,10,62.50,0.86,0.05
2025-09-02,16,10,62.50,0.86,0.05
2025-09-03,17,11,64.71,1.08,0.06
2025-09-04,17,10,58.82,-0.27,-0.02
2025-09-05,17,10,58.82,-0.11,-0.01
2025-09-08,15,8,53.33,-1.84,-0.12
2025-09-09,16,9,56.25,-1.46,-0.09
2025-09-10,17,10,58.82,-0.80,-0.05
2025-09-11,17,9,52.94,-2.91,-0.17
2025-09-12,17,9,52.94,-2.86,-0.17
2025-09-15,16,8,50.00,-4.63,-0.29
2025-09-16,17,9,52.94,-4.29,-0.25
2025-09-17,18,10,55.56,-3.85,-0.21
2025-09-18,18,10,55.56,-3.73,-0.21
2025-09-19,18,9,50.00,-5.32,-0.30
2025-09-22,17,8,47.06,-5.56,-0.33
2025-09-23,18,8,44.44,-7.34,-0.41
2025-09-24,19,9,47.37,-7.21,-0.38
2025-09-25,19,10,52.63,-6.29,-0.33
2025-09-26,19,11,57.89,-4.06,-0.21
2025-09-29,19,11,57.89,-5.87,-0.31
2025-09-30,19,11,57.89,-5.87,-0.31
2025-10-01,19,11,57.89,-5.87,-0.31
2025-10-03,19,11,57.89,-5.90,-0.31
2025-10-06,17,9,52.94,-6.31,-0.37
2025-10-07,17,9,52.94,-6.31,-0.37
2025-10-08,18,9,50.00,-4.41,-0.24
2025-10-09,17,8,47.06,-4.79,-0.28
2025-10-10,17,8,47.06,-5.14,-0.30
2025-10-13,15,9,60.00,-0.98,-0.07
2025-10-14,15,9,60.00,-0.98,-0.07
2025-10-15,16,10,62.50,0.66,0.04
2025-10-16,16,10,62.50,1.06,0.07
2025-10-17,16,9,56.25,0.71,0.04
2025-10-20,14,9,64.29,4.35,0.31
2025-10-21,15,10,66.67,4.97,0.33
