date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,16,72.73,-4.02,-0.18
2025-02-03,21,15,71.43,-2.66,-0.13
2025-02-04,22,15,68.18,-6.81,-0.31
2025-02-05,23,16,69.57,-6.64,-0.29
2025-02-06,23,17,73.91,-1.42,-0.06
2025-02-07,23,17,73.91,-2.82,-0.12
2025-02-10,21,15,71.43,-4.53,-0.22
2025-02-11,22,16,72.73,-3.29,-0.15
2025-02-12,23,16,69.57,-4.81,-0.21
2025-02-13,23,17,73.91,2.83,0.12
2025-02-14,23,16,69.57,0.59,0.03
2025-02-17,21,15,71.43,-1.28,-0.06
2025-02-18,22,15,68.18,-4.27,-0.19
2025-02-19,23,15,65.22,-10.21,-0.44
2025-02-20,23,15,65.22,-8.02,-0.35
2025-02-21,23,15,65.22,-9.15,-0.40
2025-02-24,21,14,66.67,-6.91,-0.33
2025-02-25,22,15,68.18,-3.13,-0.14
2025-02-27,22,16,72.73,0.10,0.00
2025-02-28,22,15,68.18,-1.88,-0.09
2025-03-03,20,14,70.00,-0.33,-0.02
2025-03-04,20,13,65.00,-2.48,-0.12
2025-03-05,21,14,66.67,-1.70,-0.08
2025-03-06,21,15,71.43,4.01,0.19
2025-03-07,21,14,66.67,5.31,0.25
2025-03-10,19,12,63.16,4.46,0.23
2025-03-11,20,13,65.00,5.67,0.28
2025-03-12,21,13,61.90,5.53,0.26
2025-03-13,21,13,61.90,5.61,0.27
2025-03-17,18,12,66.67,6.14,0.34
2025-03-18,19,13,68.42,6.47,0.34
2025-03-19,20,13,65.00,5.10,0.26
2025-03-20,20,13,65.00,-2.65,-0.13
2025-03-21,20,14,70.00,7.10,0.35
2025-03-24,18,12,66.67,4.05,0.22
2025-03-25,19,12,63.16,2.49,0.13
2025-03-26,20,13,65.00,2.87,0.14
2025-03-27,20,13,65.00,-0.42,-0.02
2025-03-28,20,13,65.00,-0.15,-0.01
2025-04-01,19,13,68.42,0.62,0.03
2025-04-02,20,13,65.00,-1.53,-0.08
2025-04-03,20,13,65.00,-0.63,-0.03
2025-04-04,19,12,63.16,-1.41,-0.07
2025-04-07,17,10,58.82,-6.38,-0.38
2025-04-08,18,10,55.56,-2.28,-0.13
2025-04-09,19,10,52.63,-0.08,-0.00
2025-04-11,18,10,55.56,-0.31,-0.02
2025-04-15,17,8,47.06,-1.26,-0.07
2025-04-16,18,8,44.44,-8.50,-0.47
2025-04-17,18,8,44.44,-7.57,-0.42
2025-04-21,15,6,40.00,1.39,0.09
2025-04-22,16,7,43.75,1.96,0.12
2025-04-23,17,8,47.06,2.52,0.15
2025-04-24,16,8,50.00,4.08,0.25
2025-04-25,16,8,50.00,4.19,0.26
2025-04-28,14,5,35.71,-0.80,-0.06
2025-04-29,14,5,35.71,-0.80,-0.06
2025-04-30,15,5,33.33,-8.60,-0.57
2025-05-02,15,6,40.00,-2.85,-0.19
2025-05-05,14,7,50.00,-1.51,-0.11
2025-05-06,15,8,53.33,0.65,0.04
2025-05-07,16,9,56.25,2.18,0.14
2025-05-08,16,10,62.50,1.68,0.10
2025-05-09,16,11,68.75,1.45,0.09
2025-05-12,15,11,73.33,1.66,0.11
2025-05-13,16,12,75.00,6.08,0.38
2025-05-14,17,13,76.47,6.68,0.39
2025-05-15,18,13,72.22,7.53,0.42
2025-05-16,18,14,77.78,15.97,0.89
2025-05-19,17,13,76.47,3.32,0.20
2025-05-20,18,14,77.78,6.77,0.38
2025-05-21,19,15,78.95,7.56,0.40
2025-05-22,19,15,78.95,7.69,0.40
2025-05-23,19,14,73.68,4.96,0.26
2025-05-26,18,14,77.78,8.04,0.45
2025-05-27,19,15,78.95,8.30,0.44
2025-05-28,20,16,80.00,8.51,0.43
2025-05-29,21,17,80.95,9.24,0.44
2025-05-30,21,17,80.95,15.34,0.73
2025-06-02,20,15,75.00,11.33,0.57
2025-06-03,21,15,71.43,8.80,0.42
2025-06-04,22,16,72.73,9.22,0.42
2025-06-05,22,16,72.73,7.45,0.34
2025-06-06,22,15,68.18,5.86,0.27
2025-06-09,20,13,65.00,-0.21,-0.01
2025-06-10,20,13,65.00,-0.21,-0.01
2025-06-11,20,13,65.00,-0.21,-0.01
2025-06-12,20,13,65.00,-4.41,-0.22
2025-06-13,20,13,65.00,-4.19,-0.21
2025-06-16,18,13,72.22,7.99,0.44
2025-06-17,19,14,73.68,8.10,0.43
2025-06-18,20,14,70.00,3.73,0.19
2025-06-19,20,14,70.00,1.09,0.05
2025-06-20,20,14,70.00,1.13,0.06
2025-06-23,18,12,66.67,2.26,0.13
2025-06-24,19,12,63.16,-0.24,-0.01
2025-06-25,20,13,65.00,0.74,0.04
2025-06-26,20,13,65.00,0.61,0.03
2025-06-27,20,13,65.00,1.46,0.07
2025-06-30,18,13,72.22,2.58,0.14
2025-07-01,19,13,68.42,2.41,0.13
2025-07-02,20,13,65.00,2.26,0.11
2025-07-03,20,14,70.00,5.08,0.25
2025-07-04,20,14,70.00,5.05,0.25
2025-07-07,18,12,66.67,3.33,0.19
2025-07-08,19,12,63.16,1.97,0.10
2025-07-09,20,13,65.00,2.75,0.14
2025-07-10,21,13,61.90,2.71,0.13
2025-07-11,22,13,59.09,1.77,0.08
2025-07-14,20,11,55.00,-2.25,-0.11
2025-07-15,21,11,52.38,-3.52,-0.17
2025-07-16,22,12,54.55,-3.38,-0.15
2025-07-17,21,11,52.38,-3.49,-0.17
2025-07-18,21,12,57.14,1.03,0.05
2025-07-21,19,11,57.89,-0.75,-0.04
2025-07-22,20,11,55.00,-1.77,-0.09
2025-07-23,21,12,57.14,-1.25,-0.06
2025-07-24,21,12,57.14,0.49,0.02
2025-07-25,21,11,52.38,-1.33,-0.06
2025-07-28,19,9,47.37,-2.65,-0.14
2025-07-29,20,9,45.00,-6.16,-0.31
2025-07-30,21,9,42.86,-5.33,-0.25
2025-07-31,21,9,42.86,-6.54,-0.31
2025-08-01,21,10,47.62,-6.01,-0.29
2025-08-04,19,9,47.37,-6.28,-0.33
2025-08-05,20,10,50.00,-5.07,-0.25
2025-08-06,21,10,47.62,-7.41,-0.35
2025-08-07,21,11,52.38,-4.02,-0.19
2025-08-08,21,10,47.62,-4.08,-0.19
2025-08-11,19,10,52.63,-2.94,-0.15
2025-08-12,20,11,55.00,-1.42,-0.07
2025-08-13,21,12,57.14,-1.03,-0.05
2025-08-14,21,12,57.14,-0.94,-0.04
2025-08-18,19,10,52.63,-1.99,-0.10
2025-08-19,20,11,55.00,-0.29,-0.01
2025-08-20,21,12,57.14,-0.16,-0.01
2025-08-21,21,13,61.90,1.25,0.06
2025-08-22,21,12,57.14,1.24,0.06
2025-08-25,19,11,57.89,0.52,0.03
2025-08-26,20,11,55.00,2.12,0.11
2025-08-28,20,11,55.00,3.92,0.20
2025-08-29,20,11,55.00,1.74,0.09
2025-09-01,18,10,55.56,3.76,0.21
2025-09-02,19,11,57.89,4.43,0.23
2025-09-03,20,11,55.00,1.68,0.08
2025-09-04,20,11,55.00,1.47,0.07
2025-09-05,19,11,57.89,3.81,0.20
2025-09-08,17,9,52.94,0.09,0.01
2025-09-09,17,9,52.94,0.09,0.01
2025-09-10,18,10,55.56,0.40,0.02
2025-09-11,18,9,50.00,-3.77,-0.21
2025-09-12,18,8,44.44,-4.16,-0.23
2025-09-15,17,7,41.18,-7.33,-0.43
2025-09-16,18,7,38.89,-6.45,-0.36
2025-09-17,19,8,42.11,-6.26,-0.33
2025-09-18,19,7,36.84,-9.72,-0.51
2025-09-19,19,7,36.84,-9.33,-0.49
2025-09-22,17,7,41.18,-7.47,-0.44
2025-09-23,18,8,44.44,-6.39,-0.36
2025-09-24,19,8,42.11,-7.53,-0.40
2025-09-25,19,9,47.37,-8.67,-0.46
2025-09-26,19,10,52.63,-6.66,-0.35
2025-09-29,18,9,50.00,-9.75,-0.54
