date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,0,0.00,-10.03,-0.44
2025-02-03,22,0,0.00,-7.92,-0.36
2025-02-04,23,0,0.00,-5.39,-0.23
2025-02-05,24,0,0.00,-2.00,-0.08
2025-02-06,24,0,0.00,2.60,0.11
2025-02-07,24,0,0.00,-0.58,-0.02
2025-02-10,22,0,0.00,2.18,0.10
2025-02-11,23,0,0.00,-2.92,-0.13
2025-02-12,24,0,0.00,-2.29,-0.10
2025-02-13,24,0,0.00,-3.02,-0.13
2025-02-14,24,0,0.00,-9.24,-0.39
2025-02-17,22,0,0.00,-11.76,-0.53
2025-02-18,23,0,0.00,-13.57,-0.59
2025-02-19,24,0,0.00,-9.89,-0.41
2025-02-20,24,0,0.00,-8.27,-0.34
2025-02-21,24,0,0.00,-2.38,-0.10
2025-02-24,22,0,0.00,-5.48,-0.25
2025-02-25,23,0,0.00,-6.11,-0.27
2025-02-27,23,0,0.00,-6.99,-0.30
2025-02-28,23,0,0.00,-10.99,-0.48
2025-03-03,21,0,0.00,-19.13,-0.91
2025-03-04,21,0,0.00,-20.00,-0.95
2025-03-05,22,0,0.00,-17.72,-0.81
2025-03-06,22,0,0.00,-19.35,-0.88
2025-03-07,22,0,0.00,-21.45,-0.97
2025-03-10,20,0,0.00,-26.72,-1.34
2025-03-11,21,0,0.00,-21.21,-1.01
2025-03-12,22,0,0.00,-20.26,-0.92
2025-03-13,22,0,0.00,-15.75,-0.72
2025-03-17,19,0,0.00,-5.29,-0.28
2025-03-18,20,0,0.00,-3.19,-0.16
2025-03-19,21,0,0.00,-1.53,-0.07
2025-03-20,21,0,0.00,-0.89,-0.04
2025-03-21,21,0,0.00,2.41,0.11
2025-03-24,19,0,0.00,-2.30,-0.12
2025-03-25,20,0,0.00,-7.37,-0.37
2025-03-26,21,0,0.00,-7.66,-0.36
2025-03-27,21,0,0.00,-5.89,-0.28
2025-03-28,21,0,0.00,-5.17,-0.25
2025-04-01,20,0,0.00,1.87,0.09
2025-04-02,21,0,0.00,4.16,0.20
2025-04-03,21,0,0.00,9.31,0.44
2025-04-04,21,0,0.00,3.93,0.19
2025-04-07,19,0,0.00,13.03,0.69
2025-04-08,20,0,0.00,14.69,0.73
2025-04-09,21,0,0.00,15.07,0.72
2025-04-11,20,0,0.00,14.74,0.74
2025-04-15,19,0,0.00,13.58,0.71
