date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,15,68.18,5.81,0.26
2025-02-03,21,14,66.67,4.82,0.23
2025-02-04,22,15,68.18,5.58,0.25
2025-02-05,23,15,65.22,6.90,0.30
2025-02-06,23,16,69.57,8.73,0.38
2025-02-07,23,16,69.57,8.46,0.37
2025-02-10,21,15,71.43,8.58,0.41
2025-02-11,22,15,68.18,6.60,0.30
2025-02-12,22,15,68.18,6.60,0.30
2025-02-13,22,16,72.73,5.95,0.27
2025-02-14,22,15,68.18,3.49,0.16
2025-02-17,20,15,75.00,7.21,0.36
2025-02-18,21,16,76.19,7.58,0.36
2025-02-19,22,17,77.27,8.06,0.37
2025-02-20,22,17,77.27,8.74,0.40
2025-02-21,22,17,77.27,8.78,0.40
2025-02-24,20,14,70.00,7.53,0.38
2025-02-25,21,15,71.43,8.20,0.39
2025-02-27,21,16,76.19,10.10,0.48
2025-02-28,21,16,76.19,9.71,0.46
2025-03-03,20,15,75.00,8.66,0.43
2025-03-04,20,15,75.00,8.46,0.42
2025-03-05,21,16,76.19,9.15,0.44
2025-03-06,21,16,76.19,9.19,0.44
2025-03-07,21,16,76.19,8.57,0.41
2025-03-10,19,15,78.95,5.84,0.31
2025-03-11,20,15,75.00,1.98,0.10
2025-03-12,21,16,76.19,2.59,0.12
2025-03-13,21,16,76.19,2.84,0.14
2025-03-17,19,15,78.95,4.48,0.24
2025-03-18,20,15,75.00,1.99,0.10
2025-03-19,21,15,71.43,-0.40,-0.02
2025-03-20,21,14,66.67,-5.11,-0.24
2025-03-21,20,13,65.00,-5.48,-0.27
2025-03-24,18,10,55.56,-7.95,-0.44
2025-03-25,19,11,57.89,-7.15,-0.38
2025-03-26,19,11,57.89,-7.15,-0.38
2025-03-27,19,12,63.16,-7.03,-0.37
2025-03-28,19,11,57.89,-7.33,-0.39
2025-04-01,18,10,55.56,-6.50,-0.36
2025-04-02,18,10,55.56,-6.50,-0.36
2025-04-03,18,11,61.11,-2.61,-0.14
2025-04-04,17,10,58.82,-3.50,-0.21
2025-04-07,15,7,46.67,-0.50,-0.03
2025-04-08,16,8,50.00,-0.07,-0.00
2025-04-09,16,8,50.00,-0.07,-0.00
2025-04-11,15,7,46.67,4.13,0.28
2025-04-15,14,6,42.86,3.82,0.27
2025-04-16,15,6,40.00,2.84,0.19
2025-04-17,15,7,46.67,4.75,0.32
2025-04-21,13,7,53.85,11.02,0.85
2025-04-22,14,8,57.14,12.26,0.88
2025-04-23,14,8,57.14,12.26,0.88
2025-04-24,14,9,64.29,14.21,1.01
2025-04-25,14,8,57.14,11.64,0.83
2025-04-28,12,7,58.33,11.17,0.93
2025-04-29,13,7,53.85,9.91,0.76
2025-04-30,14,8,57.14,10.22,0.73
2025-05-02,14,8,57.14,7.75,0.55
2025-05-05,14,8,57.14,6.11,0.44
2025-05-06,15,9,60.00,6.75,0.45
2025-05-07,16,10,62.50,7.56,0.47
2025-05-08,16,11,68.75,4.57,0.29
2025-05-09,16,10,62.50,5.08,0.32
2025-05-12,16,10,62.50,5.30,0.33
2025-05-13,17,11,64.71,5.52,0.32
2025-05-14,18,11,61.11,4.11,0.23
2025-05-15,19,12,63.16,4.43,0.23
2025-05-16,19,12,63.16,4.06,0.21
2025-05-19,18,12,66.67,4.70,0.26
2025-05-20,19,13,68.42,5.50,0.29
2025-05-21,20,14,70.00,6.05,0.30
2025-05-22,20,15,75.00,6.63,0.33
2025-05-23,20,14,70.00,1.50,0.08
2025-05-26,19,13,68.42,1.97,0.10
2025-05-27,20,14,70.00,2.15,0.11
2025-05-28,21,14,66.67,0.93,0.04
2025-05-29,22,14,63.64,1.65,0.07
2025-05-30,22,14,63.64,2.10,0.10
2025-06-02,20,12,60.00,1.27,0.06
2025-06-03,20,12,60.00,1.27,0.06
2025-06-04,21,13,61.90,2.25,0.11
2025-06-05,21,13,61.90,1.83,0.09
2025-06-06,21,13,61.90,1.46,0.07
2025-06-09,19,12,63.16,-0.97,-0.05
2025-06-10,20,13,65.00,-0.47,-0.02
2025-06-11,21,13,61.90,-1.45,-0.07
2025-06-12,20,13,65.00,-2.36,-0.12
2025-06-13,20,13,65.00,-1.22,-0.06
2025-06-16,18,11,61.11,-2.97,-0.16
2025-06-17,19,11,57.89,-2.92,-0.15
2025-06-18,19,11,57.89,-2.92,-0.15
2025-06-19,19,11,57.89,-2.48,-0.13
2025-06-20,19,11,57.89,-2.95,-0.16
2025-06-23,17,10,58.82,0.28,0.02
2025-06-24,18,11,61.11,0.68,0.04
2025-06-25,19,12,63.16,1.33,0.07
2025-06-26,19,13,68.42,2.15,0.11
2025-06-27,19,13,68.42,2.48,0.13
2025-06-30,17,14,82.35,4.31,0.25
2025-07-01,17,14,82.35,4.31,0.25
2025-07-02,18,15,83.33,4.96,0.28
2025-07-03,19,16,84.21,5.33,0.28
2025-07-04,20,17,85.00,6.20,0.31
2025-07-07,18,15,83.33,4.91,0.27
2025-07-08,19,16,84.21,5.43,0.29
2025-07-09,20,17,85.00,5.91,0.30
2025-07-10,19,16,84.21,5.51,0.29
2025-07-11,19,16,84.21,5.39,0.28
2025-07-14,18,16,88.89,5.68,0.32
2025-07-15,18,16,88.89,5.68,0.32
2025-07-16,19,17,89.47,6.09,0.32
2025-07-17,18,17,94.44,8.46,0.47
2025-07-18,18,17,94.44,7.78,0.43
2025-07-21,17,16,94.12,7.37,0.43
2025-07-22,18,17,94.44,7.68,0.43
2025-07-23,19,18,94.74,8.26,0.43
2025-07-24,19,17,89.47,7.65,0.40
2025-07-25,19,17,89.47,7.46,0.39
2025-07-28,17,15,88.24,6.16,0.36
2025-07-29,18,15,83.33,4.87,0.27
2025-07-30,18,15,83.33,4.87,0.27
2025-07-31,18,15,83.33,4.63,0.26
2025-08-01,19,15,78.95,2.75,0.14
2025-08-04,17,13,76.47,2.84,0.17
2025-08-05,18,14,77.78,3.28,0.18
2025-08-06,18,14,77.78,3.28,0.18
2025-08-07,18,13,72.22,2.04,0.11
2025-08-08,18,12,66.67,1.01,0.06
2025-08-11,17,11,64.71,0.48,0.03
2025-08-12,18,12,66.67,0.79,0.04
2025-08-13,19,13,68.42,1.14,0.06
2025-08-14,19,13,68.42,0.64,0.03
2025-08-18,18,12,66.67,-0.12,-0.01
2025-08-19,19,12,63.16,-0.33,-0.02
2025-08-20,20,13,65.00,-0.20,-0.01
2025-08-21,20,12,60.00,-0.51,-0.03
2025-08-22,20,12,60.00,-0.40,-0.02
2025-08-25,17,10,58.82,-0.79,-0.05
2025-08-26,18,11,61.11,-0.19,-0.01
2025-08-28,18,11,61.11,-0.32,-0.02
