date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,20,11,55.00,-6.88,-0.34
2025-02-03,20,11,55.00,-5.28,-0.26
2025-02-04,21,11,52.38,-5.75,-0.27
2025-02-05,22,12,54.55,-3.73,-0.17
2025-02-06,22,11,50.00,-5.29,-0.24
2025-02-07,22,11,50.00,-7.24,-0.33
2025-02-10,20,10,50.00,-1.09,-0.05
2025-02-11,21,10,47.62,-2.44,-0.12
2025-02-12,22,10,45.45,-4.89,-0.22
2025-02-13,22,10,45.45,-3.43,-0.16
2025-02-14,22,9,40.91,-5.34,-0.24
2025-02-17,20,7,35.00,-13.22,-0.66
2025-02-18,21,7,33.33,-13.96,-0.66
2025-02-19,22,8,36.36,-8.64,-0.39
2025-02-20,22,8,36.36,-8.64,-0.39
2025-02-21,22,8,36.36,-9.50,-0.43
2025-02-24,21,8,38.10,-7.10,-0.34
2025-02-25,22,8,36.36,-9.72,-0.44
2025-02-27,22,9,40.91,-5.77,-0.26
2025-02-28,22,8,36.36,-12.13,-0.55
2025-03-03,20,7,35.00,-6.03,-0.30
2025-03-04,19,6,31.58,-7.82,-0.41
2025-03-05,20,7,35.00,-7.08,-0.35
2025-03-06,20,8,40.00,-6.03,-0.30
2025-03-07,20,7,35.00,-10.34,-0.52
2025-03-10,17,7,41.18,-7.15,-0.42
2025-03-11,18,8,44.44,-6.33,-0.35
2025-03-12,19,8,42.11,-5.17,-0.27
2025-03-13,19,9,47.37,-1.47,-0.08
2025-03-17,16,10,62.50,8.13,0.51
2025-03-18,17,11,64.71,8.45,0.50
2025-03-19,18,12,66.67,9.14,0.51
2025-03-20,18,12,66.67,5.58,0.31
2025-03-21,18,12,66.67,1.83,0.10
2025-03-24,16,10,62.50,0.55,0.03
2025-03-25,17,10,58.82,-0.30,-0.02
2025-03-26,18,11,61.11,0.04,0.00
2025-03-27,18,12,66.67,4.34,0.24
2025-03-28,18,12,66.67,5.60,0.31
2025-04-01,17,12,70.59,3.83,0.23
2025-04-02,18,13,72.22,8.20,0.46
2025-04-03,19,14,73.68,8.92,0.47
2025-04-04,19,14,73.68,9.54,0.50
2025-04-07,18,14,77.78,11.82,0.66
2025-04-08,19,14,73.68,20.25,1.07
2025-04-09,20,14,70.00,21.82,1.09
2025-04-11,19,14,73.68,20.38,1.07
2025-04-15,18,12,66.67,17.70,0.98
2025-04-16,19,12,63.16,14.27,0.75
2025-04-17,19,11,57.89,13.14,0.69
2025-04-21,15,8,53.33,13.29,0.89
2025-04-22,16,9,56.25,13.60,0.85
2025-04-23,17,9,52.94,12.68,0.75
2025-04-24,16,9,56.25,13.53,0.85
2025-04-25,15,8,53.33,13.19,0.88
2025-04-28,13,6,46.15,7.73,0.59
2025-04-29,14,6,42.86,7.58,0.54
2025-04-30,15,7,46.67,10.40,0.69
2025-05-02,15,6,40.00,3.28,0.22
2025-05-05,13,4,30.77,0.74,0.06
2025-05-06,14,5,35.71,1.44,0.10
2025-05-07,15,6,40.00,1.90,0.13
2025-05-08,15,6,40.00,-2.90,-0.19
2025-05-09,15,7,46.67,-3.21,-0.21
2025-05-12,14,6,42.86,0.13,0.01
2025-05-13,15,6,40.00,-3.92,-0.26
2025-05-14,16,6,37.50,-4.15,-0.26
