date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,8,36.36,-5.96,-0.27
2025-02-03,21,8,38.10,-4.95,-0.24
2025-02-04,22,8,36.36,-7.36,-0.33
2025-02-05,23,9,39.13,-7.01,-0.30
2025-02-06,23,10,43.48,-1.77,-0.08
2025-02-07,23,9,39.13,-6.71,-0.29
2025-02-10,21,9,42.86,-4.03,-0.19
2025-02-11,22,9,40.91,-8.84,-0.40
2025-02-12,23,10,43.48,-7.77,-0.34
2025-02-13,23,10,43.48,-1.13,-0.05
2025-02-14,23,11,47.83,-4.05,-0.18
2025-02-17,21,10,47.62,-4.38,-0.21
2025-02-18,22,10,45.45,-4.41,-0.20
2025-02-19,23,11,47.83,-3.96,-0.17
2025-02-20,23,11,47.83,-4.01,-0.17
2025-02-21,23,10,43.48,-9.22,-0.40
2025-02-24,21,9,42.86,-11.94,-0.57
2025-02-25,22,9,40.91,-16.06,-0.73
2025-02-27,22,9,40.91,-19.41,-0.88
2025-02-28,22,9,40.91,-15.67,-0.71
2025-03-03,20,9,45.00,-17.88,-0.89
2025-03-04,20,10,50.00,-15.04,-0.75
2025-03-05,21,11,52.38,-14.18,-0.68
2025-03-06,21,12,57.14,-11.61,-0.55
2025-03-07,21,11,52.38,-12.25,-0.58
2025-03-10,18,9,50.00,-13.71,-0.76
2025-03-11,19,10,52.63,-13.35,-0.70
2025-03-12,20,10,50.00,-10.77,-0.54
2025-03-13,20,11,55.00,-4.51,-0.23
2025-03-17,17,9,52.94,-9.68,-0.57
2025-03-18,18,10,55.56,-9.31,-0.52
2025-03-19,18,10,55.56,-9.31,-0.52
2025-03-20,18,11,61.11,-7.87,-0.44
2025-03-21,18,11,61.11,-7.57,-0.42
2025-03-24,16,11,68.75,0.63,0.04
2025-03-25,17,11,64.71,0.77,0.05
2025-03-26,18,12,66.67,1.06,0.06
2025-03-27,18,13,72.22,6.22,0.35
2025-03-28,18,13,72.22,11.42,0.63
2025-04-01,17,13,76.47,11.32,0.67
2025-04-02,18,14,77.78,12.81,0.71
2025-04-03,18,13,72.22,11.85,0.66
2025-04-04,18,13,72.22,11.45,0.64
2025-04-07,17,12,70.59,3.72,0.22
2025-04-08,18,12,66.67,4.88,0.27
2025-04-09,19,13,68.42,9.42,0.50
2025-04-11,18,12,66.67,6.22,0.35
2025-04-15,17,11,64.71,8.30,0.49
2025-04-16,18,12,66.67,8.66,0.48
2025-04-17,18,11,61.11,8.88,0.49
2025-04-21,16,9,56.25,6.77,0.42
2025-04-22,17,9,52.94,2.67,0.16
2025-04-23,18,10,55.56,4.75,0.26
2025-04-24,18,11,61.11,5.27,0.29
2025-04-25,18,10,55.56,4.52,0.25
2025-04-28,15,8,53.33,2.80,0.19
2025-04-29,16,9,56.25,3.70,0.23
2025-04-30,17,10,58.82,4.79,0.28
2025-05-02,17,10,58.82,4.16,0.24
2025-05-05,15,10,66.67,12.32,0.82
2025-05-06,16,11,68.75,12.60,0.79
2025-05-07,17,12,70.59,12.73,0.75
2025-05-08,17,13,76.47,15.00,0.88
2025-05-09,17,13,76.47,10.99,0.65
2025-05-12,16,12,75.00,10.89,0.68
2025-05-13,17,12,70.59,6.76,0.40
2025-05-14,18,13,72.22,8.85,0.49
2025-05-15,19,14,73.68,9.63,0.51
2025-05-16,19,13,68.42,6.66,0.35
2025-05-19,18,13,72.22,5.86,0.33
2025-05-20,19,14,73.68,6.22,0.33
2025-05-21,20,15,75.00,7.40,0.37
2025-05-22,20,16,80.00,12.19,0.61
2025-05-23,20,15,75.00,12.80,0.64
2025-05-26,18,14,77.78,12.60,0.70
2025-05-27,19,15,78.95,13.82,0.73
2025-05-28,20,16,80.00,13.92,0.70
2025-05-29,20,16,80.00,13.18,0.66
2025-05-30,20,15,75.00,12.74,0.64
2025-06-02,19,14,73.68,11.85,0.62
2025-06-03,20,15,75.00,13.15,0.66
2025-06-04,21,15,71.43,12.49,0.59
2025-06-05,21,15,71.43,12.55,0.60
2025-06-06,21,15,71.43,12.66,0.60
2025-06-09,19,13,68.42,1.55,0.08
2025-06-10,20,14,70.00,2.92,0.15
2025-06-11,21,15,71.43,3.15,0.15
2025-06-12,21,15,71.43,6.79,0.32
2025-06-13,21,15,71.43,5.13,0.24
2025-06-16,19,14,73.68,9.84,0.52
2025-06-17,20,15,75.00,10.10,0.51
2025-06-18,21,16,76.19,11.05,0.53
2025-06-19,21,16,76.19,10.97,0.52
2025-06-20,21,16,76.19,10.08,0.48
2025-06-23,20,16,80.00,7.84,0.39
2025-06-24,21,17,80.95,9.01,0.43
2025-06-25,22,17,77.27,9.56,0.43
2025-06-26,22,17,77.27,8.61,0.39
2025-06-27,22,17,77.27,8.78,0.40
2025-06-30,20,16,80.00,9.95,0.50
2025-07-01,21,16,76.19,10.37,0.49
2025-07-02,22,17,77.27,11.29,0.51
2025-07-03,22,16,72.73,9.29,0.42
2025-07-04,21,16,76.19,9.95,0.47
2025-07-07,19,15,78.95,13.42,0.71
2025-07-08,20,15,75.00,11.49,0.57
2025-07-09,20,15,75.00,11.49,0.57
2025-07-10,20,15,75.00,10.25,0.51
2025-07-11,20,15,75.00,10.27,0.51
2025-07-14,18,13,72.22,6.79,0.38
2025-07-15,19,14,73.68,7.75,0.41
2025-07-16,20,15,75.00,7.97,0.40
2025-07-17,20,15,75.00,7.96,0.40
2025-07-18,20,15,75.00,7.27,0.36
2025-07-21,18,13,72.22,5.73,0.32
2025-07-22,19,13,68.42,3.68,0.19
2025-07-23,20,13,65.00,3.13,0.16
2025-07-24,20,13,65.00,2.29,0.11
2025-07-25,20,14,70.00,2.05,0.10
2025-07-28,18,12,66.67,-0.45,-0.02
2025-07-29,19,12,63.16,-3.41,-0.18
2025-07-30,20,13,65.00,-2.59,-0.13
2025-07-31,20,14,70.00,-2.28,-0.11
2025-08-01,20,13,65.00,-3.00,-0.15
2025-08-04,19,12,63.16,-4.87,-0.26
2025-08-05,20,13,65.00,-4.29,-0.21
2025-08-06,21,13,61.90,-4.45,-0.21
2025-08-07,21,14,66.67,-1.88,-0.09
2025-08-08,21,14,66.67,-1.88,-0.09
2025-08-11,19,13,68.42,-0.59,-0.03
2025-08-12,20,14,70.00,-0.47,-0.02
2025-08-13,21,15,71.43,-0.29,-0.01
2025-08-14,21,15,71.43,-1.14,-0.05
2025-08-18,18,11,61.11,-3.20,-0.18
2025-08-19,19,12,63.16,-2.58,-0.14
2025-08-20,20,13,65.00,-2.45,-0.12
2025-08-21,20,14,70.00,-0.00,-0.00
2025-08-22,20,15,75.00,0.85,0.04
2025-08-25,18,13,72.22,0.46,0.03
2025-08-26,18,13,72.22,0.46,0.03
2025-08-28,18,13,72.22,1.50,0.08
2025-08-29,18,13,72.22,1.51,0.08
2025-09-01,16,13,81.25,2.56,0.16
2025-09-02,17,13,76.47,0.23,0.01
2025-09-03,18,13,72.22,-4.22,-0.23
2025-09-04,18,12,66.67,-7.72,-0.43
2025-09-05,18,13,72.22,-5.95,-0.33
2025-09-08,16,11,68.75,-7.76,-0.49
2025-09-09,17,11,64.71,-6.69,-0.39
2025-09-10,18,11,61.11,-8.68,-0.48
2025-09-11,18,11,61.11,-8.53,-0.47
2025-09-12,18,10,55.56,-10.87,-0.60
2025-09-15,17,10,58.82,-9.64,-0.57
2025-09-16,18,11,61.11,-8.74,-0.49
2025-09-17,19,11,57.89,-9.00,-0.47
2025-09-18,19,11,57.89,-9.37,-0.49
2025-09-19,19,10,52.63,-9.45,-0.50
2025-09-22,17,7,41.18,-10.08,-0.59
2025-09-23,18,8,44.44,-9.94,-0.55
2025-09-24,19,8,42.11,-10.90,-0.57
2025-09-25,20,9,45.00,-10.32,-0.52
2025-09-26,20,10,50.00,-7.56,-0.38
2025-09-29,19,8,42.11,-11.18,-0.59
2025-09-30,20,9,45.00,-10.87,-0.54
2025-10-01,20,9,45.00,-10.87,-0.54
2025-10-03,19,10,52.63,-2.92,-0.15
2025-10-06,18,9,50.00,-4.78,-0.27
2025-10-07,19,10,52.63,-4.34,-0.23
2025-10-08,20,11,55.00,-3.80,-0.19
2025-10-09,20,11,55.00,-7.35,-0.37
2025-10-10,20,11,55.00,-7.24,-0.36
2025-10-13,18,10,55.56,-5.13,-0.28
2025-10-14,19,11,57.89,-4.22,-0.22
2025-10-15,20,12,60.00,-3.18,-0.16
2025-10-16,20,12,60.00,-3.15,-0.16
2025-10-17,20,13,65.00,-2.70,-0.13
2025-10-20,18,13,72.22,-3.23,-0.18
2025-10-21,19,13,68.42,-2.86,-0.15
2025-10-23,19,12,63.16,-3.00,-0.16
2025-10-24,19,13,68.42,-1.56,-0.08
2025-10-27,17,11,64.71,-1.41,-0.08
2025-10-28,18,12,66.67,-1.26,-0.07
2025-10-29,18,12,66.67,-1.26,-0.07
2025-10-30,17,11,64.71,-1.57,-0.09
2025-10-31,18,12,66.67,-0.93,-0.05
2025-11-03,17,12,70.59,1.45,0.09
2025-11-04,18,12,66.67,0.71,0.04
2025-11-06,18,11,61.11,-1.81,-0.10
2025-11-07,18,10,55.56,-3.41,-0.19
2025-11-10,16,10,62.50,1.57,0.10
2025-11-11,17,10,58.82,-5.17,-0.30
2025-11-12,18,10,55.56,-7.88,-0.44
2025-11-13,18,9,50.00,-9.47,-0.53
2025-11-14,17,8,47.06,-10.51,-0.62
2025-11-17,15,5,33.33,-12.12,-0.81
2025-11-18,16,6,37.50,-11.93,-0.75
2025-11-19,17,6,35.29,-12.63,-0.74
2025-11-20,16,6,37.50,-13.00,-0.81
2025-11-21,16,7,43.75,-12.41,-0.78
2025-11-24,15,6,40.00,-14.20,-0.95
2025-11-25,16,7,43.75,-13.27,-0.83
2025-11-26,17,8,47.06,-13.04,-0.77
2025-11-27,17,7,41.18,-14.33,-0.84
2025-11-28,18,7,38.89,-15.08,-0.84
2025-12-01,17,6,35.29,-16.00,-0.94
2025-12-02,18,6,33.33,-16.02,-0.89
2025-12-03,19,7,36.84,-15.70,-0.83
2025-12-04,18,7,38.89,-14.96,-0.83
2025-12-05,18,7,38.89,-13.51,-0.75
2025-12-08,17,7,41.18,-13.37,-0.79
2025-12-09,18,8,44.44,-12.67,-0.70
2025-12-10,19,8,42.11,-13.05,-0.69
2025-12-11,19,9,47.37,-5.78,-0.30
2025-12-12,19,10,52.63,-2.93,-0.15
2025-12-15,18,10,55.56,-6.24,-0.35
2025-12-16,19,10,52.63,-6.64,-0.35
2025-12-17,20,10,50.00,-6.68,-0.33
2025-12-18,20,9,45.00,-7.34,-0.37
2025-12-19,19,9,47.37,-6.64,-0.35
2025-12-22,17,8,47.06,-5.00,-0.29
2025-12-23,18,8,44.44,-8.19,-0.45
2025-12-24,19,8,42.11,-7.79,-0.41
2025-12-26,17,6,35.29,-8.95,-0.53
2025-12-29,15,5,33.33,-10.11,-0.67
2025-12-30,16,6,37.50,-8.21,-0.51
2025-12-31,17,7,41.18,-5.53,-0.33
2026-01-01,17,7,41.18,-4.21,-0.25
