date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,12,57.14,3.27,0.16
2025-02-03,21,12,57.14,3.36,0.16
2025-02-04,21,12,57.14,3.36,0.16
2025-02-05,22,12,54.55,3.75,0.17
2025-02-06,22,12,54.55,4.11,0.19
2025-02-07,22,12,54.55,3.23,0.15
2025-02-10,20,11,55.00,4.36,0.22
2025-02-11,21,12,57.14,5.39,0.26
2025-02-12,22,12,54.55,5.18,0.24
2025-02-13,22,12,54.55,4.51,0.20
2025-02-14,21,11,52.38,4.03,0.19
2025-02-17,19,12,63.16,3.96,0.21
2025-02-18,20,13,65.00,4.39,0.22
2025-02-19,21,14,66.67,4.75,0.23
2025-02-20,21,14,66.67,4.13,0.20
2025-02-21,21,14,66.67,4.36,0.21
2025-02-24,19,12,63.16,3.51,0.18
2025-02-25,20,13,65.00,3.91,0.20
2025-02-27,20,14,70.00,4.98,0.25
2025-02-28,20,14,70.00,4.64,0.23
2025-03-03,19,13,68.42,3.97,0.21
2025-03-04,19,13,68.42,4.22,0.22
2025-03-05,20,14,70.00,4.56,0.23
2025-03-06,20,14,70.00,3.67,0.18
2025-03-07,21,14,66.67,0.96,0.05
2025-03-10,18,12,66.67,-0.32,-0.02
2025-03-11,19,13,68.42,0.15,0.01
2025-03-12,20,13,65.00,0.25,0.01
2025-03-13,20,14,70.00,1.66,0.08
2025-03-17,18,14,77.78,1.75,0.10
2025-03-18,19,15,78.95,2.15,0.11
2025-03-19,20,16,80.00,2.32,0.12
2025-03-20,20,15,75.00,0.64,0.03
2025-03-21,20,14,70.00,0.09,0.00
2025-03-24,18,11,61.11,-1.85,-0.10
2025-03-25,19,12,63.16,-1.06,-0.06
2025-03-26,19,12,63.16,-1.06,-0.06
2025-03-27,18,12,66.67,-0.90,-0.05
2025-03-28,17,11,64.71,-1.30,-0.08
2025-04-01,16,9,56.25,-2.87,-0.18
2025-04-02,17,9,52.94,-2.59,-0.15
2025-04-03,17,9,52.94,-1.26,-0.07
2025-04-04,17,8,47.06,-4.76,-0.28
2025-04-07,15,7,46.67,1.64,0.11
