date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,20,11,55.00,-1.56,-0.08
2025-02-03,19,11,57.89,-2.89,-0.15
2025-02-04,20,11,55.00,-8.64,-0.43
2025-02-05,21,12,57.14,-7.82,-0.37
2025-02-06,21,13,61.90,-2.65,-0.13
2025-02-07,21,13,61.90,-3.13,-0.15
2025-02-10,20,13,65.00,0.36,0.02
2025-02-11,21,14,66.67,1.45,0.07
2025-02-12,22,14,63.64,-1.05,-0.05
2025-02-13,22,13,59.09,-1.90,-0.09
2025-02-14,22,14,63.64,-0.56,-0.03
2025-02-17,20,14,70.00,1.03,0.05
2025-02-18,21,14,66.67,2.69,0.13
2025-02-19,21,14,66.67,2.69,0.13
2025-02-20,21,14,66.67,2.94,0.14
2025-02-21,21,13,61.90,-0.58,-0.03
2025-02-24,20,13,65.00,0.47,0.02
2025-02-25,21,13,61.90,0.80,0.04
2025-02-27,21,14,66.67,3.17,0.15
2025-02-28,21,14,66.67,2.05,0.10
2025-03-03,19,11,57.89,-1.86,-0.10
2025-03-04,19,10,52.63,-5.38,-0.28
2025-03-05,20,11,55.00,-4.45,-0.22
2025-03-06,20,12,60.00,1.53,0.08
2025-03-07,20,11,55.00,0.25,0.01
2025-03-10,18,9,50.00,-2.78,-0.15
2025-03-11,18,9,50.00,-2.78,-0.15
2025-03-12,19,10,52.63,-1.13,-0.06
2025-03-13,19,10,52.63,-1.24,-0.07
2025-03-17,16,8,50.00,-2.95,-0.18
2025-03-18,17,8,47.06,-5.82,-0.34
2025-03-19,17,8,47.06,-5.82,-0.34
2025-03-20,17,8,47.06,-14.41,-0.85
2025-03-21,18,9,50.00,-12.35,-0.69
2025-03-24,16,8,50.00,-9.37,-0.59
2025-03-25,17,8,47.06,-14.56,-0.86
2025-03-26,18,9,50.00,-12.53,-0.70
2025-03-27,18,10,55.56,-12.07,-0.67
2025-03-28,18,9,50.00,-15.13,-0.84
2025-04-01,17,9,52.94,-13.59,-0.80
2025-04-02,18,10,55.56,-12.60,-0.70
2025-04-03,18,11,61.11,-9.63,-0.54
2025-04-04,18,11,61.11,-10.29,-0.57
2025-04-07,16,11,68.75,-6.63,-0.41
2025-04-08,17,11,64.71,-2.85,-0.17
2025-04-09,18,11,61.11,-2.96,-0.16
2025-04-11,18,10,55.56,-4.52,-0.25
2025-04-15,17,9,52.94,-3.76,-0.22
2025-04-16,18,9,50.00,-6.48,-0.36
2025-04-17,18,10,55.56,-3.48,-0.19
2025-04-21,15,8,53.33,0.72,0.05
2025-04-22,16,9,56.25,1.40,0.09
2025-04-23,17,10,58.82,2.19,0.13
2025-04-24,17,11,64.71,7.74,0.46
2025-04-25,17,11,64.71,6.25,0.37
2025-04-28,15,10,66.67,7.15,0.48
2025-04-29,16,11,68.75,9.53,0.60
