date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,22,13,59.09,-10.62,-0.48
2025-02-03,21,12,57.14,-10.53,-0.50
2025-02-04,22,12,54.55,-13.85,-0.63
2025-02-05,23,13,56.52,-12.67,-0.55
2025-02-06,23,13,56.52,-7.60,-0.33
2025-02-07,23,13,56.52,-7.98,-0.35
2025-02-10,21,12,57.14,-4.94,-0.24
2025-02-11,22,13,59.09,-4.57,-0.21
2025-02-12,23,13,56.52,-7.14,-0.31
2025-02-13,23,14,60.87,-3.89,-0.17
2025-02-14,23,13,56.52,-4.59,-0.20
2025-02-17,21,12,57.14,-7.95,-0.38
2025-02-18,22,12,54.55,-8.23,-0.37
2025-02-19,23,13,56.52,-7.00,-0.30
2025-02-20,23,12,52.17,-10.85,-0.47
2025-02-21,23,12,52.17,-10.29,-0.45
2025-02-24,21,12,57.14,-6.93,-0.33
2025-02-25,22,12,54.55,-7.39,-0.34
2025-02-27,21,12,57.14,-5.05,-0.24
2025-02-28,20,11,55.00,-5.22,-0.26
2025-03-03,18,8,44.44,-6.77,-0.38
2025-03-04,17,8,47.06,-6.74,-0.40
2025-03-05,17,8,47.06,-6.74,-0.40
2025-03-06,17,8,47.06,-5.38,-0.32
2025-03-07,17,7,41.18,-6.17,-0.36
2025-03-10,14,5,35.71,-7.36,-0.53
2025-03-11,15,6,40.00,-7.01,-0.47
2025-03-12,16,6,37.50,-6.35,-0.40
2025-03-13,16,5,31.25,-7.48,-0.47
2025-03-17,13,5,38.46,-1.52,-0.12
2025-03-18,14,6,42.86,-0.81,-0.06
2025-03-19,15,6,40.00,-3.86,-0.26
2025-03-20,15,6,40.00,-5.71,-0.38
2025-03-21,15,6,40.00,-5.50,-0.37
2025-03-24,13,5,38.46,-3.60,-0.28
2025-03-25,14,5,35.71,-3.12,-0.22
2025-03-26,15,6,40.00,-2.51,-0.17
2025-03-27,15,7,46.67,-1.28,-0.09
2025-03-28,16,8,50.00,-0.29,-0.02
2025-04-01,16,9,56.25,1.37,0.09
2025-04-02,17,10,58.82,3.16,0.19
2025-04-03,18,11,61.11,3.44,0.19
2025-04-04,19,12,63.16,3.74,0.20
2025-04-07,17,12,70.59,5.31,0.31
2025-04-08,18,12,66.67,10.37,0.58
2025-04-09,19,12,63.16,10.63,0.56
2025-04-11,18,12,66.67,9.83,0.55
2025-04-15,17,11,64.71,10.29,0.61
2025-04-16,18,11,61.11,9.25,0.51
2025-04-17,17,10,58.82,8.54,0.50
2025-04-21,14,9,64.29,12.26,0.88
2025-04-22,15,9,60.00,10.20,0.68
2025-04-23,16,10,62.50,10.94,0.68
2025-04-24,16,11,68.75,10.89,0.68
2025-04-25,16,10,62.50,9.27,0.58
2025-04-28,14,8,57.14,6.79,0.48
2025-04-29,15,9,60.00,8.20,0.55
2025-04-30,16,10,62.50,8.41,0.53
2025-05-02,16,9,56.25,4.81,0.30
2025-05-05,15,8,53.33,5.03,0.34
2025-05-06,16,9,56.25,5.86,0.37
2025-05-07,17,10,58.82,6.29,0.37
2025-05-08,17,11,64.71,4.99,0.29
2025-05-09,17,12,70.59,4.94,0.29
2025-05-12,16,11,68.75,7.27,0.45
2025-05-13,17,11,64.71,4.98,0.29
2025-05-14,18,12,66.67,5.86,0.33
2025-05-15,19,13,68.42,6.29,0.33
2025-05-16,19,14,73.68,9.43,0.50
2025-05-19,18,13,72.22,9.30,0.52
2025-05-20,19,14,73.68,9.56,0.50
2025-05-21,20,14,70.00,7.16,0.36
2025-05-22,20,14,70.00,9.61,0.48
2025-05-23,20,14,70.00,9.19,0.46
2025-05-26,17,12,70.59,9.20,0.54
2025-05-27,18,12,66.67,9.13,0.51
2025-05-28,18,12,66.67,9.13,0.51
2025-05-29,18,12,66.67,7.87,0.44
2025-05-30,18,11,61.11,7.26,0.40
2025-06-02,16,10,62.50,8.27,0.52
2025-06-03,17,11,64.71,8.46,0.50
2025-06-04,18,12,66.67,8.96,0.50
2025-06-05,18,12,66.67,8.83,0.49
2025-06-06,18,11,61.11,8.25,0.46
2025-06-09,16,10,62.50,1.37,0.09
2025-06-10,17,10,58.82,-0.09,-0.01
2025-06-11,18,10,55.56,-1.29,-0.07
2025-06-12,18,11,61.11,1.88,0.10
2025-06-13,18,10,55.56,-1.62,-0.09
2025-06-16,17,8,47.06,-3.50,-0.21
2025-06-17,18,9,50.00,-3.40,-0.19
2025-06-18,19,10,52.63,-2.93,-0.15
2025-06-19,19,9,47.37,-3.91,-0.21
