date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,21,14,66.67,-12.98,-0.62
2025-02-03,20,12,60.00,-17.46,-0.87
2025-02-04,21,13,61.90,-17.05,-0.81
2025-02-05,22,14,63.64,-16.09,-0.73
2025-02-06,22,13,59.09,-21.80,-0.99
2025-02-07,22,13,59.09,-19.10,-0.87
2025-02-10,21,12,57.14,-20.03,-0.95
2025-02-11,22,13,59.09,-19.30,-0.88
2025-02-12,23,13,56.52,-20.13,-0.88
2025-02-13,23,12,52.17,-24.47,-1.06
2025-02-14,23,12,52.17,-24.39,-1.06
2025-02-17,21,10,47.62,-23.24,-1.11
2025-02-18,22,10,45.45,-1.17,-0.05
2025-02-19,23,10,43.48,-1.13,-0.05
2025-02-20,23,10,43.48,-0.69,-0.03
2025-02-21,22,9,40.91,-0.81,-0.04
2025-02-24,20,8,40.00,4.40,0.22
2025-02-25,21,8,38.10,-1.46,-0.07
2025-02-27,21,9,42.86,1.59,0.08
2025-02-28,21,9,42.86,1.47,0.07
2025-03-03,19,9,47.37,3.46,0.18
2025-03-04,19,10,52.63,8.14,0.43
2025-03-05,20,11,55.00,8.57,0.43
2025-03-06,20,11,55.00,12.82,0.64
2025-03-07,20,11,55.00,13.05,0.65
2025-03-10,18,11,61.11,22.02,1.22
2025-03-11,19,12,63.16,23.61,1.24
2025-03-12,20,12,60.00,23.02,1.15
2025-03-13,20,12,60.00,22.88,1.14
2025-03-17,17,13,76.47,34.35,2.02
2025-03-18,18,13,72.22,29.34,1.63
2025-03-19,19,13,68.42,28.37,1.49
2025-03-20,19,13,68.42,3.12,0.16
2025-03-21,19,13,68.42,-3.63,-0.19
2025-03-24,18,11,61.11,-10.03,-0.56
2025-03-25,19,11,57.89,-10.98,-0.58
2025-03-26,20,12,60.00,-10.77,-0.54
2025-03-27,19,12,63.16,-4.91,-0.26
2025-03-28,19,11,57.89,-6.34,-0.33
2025-04-01,18,10,55.56,-8.54,-0.47
2025-04-02,19,10,52.63,-10.49,-0.55
2025-04-03,19,9,47.37,-11.85,-0.62
2025-04-04,19,9,47.37,-11.37,-0.60
2025-04-07,17,7,41.18,-19.05,-1.12
2025-04-08,18,7,38.89,-9.77,-0.54
2025-04-09,19,7,36.84,-20.20,-1.06
2025-04-11,18,7,38.89,-20.70,-1.15
2025-04-15,17,5,29.41,-22.73,-1.34
2025-04-16,18,5,27.78,-25.51,-1.42
2025-04-17,18,6,33.33,-20.20,-1.12
2025-04-21,15,7,46.67,-5.14,-0.34
2025-04-22,16,8,50.00,-4.67,-0.29
2025-04-23,17,8,47.06,-8.56,-0.50
2025-04-24,17,9,52.94,-7.13,-0.42
2025-04-25,17,8,47.06,-12.27,-0.72
2025-04-28,16,8,50.00,-10.96,-0.68
2025-04-29,17,9,52.94,-10.81,-0.64
2025-04-30,18,10,55.56,-10.54,-0.59
2025-05-02,18,11,61.11,-7.67,-0.43
