date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,20,12,60.00,-16.06,-0.80
2025-02-03,20,12,60.00,-15.85,-0.79
2025-02-04,21,12,57.14,-17.95,-0.85
2025-02-05,22,13,59.09,-15.48,-0.70
2025-02-06,23,14,60.87,-15.23,-0.66
2025-02-07,23,14,60.87,-15.00,-0.65
2025-02-10,21,13,61.90,-18.79,-0.89
2025-02-11,22,14,63.64,-17.61,-0.80
2025-02-12,23,15,65.22,-14.38,-0.63
2025-02-13,23,16,69.57,-9.54,-0.41
2025-02-14,23,16,69.57,-9.99,-0.43
2025-02-17,21,15,71.43,-8.16,-0.39
2025-02-18,22,16,72.73,-6.09,-0.28
2025-02-19,23,17,73.91,-5.70,-0.25
2025-02-20,23,17,73.91,-6.80,-0.30
2025-02-21,23,16,69.57,-13.24,-0.58
2025-02-24,21,15,71.43,-10.08,-0.48
2025-02-25,22,15,68.18,-10.22,-0.46
2025-02-27,22,16,72.73,-5.76,-0.26
2025-02-28,22,16,72.73,-5.86,-0.27
2025-03-03,20,14,70.00,-4.59,-0.23
2025-03-04,19,13,68.42,-5.18,-0.27
2025-03-05,20,14,70.00,-3.07,-0.15
2025-03-06,20,14,70.00,-3.87,-0.19
2025-03-07,20,13,65.00,-9.62,-0.48
2025-03-10,18,12,66.67,-2.83,-0.16
2025-03-11,19,13,68.42,-2.26,-0.12
2025-03-12,20,14,70.00,-1.29,-0.06
2025-03-13,20,13,65.00,-2.29,-0.11
2025-03-17,17,10,58.82,-6.94,-0.41
2025-03-18,18,11,61.11,-5.14,-0.29
2025-03-19,19,12,63.16,-4.59,-0.24
2025-03-20,19,12,63.16,-5.83,-0.31
2025-03-21,19,12,63.16,-6.11,-0.32
2025-03-24,17,11,64.71,0.31,0.02
2025-03-25,18,12,66.67,0.81,0.05
2025-03-26,19,12,63.16,-4.29,-0.23
2025-03-27,19,13,68.42,-3.29,-0.17
2025-03-28,19,13,68.42,-3.35,-0.18
2025-04-01,18,13,72.22,-0.49,-0.03
2025-04-02,19,13,68.42,-2.17,-0.11
2025-04-03,19,13,68.42,-2.17,-0.11
2025-04-04,19,13,68.42,-3.87,-0.20
2025-04-07,17,13,76.47,2.65,0.16
2025-04-08,18,13,72.22,21.82,1.21
2025-04-09,19,14,73.68,24.00,1.26
2025-04-11,18,12,66.67,20.27,1.13
2025-04-15,17,11,64.71,21.38,1.26
2025-04-16,18,12,66.67,22.11,1.23
2025-04-17,18,12,66.67,20.71,1.15
2025-04-21,15,10,66.67,20.07,1.34
2025-04-22,16,11,68.75,20.22,1.26
2025-04-23,17,12,70.59,20.44,1.20
2025-04-24,17,12,70.59,20.70,1.22
2025-04-25,17,13,76.47,26.09,1.53
2025-04-28,15,11,73.33,23.25,1.55
2025-04-29,16,12,75.00,23.63,1.48
2025-04-30,17,13,76.47,23.88,1.40
2025-05-02,17,14,82.35,25.71,1.51
2025-05-05,16,13,81.25,24.81,1.55
2025-05-06,17,14,82.35,25.38,1.49
2025-05-07,17,14,82.35,25.38,1.49
2025-05-08,17,15,88.24,6.50,0.38
2025-05-09,17,15,88.24,5.17,0.30
2025-05-12,16,15,93.75,6.22,0.39
2025-05-13,17,15,88.24,4.81,0.28
2025-05-14,18,16,88.89,5.42,0.30
2025-05-15,19,17,89.47,5.60,0.29
2025-05-16,19,17,89.47,5.19,0.27
2025-05-19,18,16,88.89,4.54,0.25
2025-05-20,19,17,89.47,5.32,0.28
2025-05-21,20,18,90.00,5.89,0.29
2025-05-22,20,18,90.00,5.87,0.29
2025-05-23,20,18,90.00,5.90,0.30
2025-05-26,18,16,88.89,5.23,0.29
2025-05-27,19,17,89.47,5.78,0.30
2025-05-28,20,18,90.00,6.35,0.32
2025-05-29,20,17,85.00,2.74,0.14
2025-05-30,20,16,80.00,-4.69,-0.23
2025-06-02,19,14,73.68,-9.75,-0.51
2025-06-03,20,15,75.00,-8.33,-0.42
2025-06-04,21,16,76.19,-7.93,-0.38
2025-06-05,20,15,75.00,-8.50,-0.42
2025-06-06,21,16,76.19,-7.98,-0.38
2025-06-09,19,15,78.95,-8.54,-0.45
2025-06-10,20,16,80.00,-8.07,-0.40
2025-06-11,20,16,80.00,-8.07,-0.40
2025-06-12,20,16,80.00,-7.74,-0.39
2025-06-13,20,16,80.00,-7.75,-0.39
2025-06-16,18,13,72.22,-8.24,-0.46
2025-06-17,19,14,73.68,-7.60,-0.40
2025-06-18,20,15,75.00,-7.35,-0.37
2025-06-19,20,15,75.00,-7.80,-0.39
2025-06-20,19,14,73.68,-8.37,-0.44
2025-06-23,17,12,70.59,-8.29,-0.49
2025-06-24,18,13,72.22,-7.98,-0.44
2025-06-25,19,14,73.68,-7.81,-0.41
2025-06-26,19,14,73.68,-7.20,-0.38
2025-06-27,19,14,73.68,-7.01,-0.37
2025-06-30,17,15,88.24,8.89,0.52
2025-07-01,18,16,88.89,9.41,0.52
2025-07-02,18,16,88.89,9.41,0.52
2025-07-03,18,16,88.89,8.10,0.45
2025-07-04,17,15,88.24,7.70,0.45
2025-07-07,16,14,87.50,6.99,0.44
2025-07-08,17,15,88.24,7.47,0.44
2025-07-09,18,16,88.89,8.05,0.45
2025-07-10,17,15,88.24,7.58,0.45
2025-07-11,18,16,88.89,8.45,0.47
2025-07-14,16,16,100.00,9.08,0.57
2025-07-15,17,17,100.00,9.98,0.59
2025-07-16,18,18,100.00,10.92,0.61
2025-07-17,17,17,100.00,10.28,0.60
2025-07-18,17,17,100.00,10.28,0.60
2025-07-21,16,16,100.00,9.25,0.58
2025-07-22,17,17,100.00,9.90,0.58
2025-07-23,18,18,100.00,10.39,0.58
2025-07-24,18,17,94.44,9.87,0.55
2025-07-25,18,17,94.44,10.70,0.59
2025-07-28,15,14,93.33,7.97,0.53
2025-07-29,16,14,87.50,4.96,0.31
2025-07-30,17,15,88.24,5.88,0.35
2025-07-31,17,15,88.24,6.72,0.40
2025-08-01,18,16,88.89,8.03,0.45
2025-08-04,16,14,87.50,7.25,0.45
2025-08-05,17,14,82.35,5.74,0.34
2025-08-06,18,15,83.33,6.74,0.37
2025-08-07,18,15,83.33,6.76,0.38
2025-08-08,18,15,83.33,6.35,0.35
2025-08-11,17,13,76.47,5.87,0.35
2025-08-12,18,14,77.78,6.39,0.36
2025-08-13,19,15,78.95,7.12,0.37
2025-08-14,19,14,73.68,6.56,0.35
2025-08-18,17,12,70.59,5.38,0.32
2025-08-19,18,13,72.22,5.96,0.33
2025-08-20,19,14,73.68,6.53,0.34
2025-08-21,18,13,72.22,5.88,0.33
2025-08-22,18,13,72.22,5.56,0.31
2025-08-25,17,13,76.47,5.29,0.31
2025-08-26,18,14,77.78,6.10,0.34
2025-08-28,18,14,77.78,8.43,0.47
2025-08-29,18,14,77.78,8.68,0.48
2025-09-01,17,13,76.47,6.23,0.37
2025-09-02,18,14,77.78,8.28,0.46
2025-09-03,18,14,77.78,8.28,0.46
2025-09-04,18,15,83.33,10.86,0.60
2025-09-05,18,15,83.33,11.42,0.63
2025-09-08,16,14,87.50,11.10,0.69
2025-09-09,17,14,82.35,10.53,0.62
2025-09-10,18,15,83.33,10.91,0.61
2025-09-11,18,14,77.78,11.29,0.63
2025-09-12,18,13,72.22,8.92,0.50
2025-09-15,17,13,76.47,8.53,0.50
2025-09-16,18,14,77.78,8.98,0.50
2025-09-17,19,15,78.95,10.20,0.54
2025-09-18,18,14,77.78,9.62,0.53
2025-09-19,18,14,77.78,9.45,0.53
2025-09-22,16,12,75.00,8.76,0.55
2025-09-23,17,13,76.47,9.79,0.58
2025-09-24,18,13,72.22,9.10,0.51
2025-09-25,18,13,72.22,8.70,0.48
2025-09-26,17,13,76.47,9.38,0.55
2025-09-29,16,12,75.00,9.20,0.57
2025-09-30,17,13,76.47,9.99,0.59
2025-10-01,18,14,77.78,11.02,0.61
2025-10-03,17,13,76.47,8.97,0.53
2025-10-06,14,10,71.43,5.27,0.38
2025-10-07,14,10,71.43,5.27,0.38
2025-10-08,15,11,73.33,5.47,0.36
2025-10-09,15,11,73.33,4.32,0.29
2025-10-10,15,10,66.67,2.80,0.19
2025-10-13,13,10,76.92,3.97,0.31
2025-10-14,14,10,71.43,5.11,0.37
2025-10-15,15,11,73.33,6.87,0.46
2025-10-16,15,11,73.33,6.97,0.46
2025-10-17,15,10,66.67,5.08,0.34
2025-10-20,15,10,66.67,4.93,0.33
2025-10-21,16,11,68.75,5.22,0.33
2025-10-23,16,10,62.50,2.99,0.19
2025-10-24,16,11,68.75,5.08,0.32
2025-10-27,15,9,60.00,2.00,0.13
2025-10-28,16,9,56.25,-1.76,-0.11
2025-10-29,17,9,52.94,-3.02,-0.18
2025-10-30,17,9,52.94,-3.13,-0.18
2025-10-31,17,9,52.94,-2.59,-0.15
2025-11-03,18,9,50.00,-4.73,-0.26
2025-11-04,19,10,52.63,-4.12,-0.22
2025-11-06,20,10,50.00,-5.77,-0.29
2025-11-07,20,9,45.00,-8.00,-0.40
2025-11-10,18,9,50.00,-5.09,-0.28
2025-11-11,19,10,52.63,-3.76,-0.20
2025-11-12,20,11,55.00,-3.54,-0.18
2025-11-13,20,11,55.00,-5.35,-0.27
2025-11-14,20,10,50.00,-7.48,-0.37
2025-11-17,18,9,50.00,-7.10,-0.39
2025-11-18,19,10,52.63,-6.50,-0.34
2025-11-19,19,10,52.63,-6.50,-0.34
2025-11-20,19,10,52.63,-6.65,-0.35
2025-11-21,19,11,57.89,-4.62,-0.24
2025-11-24,18,10,55.56,-6.01,-0.33
2025-11-25,19,10,52.63,-8.58,-0.45
2025-11-26,20,11,55.00,-7.82,-0.39
2025-11-27,20,12,60.00,-3.39,-0.17
2025-11-28,20,13,65.00,-0.47,-0.02
2025-12-01,18,12,66.67,0.27,0.01
2025-12-02,19,13,68.42,0.61,0.03
2025-12-03,20,14,70.00,0.77,0.04
2025-12-04,20,13,65.00,-1.25,-0.06
2025-12-05,20,14,70.00,0.58,0.03
2025-12-08,19,13,68.42,1.26,0.07
2025-12-09,20,14,70.00,2.59,0.13
2025-12-10,20,14,70.00,2.59,0.13
2025-12-11,20,14,70.00,2.65,0.13
2025-12-12,20,13,65.00,1.67,0.08
2025-12-15,18,12,66.67,2.37,0.13
2025-12-16,18,12,66.67,2.37,0.13
2025-12-17,19,13,68.42,2.60,0.14
2025-12-18,19,13,68.42,2.46,0.13
2025-12-19,20,14,70.00,3.12,0.16
2025-12-22,17,12,70.59,3.60,0.21
2025-12-23,18,12,66.67,2.80,0.16
2025-12-24,19,12,63.16,1.84,0.10
2025-12-26,18,12,66.67,4.29,0.24
2025-12-29,16,10,62.50,1.27,0.08
2025-12-30,17,11,64.71,1.45,0.09
2025-12-31,18,12,66.67,2.16,0.12
2026-01-01,18,12,66.67,2.52,0.14
2026-01-02,18,12,66.67,2.75,0.15
2026-01-05,16,12,75.00,4.84,0.30
2026-01-06,17,13,76.47,6.38,0.38
2026-01-07,18,14,77.78,6.78,0.38
2026-01-08,18,14,77.78,5.98,0.33
2026-01-09,19,15,78.95,6.20,0.33
2026-01-12,17,14,82.35,3.55,0.21
2026-01-13,18,15,83.33,3.74,0.21
2026-01-14,19,16,84.21,4.07,0.21
2026-01-16,18,15,83.33,3.84,0.21
2026-01-19,16,13,81.25,2.72,0.17
2026-01-20,17,14,82.35,2.85,0.17
2026-01-21,18,15,83.33,4.95,0.27
2026-01-22,18,15,83.33,4.91,0.27
2026-01-23,18,16,88.89,6.82,0.38
2026-01-27,17,15,88.24,6.66,0.39
2026-01-28,18,16,88.89,6.87,0.38
2026-01-29,18,16,88.89,7.24,0.40
2026-01-30,18,16,88.89,8.66,0.48
2026-02-01,17,15,88.24,7.91,0.47
2026-02-02,17,15,88.24,9.30,0.55
2026-02-03,18,16,88.89,9.54,0.53
2026-02-04,19,16,84.21,8.48,0.45
2026-02-05,18,15,83.33,6.94,0.39
2026-02-06,18,15,83.33,6.84,0.38
2026-02-09,16,14,87.50,9.36,0.58
2026-02-10,17,15,88.24,10.76,0.63
2026-02-11,18,15,83.33,10.56,0.59
2026-02-12,18,15,83.33,10.61,0.59
2026-02-13,17,14,82.35,10.28,0.60
2026-02-16,18,14,77.78,6.94,0.39
2026-02-17,19,15,78.95,7.47,0.39
2026-02-18,19,15,78.95,7.47,0.39
2026-02-19,19,15,78.95,7.64,0.40
2026-02-20,19,15,78.95,6.11,0.32
2026-02-23,17,13,76.47,5.13,0.30
