date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,2,8.70,-4.90,-0.21
2025-02-03,22,2,9.09,-0.28,-0.01
2025-02-04,23,3,13.04,-0.09,-0.00
2025-02-05,24,3,12.50,-0.22,-0.01
2025-02-06,24,3,12.50,-0.36,-0.01
2025-02-07,24,3,12.50,-0.43,-0.02
2025-02-10,22,3,13.64,-2.62,-0.12
2025-02-11,23,3,13.04,-4.71,-0.20
2025-02-12,24,3,12.50,-5.81,-0.24
2025-02-13,24,3,12.50,-4.00,-0.17
2025-02-14,24,3,12.50,-5.08,-0.21
2025-02-17,22,3,13.64,-0.81,-0.04
2025-02-18,23,4,17.39,1.51,0.07
2025-02-19,24,4,16.67,2.53,0.11
2025-02-20,24,4,16.67,3.12,0.13
2025-02-21,24,4,16.67,2.35,0.10
2025-02-24,22,3,13.64,-6.87,-0.31
2025-02-25,23,3,13.04,-7.83,-0.34
2025-02-27,23,3,13.04,-4.25,-0.18
2025-02-28,23,3,13.04,-9.84,-0.43
2025-03-03,21,2,9.52,-10.50,-0.50
2025-03-04,21,2,9.52,-7.63,-0.36
2025-03-05,22,2,9.09,-6.32,-0.29
2025-03-06,22,3,13.64,-8.72,-0.40
2025-03-07,22,2,9.09,-9.98,-0.45
2025-03-10,20,2,10.00,-10.22,-0.51
2025-03-11,21,2,9.52,-9.96,-0.47
2025-03-12,22,2,9.09,-13.34,-0.61
2025-03-13,22,2,9.09,-15.11,-0.69
2025-03-17,19,2,10.53,-12.17,-0.64
2025-03-18,20,2,10.00,-12.29,-0.61
2025-03-19,21,2,9.52,-10.88,-0.52
2025-03-20,20,2,10.00,-10.00,-0.50
2025-03-21,20,1,5.00,-12.20,-0.61
2025-03-24,18,1,5.56,-11.03,-0.61
2025-03-25,19,1,5.26,-11.58,-0.61
2025-03-26,20,1,5.00,-13.35,-0.67
2025-03-27,20,1,5.00,-9.75,-0.49
2025-03-28,20,1,5.00,-12.10,-0.60
2025-04-01,19,1,5.26,-5.97,-0.31
2025-04-02,20,1,5.00,-5.72,-0.29
2025-04-03,20,1,5.00,-8.40,-0.42
2025-04-04,20,1,5.00,-11.39,-0.57
2025-04-07,18,0,0.00,-7.87,-0.44
2025-04-08,19,0,0.00,-8.79,-0.46
2025-04-09,20,0,0.00,-10.67,-0.53
2025-04-11,19,1,5.26,-8.69,-0.46
2025-04-15,18,1,5.56,-4.01,-0.22
2025-04-16,19,1,5.26,-2.50,-0.13
2025-04-17,19,1,5.26,-0.09,-0.00
2025-04-21,17,1,5.88,-1.11,-0.07
2025-04-22,18,1,5.56,-2.98,-0.17
2025-04-23,19,2,10.53,-1.03,-0.05
2025-04-24,19,2,10.53,-2.80,-0.15
2025-04-25,19,2,10.53,-3.53,-0.19
2025-04-28,17,2,11.76,0.58,0.03
2025-04-29,18,2,11.11,0.43,0.02
2025-04-30,19,2,10.53,0.43,0.02
2025-05-02,19,2,10.53,-0.20,-0.01
2025-05-05,17,2,11.76,3.40,0.20
2025-05-06,18,2,11.11,1.89,0.10
2025-05-07,19,2,10.53,5.41,0.28
2025-05-08,19,2,10.53,-0.11,-0.01
2025-05-09,19,2,10.53,3.09,0.16
2025-05-12,18,2,11.11,4.72,0.26
2025-05-13,19,2,10.53,2.64,0.14
2025-05-14,20,2,10.00,3.13,0.16
2025-05-15,21,2,9.52,4.45,0.21
2025-05-16,21,2,9.52,3.81,0.18
2025-05-19,20,2,10.00,0.44,0.02
2025-05-20,21,2,9.52,-0.90,-0.04
2025-05-21,22,2,9.09,-0.43,-0.02
2025-05-22,22,2,9.09,-2.14,-0.10
2025-05-23,22,2,9.09,0.19,0.01
2025-05-26,20,1,5.00,1.16,0.06
2025-05-27,21,1,4.76,0.08,0.00
2025-05-28,22,1,4.55,-0.74,-0.03
2025-05-29,22,1,4.55,-0.55,-0.02
2025-05-30,22,1,4.55,-0.61,-0.03
2025-06-02,21,1,4.76,-0.89,-0.04
2025-06-03,22,1,4.55,-1.61,-0.07
2025-06-04,23,1,4.35,-1.46,-0.06
2025-06-05,23,1,4.35,-0.87,-0.04
2025-06-06,23,1,4.35,1.22,0.05
2025-06-09,21,1,4.76,-3.29,-0.16
2025-06-10,22,1,4.55,-2.52,-0.11
2025-06-11,23,2,8.70,-0.59,-0.03
2025-06-12,23,1,4.35,-1.64,-0.07
2025-06-13,23,1,4.35,2.49,0.11
2025-06-16,21,1,4.76,2.37,0.11
2025-06-17,22,1,4.55,2.43,0.11
2025-06-18,23,1,4.35,1.84,0.08
2025-06-19,23,1,4.35,3.81,0.17
2025-06-20,23,1,4.35,5.13,0.22
2025-06-23,21,1,4.76,5.25,0.25
2025-06-24,22,1,4.55,5.06,0.23
2025-06-25,23,1,4.35,6.39,0.28
2025-06-26,23,1,4.35,5.44,0.24
2025-06-27,23,1,4.35,5.05,0.22
2025-06-30,21,1,4.76,5.87,0.28
2025-07-01,22,1,4.55,5.52,0.25
2025-07-02,23,1,4.35,6.18,0.27
2025-07-03,23,1,4.35,5.61,0.24
2025-07-04,23,1,4.35,7.02,0.31
2025-07-07,21,1,4.76,4.96,0.24
2025-07-08,22,1,4.55,5.69,0.26
2025-07-09,23,1,4.35,5.63,0.24
2025-07-10,23,1,4.35,3.95,0.17
2025-07-11,23,1,4.35,1.96,0.09
2025-07-14,21,0,0.00,-3.27,-0.16
2025-07-15,22,0,0.00,-1.98,-0.09
2025-07-16,23,0,0.00,0.17,0.01
2025-07-17,23,0,0.00,-1.51,-0.07
2025-07-18,23,1,4.35,-1.35,-0.06
2025-07-21,21,1,4.76,-4.33,-0.21
2025-07-22,22,1,4.55,-5.19,-0.24
2025-07-23,23,1,4.35,-4.76,-0.21
2025-07-24,23,1,4.35,-4.53,-0.20
2025-07-25,23,1,4.35,-5.18,-0.23
2025-07-28,21,1,4.76,-6.37,-0.30
2025-07-29,22,1,4.55,-5.05,-0.23
2025-07-30,23,1,4.35,-5.50,-0.24
2025-07-31,23,1,4.35,-5.44,-0.24
2025-08-01,23,1,4.35,-6.67,-0.29
2025-08-04,21,1,4.76,-6.10,-0.29
2025-08-05,22,1,4.55,-6.16,-0.28
2025-08-06,23,1,4.35,-8.58,-0.37
2025-08-07,23,1,4.35,-6.38,-0.28
2025-08-08,23,1,4.35,-8.59,-0.37
2025-08-11,21,1,4.76,-5.30,-0.25
2025-08-12,22,1,4.55,-5.68,-0.26
