date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-02-01,23,10,43.48,-0.23,-0.01
2025-02-03,22,9,40.91,-8.08,-0.37
2025-02-04,23,9,39.13,-10.27,-0.45
2025-02-05,24,10,41.67,-8.95,-0.37
2025-02-06,24,11,45.83,-4.36,-0.18
2025-02-07,24,11,45.83,-3.50,-0.15
2025-02-10,22,9,40.91,-9.30,-0.42
2025-02-11,23,9,39.13,-9.86,-0.43
2025-02-12,24,9,37.50,-13.56,-0.57
2025-02-13,24,10,41.67,-5.04,-0.21
2025-02-14,24,10,41.67,-9.37,-0.39
2025-02-17,22,8,36.36,-11.42,-0.52
2025-02-18,23,9,39.13,-10.35,-0.45
2025-02-19,24,10,41.67,-6.87,-0.29
2025-02-20,24,10,41.67,-7.54,-0.31
2025-02-21,24,10,41.67,-7.96,-0.33
2025-02-24,22,9,40.91,-10.92,-0.50
2025-02-25,23,10,43.48,-7.69,-0.33
2025-02-27,23,10,43.48,-7.01,-0.30
2025-02-28,23,10,43.48,-10.08,-0.44
2025-03-03,21,7,33.33,-18.32,-0.87
2025-03-04,21,6,28.57,-18.01,-0.86
2025-03-05,22,7,31.82,-17.53,-0.80
2025-03-06,22,7,31.82,-8.82,-0.40
2025-03-07,22,7,31.82,-7.37,-0.33
2025-03-10,20,5,25.00,-14.04,-0.70
2025-03-11,21,5,23.81,-18.13,-0.86
2025-03-12,22,5,22.73,-21.39,-0.97
2025-03-13,22,5,22.73,-22.06,-1.00
2025-03-17,19,4,21.05,-19.07,-1.00
2025-03-18,20,5,25.00,-17.53,-0.88
2025-03-19,21,6,28.57,-16.24,-0.77
2025-03-20,21,7,33.33,-13.72,-0.65
2025-03-21,21,6,28.57,-15.34,-0.73
2025-03-24,19,6,31.58,-13.65,-0.72
2025-03-25,20,7,35.00,-13.50,-0.68
2025-03-26,21,7,33.33,-15.10,-0.72
2025-03-27,21,7,33.33,-14.42,-0.69
2025-03-28,21,7,33.33,-15.41,-0.73
2025-04-01,20,7,35.00,-8.11,-0.41
2025-04-02,21,8,38.10,-6.33,-0.30
2025-04-03,21,8,38.10,-2.45,-0.12
2025-04-04,21,8,38.10,-8.69,-0.41
2025-04-07,19,7,36.84,9.95,0.52
