symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
THELEELA,438.40,438.40,423.15,425.85,425.70,SHORT,438.40,425.70,425.70,true,12.70,2.90
KPRMILL,836.00,843.60,823.20,831.85,823.67,SHORT,836.00,823.67,823.67,true,12.33,1.47
GLAND,1700.00,1710.90,1676.40,1684.00,1659.25,SHORT,1700.00,1659.25,1684.00,false,16.00,0.94
BALRAMCHIN,478.20,508.50,478.20,505.25,490.08,LONG,478.20,490.08,490.08,true,11.88,2.48
IPCALAB,1504.90,1511.60,1487.80,1491.20,1484.55,SHORT,1504.90,1484.55,1491.20,false,13.70,0.91
FLUOROCHEM,3339.50,3339.50,3262.00,3294.20,3212.10,SHORT,3339.50,3212.10,3294.20,false,45.30,1.36
CANHLIFE,145.02,148.50,144.05,148.05,145.37,LONG,145.02,145.37,145.37,true,0.35,0.24
MCX,2605.00,2623.90,2562.10,2579.30,2549.47,SHORT,2605.00,2549.47,2579.30,false,25.70,0.99
KAJARIACER,941.10,954.95,918.40,950.00,922.46,SHORT,941.10,922.46,922.46,true,18.64,1.98
VTL,543.25,548.50,534.00,541.80,529.77,SHORT,543.25,529.77,541.80,false,1.45,0.27
