symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SCHAEFFLER,4102.80,4137.90,4007.90,4082.60,4101.99,SKIP,,,,,,
LT,3585.00,3592.00,3536.90,3550.50,3581.09,SHORT,3585.00,3581.09,3581.09,true,3.91,0.11
BRITANNIA,5493.50,5495.50,5415.00,5433.00,5494.72,SKIP,,,,,,
WELCORP,771.00,772.95,760.00,765.75,772.90,LONG,771.00,772.90,772.90,true,1.90,0.25
FORTIS,671.50,741.35,671.50,721.65,675.43,LONG,671.50,675.43,675.43,true,3.93,0.59
LEMONTREE,137.00,137.88,135.02,135.45,136.53,SHORT,137.00,136.53,136.53,true,0.47,0.34
SBIN,788.00,788.20,780.30,784.95,786.00,SHORT,788.00,786.00,786.00,true,2.00,0.25
SUNDARMFIN,5150.50,5194.00,5067.00,5121.00,5162.69,LONG,5150.50,5162.69,5162.69,true,12.19,0.24
IEX,199.00,199.23,192.72,194.77,198.25,SHORT,199.00,198.25,198.25,true,0.75,0.38
UBL,2031.50,2038.90,1979.00,1983.20,2043.93,LONG,2031.50,2043.93,1983.20,false,-48.30,-2.38
