date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,416.15,418.50,407.00,415.25,415.24,SHORT,416.15,2402,415.24,415.24,true,40.00,399.40,1746.42,0.17,1001746.42
2025-01-03,415.95,424.40,415.20,420.10,411.78,SHORT,415.95,2408,411.78,420.10,false,40.00,402.64,-10435.84,-1.04,991310.58
2025-01-06,421.00,421.00,402.00,403.85,420.30,SHORT,421.00,2354,420.30,420.30,true,40.00,396.08,1211.72,0.12,992522.29
2025-01-07,406.00,414.25,404.80,405.35,408.30,LONG,406.00,2444,408.30,408.30,true,40.00,398.03,5183.17,0.52,997705.46
2025-01-08,405.50,407.35,390.25,397.85,408.37,LONG,405.50,2460,408.37,397.85,false,40.00,395.25,-19254.25,-1.93,978451.22
2025-01-09,398.55,417.35,397.85,413.40,397.26,SHORT,398.55,2455,397.26,413.40,false,40.00,398.67,-36895.42,-3.77,941555.80
2025-01-10,413.40,432.00,397.05,421.75,409.49,SHORT,413.40,2277,409.49,409.49,true,40.00,374.74,8488.33,0.90,950044.12
2025-01-13,415.00,434.85,407.55,409.45,419.70,LONG,415.00,2289,419.70,419.70,true,40.00,382.13,10336.17,1.09,960380.30
2025-01-14,410.45,416.75,403.25,409.35,423.07,LONG,410.45,2339,423.07,409.35,false,40.00,383.50,-2996.40,-0.31,957383.90
2025-01-15,411.70,432.00,411.70,429.75,410.50,SHORT,411.70,2325,410.50,429.75,false,40.00,391.27,-42397.52,-4.43,914986.37
2025-01-16,433.00,440.80,431.35,438.75,424.65,SHORT,433.00,2113,424.65,438.75,false,40.00,368.40,-12558.15,-1.37,902428.22
2025-01-17,436.90,444.40,435.65,442.70,436.63,SHORT,436.90,2065,436.63,436.63,true,40.00,360.77,156.78,0.02,902585.00
2025-01-20,446.40,450.60,443.05,449.15,440.93,SHORT,446.40,2021,440.93,449.15,false,40.00,361.98,-5959.73,-0.66,896625.27
2025-01-21,451.85,466.40,450.45,453.05,447.86,SHORT,451.85,1984,447.86,453.05,false,40.00,359.06,-2779.86,-0.31,893845.41
2025-01-22,455.80,456.25,428.15,440.85,458.20,LONG,455.80,1961,458.20,440.85,false,40.00,351.67,-29708.62,-3.32,864136.79
2025-01-23,440.55,452.00,436.05,448.45,436.52,SHORT,440.55,1961,436.52,436.52,true,40.00,343.99,7518.84,0.87,871655.63
2025-01-24,450.00,452.95,436.10,439.05,446.50,SHORT,450.00,1937,446.50,446.50,true,40.00,347.30,6392.20,0.73,878047.83
2025-01-27,435.00,435.00,415.40,418.85,441.18,LONG,435.00,2018,441.18,418.85,false,40.00,344.61,-32975.31,-3.76,845072.52
2025-01-28,418.85,422.00,406.95,410.40,423.24,LONG,418.85,2017,423.24,410.40,false,40.00,334.52,-17418.17,-2.06,827654.35
2025-01-29,412.00,429.60,408.55,427.90,412.18,LONG,412.00,2008,412.18,412.18,true,40.00,330.99,-9.55,-0.00,827644.80
2025-01-30,431.80,441.95,428.40,438.00,424.33,SHORT,431.80,1916,424.33,438.00,false,40.00,333.31,-12252.51,-1.48,815392.29
2025-01-31,450.00,451.85,438.60,444.70,436.95,SHORT,450.00,1811,436.95,444.70,false,40.00,324.06,9234.24,1.13,824626.53
2025-02-01,447.70,463.85,439.10,459.65,443.77,SHORT,447.70,1841,443.77,443.77,true,40.00,328.24,6866.89,0.83,831493.42
2025-02-03,445.05,468.40,428.50,452.60,455.06,LONG,445.05,1868,455.06,455.06,true,40.00,336.28,18322.40,2.20,849815.82
2025-02-04,454.00,462.00,451.45,456.00,453.37,SHORT,454.00,1871,453.37,453.37,true,40.00,339.54,799.19,0.09,850615.01
2025-02-05,455.00,468.55,452.55,465.75,457.72,LONG,455.00,1869,457.72,457.72,true,40.00,341.17,4702.51,0.55,855317.52
2025-02-06,468.90,477.75,466.95,469.95,462.61,SHORT,468.90,1824,462.61,469.95,false,40.00,342.49,-2297.69,-0.27,853019.82
2025-02-07,469.95,471.60,460.90,465.40,472.78,LONG,469.95,1815,472.78,465.40,false,40.00,339.53,-8637.78,-1.01,844382.04
2025-02-10,466.90,467.85,451.65,455.55,465.97,SHORT,466.90,1808,465.97,465.97,true,40.00,337.33,1304.11,0.15,845686.16
