date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,282.70,284.00,278.70,282.60,281.07,SHORT,282.70,3537,281.07,281.07,true,40.00,398.81,5326.50,0.53,1005326.50
2025-01-03,284.80,286.50,277.70,280.75,281.73,SHORT,284.80,3529,281.73,281.73,true,40.00,399.86,10394.17,1.03,1015720.67
2025-01-06,281.90,281.90,263.70,265.55,281.60,SHORT,281.90,3603,281.60,281.60,true,40.00,406.06,634.84,0.06,1016355.51
2025-01-07,266.25,271.70,266.00,270.55,270.52,LONG,266.25,3817,270.52,270.52,true,40.00,409.77,15848.82,1.56,1032204.33
2025-01-08,269.65,269.70,263.50,267.35,269.38,SHORT,269.65,3827,269.38,269.38,true,40.00,412.57,580.72,0.06,1032785.05
2025-01-09,266.10,278.50,265.30,276.55,266.44,LONG,266.10,3881,266.44,266.44,true,40.00,413.36,866.18,0.08,1033651.23
2025-01-10,277.45,279.70,266.70,274.10,273.45,SHORT,277.45,3725,273.45,273.45,true,40.00,410.42,14449.58,1.40,1048100.81
2025-01-13,272.95,273.35,258.95,260.40,274.04,LONG,272.95,3839,274.04,260.40,false,40.00,409.51,-48628.96,-4.64,999471.86
2025-01-14,263.00,272.00,263.00,270.10,264.84,LONG,263.00,3800,264.84,264.84,true,40.00,401.16,6550.84,0.66,1006022.70
2025-01-15,272.25,275.85,263.25,265.60,268.72,SHORT,272.25,3695,268.72,268.72,true,40.00,399.78,12603.57,1.25,1018626.27
2025-01-16,270.00,277.00,267.45,276.45,269.56,SHORT,270.00,3772,269.56,269.56,true,40.00,407.04,1212.64,0.12,1019838.91
2025-01-17,275.90,279.40,271.90,274.70,273.37,SHORT,275.90,3696,273.37,273.37,true,40.00,406.02,8904.86,0.87,1028743.77
2025-01-20,275.00,283.90,273.85,282.65,274.86,SKIP,,,,,,,,,,1028743.77
2025-01-21,282.65,285.15,276.15,277.15,280.51,SHORT,282.65,3639,280.51,280.51,true,40.00,409.87,7337.59,0.71,1036081.36
2025-01-22,278.60,283.50,272.70,279.05,281.41,LONG,278.60,3718,281.41,281.41,true,40.00,416.42,9991.16,0.96,1046072.52
2025-01-23,278.90,283.80,275.10,282.70,278.08,SHORT,278.90,3750,278.08,278.08,true,40.00,417.74,2617.26,0.25,1048689.78
