date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1042.60,1045.00,1035.60,1040.00,2103.12,LONG,1042.60,959,2103.12,1050.00,false,40.00,401.36,6655.24,0.67,1006655.24
2025-01-03,1049.80,1053.30,1038.80,1042.10,2091.85,LONG,1049.80,958,2091.85,1062.40,false,40.00,404.70,11626.10,1.16,1018281.34
2025-01-06,1060.30,1067.60,1056.80,1061.50,2120.22,LONG,1060.30,960,2120.22,1038.60,false,40.00,402.99,-21274.99,-2.09,997006.35
2025-01-07,1047.80,1063.50,1047.80,1062.00,2084.66,LONG,1047.80,951,2084.66,1107.20,false,40.00,409.88,56039.52,5.62,1053045.87
2025-01-08,1117.50,1166.20,1117.50,1159.50,2191.05,LONG,1117.50,942,2191.05,1161.90,false,40.00,429.44,41355.36,3.93,1094401.23
2025-01-09,1155.00,1162.50,1141.00,1155.00,2303.81,LONG,1155.00,947,2303.81,1090.80,false,40.00,425.35,-61262.75,-5.60,1033138.48
2025-01-10,1086.60,1098.70,1083.00,1090.70,2251.58,LONG,1086.60,950,2251.58,1039.00,false,40.00,403.86,-45663.86,-4.42,987474.61
2025-01-13,1040.00,1047.70,1035.50,1047.50,2126.62,LONG,1040.00,949,2126.62,986.30,false,40.00,384.59,-51385.89,-5.21,936088.72
2025-01-14,985.00,1000.40,985.00,998.50,2013.82,LONG,985.00,950,2013.82,1020.10,false,40.00,380.97,32924.03,3.52,969012.75
2025-01-15,1018.60,1022.70,1018.00,1020.00,2012.56,LONG,1018.60,951,2012.56,1019.60,false,40.00,387.67,523.33,0.05,969536.09
2025-01-16,1028.00,1042.20,1027.80,1035.10,2034.70,LONG,1028.00,943,2034.70,1026.50,false,40.00,387.48,-1841.98,-0.19,967694.11
2025-01-17,1025.50,1025.50,1012.00,1016.80,2076.16,LONG,1025.50,943,2076.16,1001.50,false,40.00,382.29,-23054.29,-2.38,944639.82
2025-01-20,993.00,1002.00,992.50,993.30,2013.30,LONG,993.00,951,2013.30,1018.50,false,40.00,382.59,23827.91,2.52,968467.73
2025-01-21,1024.00,1032.50,1024.00,1026.80,1995.99,LONG,1024.00,945,1995.99,991.80,false,40.00,380.99,-30849.99,-3.19,937617.74
2025-01-22,1002.30,1009.80,991.00,991.00,2018.94,LONG,1002.30,935,2018.94,989.20,false,40.00,372.41,-12660.91,-1.35,924956.83
2025-01-23,992.20,994.30,988.10,994.30,1974.15,LONG,992.20,932,1974.15,1011.50,false,40.00,373.49,17574.11,1.90,942530.94
2025-01-24,1017.40,1019.00,1006.40,1009.20,2013.13,LONG,1017.40,926,2013.13,989.80,false,40.00,371.73,-25969.33,-2.76,916561.61
2025-01-27,992.30,997.50,979.00,980.60,2000.34,LONG,992.30,923,2000.34,963.10,false,40.00,360.97,-27352.57,-2.99,889209.04
2025-01-28,965.00,972.00,965.00,971.40,1902.44,LONG,965.00,921,1902.44,939.40,false,40.00,350.79,-23968.39,-2.70,865240.65
2025-01-29,1025.00,1042.40,1000.00,1003.10,1897.08,LONG,1025.00,844,1897.08,1129.10,false,40.00,363.61,87456.79,10.11,952697.44
2025-01-30,1129.00,1161.80,1116.10,1156.30,2129.30,LONG,1129.00,843,2129.30,1170.00,false,40.00,387.61,34135.39,3.59,986832.83
2025-01-31,1165.00,1165.00,1135.20,1141.10,2339.30,LONG,1165.00,847,2339.30,1193.00,false,40.00,399.45,23276.55,2.36,1010109.38
2025-02-01,1192.00,1197.50,1179.60,1191.10,2362.66,LONG,1192.00,847,2362.66,1208.70,false,40.00,406.68,13698.22,1.36,1023807.61
2025-02-03,1206.10,1207.50,1191.40,1198.50,2410.87,LONG,1206.10,848,2410.87,1233.90,false,40.00,413.82,23120.58,2.26,1046928.18
2025-02-04,1236.60,1244.60,1234.90,1236.00,2450.77,LONG,1236.60,846,2450.77,1302.40,false,40.00,429.60,55197.20,5.28,1102125.38
2025-02-05,1300.00,1302.40,1287.50,1293.20,2545.13,LONG,1300.00,847,2545.13,1316.20,false,40.00,443.18,13238.22,1.20,1115363.60
2025-02-06,1309.00,1310.00,1291.70,1295.60,2617.36,LONG,1309.00,852,2617.36,1264.50,false,40.00,438.52,-38392.52,-3.44,1076971.07
2025-02-07,1268.00,1277.50,1268.00,1277.50,2553.06,LONG,1268.00,849,2553.06,1246.80,false,40.00,427.01,-18465.81,-1.72,1058505.26
2025-02-10,1249.50,1262.50,1249.50,1262.50,2533.88,LONG,1249.50,847,2533.88,1241.00,false,40.00,421.89,-7661.39,-0.72,1050843.87
2025-02-11,1243.70,1244.00,1233.80,1238.90,2431.58,LONG,1243.70,844,2431.58,1152.10,false,40.00,404.41,-77754.81,-7.41,973089.06
2025-02-12,1169.20,1177.60,1162.80,1177.60,2342.69,LONG,1169.20,832,2342.69,1185.00,false,40.00,391.74,12713.86,1.31,985802.92
2025-02-13,1183.40,1200.00,1183.40,1199.70,2360.17,LONG,1183.40,833,2360.17,1152.50,false,40.00,389.16,-26168.86,-2.65,959634.06
2025-02-14,1149.50,1156.40,1135.60,1135.60,2346.50,LONG,1149.50,834,2346.50,1079.50,false,40.00,371.80,-58791.80,-6.13,900842.26
2025-02-17,1077.20,1083.80,1062.50,1062.50,2168.27,LONG,1077.20,836,2168.27,1101.90,false,40.00,364.35,20244.85,2.25,921087.12
2025-02-18,1125.00,1167.50,1125.00,1167.50,2204.02,LONG,1125.00,818,2204.02,1097.00,false,40.00,363.52,-23307.52,-2.53,897779.60
2025-02-19,1109.00,1111.80,1096.50,1099.50,2223.23,LONG,1109.00,809,2223.23,1100.00,false,40.00,357.42,-7678.42,-0.86,890101.18
2025-02-20,1107.50,1122.20,1103.50,1121.00,2218.03,LONG,1107.50,803,2218.03,1135.90,false,40.00,360.29,22404.91,2.52,912506.09
2025-02-21,1141.00,1149.50,1132.60,1149.50,2248.58,LONG,1141.00,799,2248.58,1120.00,false,40.00,361.31,-17180.31,-1.88,895325.78
2025-02-24,1115.00,1138.50,1105.40,1136.80,2256.61,LONG,1115.00,802,2256.61,1132.60,false,40.00,360.52,13714.68,1.53,909040.47
2025-02-25,1138.10,1138.20,1125.50,1126.50,2273.58,LONG,1138.10,798,2273.58,1143.80,false,40.00,364.19,4144.41,0.46,913184.88
2025-02-27,1145.00,1161.20,1144.50,1161.20,2291.20,LONG,1145.00,797,2291.20,1111.00,false,40.00,359.61,-27497.61,-3.01,885687.27
2025-02-28,1091.40,1093.50,1076.80,1080.00,2231.10,LONG,1091.40,811,2231.10,1077.50,false,40.00,351.80,-11664.70,-1.32,874022.58
2025-03-03,1090.00,1103.30,1087.50,1102.20,2184.25,LONG,1090.00,801,2184.25,1072.20,false,40.00,346.38,-14644.18,-1.68,859378.39
2025-03-04,1058.60,1073.30,1056.50,1066.30,2126.19,LONG,1058.60,811,2126.19,1145.80,false,40.00,357.55,70321.65,8.19,929700.04
2025-03-05,1140.00,1153.20,1138.80,1146.60,2242.82,LONG,1140.00,815,2242.82,1201.80,false,40.00,381.71,49945.29,5.38,979645.32
2025-03-06,1216.70,1227.50,1214.50,1224.60,2368.29,LONG,1216.70,805,2368.29,1231.00,false,40.00,394.08,11077.42,1.13,990722.74
2025-03-07,1223.50,1226.50,1204.30,1207.20,2451.37,LONG,1223.50,809,2451.37,1227.50,false,40.00,396.57,2799.43,0.28,993522.17
2025-03-10,1222.60,1249.40,1222.60,1237.50,2451.40,LONG,1222.60,812,2451.40,1154.80,false,40.00,386.09,-55479.69,-5.59,938042.48
2025-03-11,1146.00,1148.10,1140.30,1144.70,2386.76,LONG,1146.00,818,2386.76,1128.10,false,40.00,372.04,-15054.24,-1.61,922988.24
2025-03-12,1121.20,1129.20,1117.50,1122.20,2265.62,LONG,1121.20,823,2265.62,1087.90,false,40.00,363.62,-27809.52,-3.01,895178.72
2025-03-13,1093.40,1106.60,1093.40,1099.70,2201.43,LONG,1093.40,818,2201.43,1093.00,false,40.00,357.70,-724.90,-0.08,894453.83
2025-03-17,1092.00,1097.00,1091.30,1092.80,2198.95,LONG,1092.00,819,2198.95,1098.20,false,40.00,358.75,4679.05,0.52,899132.87
2025-03-18,1100.80,1108.50,1099.50,1101.00,2209.92,LONG,1100.80,816,2209.92,1130.60,false,40.00,364.16,23912.64,2.66,923045.51
2025-03-19,1130.00,1158.50,1130.00,1158.50,2223.60,LONG,1130.00,816,2223.60,1178.70,false,40.00,376.78,39322.42,4.26,962367.93
2025-03-20,1185.60,1190.00,1182.80,1189.50,2352.33,LONG,1185.60,811,2352.33,1189.00,false,40.00,385.16,2332.24,0.24,964700.17
2025-03-21,1193.10,1193.50,1180.50,1188.70,2364.20,LONG,1193.10,808,2364.20,1231.70,false,40.00,391.85,30756.95,3.19,995457.12
2025-03-24,1232.50,1244.50,1230.50,1236.90,2416.40,LONG,1232.50,807,2416.40,1240.50,false,40.00,399.14,6016.86,0.60,1001473.98
2025-03-25,1247.00,1255.70,1241.50,1244.20,2471.07,LONG,1247.00,803,2471.07,1216.00,false,40.00,395.56,-25328.56,-2.53,976145.42
2025-03-26,1215.40,1218.60,1211.40,1215.10,2449.68,LONG,1215.40,803,2449.68,1192.20,false,40.00,386.66,-19056.26,-1.95,957089.16
2025-03-27,1180.00,1196.50,1180.00,1193.60,2421.41,LONG,1180.00,811,2421.41,1198.60,false,40.00,385.81,14658.79,1.53,971747.95
2025-03-28,1214.00,1229.00,1208.00,1222.00,2404.93,LONG,1214.00,800,2404.93,1225.70,false,40.00,390.35,8929.65,0.92,980677.60
2025-04-01,1220.50,1232.80,1220.40,1232.80,2477.65,LONG,1220.50,803,2477.65,1263.20,false,40.00,398.88,33849.22,3.45,1014526.82
2025-04-02,1271.50,1274.50,1258.10,1259.60,2503.03,LONG,1271.50,797,2503.03,1236.60,false,40.00,399.79,-28255.09,-2.79,986271.73
2025-04-03,1237.50,1246.00,1227.80,1244.40,2436.22,LONG,1237.50,796,2436.22,1258.40,false,40.00,397.35,16199.05,1.64,1002470.78
2025-04-04,1260.00,1264.50,1241.10,1241.50,2513.48,LONG,1260.00,795,2513.48,1146.90,false,40.00,382.70,-90337.20,-9.02,912133.58
2025-04-07,976.60,1037.40,976.60,1037.40,2353.22,LONG,976.60,933,2353.22,1067.50,false,40.00,381.43,84388.27,9.26,996521.85
2025-04-08,1099.20,1112.50,1098.20,1112.50,2108.30,LONG,1099.20,906,2108.30,1115.00,false,40.00,401.21,13873.59,1.39,1010395.44
2025-04-09,1097.40,1116.00,1095.50,1116.00,2201.16,LONG,1097.40,920,2201.16,1066.90,false,40.00,398.23,-28498.23,-2.82,981897.21
2025-04-11,1085.20,1098.40,1085.00,1085.00,2144.59,LONG,1085.20,904,2144.59,1132.80,false,40.00,401.01,42589.39,4.34,1024486.59
2025-04-15,1156.10,1163.40,1143.50,1150.20,2210.13,LONG,1156.10,886,2210.13,1174.90,false,40.00,413.05,16203.75,1.58,1040690.34
2025-04-16,1171.50,1173.60,1166.60,1166.60,2346.97,LONG,1171.50,888,2346.97,1163.00,false,40.00,414.61,-8002.61,-0.77,1032687.73
2025-04-17,1163.40,1164.60,1158.00,1158.30,2331.55,LONG,1163.40,887,2331.55,1161.70,false,40.00,412.47,-1960.37,-0.19,1030727.36
2025-04-21,1167.00,1167.00,1157.80,1158.10,2339.88,LONG,1167.00,883,2339.88,1131.80,false,40.00,405.97,-31527.57,-3.06,999199.79
2025-04-22,1130.80,1135.50,1125.80,1128.60,2276.50,LONG,1130.80,883,2276.50,1095.80,false,40.00,393.22,-31338.22,-3.14,967861.57
2025-04-23,1101.50,1106.70,1100.00,1101.60,2192.88,LONG,1101.50,878,2192.88,1100.30,false,40.00,386.64,-1480.24,-0.15,966381.34
2025-04-24,1101.00,1113.50,1094.40,1098.00,2199.48,LONG,1101.00,877,2199.48,1097.40,false,40.00,385.60,-3582.80,-0.37,962798.54
2025-04-25,1118.00,1120.00,1113.00,1113.00,2224.20,LONG,1118.00,861,2224.20,1066.00,false,40.00,376.08,-45188.08,-4.69,917610.45
2025-04-28,1068.70,1069.00,1054.50,1054.50,1066.93,SHORT,1068.70,858,1066.93,1066.93,true,40.00,366.47,1112.19,0.12,918722.64
2025-04-29,1115.00,1118.90,1107.30,1111.30,1077.19,SHORT,1115.00,823,1077.19,1084.40,false,40.00,362.02,24781.78,2.70,943504.42
2025-04-30,1086.00,1094.40,1086.00,1087.20,1102.47,LONG,1086.00,868,1102.47,1102.47,true,40.00,379.92,13876.04,1.47,957380.46
2025-05-02,1150.90,1150.90,1124.10,1129.00,1120.92,SHORT,1150.90,831,1120.92,1156.00,false,40.00,383.41,-4661.51,-0.49,952718.95
2025-05-05,1188.00,1194.40,1175.70,1194.00,1188.45,SKIP,,,,,,,,,,952718.95
2025-05-06,1204.90,1214.40,1190.70,1192.00,1174.88,SHORT,1204.90,790,1174.88,1174.88,true,40.00,376.01,23299.79,2.45,976018.75
2025-05-07,1095.10,1123.20,1095.10,1121.20,1159.06,LONG,1095.10,891,1159.06,1159.06,true,40.00,401.69,56546.67,5.80,1032565.42
2025-05-08,1153.20,1160.00,1148.10,1153.70,1139.55,SHORT,1153.20,895,1139.55,1165.80,false,40.00,415.10,-11732.10,-1.14,1020833.32
2025-05-09,1130.40,1141.90,1127.60,1141.90,1179.04,LONG,1130.40,903,1179.04,1163.80,false,40.00,414.33,29705.87,2.91,1050539.18
2025-05-12,1184.00,1199.70,1180.00,1199.70,1144.61,SHORT,1184.00,887,1144.61,1179.80,false,40.00,419.34,3266.06,0.31,1053805.25
2025-05-13,1187.80,1192.00,1179.10,1180.00,1200.68,LONG,1187.80,887,1200.68,1200.68,true,40.00,423.72,10960.84,1.04,1064766.09
2025-05-14,1182.80,1183.90,1168.20,1173.40,1189.31,LONG,1182.80,900,1189.31,1155.00,false,40.00,420.80,-25480.80,-2.39,1039285.28
2025-05-15,1162.90,1165.10,1154.30,1154.30,1164.67,LONG,1162.90,893,1164.67,1164.67,true,40.00,415.70,1124.91,0.11,1040410.19
2025-05-16,1145.00,1145.00,1122.20,1122.20,1143.44,SHORT,1145.00,908,1143.44,1143.44,true,40.00,415.58,960.90,0.09,1041371.09
2025-05-19,1123.00,1148.90,1123.00,1141.30,1131.71,LONG,1123.00,927,1131.71,1131.71,true,40.00,418.02,7616.15,0.73,1048987.24
2025-05-20,1199.50,1203.00,1185.00,1185.40,1172.46,SHORT,1199.50,874,1172.46,1172.46,true,40.00,414.62,23178.34,2.21,1072165.58
2025-05-21,1171.20,1179.50,1166.00,1177.80,1170.76,SKIP,,,,,,,,,,1072165.58
2025-05-22,1190.00,1193.20,1182.40,1193.20,1182.71,SHORT,1190.00,900,1182.71,1182.71,true,40.00,427.09,6093.91,0.57,1078259.49
2025-05-23,1188.80,1199.60,1181.60,1199.60,1191.92,LONG,1188.80,907,1191.92,1191.92,true,40.00,431.86,2357.98,0.22,1080617.47
2025-05-26,1178.00,1187.00,1168.80,1175.10,1181.57,LONG,1178.00,917,1181.57,1181.57,true,40.00,432.75,2800.94,0.26,1083418.41
2025-05-27,1198.90,1199.00,1180.40,1190.10,1193.01,SHORT,1198.90,903,1193.01,1193.01,true,40.00,431.98,4846.69,0.45,1088265.10
2025-05-28,1169.40,1175.50,1169.40,1169.40,1179.04,LONG,1169.40,930,1179.04,1179.04,true,40.00,436.81,8488.39,0.78,1096753.49
2025-05-29,1189.00,1194.20,1185.80,1188.10,1180.75,SHORT,1189.00,922,1180.75,1180.75,true,40.00,436.98,7129.52,0.65,1103883.01
2025-05-30,1179.90,1183.50,1176.50,1183.00,1181.98,LONG,1179.90,935,1181.98,1181.98,true,40.00,441.67,1463.13,0.13,1105346.14
2025-06-02,1170.00,1194.00,1170.00,1189.40,1176.32,LONG,1170.00,944,1176.32,1176.32,true,40.00,442.99,5483.09,0.50,1110829.24
2025-06-03,1131.10,1143.50,1131.10,1138.60,1144.33,LONG,1131.10,982,1144.33,1144.33,true,40.00,446.89,12504.97,1.13,1123334.20
2025-06-04,1126.80,1126.80,1121.40,1126.60,1130.65,LONG,1126.80,996,1130.65,1117.00,false,40.00,446.96,-10247.76,-0.91,1113086.44
2025-06-05,1113.70,1116.80,1108.30,1110.50,1122.63,LONG,1113.70,999,1122.63,1122.63,true,40.00,446.82,8434.25,0.76,1121520.69
2025-06-06,1129.90,1134.20,1129.00,1132.40,1129.07,SKIP,,,,,,,,,,1121520.69
2025-06-09,1141.80,1149.90,1141.10,1149.90,1146.74,LONG,1141.80,982,1146.74,1146.74,true,40.00,449.47,4361.61,0.39,1125882.30
2025-06-10,1120.90,1124.10,1115.90,1119.50,1122.62,LONG,1120.90,1004,1122.62,1122.62,true,40.00,450.50,1236.38,0.11,1127118.68
