date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,3033.95,3039.55,2962.35,2976.35,3006.35,SHORT,3033.95,329,3006.35,3006.35,true,40.00,397.45,8642.95,0.87,1008642.95
2025-01-03,2976.35,2999.00,2849.20,2856.20,2994.58,LONG,2976.35,338,2994.58,2994.58,true,40.00,403.63,5718.11,0.57,1014361.05
2025-01-06,2885.00,2990.00,2732.50,2751.85,2893.41,LONG,2885.00,351,2893.41,2893.41,true,40.00,405.64,2506.27,0.25,1016867.32
2025-01-07,2775.00,2802.60,2695.15,2761.45,2858.46,LONG,2775.00,366,2858.46,2761.45,false,40.00,405.27,-5404.57,-0.53,1011462.75
2025-01-08,2784.00,2784.85,2630.05,2653.65,2743.18,SHORT,2784.00,363,2743.18,2743.18,true,40.00,401.27,14376.39,1.42,1025839.14
2025-01-09,2660.00,2688.00,2612.00,2625.85,2675.90,LONG,2660.00,385,2675.90,2675.90,true,40.00,410.86,5670.64,0.55,1031509.77
2025-01-10,2628.00,2644.00,2533.00,2544.05,2655.68,LONG,2628.00,392,2655.68,2544.05,false,40.00,405.49,-33353.89,-3.24,998155.88
2025-01-13,2510.00,2555.70,2392.00,2446.55,2582.09,LONG,2510.00,397,2582.09,2446.55,false,40.00,393.55,-25623.20,-2.57,972532.68
2025-01-14,2370.00,2425.90,2274.00,2370.55,2484.83,LONG,2370.00,410,2484.83,2370.55,false,40.00,388.73,-203.23,-0.02,972329.46
2025-01-15,2380.55,2527.00,2377.00,2497.35,2356.91,SHORT,2380.55,408,2356.91,2497.35,false,40.00,398.04,-48092.44,-4.95,924237.02
2025-01-16,2511.00,2567.70,2455.20,2485.50,2447.73,SHORT,2511.00,368,2447.73,2485.50,false,40.00,367.74,8976.26,0.97,933213.28
2025-01-17,2485.00,2494.45,2442.00,2454.50,2508.07,LONG,2485.00,375,2508.07,2454.50,false,40.00,370.46,-11847.96,-1.27,921365.32
2025-01-20,2454.50,2609.00,2430.15,2587.50,2465.56,LONG,2454.50,375,2465.56,2465.56,true,40.00,369.00,3738.50,0.41,925103.81
2025-01-21,2573.00,2587.15,2482.10,2525.30,2541.38,SHORT,2573.00,359,2541.38,2541.38,true,40.00,367.21,10944.37,1.18,936048.18
2025-01-22,2515.00,2522.75,2390.00,2442.35,2519.02,LONG,2515.00,372,2519.02,2519.02,true,40.00,374.53,1080.91,0.12,937129.09
2025-01-23,2434.00,2494.00,2397.80,2431.45,2435.68,LONG,2434.00,385,2435.68,2435.68,true,40.00,374.97,231.83,0.02,937360.92
2025-01-24,2414.10,2439.70,2320.00,2334.35,2450.21,LONG,2414.10,388,2450.21,2334.35,false,40.00,368.48,-31351.48,-3.35,906009.44
2025-01-27,2306.65,2312.00,2188.50,2212.65,2365.48,LONG,2306.65,392,2365.48,2212.65,false,40.00,354.31,-37242.31,-4.12,868767.13
2025-01-28,2215.80,2249.10,2150.30,2185.80,2247.74,LONG,2215.80,392,2247.74,2247.74,true,40.00,349.94,12130.54,1.40,880897.67
2025-01-29,2198.05,2318.65,2182.05,2296.55,2195.36,SHORT,2198.05,400,2195.36,2195.36,true,40.00,351.47,684.53,0.08,881582.20
2025-01-30,2310.00,2328.95,2255.00,2277.80,2256.27,SHORT,2310.00,381,2256.27,2256.27,true,40.00,347.95,20083.18,2.28,901665.38
2025-01-31,2288.00,2355.00,2260.10,2346.10,2289.71,LONG,2288.00,394,2289.71,2289.71,true,40.00,360.72,273.02,0.03,901938.39
2025-02-01,2344.80,2520.00,2296.50,2478.90,2315.38,SHORT,2344.80,384,2315.38,2315.38,true,40.00,357.90,10899.38,1.21,912837.77
2025-02-03,2423.95,2423.95,2304.75,2325.75,2395.42,SHORT,2423.95,376,2395.42,2395.42,true,40.00,362.42,10324.86,1.13,923162.64
2025-02-04,2336.05,2388.25,2307.10,2350.35,2353.15,LONG,2336.05,395,2353.15,2353.15,true,40.00,370.45,6344.05,0.69,929506.69
2025-02-05,2380.00,2536.85,2380.00,2498.20,2344.13,SHORT,2380.00,390,2344.13,2498.20,false,40.00,380.50,-46518.50,-5.01,882988.19
2025-02-06,2498.50,2504.00,2431.45,2438.50,2493.17,SHORT,2498.50,353,2493.17,2493.17,true,40.00,352.41,1489.08,0.17,884477.27
2025-02-07,2440.00,2484.60,2401.35,2412.80,2459.28,LONG,2440.00,362,2459.28,2459.28,true,40.00,354.71,6584.65,0.75,891061.92
2025-02-10,2412.80,2426.95,2330.00,2342.80,2437.30,LONG,2412.80,369,2437.30,2342.80,false,40.00,350.96,-26220.96,-2.95,864840.96
2025-02-11,2349.90,2359.45,2212.05,2260.50,2362.14,LONG,2349.90,368,2362.14,2260.50,false,40.00,339.33,-33278.53,-3.85,831562.43
2025-02-12,2278.75,2380.00,2195.00,2348.60,2252.21,SHORT,2278.75,364,2252.21,2252.21,true,40.00,329.85,9290.71,1.12,840853.14
2025-02-13,2348.60,2369.05,2301.00,2312.60,2317.16,SHORT,2348.60,358,2317.16,2317.16,true,40.00,334.07,10881.45,1.29,851734.59
2025-02-14,2326.95,2341.25,2195.00,2209.35,2334.38,LONG,2326.95,366,2334.38,2334.38,true,40.00,341.21,2338.17,0.27,854072.76
2025-02-17,2201.20,2270.00,2150.10,2211.60,2248.86,LONG,2201.20,388,2248.86,2248.86,true,40.00,345.32,18106.76,2.12,872179.51
2025-02-18,2220.00,2230.50,2166.75,2213.40,2229.24,LONG,2220.00,392,2229.24,2229.24,true,40.00,348.82,3233.26,0.37,875412.77
2025-02-19,2201.00,2332.30,2172.15,2321.25,2196.37,SHORT,2201.00,397,2196.37,2196.37,true,40.00,349.15,1448.96,0.17,876861.73
2025-02-20,2295.00,2403.00,2279.05,2392.80,2283.68,SHORT,2295.00,382,2283.68,2283.68,true,40.00,349.81,3934.43,0.45,880796.16
2025-02-21,2370.00,2441.20,2334.30,2356.60,2364.54,SHORT,2370.00,371,2364.54,2364.54,true,40.00,351.30,1634.36,0.19,882430.52
2025-02-24,2329.35,2343.95,2252.00,2273.05,2378.09,LONG,2329.35,378,2378.09,2273.05,false,40.00,347.94,-21669.34,-2.46,860761.18
2025-02-25,2284.40,2307.65,2195.50,2213.15,2286.49,LONG,2284.40,376,2286.49,2286.49,true,40.00,343.73,402.11,0.05,861163.29
2025-02-27,2213.15,2234.00,2140.00,2195.80,2235.28,LONG,2213.15,389,2235.28,2195.80,false,40.00,343.02,-7132.17,-0.83,854031.12
2025-02-28,2179.95,2222.95,2091.70,2169.15,2176.66,SHORT,2179.95,391,2176.66,2176.66,true,40.00,340.69,905.70,0.11,854936.82
2025-03-03,2169.00,2199.45,1952.25,1978.05,2142.65,SHORT,2169.00,394,2142.65,2142.65,true,40.00,339.76,10002.14,1.17,864938.97
2025-03-04,1949.00,2068.40,1944.00,2014.20,2012.12,LONG,1949.00,443,2012.12,2012.12,true,40.00,350.96,27571.20,3.19,892510.17
2025-03-05,2014.00,2128.20,1995.50,2104.10,2019.32,LONG,2014.00,443,2019.32,2019.32,true,40.00,357.35,1959.41,0.22,894469.58
2025-03-06,2104.15,2132.00,2071.00,2118.75,2072.92,SHORT,2104.15,425,2072.92,2072.92,true,40.00,355.05,12877.70,1.44,907347.28
2025-03-07,2117.00,2159.00,2090.00,2098.00,2106.33,SHORT,2117.00,428,2106.33,2106.33,true,40.00,361.52,4165.24,0.46,911512.52
2025-03-10,2095.00,2126.45,2030.00,2044.10,2120.47,LONG,2095.00,435,2120.47,2120.47,true,40.00,366.75,10672.70,1.17,922185.22
2025-03-11,2014.00,2029.00,1986.00,1998.60,2071.88,LONG,2014.00,457,2071.88,1998.60,false,40.00,366.75,-7444.55,-0.81,914740.67
2025-03-12,2011.00,2047.00,1956.00,1962.30,2003.29,SHORT,2011.00,454,2003.29,2003.29,true,40.00,364.50,3095.84,0.34,917836.51
2025-03-13,1985.95,2006.00,1941.00,1953.50,1990.43,LONG,1985.95,462,1990.43,1990.43,true,40.00,367.42,1662.34,0.18,919498.86
2025-03-17,1979.00,1999.00,1957.00,1979.85,1967.51,SHORT,1979.00,464,1967.51,1967.51,true,40.00,366.24,4925.12,0.54,924423.98
2025-03-18,1996.00,2099.00,1991.90,2091.95,1982.49,SHORT,1996.00,463,1982.49,2091.95,false,40.00,378.54,-44843.39,-4.85,879580.59
2025-03-19,2108.40,2231.00,2095.55,2215.35,2053.59,SHORT,2108.40,417,2053.59,2215.35,false,40.00,360.60,-44998.75,-5.12,834581.84
2025-03-20,2219.95,2280.00,2178.35,2262.80,2177.51,SHORT,2219.95,375,2177.51,2262.80,false,40.00,336.21,-16444.96,-1.98,818136.88
2025-03-21,2260.00,2344.40,2235.00,2336.80,2236.08,SHORT,2260.00,362,2236.08,2236.08,true,40.00,325.52,8293.52,1.01,826430.40
2025-03-24,2350.00,2424.00,2341.20,2374.95,2312.10,SHORT,2350.00,351,2312.10,2374.95,false,40.00,331.69,-9129.14,-1.11,817301.26
2025-03-25,2386.20,2399.30,2290.00,2301.45,2394.63,LONG,2386.20,342,2394.63,2394.63,true,40.00,327.01,2516.05,0.31,819817.31
2025-03-26,2301.45,2337.20,2267.50,2324.65,2337.14,LONG,2301.45,356,2337.14,2337.14,true,40.00,330.27,12335.37,1.51,832152.69
2025-03-27,2315.00,2348.80,2295.40,2318.25,2305.73,SHORT,2315.00,359,2305.73,2305.73,true,40.00,331.77,2956.16,0.36,835108.85
2025-03-28,2335.00,2398.00,2300.00,2313.20,2323.54,SHORT,2335.00,357,2323.54,2323.54,true,40.00,332.62,3718.60,0.45,838827.45
2025-04-01,2298.00,2370.00,2273.00,2317.95,2346.83,LONG,2298.00,365,2346.83,2346.83,true,40.00,339.07,17443.88,2.08,856271.32
