date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,529.90,530.70,517.00,526.55,525.23,SHORT,529.90,1887,525.23,525.23,true,40.00,398.21,8374.08,0.84,1008374.08
2025-01-03,526.65,529.20,510.55,511.95,522.90,SHORT,526.65,1914,522.90,522.90,true,40.00,401.77,6735.73,0.67,1015109.82
2025-01-06,511.50,513.50,497.10,500.75,518.19,LONG,511.50,1984,518.19,500.75,false,40.00,401.66,-21769.66,-2.15,993340.16
2025-01-07,501.35,505.65,496.55,498.10,503.71,LONG,501.35,1981,503.71,503.71,true,40.00,398.20,4236.96,0.43,997577.11
2025-01-08,498.00,498.00,479.40,482.90,500.38,LONG,498.00,2003,500.38,482.90,false,40.00,392.95,-30678.25,-3.08,966898.86
2025-01-09,485.05,486.10,474.05,475.60,485.71,LONG,485.05,1993,485.71,485.71,true,40.00,386.94,888.44,0.09,967787.30
2025-01-10,475.55,476.95,458.50,462.00,480.56,LONG,475.55,2035,480.56,462.00,false,40.00,381.58,-27995.83,-2.89,939791.46
2025-01-13,452.00,460.45,440.95,443.15,464.04,LONG,452.00,2079,464.04,443.15,false,40.00,372.20,-18811.35,-2.00,920980.11
2025-01-14,446.90,456.70,446.15,452.80,449.11,LONG,446.90,2060,449.11,449.11,true,40.00,369.16,4143.44,0.45,925123.55
2025-01-15,454.30,459.35,452.20,454.75,451.53,SHORT,454.30,2036,451.53,454.75,false,40.00,370.17,-1326.37,-0.14,923797.19
2025-01-16,457.00,465.35,453.75,455.60,455.49,SHORT,457.00,2021,455.49,455.49,true,40.00,368.83,2642.88,0.29,926440.07
2025-01-17,457.50,458.70,449.00,452.80,457.95,SKIP,,,,,,,,,,926440.07
2025-01-20,452.80,454.90,447.25,451.30,452.31,SHORT,452.80,2046,452.31,452.31,true,40.00,370.37,592.17,0.06,927032.24
2025-01-21,453.60,458.20,446.35,447.60,451.03,SHORT,453.60,2043,451.03,451.03,true,40.00,369.63,4840.88,0.52,931873.12
2025-01-22,449.95,453.45,432.65,439.00,451.17,LONG,449.95,2071,451.17,451.17,true,40.00,373.24,2113.38,0.23,933986.49
2025-01-23,438.45,442.20,431.80,438.90,438.46,SKIP,,,,,,,,,,933986.49
2025-01-24,439.05,440.80,422.45,423.40,438.49,SHORT,439.05,2127,438.49,438.49,true,40.00,373.31,777.81,0.08,934764.31
2025-01-27,421.00,421.00,407.05,419.55,428.77,LONG,421.00,2220,428.77,419.55,false,40.00,373.20,-3632.20,-0.39,931132.10
2025-01-28,424.90,430.00,418.10,423.75,414.76,SHORT,424.90,2191,414.76,423.75,false,40.00,371.88,2107.77,0.23,933239.88
2025-01-29,424.00,429.30,422.05,423.95,424.68,LONG,424.00,2201,424.68,424.68,true,40.00,373.59,1083.09,0.12,934322.97
2025-01-30,425.10,434.90,420.00,432.80,425.01,SKIP,,,,,,,,,,934322.97
2025-01-31,433.00,439.10,430.75,437.30,427.90,SHORT,433.00,2157,427.90,437.30,false,40.00,375.45,-9690.55,-1.04,924632.42
2025-02-01,440.15,441.25,421.35,426.35,436.07,SHORT,440.15,2100,436.07,436.07,true,40.00,368.01,8159.99,0.88,932792.41
2025-02-03,424.00,428.40,411.35,414.65,429.22,LONG,424.00,2199,429.22,414.65,false,40.00,368.84,-20969.49,-2.25,911822.92
2025-02-04,416.05,423.35,415.50,421.95,416.98,LONG,416.05,2191,416.98,416.98,true,40.00,365.03,1632.60,0.18,913455.52
2025-02-05,421.95,426.15,419.25,420.10,420.50,SHORT,421.95,2164,420.50,420.50,true,40.00,364.61,2733.19,0.30,916188.70
2025-02-06,422.95,422.95,413.55,416.40,422.46,SHORT,422.95,2166,422.46,422.46,true,40.00,366.23,655.11,0.07,916843.81
2025-02-07,414.00,430.90,414.00,426.15,417.49,LONG,414.00,2214,417.49,417.49,true,40.00,368.18,7318.68,0.80,924162.49
2025-02-10,429.00,437.35,420.10,422.70,424.96,SHORT,429.00,2154,424.96,424.96,true,40.00,367.89,8294.27,0.90,932456.76
2025-02-11,423.05,426.90,413.65,417.55,427.77,LONG,423.05,2204,427.77,417.55,false,40.00,370.54,-12532.54,-1.34,919924.23
2025-02-12,417.15,419.65,408.10,412.80,417.91,LONG,417.15,2205,417.91,417.91,true,40.00,368.26,1267.54,0.14,921191.76
2025-02-13,415.65,425.50,412.40,420.70,413.17,SHORT,415.65,2216,413.17,413.17,true,40.00,367.33,5088.35,0.55,926280.11
2025-02-14,422.55,424.30,410.00,413.20,421.23,SHORT,422.55,2192,421.23,421.23,true,40.00,369.91,2483.53,0.27,928763.64
2025-02-17,414.00,417.60,403.50,416.30,414.26,SKIP,,,,,,,,,,928763.64
2025-02-18,414.05,418.20,406.60,412.10,412.69,SHORT,414.05,2243,412.69,412.69,true,40.00,370.88,2639.60,0.28,931403.24
2025-02-19,410.95,415.45,407.30,413.40,411.11,SKIP,,,,,,,,,,931403.24
2025-02-20,412.00,419.45,409.30,418.40,412.69,LONG,412.00,2260,412.69,412.69,true,40.00,372.76,1146.64,0.12,932549.88
2025-02-21,418.40,423.55,407.25,408.65,415.08,SHORT,418.40,2228,415.08,415.08,true,40.00,371.40,6985.56,0.75,939535.44
2025-02-24,408.50,408.50,399.30,401.35,413.99,LONG,408.50,2299,413.99,401.35,false,40.00,372.37,-16850.22,-1.79,922685.22
2025-02-25,401.35,404.70,398.10,398.95,401.92,LONG,401.35,2298,401.92,401.92,true,40.00,369.18,900.68,0.10,923585.90
2025-02-27,398.95,400.20,389.00,389.95,400.07,LONG,398.95,2315,400.07,400.07,true,40.00,369.95,2182.85,0.24,925768.76
2025-02-28,388.90,389.65,373.35,374.30,391.34,LONG,388.90,2380,391.34,374.30,false,40.00,363.28,-35151.28,-3.80,890617.47
2025-03-03,378.10,388.90,370.90,387.30,379.05,LONG,378.10,2355,379.05,379.05,true,40.00,356.62,1840.63,0.21,892458.10
2025-03-04,386.90,386.90,377.80,378.70,381.53,SHORT,386.90,2306,381.53,381.53,true,40.00,354.40,11988.82,1.34,904446.92
2025-03-05,379.15,390.65,379.15,389.45,381.20,LONG,379.15,2385,381.20,381.20,true,40.00,362.69,4486.56,0.50,908933.49
2025-03-06,399.00,407.70,393.50,400.85,385.53,SHORT,399.00,2278,385.53,400.85,false,40.00,364.41,-4618.71,-0.51,904314.78
2025-03-07,400.85,413.50,397.65,411.70,401.18,SKIP,,,,,,,,,,904314.78
2025-03-10,411.50,414.75,406.15,408.80,406.19,SHORT,411.50,2197,406.19,406.19,true,40.00,359.29,11266.78,1.25,915581.55
2025-03-11,404.90,407.35,401.05,402.10,411.08,LONG,404.90,2261,411.08,402.10,false,40.00,364.93,-6735.73,-0.74,908845.83
2025-03-12,404.55,410.90,402.30,407.35,403.76,SHORT,404.55,2246,403.76,403.76,true,40.00,363.09,1371.25,0.15,910217.07
2025-03-13,408.00,409.20,399.10,400.95,407.21,SHORT,408.00,2230,407.21,407.21,true,40.00,363.58,1358.12,0.15,911575.19
2025-03-17,399.50,404.00,396.20,402.30,403.57,LONG,399.50,2281,403.57,403.57,true,40.00,366.36,8877.31,0.97,920452.50
2025-03-18,404.00,413.95,402.00,410.10,399.77,SHORT,404.00,2278,399.77,410.10,false,40.00,370.90,-14306.70,-1.55,906145.80
2025-03-19,412.10,428.65,410.00,425.05,410.33,SHORT,412.10,2198,410.33,410.33,true,40.00,361.54,3488.92,0.39,909634.72
2025-03-20,425.05,428.55,420.55,427.00,421.71,SHORT,425.05,2140,421.71,421.71,true,40.00,362.41,6745.19,0.74,916379.90
2025-03-21,426.60,428.70,422.60,425.85,425.87,SHORT,426.60,2148,425.87,425.87,true,40.00,366.22,1161.82,0.13,917541.72
2025-03-24,428.70,435.30,422.85,432.95,425.69,SHORT,428.70,2140,425.69,425.69,true,40.00,365.68,6035.72,0.66,923577.44
2025-03-25,440.50,440.65,424.60,432.20,429.48,SHORT,440.50,2096,429.48,429.48,true,40.00,364.70,22693.22,2.46,946270.67
2025-03-26,431.45,435.30,426.15,429.60,431.13,SKIP,,,,,,,,,,946270.67
2025-03-27,429.60,432.00,420.05,428.00,431.93,LONG,429.60,2202,431.93,431.93,true,40.00,379.42,4711.24,0.50,950981.91
2025-03-28,430.05,433.05,422.75,426.05,428.54,SHORT,430.05,2211,428.54,428.54,true,40.00,379.67,2918.94,0.31,953900.85
2025-04-01,425.00,429.35,420.55,422.55,428.20,LONG,425.00,2244,428.20,428.20,true,40.00,382.92,6757.88,0.71,960658.74
