date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,520.00,525.00,520.00,521.45,519.92,SKIP,,,,,,,,,,1000000.00
2025-01-03,522.10,528.95,522.00,527.05,522.11,SKIP,,,,,,,,,,1000000.00
2025-01-06,525.95,532.00,521.40,531.25,522.87,SHORT,525.95,1901,522.87,522.87,true,40.00,398.76,5416.32,0.54,1005416.32
2025-01-07,524.95,533.50,523.50,532.55,524.34,SHORT,524.95,1915,524.34,524.34,true,40.00,401.88,726.27,0.07,1006142.59
2025-01-08,524.20,530.50,524.20,530.50,525.39,LONG,524.20,1919,525.39,525.39,true,40.00,402.83,1840.78,0.18,1007983.37
2025-01-09,521.60,525.85,510.00,525.20,521.93,SKIP,,,,,,,,,,1007983.37
2025-01-10,512.00,514.55,512.00,514.55,516.88,LONG,512.00,1968,516.88,516.88,true,40.00,404.97,9158.87,0.91,1017142.24
2025-01-13,491.10,496.00,491.10,494.95,506.88,LONG,491.10,2071,506.88,491.00,false,40.00,406.79,-653.89,-0.06,1016488.35
2025-01-14,489.95,494.05,488.75,493.45,494.34,LONG,489.95,2074,494.34,494.34,true,40.00,408.28,8656.58,0.85,1025144.93
2025-01-15,504.20,506.10,500.50,500.50,497.15,SHORT,504.20,2033,497.15,497.15,true,40.00,407.15,13885.50,1.35,1039030.43
2025-01-16,492.00,497.20,492.00,495.50,491.98,SKIP,,,,,,,,,,1039030.43
2025-01-17,495.00,496.00,493.25,496.00,498.44,LONG,495.00,2099,498.44,498.44,true,40.00,417.05,6763.51,0.65,1045793.95
2025-01-20,497.50,498.70,496.05,498.70,496.11,SHORT,497.50,2102,496.11,496.11,true,40.00,417.71,2464.07,0.24,1048258.01
2025-01-21,495.00,496.00,493.15,494.65,496.16,LONG,495.00,2117,496.16,496.16,true,40.00,419.66,1996.06,0.19,1050254.08
2025-01-22,496.90,500.45,496.90,497.50,497.66,LONG,496.90,2113,497.66,497.66,true,40.00,420.30,1145.58,0.11,1051399.65
2025-01-23,500.00,500.05,496.05,497.05,497.78,SHORT,500.00,2102,497.78,497.78,true,40.00,419.47,4206.97,0.40,1055606.63
2025-01-24,500.30,501.65,496.25,498.70,499.71,SHORT,500.30,2109,499.71,499.71,true,40.00,421.80,782.51,0.07,1056389.13
2025-01-27,496.05,496.80,492.55,494.80,497.88,LONG,496.05,2129,497.88,497.88,true,40.00,423.22,3432.85,0.33,1059821.99
2025-01-28,485.15,488.65,485.15,487.40,483.42,SHORT,485.15,2184,483.42,483.42,true,40.00,423.07,3315.25,0.31,1063137.24
