date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,749.00,749.45,731.80,734.45,755.33,LONG,749.00,1335,755.33,734.45,false,40.00,396.08,-19860.33,-1.99,980139.67
2025-01-03,734.50,750.80,725.00,727.65,738.11,LONG,734.50,1334,738.11,738.11,true,40.00,392.89,4382.85,0.45,984522.52
2025-01-06,725.05,726.00,697.10,703.80,738.02,LONG,725.05,1357,738.02,703.80,false,40.00,387.79,-29264.04,-2.97,955258.48
2025-01-07,707.85,717.90,700.00,703.30,706.96,SHORT,707.85,1349,706.96,706.96,true,40.00,381.72,778.89,0.08,956037.37
2025-01-08,704.95,708.35,693.05,704.95,707.76,LONG,704.95,1356,707.76,707.76,true,40.00,383.13,3387.23,0.35,959424.60
2025-01-09,702.50,705.00,680.00,682.15,700.91,SHORT,702.50,1365,700.91,700.91,true,40.00,383.13,1747.22,0.18,961171.82
2025-01-10,700.00,708.65,669.00,681.25,691.35,SHORT,700.00,1373,691.35,691.35,true,40.00,382.06,11454.39,1.19,972626.21
2025-01-13,675.00,675.00,620.60,628.20,682.55,LONG,675.00,1440,682.55,628.20,false,40.00,375.32,-67807.32,-6.98,904818.89
2025-01-14,637.75,711.00,635.80,669.80,643.75,LONG,637.75,1418,643.75,643.75,true,40.00,363.43,8104.57,0.90,912923.45
2025-01-15,671.85,687.65,658.00,662.25,682.91,LONG,671.85,1358,682.91,682.91,true,40.00,367.95,14611.53,1.60,927534.98
2025-01-16,696.00,708.00,669.55,673.35,670.28,SHORT,696.00,1332,670.28,670.28,true,40.00,363.98,33855.06,3.65,961390.04
2025-01-17,679.90,680.00,668.60,673.15,684.85,LONG,679.90,1414,684.85,673.15,false,40.00,382.64,-9967.14,-1.04,951422.90
2025-01-20,675.20,680.00,666.10,675.75,674.28,SHORT,675.20,1409,674.28,674.28,true,40.00,380.28,876.00,0.09,952298.90
2025-01-21,675.50,679.00,664.50,666.30,674.91,SKIP,,,,,,,,,,952298.90
2025-01-22,666.65,669.85,642.50,655.35,670.99,LONG,666.65,1428,670.99,655.35,false,40.00,377.56,-16553.96,-1.74,935744.93
2025-01-23,656.00,664.45,651.60,658.25,651.21,SHORT,656.00,1426,651.21,658.25,false,40.00,374.82,-3623.32,-0.39,932121.61
2025-01-24,660.00,663.70,638.00,641.50,658.28,SHORT,660.00,1412,658.28,658.28,true,40.00,372.28,2016.36,0.22,934137.97
2025-01-27,640.95,640.95,611.70,619.40,647.90,LONG,640.95,1457,647.90,619.40,false,40.00,367.27,-31805.62,-3.41,902332.35
2025-01-28,619.40,627.15,607.40,616.05,625.22,LONG,619.40,1456,625.22,625.22,true,40.00,362.43,8071.49,0.89,910403.84
2025-01-29,616.85,628.00,613.05,623.85,617.32,SKIP,,,,,,,,,,910403.84
2025-01-30,625.00,647.40,622.60,641.50,622.19,SHORT,625.00,1456,622.19,641.50,false,40.00,368.80,-24432.80,-2.68,885971.03
2025-01-31,639.95,649.80,635.00,643.10,636.54,SHORT,639.95,1384,636.54,636.54,true,40.00,353.33,4326.11,0.49,890297.14
2025-02-01,647.50,654.40,625.75,634.75,643.37,SHORT,647.50,1374,643.37,643.37,true,40.00,354.73,5279.89,0.59,895577.03
2025-02-03,629.95,630.25,618.45,620.35,642.78,LONG,629.95,1421,642.78,620.35,false,40.00,355.34,-14036.94,-1.57,881540.09
2025-02-04,626.00,634.35,622.80,628.95,624.09,SHORT,626.00,1408,624.09,624.09,true,40.00,352.03,2297.25,0.26,883837.35
2025-02-05,629.00,647.45,628.95,640.80,627.52,SHORT,629.00,1405,627.52,640.80,false,40.00,356.81,-16975.81,-1.92,866861.54
2025-02-06,645.00,645.75,631.35,634.70,639.93,SHORT,645.00,1343,639.93,639.93,true,40.00,345.13,6423.88,0.74,873285.41
2025-02-07,638.50,639.45,623.00,629.45,638.05,SKIP,,,,,,,,,,873285.41
2025-02-10,634.75,645.00,605.20,608.55,629.86,SHORT,634.75,1375,629.86,629.86,true,40.00,347.77,6335.98,0.73,879621.40
2025-02-11,611.85,620.90,593.00,595.95,613.36,LONG,611.85,1437,613.36,613.36,true,40.00,352.13,1777.74,0.20,881399.14
2025-02-12,599.00,605.00,580.80,595.75,605.81,LONG,599.00,1471,605.81,595.75,false,40.00,351.50,-5172.25,-0.59,876226.90
2025-02-13,601.90,608.50,590.50,597.20,593.56,SHORT,601.90,1455,593.56,593.56,true,40.00,347.88,11746.82,1.34,887973.72
2025-02-14,603.00,607.00,569.35,573.75,601.04,SHORT,603.00,1472,601.04,601.04,true,40.00,354.47,2490.65,0.28,890464.37
2025-02-17,573.70,579.35,560.85,574.45,580.75,LONG,573.70,1552,580.75,574.45,false,40.00,356.39,767.61,0.09,891231.98
2025-02-18,575.75,581.30,566.00,579.40,571.24,SHORT,575.75,1547,571.24,571.24,true,40.00,354.88,6582.09,0.74,897814.07
2025-02-19,567.60,583.95,564.80,582.65,575.01,LONG,567.60,1581,575.01,575.01,true,40.00,361.29,11313.92,1.26,909127.99
