date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1581.30,1586.90,1576.40,1584.05,1576.53,SHORT,1581.30,632,1576.53,1576.53,true,40.00,399.15,2575.49,0.26,1002575.49
2025-01-03,1700.00,1707.00,1692.20,1694.20,1680.97,SHORT,1700.00,589,1680.97,1702.05,false,40.00,400.76,-1648.21,-0.16,1000927.28
2025-01-06,1715.00,1732.95,1710.10,1728.90,1704.87,SHORT,1715.00,583,1704.87,1704.87,true,40.00,398.76,5467.03,0.55,1006394.31
2025-01-07,1692.00,1700.85,1691.10,1697.10,1702.16,LONG,1692.00,594,1702.16,1702.16,true,40.00,403.23,5591.81,0.56,1011986.13
2025-01-08,1681.00,1682.40,1677.05,1679.60,1690.06,LONG,1681.00,602,1690.06,1690.06,true,40.00,405.88,5008.24,0.49,1016994.37
2025-01-09,1697.00,1700.50,1693.40,1693.45,1692.84,SHORT,1697.00,599,1692.84,1692.84,true,40.00,406.10,2045.74,0.20,1019040.11
2025-01-10,1682.00,1690.00,1682.00,1689.75,1685.61,LONG,1682.00,605,1685.61,1685.61,true,40.00,407.48,1736.57,0.17,1020776.68
2025-01-13,1689.60,1698.25,1685.75,1689.45,1701.21,LONG,1689.60,604,1701.21,1673.50,false,40.00,406.26,-10170.66,-1.00,1010606.01
2025-01-14,1689.00,1694.45,1684.00,1692.15,1680.63,SHORT,1689.00,598,1680.63,1710.85,false,40.00,406.62,-13512.92,-1.34,997093.09
2025-01-15,1721.10,1730.45,1715.55,1716.85,1705.81,SHORT,1721.10,579,1705.81,1705.81,true,40.00,396.84,8416.07,0.84,1005509.17
2025-01-16,1680.00,1692.85,1680.00,1685.90,1674.05,SHORT,1680.00,598,1674.05,1698.00,false,40.00,404.01,-11208.01,-1.12,994301.16
2025-01-17,1686.10,1690.05,1675.05,1678.15,1693.98,LONG,1686.10,589,1693.98,1693.98,true,40.00,398.17,4203.15,0.42,998504.30
2025-01-20,1686.30,1691.00,1674.40,1682.70,1682.81,SHORT,1686.30,592,1682.81,1682.81,true,40.00,398.90,1627.18,0.16,1000131.48
2025-01-21,1745.00,1747.00,1738.05,1746.45,1719.67,SHORT,1745.00,573,1719.67,1719.67,true,40.00,397.05,14077.04,1.41,1014208.52
2025-01-22,1720.00,1722.95,1712.40,1719.70,1733.96,LONG,1720.00,589,1733.96,1733.96,true,40.00,406.88,7775.56,0.77,1021984.08
2025-01-23,1742.55,1748.35,1733.15,1734.15,1728.07,SHORT,1742.55,586,1728.07,1746.05,false,40.00,408.86,-2499.86,-0.24,1019484.22
2025-01-24,1751.00,1752.30,1746.15,1750.45,1754.58,LONG,1751.00,582,1754.58,1754.58,true,40.00,408.05,1635.51,0.16,1021119.73
2025-01-27,1714.85,1715.00,1705.00,1711.80,1736.76,LONG,1714.85,595,1736.76,1711.50,false,40.00,407.74,-2440.99,-0.24,1018678.74
2025-01-28,1732.95,1732.95,1715.00,1725.45,1714.13,SHORT,1732.95,587,1714.13,1768.90,false,40.00,411.12,-21553.77,-2.12,997124.98
2025-01-29,1776.95,1776.95,1768.05,1776.35,1755.45,SHORT,1776.95,561,1755.45,1790.60,false,40.00,400.28,-8097.93,-0.81,989027.05
2025-01-30,1825.00,1825.00,1810.60,1821.45,1791.61,SHORT,1825.00,541,1791.61,1791.61,true,40.00,391.32,17632.67,1.79,1006659.72
2025-01-31,1713.60,1731.35,1705.25,1707.75,1800.97,LONG,1713.60,587,1800.97,1737.60,false,40.00,405.17,13642.83,1.36,1020302.55
2025-02-01,1747.00,1748.30,1738.10,1746.50,1730.15,SHORT,1747.00,584,1730.15,1730.15,true,40.00,406.13,9394.27,0.92,1029696.82
2025-02-03,1735.00,1757.75,1733.35,1734.25,1728.26,SHORT,1735.00,593,1728.26,1796.80,false,40.00,418.87,-37106.27,-3.61,992590.55
2025-02-04,1800.00,1809.50,1800.00,1805.85,1783.86,SHORT,1800.00,551,1783.86,1783.86,true,40.00,394.94,8458.20,0.85,1001048.75
2025-02-05,1811.00,1811.90,1804.75,1810.90,1798.97,SHORT,1811.00,552,1798.97,1798.97,true,40.00,398.54,6202.02,0.62,1007250.77
2025-02-06,1808.00,1812.95,1800.00,1806.40,1798.42,SHORT,1808.00,557,1798.42,1798.42,true,40.00,401.76,4894.30,0.49,1012145.07
2025-02-07,1801.00,1805.00,1791.25,1793.00,1790.70,SHORT,1801.00,561,1790.70,1790.70,true,40.00,402.99,5335.31,0.53,1017480.38
2025-02-10,1804.90,1806.95,1795.95,1795.95,1801.29,SHORT,1804.90,563,1801.29,1801.29,true,40.00,406.06,1586.37,0.16,1019066.75
2025-02-11,1792.40,1795.30,1781.75,1784.05,1788.51,SHORT,1792.40,568,1788.51,1788.51,true,40.00,406.79,1762.73,0.17,1020829.48
2025-02-12,1749.00,1760.00,1744.85,1757.25,1763.84,LONG,1749.00,583,1763.84,1763.84,true,40.00,409.60,8202.12,0.80,1029031.61
2025-02-13,1803.95,1810.20,1798.05,1809.05,1765.66,SHORT,1803.95,570,1765.66,1849.10,false,40.00,416.45,-26191.95,-2.55,1002839.66
2025-02-14,1853.50,1856.90,1848.80,1856.00,1838.89,SHORT,1853.50,541,1838.89,1838.89,true,40.00,399.52,7464.49,0.74,1010304.15
2025-02-17,1841.30,1845.50,1833.30,1833.30,1844.64,LONG,1841.30,548,1844.64,1844.64,true,40.00,403.98,1386.34,0.14,1011690.49
2025-02-18,1892.00,1892.95,1880.80,1884.90,1877.14,SHORT,1892.00,534,1877.14,1893.05,false,40.00,404.24,-1004.94,-0.10,1010685.55
2025-02-19,1891.05,1893.40,1887.35,1889.10,1900.79,LONG,1891.05,534,1900.79,1875.30,false,40.00,402.25,-8852.75,-0.88,1001832.80
2025-02-20,1867.85,1881.85,1862.50,1872.70,1883.55,LONG,1867.85,536,1883.55,1882.20,false,40.00,402.01,7249.59,0.72,1009082.40
2025-02-21,1872.20,1886.70,1872.20,1885.10,1872.26,SKIP,,,,,,,,,,1009082.40
2025-02-24,1868.00,1875.80,1860.05,1872.30,1879.92,LONG,1868.00,540,1879.92,1879.92,true,40.00,404.78,5992.02,0.59,1015074.42
