date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2873.40,2886.15,2868.10,2881.80,2886.62,LONG,2873.40,348,2886.62,2886.62,true,40.00,400.90,4159.66,0.42,1004159.66
2025-01-03,2898.45,2915.85,2891.80,2906.20,2871.10,SHORT,2898.45,346,2871.10,2871.10,true,40.00,399.25,9023.85,0.90,1013183.51
2025-01-06,2826.80,2834.95,2821.35,2821.95,2841.46,LONG,2826.80,358,2841.46,2717.05,false,40.00,396.94,-39727.44,-3.93,973456.07
2025-01-07,2723.20,2741.95,2714.65,2731.55,2764.45,LONG,2723.20,357,2764.45,2737.30,false,40.00,389.88,4603.82,0.47,978059.89
2025-01-08,2738.15,2738.15,2641.95,2711.40,2737.43,SKIP,,,,,,,,,,978059.89
2025-01-09,2759.00,2769.85,2754.55,2766.30,2764.91,LONG,2759.00,354,2764.91,2764.91,true,40.00,391.09,1661.05,0.17,979720.94
2025-01-10,2771.00,2771.95,2756.05,2757.75,2774.67,LONG,2771.00,353,2774.67,2774.67,true,40.00,391.52,863.99,0.09,980584.92
2025-01-13,2700.00,2709.85,2651.00,2709.45,2744.21,LONG,2700.00,363,2744.21,2593.45,false,40.00,384.30,-39101.95,-3.99,941482.97
2025-01-14,2612.00,2633.50,2610.00,2624.60,2645.23,LONG,2612.00,360,2645.23,2645.23,true,40.00,378.52,11544.28,1.23,953027.25
2025-01-15,2721.45,2726.95,2719.65,2721.00,2695.23,SHORT,2721.45,350,2695.23,2695.23,true,40.00,379.17,8757.83,0.92,961785.08
2025-01-16,2703.30,2703.30,2685.50,2694.30,2701.75,SKIP,,,,,,,,,,961785.08
2025-01-17,2725.30,2729.90,2704.15,2710.00,2692.06,SHORT,2725.30,352,2692.06,2692.06,true,40.00,381.38,11279.10,1.18,973064.18
2025-01-20,2728.80,2728.80,2697.70,2697.70,2705.57,SHORT,2728.80,356,2705.57,2705.57,true,40.00,386.93,7842.95,0.81,980907.13
2025-01-21,2721.50,2799.25,2721.50,2778.80,2687.86,SHORT,2721.50,360,2687.86,2687.86,true,40.00,389.47,11680.93,1.19,992588.06
2025-01-22,2669.00,2689.55,2667.50,2688.20,2768.95,LONG,2669.00,371,2768.95,2711.20,false,40.00,399.21,15216.99,1.54,1007805.05
2025-01-23,2690.00,2692.55,2664.05,2686.45,2693.24,LONG,2690.00,374,2693.24,2693.24,true,40.00,402.67,769.09,0.08,1008574.14
2025-01-24,2728.90,2739.75,2700.05,2731.20,2737.61,LONG,2728.90,369,2737.61,2737.61,true,40.00,403.43,2770.56,0.28,1011344.70
2025-01-27,2671.25,2742.20,2665.00,2728.35,2681.79,LONG,2671.25,378,2681.79,2681.79,true,40.00,404.69,3539.43,0.35,1014884.13
2025-01-28,2602.05,2649.80,2602.00,2612.80,2624.46,LONG,2602.05,390,2624.46,2624.46,true,40.00,407.67,8292.23,0.82,1023176.36
2025-01-29,2690.00,2719.00,2689.80,2712.70,2693.20,LONG,2690.00,380,2693.20,2693.20,true,40.00,409.12,766.88,0.08,1023943.24
2025-01-30,2737.10,2742.50,2717.95,2721.65,2724.55,SHORT,2737.10,374,2724.55,2724.55,true,40.00,408.53,4245.17,0.41,1028188.41
2025-01-31,2768.95,2779.40,2764.75,2774.60,2749.60,SHORT,2768.95,371,2749.60,2749.60,true,40.00,409.48,6729.37,0.66,1034917.78
2025-02-01,2775.70,2816.75,2772.05,2792.10,2768.07,SHORT,2775.70,372,2768.07,2768.07,true,40.00,412.46,2385.90,0.23,1037303.69
2025-02-03,2754.95,2767.45,2681.00,2726.80,2763.83,LONG,2754.95,376,2763.83,2763.83,true,40.00,415.01,2883.87,0.28,1040187.55
