date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,240.70,241.92,235.05,241.12,240.72,SKIP,,,,,,,,,,1000000.00
2025-01-03,242.50,245.10,240.80,241.64,238.41,SHORT,242.50,4123,238.41,241.64,false,40.00,399.22,3106.56,0.31,1003106.56
2025-01-06,239.20,241.39,227.25,227.96,243.00,LONG,239.20,4193,243.00,227.96,false,40.00,391.76,-47561.08,-4.74,955545.48
2025-01-07,230.40,233.72,229.25,232.46,230.80,LONG,230.40,4147,230.80,230.80,true,40.00,382.52,1236.28,0.13,956781.76
2025-01-08,232.51,234.46,229.91,232.95,231.91,SHORT,232.51,4115,231.91,231.91,true,40.00,382.22,2046.78,0.21,958828.54
2025-01-09,231.60,233.15,229.70,231.04,232.13,LONG,231.60,4140,232.13,232.13,true,40.00,383.97,1770.23,0.18,960598.77
2025-01-10,230.11,231.15,225.00,225.40,231.46,LONG,230.11,4174,231.46,225.40,false,40.00,380.26,-20079.80,-2.09,940518.97
2025-01-13,224.00,224.43,216.35,217.69,227.41,LONG,224.00,4198,227.41,217.69,false,40.00,370.84,-26900.22,-2.86,913618.75
2025-01-14,217.85,226.45,217.85,223.72,220.53,LONG,217.85,4193,220.53,220.53,true,40.00,367.63,10829.61,1.19,924448.36
2025-01-15,224.88,225.89,221.25,222.02,223.05,SHORT,224.88,4110,223.05,223.05,true,40.00,368.20,7113.10,0.77,931561.47
2025-01-16,225.00,230.95,225.00,228.85,223.48,SHORT,225.00,4140,223.48,228.85,false,40.00,375.79,-16354.79,-1.76,915206.68
2025-01-17,227.99,228.90,225.84,228.00,229.23,LONG,227.99,4014,229.23,228.00,false,40.00,366.07,-365.93,-0.04,914840.75
2025-01-20,229.00,235.53,226.81,232.12,227.58,SHORT,229.00,3994,227.58,227.58,true,40.00,364.72,5266.76,0.58,920107.51
2025-01-21,233.40,233.40,228.39,229.61,232.19,SHORT,233.40,3942,232.19,232.19,true,40.00,367.07,4362.75,0.47,924470.26
2025-01-22,230.00,231.10,223.52,228.38,230.11,SKIP,,,,,,,,,,924470.26
2025-01-23,227.50,231.25,225.52,229.16,227.71,SKIP,,,,,,,,,,924470.26
2025-01-24,228.36,230.01,224.60,225.21,228.61,LONG,228.36,4048,228.61,228.61,true,40.00,369.96,602.04,0.07,925072.30
2025-01-27,223.00,224.87,218.45,219.62,227.31,LONG,223.00,4148,227.31,219.62,false,40.00,367.20,-14427.44,-1.56,910644.86
2025-01-28,224.50,225.29,220.10,221.76,221.85,SHORT,224.50,4056,221.85,221.85,true,40.00,362.08,10346.32,1.14,920991.18
2025-01-29,222.70,224.90,221.07,222.59,222.69,SKIP,,,,,,,,,,920991.18
2025-01-30,223.90,225.84,221.69,222.39,222.75,SHORT,223.90,4113,222.75,222.75,true,40.00,367.41,4322.54,0.47,925313.72
2025-01-31,218.50,218.50,211.05,213.39,223.64,LONG,218.50,4234,223.64,213.39,false,40.00,365.72,-22041.46,-2.38,903272.25
2025-02-01,216.00,216.42,207.61,210.84,213.84,SHORT,216.00,4181,213.84,213.84,true,40.00,359.43,8631.53,0.96,911903.78
2025-02-03,211.09,211.09,206.55,207.99,212.89,LONG,211.09,4319,212.89,207.99,false,40.00,362.00,-13790.90,-1.51,898112.88
2025-02-04,210.50,214.50,210.11,212.89,208.26,SHORT,210.50,4266,208.26,212.89,false,40.00,361.24,-10596.98,-1.18,887515.90
2025-02-05,215.00,221.11,214.12,220.02,212.44,SHORT,215.00,4127,212.44,220.02,false,40.00,359.07,-21116.61,-2.38,866399.30
