date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1027.60,1030.00,1022.30,1022.30,5043.39,LONG,1027.60,973,5043.39,1041.80,false,40.00,402.71,13373.89,1.34,1013373.89
2025-01-03,1039.60,1047.00,1039.60,1045.80,5137.92,LONG,1039.60,974,5137.92,1019.30,false,40.00,401.07,-20213.27,-2.00,993160.62
2025-01-06,1018.50,1025.40,1017.40,1022.00,5196.96,LONG,1018.50,975,5196.96,970.10,false,40.00,387.78,-47617.78,-4.80,945542.84
2025-01-07,973.60,982.30,972.20,978.20,4927.58,LONG,973.60,971,4927.58,975.60,false,40.00,378.53,1523.47,0.16,947066.31
2025-01-08,980.00,985.80,977.40,981.30,4897.61,LONG,980.00,966,4897.61,940.90,false,40.00,371.12,-38181.72,-4.03,908884.59
2025-01-09,941.40,951.80,941.00,950.70,4757.67,LONG,941.40,965,4757.67,931.90,false,40.00,361.55,-9569.05,-1.05,899315.54
2025-01-10,932.00,938.40,931.00,936.50,4696.89,LONG,932.00,964,4696.89,908.80,false,40.00,354.91,-22759.71,-2.53,876555.84
2025-01-13,892.80,896.40,891.20,893.80,4585.24,LONG,892.80,981,4585.24,857.10,false,40.00,343.33,-35405.03,-4.04,841150.81
2025-01-14,864.00,879.00,863.00,876.90,4347.29,LONG,864.00,973,4347.29,842.30,false,40.00,332.05,-21486.15,-2.56,819664.66
2025-01-15,855.60,867.30,855.60,867.00,4267.53,LONG,855.60,957,4267.53,859.70,false,40.00,328.31,3555.39,0.43,823220.05
2025-01-16,870.00,883.60,870.00,883.60,4310.21,LONG,870.00,946,4310.21,887.80,false,40.00,332.58,16466.22,2.00,839686.28
2025-01-17,894.00,902.00,880.50,880.50,4457.77,LONG,894.00,939,4457.77,883.40,false,40.00,333.80,-10327.20,-1.23,829359.08
2025-01-20,884.20,887.80,883.80,883.80,4379.89,LONG,884.20,937,4379.89,886.00,false,40.00,331.74,1314.86,0.16,830673.95
2025-01-21,899.90,904.00,896.00,897.50,4422.42,LONG,899.90,923,4422.42,849.60,false,40.00,322.96,-46789.86,-5.63,783884.09
2025-01-22,850.00,851.40,840.00,840.80,4315.48,LONG,850.00,922,4315.48,813.90,false,40.00,306.82,-33631.02,-4.29,750253.07
2025-01-23,815.00,816.00,806.50,813.50,4059.01,LONG,815.00,920,4059.01,834.80,false,40.00,303.56,17872.44,2.38,768125.50
2025-01-24,830.00,841.40,830.00,841.40,4115.92,LONG,830.00,925,4115.92,820.50,false,40.00,305.34,-9132.84,-1.19,758992.66
2025-01-27,811.80,811.80,793.10,794.60,4165.73,LONG,811.80,934,4165.73,763.40,false,40.00,294.25,-45539.85,-6.01,713452.81
2025-01-28,768.00,772.80,758.40,758.40,3833.56,LONG,768.00,928,3833.56,745.70,false,40.00,280.94,-21015.34,-2.95,692437.47
2025-01-29,748.00,749.80,744.60,747.00,3722.07,LONG,748.00,925,3722.07,792.80,false,40.00,285.05,41114.95,5.94,733552.42
2025-01-30,796.80,798.00,786.00,787.10,3852.14,LONG,796.80,920,3852.14,727.40,false,40.00,280.45,-64168.45,-8.75,669383.97
2025-01-31,732.00,733.40,718.70,724.10,3693.32,LONG,732.00,914,3693.32,720.40,false,40.00,265.50,-10907.90,-1.63,658476.07
2025-02-01,724.00,731.10,723.00,731.00,3603.65,LONG,724.00,909,3603.65,705.80,false,40.00,259.94,-16843.74,-2.56,641632.33
2025-02-03,706.00,713.60,702.00,707.90,3584.45,LONG,706.00,908,3584.45,678.40,false,40.00,251.41,-25352.21,-3.95,616280.13
2025-02-04,685.80,691.10,682.20,685.20,3437.05,LONG,685.80,898,3437.05,704.20,false,40.00,249.64,16233.56,2.64,632513.68
2025-02-05,708.00,720.20,706.30,714.60,3470.66,LONG,708.00,893,3470.66,750.30,false,40.00,260.45,37473.45,5.93,669987.13
2025-02-06,754.00,754.80,743.20,744.10,3727.55,LONG,754.00,888,3727.55,731.90,false,40.00,263.90,-19928.70,-2.98,650058.43
2025-02-07,736.60,746.00,735.00,742.70,3690.12,LONG,736.60,882,3690.12,731.30,false,40.00,258.94,-4973.54,-0.77,645084.90
2025-02-10,732.60,734.00,727.30,727.30,3680.60,LONG,732.60,880,3680.60,704.70,false,40.00,252.96,-24844.96,-3.85,620239.93
2025-02-11,704.00,706.00,698.30,699.20,3548.80,LONG,704.00,881,3548.80,674.90,false,40.00,242.96,-25920.06,-4.18,594319.87
2025-02-12,675.70,680.60,674.00,677.90,3407.10,LONG,675.70,879,3407.10,705.40,false,40.00,242.80,25823.50,4.35,620143.37
2025-02-13,705.60,708.00,702.50,705.40,3451.49,LONG,705.60,878,3451.49,681.20,false,40.00,243.52,-21706.72,-3.50,598436.65
2025-02-14,687.80,691.20,684.20,684.20,3456.04,LONG,687.80,870,3456.04,675.20,false,40.00,237.16,-11239.16,-1.88,587197.49
2025-02-17,667.60,667.60,660.20,660.70,3368.74,LONG,667.60,879,3368.74,673.80,false,40.00,235.82,5173.98,0.88,592371.47
2025-02-18,676.40,678.30,672.00,675.60,3333.06,LONG,676.40,875,3333.06,656.00,false,40.00,233.17,-18123.17,-3.06,574248.30
2025-02-19,650.00,650.50,641.30,644.20,3295.45,LONG,650.00,883,3295.45,673.90,false,40.00,233.80,20829.90,3.63,595078.20
2025-02-20,670.00,674.00,663.30,673.70,3372.21,LONG,670.00,888,3372.21,687.40,false,40.00,241.07,15170.13,2.55,610248.32
2025-02-21,688.00,694.40,686.60,694.40,3441.53,LONG,688.00,886,3441.53,683.20,false,40.00,242.98,-4535.78,-0.74,605712.55
2025-02-24,675.70,680.20,672.20,679.50,3470.15,LONG,675.70,896,3470.15,684.20,false,40.00,243.69,7332.31,1.21,613044.85
