date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1516.65,1611.65,1513.95,1597.45,1504.19,SHORT,1516.65,659,1504.19,1597.45,false,40.00,410.44,-53697.64,-5.37,946302.36
2025-01-03,1586.00,1690.00,1586.00,1666.35,1583.23,SHORT,1586.00,596,1583.23,1666.35,false,40.00,387.68,-48316.28,-5.11,897986.08
2025-01-06,1666.35,1703.95,1542.85,1569.40,1655.38,SHORT,1666.35,538,1655.38,1655.38,true,40.00,357.42,5504.44,0.61,903490.52
2025-01-07,1570.10,1628.40,1545.10,1557.10,1597.56,LONG,1570.10,575,1597.56,1597.56,true,40.00,364.28,15385.22,1.70,918875.74
2025-01-08,1571.10,1629.30,1526.15,1543.45,1581.76,LONG,1571.10,584,1581.76,1581.76,true,40.00,368.25,5817.19,0.63,924692.93
2025-01-09,1555.25,1636.95,1555.20,1619.95,1580.15,LONG,1555.25,594,1580.15,1580.15,true,40.00,372.49,14378.11,1.56,939071.04
2025-01-10,1631.45,1638.00,1515.00,1549.20,1607.79,SHORT,1631.45,575,1607.79,1607.79,true,40.00,372.51,13191.99,1.41,952263.03
2025-01-13,1525.10,1530.00,1380.05,1418.25,1562.20,LONG,1525.10,624,1562.20,1418.25,false,40.00,367.33,-67081.73,-7.05,885181.30
2025-01-14,1434.95,1470.25,1403.90,1412.20,1450.91,LONG,1434.95,616,1450.91,1450.91,true,40.00,355.54,9435.82,1.07,894617.12
2025-01-15,1420.00,1459.00,1395.80,1441.45,1431.24,LONG,1420.00,630,1431.24,1431.24,true,40.00,359.26,6681.94,0.75,901299.07
2025-01-16,1455.95,1474.95,1443.45,1465.70,1433.05,SHORT,1455.95,619,1433.05,1465.70,false,40.00,361.70,-6436.95,-0.71,894862.12
2025-01-17,1465.70,1482.00,1420.00,1472.25,1461.62,SHORT,1465.70,610,1461.62,1461.62,true,40.00,357.13,2091.67,0.23,896953.78
2025-01-20,1468.00,1514.95,1438.25,1492.95,1441.36,SHORT,1468.00,611,1441.36,1441.36,true,40.00,355.52,15881.52,1.77,912835.30
2025-01-21,1493.75,1493.75,1410.00,1426.10,1475.51,SHORT,1493.75,611,1475.51,1475.51,true,40.00,362.84,10741.80,1.18,923577.10
2025-01-22,1422.00,1422.00,1294.00,1335.15,1431.11,LONG,1422.00,649,1431.11,1335.15,false,40.00,357.88,-56763.53,-6.15,866813.57
2025-01-23,1332.00,1401.00,1318.00,1393.65,1337.26,LONG,1332.00,650,1337.26,1337.26,true,40.00,347.00,3032.00,0.35,869845.56
2025-01-24,1375.00,1413.50,1335.05,1347.15,1368.13,SHORT,1375.00,632,1368.13,1368.13,true,40.00,346.73,3955.11,0.46,873800.67
2025-01-27,1326.95,1404.00,1319.10,1367.75,1366.77,LONG,1326.95,658,1366.77,1366.77,true,40.00,354.49,25807.07,2.96,899607.74
2025-01-28,1367.75,1390.00,1333.00,1367.90,1364.11,SHORT,1367.75,657,1364.11,1364.11,true,40.00,358.97,1992.51,0.22,901600.25
2025-01-29,1367.90,1624.00,1367.90,1541.20,1357.48,SHORT,1367.90,659,1357.48,1541.20,false,40.00,383.42,-114628.12,-12.72,786972.13
2025-01-30,1550.00,1765.95,1548.00,1635.40,1516.03,SHORT,1550.00,507,1516.03,1635.40,false,40.00,323.00,-43660.80,-5.56,743311.33
2025-01-31,1640.00,1673.30,1622.55,1651.40,1668.59,LONG,1640.00,453,1668.59,1668.59,true,40.00,299.76,12611.51,1.70,755922.84
2025-02-01,1652.00,1836.85,1557.00,1766.65,1649.31,SHORT,1652.00,457,1649.31,1649.31,true,40.00,301.74,887.59,0.12,756810.43
2025-02-03,1750.00,1814.85,1705.80,1735.65,1715.57,SHORT,1750.00,432,1715.57,1715.57,true,40.00,299.43,14534.33,1.92,771344.77
2025-02-04,1753.10,1800.00,1727.05,1749.10,1758.69,LONG,1753.10,439,1758.69,1758.69,true,40.00,308.34,2105.67,0.27,773450.44
2025-02-05,1750.10,1776.30,1711.65,1719.25,1758.69,LONG,1750.10,441,1758.69,1758.69,true,40.00,309.48,3438.71,0.45,776889.16
2025-02-06,1710.10,1801.00,1700.10,1749.45,1729.13,LONG,1710.10,454,1729.13,1729.13,true,40.00,312.28,8287.34,1.07,785176.50
2025-02-07,1766.00,1769.00,1673.00,1696.05,1760.93,SHORT,1766.00,444,1760.93,1760.93,true,40.00,313.19,1897.89,0.24,787074.39
2025-02-10,1699.60,1713.70,1581.00,1608.40,1715.83,LONG,1699.60,463,1715.83,1608.40,false,40.00,306.32,-42571.92,-5.41,744502.46
2025-02-11,1602.00,1608.40,1507.00,1557.05,1615.37,LONG,1602.00,464,1615.37,1557.05,false,40.00,293.16,-21189.96,-2.85,723312.51
2025-02-12,1557.05,1618.80,1521.00,1582.40,1547.54,SHORT,1557.05,464,1547.54,1547.54,true,40.00,288.11,4084.53,0.57,727397.04
2025-02-13,1599.90,1608.45,1521.05,1535.05,1574.32,SHORT,1599.90,454,1574.32,1574.32,true,40.00,288.22,11285.10,1.55,738682.14
2025-02-14,1541.95,1585.00,1494.60,1567.80,1554.60,LONG,1541.95,479,1554.60,1554.60,true,40.00,296.65,5722.70,0.77,744404.84
2025-02-17,1569.95,1599.35,1486.00,1535.55,1539.84,SHORT,1569.95,474,1539.84,1539.84,true,40.00,294.81,13937.33,1.87,758342.17
2025-02-18,1551.20,1585.00,1492.50,1499.30,1538.77,SHORT,1551.20,488,1538.77,1538.77,true,40.00,301.58,5724.26,0.76,764066.43
2025-02-19,1499.25,1602.15,1471.25,1547.15,1521.74,LONG,1499.25,509,1521.74,1521.74,true,40.00,307.54,11099.87,1.45,775166.30
2025-02-20,1553.55,1594.95,1526.25,1537.95,1545.16,SHORT,1553.55,498,1545.16,1545.16,true,40.00,308.63,3829.59,0.49,778995.89
2025-02-21,1540.05,1562.40,1462.50,1471.30,1547.55,LONG,1540.05,505,1547.55,1547.55,true,40.00,311.85,3435.65,0.44,782431.55
2025-02-24,1435.00,1545.00,1399.25,1529.45,1491.62,LONG,1435.00,545,1491.62,1491.62,true,40.00,319.00,30498.90,3.90,812930.44
2025-02-25,1529.60,1552.50,1481.15,1498.70,1483.26,SHORT,1529.60,531,1483.26,1483.26,true,40.00,319.97,24246.57,2.99,837177.02
2025-02-27,1499.00,1500.00,1426.55,1447.55,1503.58,LONG,1499.00,558,1503.58,1447.55,false,40.00,328.83,-29077.93,-3.48,808099.08
2025-02-28,1445.00,1550.05,1393.00,1528.55,1458.09,LONG,1445.00,559,1458.09,1458.09,true,40.00,324.57,6952.74,0.86,815051.83
2025-03-03,1528.00,1554.45,1500.05,1510.85,1507.81,SHORT,1528.00,533,1507.81,1507.81,true,40.00,323.62,10397.65,1.28,825449.48
2025-03-04,1490.00,1600.00,1472.85,1548.55,1526.27,LONG,1490.00,553,1526.27,1526.27,true,40.00,333.60,19683.71,2.39,845133.19
2025-03-05,1530.00,1570.00,1530.00,1554.65,1549.98,LONG,1530.00,552,1549.98,1549.98,true,40.00,340.03,10648.93,1.26,855782.12
2025-03-06,1579.10,1597.00,1523.20,1541.50,1553.82,SHORT,1579.10,541,1553.82,1553.82,true,40.00,338.98,13297.50,1.56,869079.62
