date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1399.40,1408.00,1395.05,1397.25,1395.34,SHORT,1399.40,714,1395.34,1395.34,true,40.00,399.09,2459.75,0.25,1002459.75
2025-01-03,1500.00,1500.00,1482.45,1497.00,1462.93,SHORT,1500.00,668,1462.93,1551.55,false,40.00,407.69,-34883.09,-3.48,967576.66
2025-01-06,1549.75,1549.75,1527.00,1540.00,1553.89,LONG,1549.75,624,1553.89,1553.89,true,40.00,387.33,2156.03,0.22,969732.69
2025-01-07,1526.10,1544.00,1526.10,1539.15,1539.43,LONG,1526.10,635,1539.43,1539.43,true,40.00,389.32,8035.23,0.83,977767.92
2025-01-08,1548.00,1548.00,1539.90,1542.25,1537.46,SHORT,1548.00,631,1537.46,1537.46,true,40.00,389.39,6221.35,0.64,983989.27
2025-01-09,1555.00,1555.00,1538.05,1546.85,1532.98,SHORT,1555.00,632,1532.98,1579.95,false,40.00,396.26,-16204.66,-1.65,967784.61
2025-01-10,1595.00,1595.00,1580.05,1580.05,1580.30,SHORT,1595.00,606,1580.30,1580.30,true,40.00,384.85,8483.35,0.88,976267.97
2025-01-13,1472.95,1479.95,1460.10,1475.05,1507.42,LONG,1472.95,662,1507.42,1467.40,false,40.00,389.30,-4103.40,-0.42,972164.57
2025-01-14,1484.55,1492.70,1477.10,1492.70,1471.76,SHORT,1484.55,654,1471.76,1471.76,true,40.00,386.69,7937.97,0.82,980102.54
2025-01-15,1484.65,1487.35,1483.00,1486.60,1484.62,SKIP,,,,,,,,,,980102.54
2025-01-16,1475.00,1482.00,1475.00,1477.75,1466.08,SHORT,1475.00,664,1466.08,1466.08,true,40.00,390.58,5492.30,0.56,985594.85
2025-01-17,1450.00,1463.25,1440.05,1444.60,1459.83,LONG,1450.00,679,1459.83,1459.83,true,40.00,395.15,6239.42,0.63,991834.26
2025-01-20,1441.00,1442.10,1434.80,1438.75,1429.21,SHORT,1441.00,688,1429.21,1429.21,true,40.00,394.94,7676.58,0.77,999510.84
2025-01-21,1440.00,1440.00,1430.00,1430.00,1439.45,SKIP,,,,,,,,,,999510.84
2025-01-22,1432.30,1483.50,1432.30,1449.00,1448.86,LONG,1432.30,697,1448.86,1448.86,true,40.00,401.63,11100.69,1.11,1010611.53
2025-01-23,1422.65,1436.85,1422.65,1422.70,1433.99,LONG,1422.65,710,1433.99,1433.99,true,40.00,405.64,7605.76,0.75,1018217.28
2025-01-24,1449.90,1449.90,1430.05,1433.65,1441.27,SHORT,1449.90,702,1441.27,1441.27,true,40.00,405.92,5612.34,0.55,1023829.62
2025-01-27,1423.05,1454.00,1423.05,1443.45,1437.95,LONG,1423.05,719,1437.95,1437.95,true,40.00,411.41,10261.69,1.00,1034091.31
2025-01-28,1379.45,1427.60,1379.40,1401.35,1422.07,LONG,1379.45,749,1422.07,1422.07,true,40.00,419.67,31462.71,3.05,1065554.02
2025-01-29,1445.00,1446.90,1440.05,1440.35,1406.23,SHORT,1445.00,737,1406.23,1505.05,false,40.00,434.84,-44731.69,-4.20,1020822.34
2025-01-30,1490.00,1500.00,1490.00,1496.25,1467.04,SHORT,1490.00,685,1467.04,1530.30,false,40.00,413.78,-28059.28,-2.75,992763.05
2025-01-31,1523.50,1536.15,1523.00,1533.00,1535.28,LONG,1523.50,651,1535.28,1535.28,true,40.00,398.25,7230.53,0.73,999993.58
2025-02-01,1536.25,1536.25,1518.95,1533.45,1524.37,SHORT,1536.25,650,1524.37,1524.37,true,40.00,397.88,7284.12,0.73,1007277.70
2025-02-03,1500.00,1534.95,1500.00,1512.40,1512.15,LONG,1500.00,671,1512.15,1512.15,true,40.00,404.23,7708.42,0.77,1014986.12
2025-02-04,1521.55,1532.75,1510.00,1510.00,1520.31,SKIP,,,,,,,,,,1014986.12
2025-02-05,1533.00,1533.00,1505.50,1505.50,1516.94,SHORT,1533.00,662,1516.94,1516.94,true,40.00,403.81,10187.91,1.00,1025174.03
2025-02-06,1490.00,1499.75,1488.05,1491.50,1509.30,LONG,1490.00,688,1509.30,1506.55,false,40.00,412.33,10934.07,1.07,1036108.10
2025-02-07,1507.45,1507.45,1480.00,1490.00,1479.27,SHORT,1507.45,687,1479.27,1479.27,true,40.00,410.38,18909.28,1.83,1055017.39
2025-02-10,1487.75,1487.75,1465.40,1465.70,1480.91,SHORT,1487.75,709,1480.91,1480.91,true,40.00,420.96,4388.60,0.42,1059405.99
2025-02-11,1438.00,1449.95,1431.45,1437.40,1440.77,LONG,1438.00,736,1440.77,1440.77,true,40.00,423.75,1574.97,0.15,1060980.96
2025-02-12,1506.00,1509.00,1498.50,1500.50,1481.85,SHORT,1506.00,704,1481.85,1481.85,true,40.00,420.69,16540.91,1.56,1077521.87
2025-02-13,1471.00,1495.95,1471.00,1495.95,1480.82,LONG,1471.00,732,1480.82,1480.82,true,40.00,432.15,6716.09,0.62,1084237.96
2025-02-14,1512.15,1517.10,1509.65,1509.65,1518.16,LONG,1512.15,717,1518.16,1518.16,true,40.00,434.55,3834.62,0.35,1088072.58
2025-02-17,1482.00,1499.95,1467.55,1467.55,1486.08,LONG,1482.00,734,1486.08,1486.08,true,40.00,435.71,2519.01,0.23,1090591.59
2025-02-18,1433.60,1455.35,1433.60,1453.10,1459.87,LONG,1433.60,760,1459.87,1459.87,true,40.00,439.81,19485.39,1.79,1110076.98
