date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1103.30,1117.95,1102.40,1106.95,1103.64,SKIP,,,,,,,,,,1000000.00
2025-01-03,1110.00,1119.20,1110.00,1119.10,1112.10,LONG,1110.00,900,1112.10,1112.10,true,40.00,399.98,1450.02,0.15,1001450.02
2025-01-06,1102.00,1107.00,1084.85,1084.85,1104.61,LONG,1102.00,908,1104.61,1104.61,true,40.00,400.72,1929.16,0.19,1003379.18
2025-01-07,1088.95,1100.95,1083.65,1098.85,1093.43,LONG,1088.95,921,1093.43,1093.43,true,40.00,401.99,3684.09,0.37,1007063.27
2025-01-08,1102.80,1102.80,1098.15,1098.15,1100.02,SHORT,1102.80,913,1100.02,1100.02,true,40.00,402.23,2095.91,0.21,1009159.17
2025-01-09,1106.20,1117.05,1097.05,1117.05,1095.27,SHORT,1106.20,912,1095.27,1103.55,false,40.00,403.06,1973.74,0.20,1011132.91
2025-01-10,1106.95,1107.00,1095.10,1099.40,1109.14,LONG,1106.95,913,1109.14,1063.05,false,40.00,396.24,-40516.94,-4.01,970615.97
2025-01-13,1046.00,1055.40,1046.00,1052.80,1066.82,LONG,1046.00,927,1066.82,1050.05,false,40.00,388.61,3325.74,0.34,973941.71
2025-01-14,1042.45,1050.00,1040.60,1049.20,1050.42,LONG,1042.45,934,1050.42,1050.42,true,40.00,390.95,7013.03,0.72,980954.75
2025-01-15,1055.00,1060.60,1055.00,1060.60,1055.69,SKIP,,,,,,,,,,980954.75
2025-01-16,1064.20,1070.50,1056.00,1063.50,1059.10,SHORT,1064.20,921,1059.10,1059.10,true,40.00,391.11,4265.99,0.44,985220.73
2025-01-17,1065.10,1075.95,1065.10,1065.55,1071.78,LONG,1065.10,925,1071.78,1071.78,true,40.00,395.32,5743.68,0.58,990964.41
2025-01-20,1084.95,1085.10,1075.05,1080.35,1078.82,SHORT,1084.95,913,1078.82,1078.82,true,40.00,395.10,5161.59,0.52,996126.00
2025-01-21,1081.55,1081.55,1077.60,1078.70,1070.22,SHORT,1081.55,921,1070.22,1070.22,true,40.00,396.36,9998.57,1.00,1006124.57
2025-01-22,1045.00,1064.25,1045.00,1063.40,1053.72,LONG,1045.00,962,1053.72,1053.72,true,40.00,403.79,7944.85,0.79,1014069.42
2025-01-23,1029.00,1029.00,1012.60,1012.60,1034.43,LONG,1029.00,985,1034.43,1034.43,true,40.00,406.50,4902.05,0.48,1018971.47
2025-01-24,1036.05,1041.35,1034.70,1035.05,1030.75,SHORT,1036.05,983,1030.75,1030.75,true,40.00,406.33,4763.57,0.47,1023735.04
2025-01-27,999.80,1000.10,988.40,988.40,1007.07,LONG,999.80,1023,1007.07,988.05,false,40.00,406.71,-12466.96,-1.22,1011268.07
2025-01-28,979.95,988.80,976.10,983.30,971.31,SHORT,979.95,1031,971.31,971.31,true,40.00,402.35,8465.49,0.84,1019733.56
2025-01-29,982.60,984.85,976.50,977.85,957.69,SHORT,982.60,1037,957.69,957.69,true,40.00,402.42,25389.25,2.49,1045122.82
2025-01-30,1003.40,1014.65,1003.40,1003.60,999.26,SHORT,1003.40,1041,999.26,1035.95,false,40.00,424.59,-34349.14,-3.29,1010773.68
2025-01-31,1027.50,1038.45,1025.60,1034.75,1037.87,LONG,1027.50,983,1037.87,1037.87,true,40.00,406.05,9747.66,0.97,1020521.33
2025-02-01,1056.95,1058.40,1056.95,1058.40,1053.86,SHORT,1056.95,965,1053.86,1053.86,true,40.00,407.39,2534.46,0.25,1023055.80
2025-02-03,1164.95,1164.95,1122.15,1122.15,1077.20,SHORT,1164.95,878,1077.20,1107.20,false,40.00,398.99,50265.51,4.91,1073321.31
2025-02-04,1072.55,1102.85,1072.45,1090.00,1119.56,LONG,1072.55,1000,1119.56,1119.56,true,40.00,438.42,46531.58,4.34,1119852.89
2025-02-05,1165.00,1165.00,1136.05,1140.75,1122.74,SHORT,1165.00,961,1122.74,1122.74,true,40.00,439.70,40132.16,3.58,1159985.04
2025-02-06,1114.00,1138.45,1114.00,1138.45,1127.53,LONG,1114.00,1041,1127.53,1127.53,true,40.00,466.69,13578.04,1.17,1173563.09
2025-02-07,1171.10,1171.10,1163.55,1163.65,1159.19,SHORT,1171.10,1002,1159.19,1159.19,true,40.00,466.99,11426.83,0.97,1184989.92
2025-02-10,1165.05,1168.00,1157.65,1162.00,1154.40,SHORT,1165.05,1017,1154.40,1154.40,true,40.00,471.78,10319.27,0.87,1195309.19
2025-02-11,1117.45,1117.45,1101.20,1109.25,1127.89,LONG,1117.45,1069,1127.89,1085.00,false,40.00,470.88,-35199.93,-2.95,1160109.26
2025-02-12,1070.00,1071.05,1051.55,1065.90,1086.64,LONG,1070.00,1084,1086.64,1049.45,false,40.00,459.50,-22775.70,-1.96,1137333.56
2025-02-13,1070.00,1108.00,1070.00,1097.35,1050.86,SHORT,1070.00,1062,1050.86,1122.70,false,40.00,465.73,-56473.13,-4.97,1080860.43
2025-02-14,1100.00,1106.95,1086.65,1104.65,1133.55,LONG,1100.00,982,1133.55,1090.00,false,40.00,430.12,-10290.12,-0.95,1070570.31
2025-02-17,1090.00,1141.00,1090.00,1126.45,1085.46,SHORT,1090.00,982,1085.46,1112.40,false,40.00,432.55,-22469.35,-2.10,1048100.96
2025-02-18,1114.90,1114.90,1104.10,1112.70,1136.41,LONG,1114.90,940,1136.41,1100.10,false,40.00,416.42,-14368.42,-1.37,1033732.54
2025-02-19,1097.05,1098.45,1087.70,1095.85,1102.71,LONG,1097.05,942,1102.71,1102.71,true,40.00,414.43,4877.29,0.47,1038609.83
2025-02-20,1150.00,1155.95,1143.05,1152.00,1155.69,LONG,1150.00,903,1155.69,1155.69,true,40.00,416.41,4681.66,0.45,1043291.49
2025-02-21,1203.95,1203.95,1181.50,1189.45,1232.05,LONG,1203.95,866,1232.05,1232.05,true,40.00,421.92,23872.68,2.29,1067164.17
2025-02-24,1221.10,1260.00,1214.00,1241.80,1205.22,SHORT,1221.10,873,1205.22,1205.22,true,40.00,423.64,13399.60,1.26,1080563.78
2025-02-25,1213.05,1214.60,1197.90,1197.90,1221.41,LONG,1213.05,890,1221.41,1210.80,false,40.00,431.45,-2473.95,-0.23,1078089.83
2025-02-27,1202.00,1203.60,1190.10,1195.00,1208.25,LONG,1202.00,896,1208.25,1208.25,true,40.00,431.92,5128.08,0.48,1083217.92
2025-02-28,1143.90,1151.30,1141.00,1150.00,1179.56,LONG,1143.90,946,1179.56,1179.56,true,40.00,439.60,33254.76,3.07,1116472.68
2025-03-03,1229.95,1229.95,1174.15,1174.15,1192.59,SHORT,1229.95,907,1192.59,1192.59,true,40.00,439.45,33406.07,2.99,1149878.75
2025-03-04,1140.00,1140.00,1111.00,1116.35,1133.95,SHORT,1140.00,1008,1133.95,1133.95,true,40.00,458.43,5599.97,0.49,1155478.72
2025-03-05,1150.80,1160.80,1150.25,1156.70,1154.19,LONG,1150.80,1004,1154.19,1154.19,true,40.00,462.84,2900.72,0.25,1158379.44
2025-03-06,1174.00,1203.20,1166.15,1203.20,1174.01,SKIP,,,,,,,,,,1158379.44
2025-03-07,1157.00,1157.00,1147.00,1148.65,1173.58,LONG,1157.00,1001,1173.58,1173.58,true,40.00,466.58,16090.00,1.39,1174469.44
2025-03-10,1166.00,1192.80,1156.05,1187.90,1163.53,SHORT,1166.00,1007,1163.53,1163.53,true,40.00,469.17,1978.12,0.17,1176447.56
2025-03-11,1156.00,1156.00,1123.35,1134.00,1171.10,LONG,1156.00,1017,1171.10,1158.30,false,40.00,470.73,1828.37,0.16,1178275.93
2025-03-12,1157.40,1163.00,1152.50,1153.40,1153.58,SHORT,1157.40,1018,1153.58,1153.58,true,40.00,470.52,3378.24,0.29,1181654.18
2025-03-13,1153.00,1157.00,1149.50,1149.60,1148.94,SHORT,1153.00,1024,1148.94,1148.94,true,40.00,471.44,3646.00,0.31,1185300.18
2025-03-17,1151.85,1161.45,1134.10,1161.45,1143.21,SHORT,1151.85,1029,1143.21,1143.21,true,40.00,472.32,8378.24,0.71,1193678.42
2025-03-18,1139.90,1149.00,1135.20,1135.20,1142.95,LONG,1139.90,1047,1142.95,1142.95,true,40.00,478.03,2675.32,0.22,1196353.74
2025-03-19,1133.75,1146.55,1125.00,1127.65,1133.22,SKIP,,,,,,,,,,1196353.74
2025-03-20,1177.35,1192.50,1177.35,1179.60,1132.37,SHORT,1177.35,1016,1132.37,1196.95,false,40.00,482.46,-20436.06,-1.71,1175917.68
2025-03-21,1208.50,1208.50,1201.35,1203.60,1195.16,SHORT,1208.50,973,1195.16,1195.16,true,40.00,467.75,12472.07,1.06,1188389.75
2025-03-24,1200.25,1206.50,1187.70,1188.50,1199.63,SKIP,,,,,,,,,,1188389.75
2025-03-25,1177.05,1184.90,1167.05,1169.15,1176.25,SKIP,,,,,,,,,,1188389.75
2025-03-26,1149.95,1149.95,1138.10,1139.30,1147.36,SHORT,1149.95,1033,1147.36,1147.36,true,40.00,474.62,2160.85,0.18,1190550.59
2025-03-27,1118.55,1129.95,1116.00,1122.40,1109.43,SHORT,1118.55,1064,1109.43,1109.43,true,40.00,474.11,9189.57,0.77,1199740.16
2025-03-28,1093.45,1115.30,1091.00,1107.70,1101.67,LONG,1093.45,1097,1101.67,1101.67,true,40.00,481.61,8495.73,0.71,1208235.89
2025-04-01,1137.00,1140.90,1115.60,1116.25,1145.33,LONG,1137.00,1062,1145.33,1145.33,true,40.00,484.77,8321.69,0.69,1216557.58
2025-04-02,1097.70,1097.70,1080.55,1085.60,1100.72,LONG,1097.70,1108,1100.72,1100.72,true,40.00,487.17,2818.99,0.23,1219376.57
2025-04-03,1097.90,1127.65,1096.60,1127.00,1094.60,SHORT,1097.90,1110,1094.60,1125.00,false,40.00,493.48,-30614.48,-2.51,1188762.09
2025-04-04,1126.80,1135.00,1109.00,1109.00,1131.27,LONG,1126.80,1054,1131.27,1131.27,true,40.00,476.00,4195.38,0.35,1192957.47
2025-04-07,940.00,998.95,940.00,990.20,1093.36,LONG,940.00,1269,1093.36,1051.60,false,40.00,505.47,141074.93,11.83,1334032.40
2025-04-08,1101.90,1107.00,1090.00,1092.30,1038.81,SHORT,1101.90,1210,1038.81,1082.20,false,40.00,528.55,23268.45,1.75,1357300.85
2025-04-09,1080.00,1089.15,1072.50,1089.15,1080.08,SKIP,,,,,,,,,,1357300.85
2025-04-11,1091.15,1099.95,1075.25,1081.60,1066.35,SHORT,1091.15,1243,1066.35,1148.90,false,40.00,556.88,-72380.13,-5.34,1284920.72
2025-04-15,1155.20,1196.80,1155.20,1193.00,1127.26,SHORT,1155.20,1112,1127.26,1183.80,false,40.00,520.19,-32363.39,-2.52,1252557.33
2025-04-16,1180.00,1194.60,1165.50,1178.10,1196.68,LONG,1180.00,1061,1196.68,1196.68,true,40.00,504.33,17153.15,1.37,1269710.48
2025-04-17,1195.70,1205.50,1182.60,1198.60,1186.72,SHORT,1195.70,1061,1186.72,1186.72,true,40.00,505.55,8982.23,0.71,1278692.71
2025-04-21,1168.00,1168.10,1157.90,1162.00,1181.13,LONG,1168.00,1094,1181.13,1181.13,true,40.00,513.99,13810.23,1.08,1292502.94
2025-04-22,1200.80,1219.00,1200.80,1213.50,1189.53,SHORT,1200.80,1076,1189.53,1228.30,false,40.00,522.74,-30152.74,-2.33,1262350.19
