date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1224.40,1227.35,1219.25,1222.30,1211.16,SHORT,1224.40,816,1211.16,1211.16,true,40.00,397.48,10366.36,1.04,1010366.36
2025-01-03,1220.25,1239.00,1220.25,1237.85,1216.99,SHORT,1220.25,827,1216.99,1216.99,true,40.00,403.12,2252.90,0.22,1012619.26
2025-01-06,1203.00,1204.00,1194.40,1194.40,1219.55,LONG,1203.00,841,1219.55,1156.45,false,40.00,396.86,-39585.41,-3.91,973033.85
2025-01-07,1160.00,1172.10,1159.80,1159.80,1166.06,LONG,1160.00,838,1166.06,1166.06,true,40.00,389.85,4648.43,0.48,977682.28
2025-01-08,1189.45,1195.75,1189.25,1189.25,1183.21,SHORT,1189.45,821,1183.21,1183.21,true,40.00,389.59,4693.45,0.48,982375.73
2025-01-09,1162.00,1165.45,1161.05,1161.25,1166.09,LONG,1162.00,845,1166.09,1166.09,true,40.00,393.45,3022.60,0.31,985398.33
2025-01-10,1179.00,1182.00,1172.10,1175.00,1209.02,LONG,1179.00,835,1209.02,1145.20,false,40.00,388.14,-28651.14,-2.91,956747.19
2025-01-13,1135.90,1135.90,1114.25,1115.15,1146.55,LONG,1135.90,842,1146.55,1066.10,false,40.00,370.82,-59182.42,-6.19,897564.77
2025-01-14,1071.50,1086.90,1069.00,1086.25,1095.73,LONG,1071.50,837,1095.73,1095.73,true,40.00,362.79,19877.72,2.22,917442.49
2025-01-15,1130.00,1147.50,1130.00,1144.00,1106.30,SHORT,1130.00,811,1106.30,1140.70,false,40.00,368.31,-9086.01,-0.99,908356.48
2025-01-16,1148.00,1157.80,1146.10,1155.75,1138.26,SHORT,1148.00,791,1138.26,1185.20,false,40.00,369.11,-29834.31,-3.29,878522.17
2025-01-17,1188.20,1192.80,1182.95,1186.00,1177.57,SHORT,1188.20,739,1177.57,1177.57,true,40.00,349.66,7465.91,0.85,885988.08
2025-01-20,1217.10,1217.90,1206.20,1212.95,1196.32,SHORT,1217.10,727,1196.32,1196.32,true,40.00,350.91,14716.15,1.66,900704.23
2025-01-21,1178.20,1180.60,1171.60,1174.50,1193.41,LONG,1178.20,764,1193.41,1193.41,true,40.00,362.38,11218.06,1.25,911922.29
2025-01-22,1171.30,1174.00,1169.30,1169.30,1170.09,SHORT,1171.30,778,1170.09,1170.09,true,40.00,364.32,537.06,0.06,912459.35
2025-01-23,1157.00,1164.90,1153.70,1164.90,1143.17,SHORT,1157.00,788,1143.17,1181.15,false,40.00,368.49,-19438.69,-2.13,893020.65
2025-01-24,1179.55,1180.90,1174.05,1177.00,1196.21,LONG,1179.55,757,1196.21,1167.95,false,40.00,355.41,-9176.61,-1.03,883844.04
2025-01-27,1164.95,1172.55,1155.95,1172.55,1174.26,LONG,1164.95,758,1174.26,1174.26,true,40.00,354.62,6662.36,0.75,890506.40
2025-01-28,1100.00,1130.20,1099.95,1128.10,1138.22,LONG,1100.00,809,1138.22,1138.22,true,40.00,362.14,30517.84,3.43,921024.23
2025-01-29,1129.00,1133.20,1124.90,1133.20,1103.12,SHORT,1129.00,815,1103.12,1300.00,false,40.00,395.93,-139800.93,-15.19,781223.31
2025-01-30,1285.00,1285.00,1264.35,1267.00,1259.75,SHORT,1285.00,607,1259.75,1259.75,true,40.00,308.93,14977.82,1.92,796201.12
2025-01-31,1138.00,1148.40,1136.95,1146.45,1157.23,LONG,1138.00,699,1157.23,1157.23,true,40.00,320.87,13080.90,1.64,809282.02
2025-02-01,1141.30,1151.80,1141.25,1148.20,1140.22,SKIP,,,,,,,,,,809282.02
2025-02-03,1127.05,1149.65,1120.25,1137.70,1151.16,LONG,1127.05,718,1151.16,1151.16,true,40.00,327.15,16943.83,2.09,826225.85
2025-02-04,1144.90,1149.80,1142.05,1147.15,1133.85,SHORT,1144.90,721,1133.85,1133.85,true,40.00,328.60,7598.45,0.92,833824.30
2025-02-05,1120.00,1141.35,1120.00,1133.40,1123.11,LONG,1120.00,744,1123.11,1123.11,true,40.00,333.77,1940.07,0.23,835764.37
2025-02-06,1139.00,1146.65,1135.35,1143.30,1134.23,SHORT,1139.00,733,1134.23,1166.80,false,40.00,338.03,-20755.43,-2.49,815008.94
2025-02-07,1166.90,1172.30,1166.70,1170.00,1156.22,SHORT,1166.90,698,1156.22,1175.05,false,40.00,326.94,-6055.64,-0.74,808953.30
2025-02-10,1174.95,1180.00,1170.35,1173.35,1174.27,SKIP,,,,,,,,,,808953.30
2025-02-11,1129.45,1133.90,1123.55,1133.90,1137.96,LONG,1129.45,716,1137.96,1137.96,true,40.00,324.69,5728.47,0.71,814681.77
2025-02-12,1087.00,1105.95,1083.50,1102.80,1090.22,LONG,1087.00,749,1090.22,1090.22,true,40.00,326.15,2045.63,0.25,816727.40
2025-02-13,1050.15,1073.50,1050.15,1073.50,1049.61,SKIP,,,,,,,,,,816727.40
