date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2498.50,2516.75,2498.50,2505.00,2501.67,LONG,2498.50,400,2501.67,2501.67,true,40.00,400.01,827.99,0.08,1000827.99
2025-01-03,2515.20,2524.00,2505.25,2523.95,2499.82,SHORT,2515.20,397,2499.82,2499.82,true,40.00,398.19,5667.67,0.57,1006495.65
2025-01-06,2445.00,2452.70,2435.25,2435.25,2468.62,LONG,2445.00,411,2468.62,2417.85,false,40.00,399.73,-11598.38,-1.15,994897.28
2025-01-07,2420.00,2431.00,2416.60,2425.45,2439.09,LONG,2420.00,411,2439.09,2439.09,true,40.00,399.42,7406.57,0.74,1002303.85
2025-01-08,2456.05,2456.05,2435.15,2445.00,2448.92,SHORT,2456.05,408,2448.92,2448.92,true,40.00,400.25,2468.79,0.25,1004772.64
2025-01-09,2453.80,2473.95,2438.05,2469.15,2430.48,SHORT,2453.80,409,2430.48,2455.95,false,40.00,401.62,-1320.97,-0.13,1003451.68
2025-01-10,2455.00,2462.10,2451.00,2452.05,2477.38,LONG,2455.00,408,2477.38,2422.50,false,40.00,398.00,-13698.00,-1.37,989753.67
2025-01-13,2380.00,2400.40,2380.00,2384.45,2425.94,LONG,2380.00,415,2425.94,2327.80,false,40.00,390.75,-22093.75,-2.24,967659.93
2025-01-14,2321.35,2357.40,2321.35,2355.60,2356.13,LONG,2321.35,416,2356.13,2356.13,true,40.00,389.17,14039.31,1.45,981699.24
2025-01-15,2358.00,2358.00,2346.15,2348.95,2348.07,SHORT,2358.00,416,2348.07,2348.07,true,40.00,391.55,3699.33,0.38,985398.57
2025-01-16,2361.10,2379.90,2361.05,2371.25,2356.67,SHORT,2361.10,417,2356.67,2356.67,true,40.00,393.46,1413.85,0.14,986812.42
2025-01-17,2365.00,2365.00,2340.00,2362.40,2359.50,SHORT,2365.00,417,2359.50,2359.50,true,40.00,394.02,1859.48,0.19,988671.90
2025-01-20,2365.00,2373.90,2354.80,2354.80,2367.99,LONG,2365.00,418,2367.99,2367.99,true,40.00,395.68,814.14,0.08,989486.04
2025-01-21,2365.00,2373.95,2361.00,2362.40,2346.87,SHORT,2365.00,418,2346.87,2346.87,true,40.00,393.91,7144.43,0.72,996630.47
2025-01-22,2340.10,2346.65,2311.10,2331.95,2367.69,LONG,2340.10,425,2367.69,2314.70,false,40.00,395.66,-11230.66,-1.13,985399.81
2025-01-23,2311.50,2311.50,2280.00,2300.40,2300.35,SHORT,2311.50,426,2300.35,2300.35,true,40.00,392.93,4316.97,0.44,989716.78
2025-01-24,2369.30,2369.45,2362.10,2365.45,2356.03,SHORT,2369.30,417,2356.03,2356.03,true,40.00,394.09,5099.50,0.52,994816.28
2025-01-27,2292.55,2292.55,2270.60,2278.95,2317.90,LONG,2292.55,433,2317.90,2216.90,false,40.00,390.52,-33186.97,-3.34,961629.31
2025-01-28,2232.00,2244.00,2226.25,2239.05,2239.96,LONG,2232.00,430,2239.96,2239.96,true,40.00,384.59,2998.21,0.31,964627.52
2025-01-29,2193.85,2207.00,2190.10,2200.60,2201.51,LONG,2193.85,439,2201.51,2201.51,true,40.00,385.91,2936.83,0.30,967564.35
2025-01-30,2280.00,2290.00,2276.85,2282.00,2258.41,SHORT,2280.00,424,2258.41,2258.41,true,40.00,384.86,8729.30,0.90,976293.65
2025-01-31,2271.40,2300.00,2271.40,2288.65,2277.46,LONG,2271.40,429,2277.46,2277.46,true,40.00,390.29,2169.45,0.22,978463.10
2025-02-01,2350.00,2353.05,2343.50,2343.50,2313.09,SHORT,2350.00,416,2313.09,2313.09,true,40.00,387.97,14926.59,1.53,993389.69
2025-02-03,2300.00,2302.20,2284.90,2290.00,2320.13,LONG,2300.00,431,2320.13,2320.13,true,40.00,398.26,8237.77,0.83,1001627.47
2025-02-04,2341.15,2354.50,2324.05,2329.40,2343.08,SKIP,,,,,,,,,,1001627.47
2025-02-05,2342.05,2353.50,2342.05,2347.90,2336.79,SHORT,2342.05,427,2336.79,2336.79,true,40.00,399.57,1806.45,0.18,1003433.91
2025-02-06,2351.55,2367.95,2351.55,2360.25,2351.09,SKIP,,,,,,,,,,1003433.91
2025-02-07,2393.00,2399.95,2390.00,2395.95,2373.40,SHORT,2393.00,419,2373.40,2373.40,true,40.00,399.42,7772.98,0.78,1011206.89
2025-02-10,2325.00,2355.50,2325.00,2345.30,2348.73,LONG,2325.00,434,2348.73,2348.73,true,40.00,405.68,9853.14,0.98,1021060.03
2025-02-11,2278.35,2293.80,2272.00,2289.50,2303.56,LONG,2278.35,448,2303.56,2211.55,false,40.00,402.30,-30368.70,-2.98,990691.33
2025-02-12,2211.40,2239.00,2201.50,2209.20,2225.93,LONG,2211.40,447,2225.93,2225.93,true,40.00,396.70,6058.21,0.61,996749.55
2025-02-13,2204.00,2218.95,2204.00,2215.80,2190.75,SHORT,2204.00,452,2190.75,2190.75,true,40.00,397.29,5551.71,0.56,1002301.26
2025-02-14,2050.10,2100.00,2046.00,2076.05,2234.11,LONG,2050.10,488,2234.11,1901.85,false,40.00,385.71,-72771.71,-7.27,929529.55
2025-02-17,1886.00,1890.65,1850.10,1856.60,1939.72,LONG,1886.00,492,1939.72,1939.72,true,40.00,376.45,26013.79,2.80,955543.34
2025-02-18,1902.20,1908.50,1889.95,1898.00,1888.52,SHORT,1902.20,502,1888.52,1888.52,true,40.00,380.59,6446.77,0.68,961990.11
2025-02-19,1899.25,1899.25,1887.55,1896.60,1890.63,SHORT,1899.25,506,1890.63,1890.63,true,40.00,383.54,3938.18,0.41,965928.30
2025-02-20,1911.45,1938.15,1901.95,1935.20,1918.46,LONG,1911.45,505,1918.46,1918.46,true,40.00,386.82,3113.23,0.32,969041.52
