date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,612.00,612.55,609.00,611.60,607.13,SHORT,612.00,1633,607.13,607.13,true,40.00,398.17,7514.54,0.75,1007514.54
2025-01-03,614.20,614.20,606.35,606.35,608.06,SHORT,614.20,1640,608.06,608.06,true,40.00,400.90,9628.70,0.96,1017143.24
2025-01-06,618.00,619.65,601.75,602.00,612.66,SHORT,618.00,1645,612.66,612.66,true,40.00,404.89,8339.41,0.82,1025482.65
2025-01-07,586.00,590.65,585.95,589.15,594.26,LONG,586.00,1749,594.26,594.26,true,40.00,412.85,13993.89,1.37,1039476.54
2025-01-08,588.00,589.55,587.90,589.40,589.28,LONG,588.00,1767,589.28,589.28,true,40.00,416.05,1805.71,0.17,1041282.25
2025-01-09,581.00,582.70,579.90,581.90,580.60,SKIP,,,,,,,,,,1041282.25
2025-01-10,591.15,593.40,586.10,587.50,601.50,LONG,591.15,1761,601.50,588.70,false,40.00,415.54,-4769.99,-0.46,1036512.25
2025-01-13,579.55,583.95,578.15,582.70,589.21,LONG,579.55,1788,589.21,589.21,true,40.00,417.95,16814.13,1.62,1053326.39
2025-01-14,562.00,571.95,562.00,571.95,575.74,LONG,562.00,1874,575.74,560.25,false,40.00,420.62,-3740.12,-0.36,1049586.27
2025-01-15,559.40,561.45,557.80,559.25,560.36,LONG,559.40,1876,560.36,560.36,true,40.00,420.13,1340.83,0.13,1050927.09
2025-01-16,569.15,569.50,567.55,567.90,562.74,SHORT,569.15,1846,562.74,562.74,true,40.00,417.89,11374.97,1.08,1062302.06
2025-01-17,565.00,565.05,561.20,562.15,564.74,SKIP,,,,,,,,,,1062302.06
2025-01-20,571.15,571.40,564.85,566.40,565.76,SHORT,571.15,1859,565.76,565.76,true,40.00,422.70,9557.31,0.90,1071859.37
2025-01-21,561.35,563.30,558.00,558.90,560.63,SHORT,561.35,1909,560.63,560.63,true,40.00,428.37,906.11,0.08,1072765.47
2025-01-22,550.00,554.45,550.00,553.05,554.28,LONG,550.00,1950,554.28,554.28,true,40.00,430.67,7875.33,0.73,1080640.80
2025-01-23,555.65,557.75,550.60,551.65,555.86,SKIP,,,,,,,,,,1080640.80
2025-01-24,560.00,563.15,560.00,560.40,558.75,SHORT,560.00,1929,558.75,558.75,true,40.00,431.61,1939.64,0.18,1082580.44
2025-01-27,546.30,546.45,541.55,541.90,552.13,LONG,546.30,1981,552.13,536.20,false,40.00,428.89,-20476.99,-1.89,1062103.45
2025-01-28,555.00,559.00,546.40,549.30,534.31,SHORT,555.00,1913,534.31,555.95,false,40.00,425.05,-2282.40,-0.21,1059821.06
2025-01-29,560.00,564.95,560.00,562.60,549.49,SHORT,560.00,1892,549.49,573.00,false,40.00,428.73,-25064.73,-2.37,1034756.33
2025-01-30,574.00,576.15,572.40,572.40,565.45,SHORT,574.00,1802,565.45,565.45,true,40.00,410.66,14956.44,1.45,1049712.77
2025-01-31,570.00,573.00,567.55,569.35,571.27,LONG,570.00,1841,571.27,571.27,true,40.00,420.22,1877.85,0.18,1051590.62
2025-02-01,592.50,592.50,589.30,589.30,581.67,SHORT,592.50,1774,581.67,624.00,false,40.00,431.61,-56352.61,-5.36,995238.01
2025-02-03,615.05,623.00,614.10,622.65,615.80,LONG,615.05,1618,615.80,615.80,true,40.00,398.30,775.20,0.08,996013.21
2025-02-04,605.20,609.00,604.00,604.00,615.30,LONG,605.20,1645,615.30,584.15,false,40.00,391.30,-35058.55,-3.52,960954.66
2025-02-05,583.00,588.55,580.00,581.50,588.75,LONG,583.00,1648,588.75,588.75,true,40.00,386.21,9049.79,0.94,970004.45
2025-02-06,586.00,588.20,578.95,578.95,585.34,SHORT,586.00,1655,585.34,585.34,true,40.00,387.71,664.59,0.07,970669.04
2025-02-07,575.10,576.70,571.25,571.95,577.66,LONG,575.10,1687,577.66,577.66,true,40.00,388.94,3889.78,0.40,974558.82
2025-02-10,571.50,572.35,568.15,568.15,573.21,LONG,571.50,1705,573.21,573.21,true,40.00,390.35,2485.20,0.26,977044.02
2025-02-11,570.00,570.00,563.10,563.55,573.68,LONG,570.00,1714,573.68,541.95,false,40.00,381.18,-48498.88,-4.96,928545.15
2025-02-12,541.25,541.25,535.00,537.75,553.39,LONG,541.25,1715,553.39,553.39,true,40.00,375.46,20404.64,2.20,948949.78
2025-02-13,558.70,560.60,556.30,560.60,551.89,SHORT,558.70,1698,551.89,551.89,true,40.00,377.16,11146.22,1.17,960096.01
2025-02-14,542.80,543.05,540.00,541.00,543.69,LONG,542.80,1768,543.69,525.30,false,40.00,377.68,-31357.68,-3.27,928738.33
2025-02-17,526.05,528.90,516.45,518.85,530.52,LONG,526.05,1765,530.52,523.80,false,40.00,370.60,-4381.85,-0.47,924356.48
2025-02-18,522.05,523.05,519.15,521.20,520.54,SHORT,522.05,1770,520.54,520.54,true,40.00,369.08,2263.62,0.24,926620.10
2025-02-19,535.90,535.90,528.30,531.25,540.65,LONG,535.90,1729,540.65,540.65,true,40.00,372.27,7800.48,0.84,934420.58
2025-02-20,544.50,553.00,544.50,553.00,539.53,SHORT,544.50,1716,539.53,554.40,false,40.00,377.14,-17405.54,-1.86,917015.04
2025-02-21,555.00,559.85,553.05,554.65,553.63,SHORT,555.00,1652,553.63,553.63,true,40.00,366.29,1856.95,0.20,918871.99
2025-02-24,548.00,548.75,540.05,548.75,554.72,LONG,548.00,1676,554.72,554.72,true,40.00,369.63,10853.09,1.18,929725.08
2025-02-25,552.00,559.25,552.00,555.60,550.62,SHORT,552.00,1684,550.62,550.62,true,40.00,371.36,1912.56,0.21,931637.63
2025-02-27,551.50,556.90,548.10,549.70,548.95,SHORT,551.50,1689,548.95,548.95,true,40.00,371.73,3895.22,0.42,935532.85
2025-02-28,543.00,545.75,541.15,542.15,545.43,LONG,543.00,1722,545.43,545.43,true,40.00,374.86,3769.60,0.40,939302.46
2025-03-03,528.00,528.00,525.45,526.05,526.71,SHORT,528.00,1778,526.71,526.71,true,40.00,375.05,1878.57,0.20,941181.02
2025-03-04,510.00,516.00,507.80,513.20,517.66,LONG,510.00,1845,517.66,517.66,true,40.00,379.21,13713.49,1.46,954894.52
2025-03-05,510.70,524.45,510.70,519.40,526.44,LONG,510.70,1869,526.44,526.44,true,40.00,387.68,28990.38,3.04,983884.89
2025-03-06,529.90,539.00,526.35,537.50,526.26,SHORT,529.90,1856,526.26,526.26,true,40.00,392.05,6323.79,0.64,990208.69
2025-03-07,537.75,541.85,534.45,539.90,531.12,SHORT,537.75,1841,531.12,551.40,false,40.00,401.03,-25570.68,-2.58,964638.01
2025-03-10,554.95,559.10,551.75,558.55,550.24,SHORT,554.95,1738,550.24,567.20,false,40.00,390.06,-21720.56,-2.25,942917.45
2025-03-11,566.00,566.00,555.00,556.55,566.95,LONG,566.00,1665,566.95,550.00,false,40.00,371.63,-27051.63,-2.87,915865.82
2025-03-12,545.60,552.80,545.60,547.70,550.53,LONG,545.60,1678,550.53,550.53,true,40.00,367.86,7864.68,0.86,923730.50
2025-03-13,569.95,570.10,559.80,559.80,563.20,SHORT,569.95,1620,563.20,563.20,true,40.00,367.14,10527.86,1.14,934258.36
2025-03-17,564.95,565.75,558.00,558.00,561.69,SHORT,564.95,1653,561.69,561.69,true,40.00,372.47,4976.31,0.53,939234.67
2025-03-18,549.95,551.75,548.85,548.85,553.32,LONG,549.95,1707,553.32,553.32,true,40.00,376.66,5335.93,0.57,944570.61
2025-03-19,546.95,559.30,546.95,556.95,555.07,LONG,546.95,1726,555.07,555.07,true,40.00,380.42,13594.70,1.44,958165.31
2025-03-20,558.00,564.25,556.60,564.25,560.32,LONG,558.00,1717,560.32,560.32,true,40.00,384.03,3559.41,0.37,961724.72
2025-03-21,567.20,572.50,567.20,572.45,568.98,LONG,567.20,1695,568.98,568.98,true,40.00,385.17,2591.93,0.27,964316.65
2025-03-24,584.00,585.90,574.35,576.45,577.38,SHORT,584.00,1651,577.38,577.38,true,40.00,383.49,10506.13,1.09,974822.79
2025-03-25,578.00,579.65,570.30,570.30,576.63,SHORT,578.00,1686,576.63,576.63,true,40.00,389.34,1880.48,0.19,976703.27
2025-03-26,576.05,581.00,574.80,576.85,569.52,SHORT,576.05,1695,569.52,569.52,true,40.00,388.35,10640.00,1.09,987343.27
