date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,991.95,996.40,990.55,993.45,987.49,SHORT,991.95,1008,987.49,1004.15,false,40.00,402.41,-12740.01,-1.27,987259.99
2025-01-03,1005.80,1008.20,1001.70,1003.80,1008.86,LONG,1005.80,981,1008.86,971.90,false,40.00,388.02,-33683.92,-3.41,953576.06
2025-01-06,977.30,977.45,966.60,969.50,983.39,LONG,977.30,975,983.39,925.70,false,40.00,371.09,-50721.08,-5.32,902854.98
2025-01-07,935.00,939.90,932.80,939.90,947.52,LONG,935.00,965,947.52,947.52,true,40.00,363.33,11678.47,1.29,914533.45
2025-01-08,970.05,973.50,967.40,969.30,981.03,LONG,970.05,942,981.03,962.85,false,40.00,364.16,-7186.56,-0.79,907346.89
2025-01-09,953.00,961.70,953.00,961.70,960.84,LONG,953.00,952,960.84,960.84,true,40.00,364.40,7059.28,0.78,914406.18
2025-01-10,962.50,963.00,949.35,951.70,991.61,LONG,962.50,950,991.61,934.50,false,40.00,360.43,-27000.43,-2.95,887405.75
2025-01-13,933.75,933.75,918.75,923.10,939.58,LONG,933.75,950,939.58,867.85,false,40.00,342.30,-62987.30,-7.10,824418.44
2025-01-14,869.75,887.95,869.75,881.20,902.76,LONG,869.75,947,902.76,898.00,false,40.00,334.81,26377.94,3.20,850796.38
2025-01-15,897.85,906.70,897.80,906.70,887.88,SHORT,897.85,947,887.88,896.20,false,40.00,339.79,1182.76,0.14,851979.14
2025-01-16,903.75,914.15,900.20,912.25,902.30,SHORT,903.75,942,902.30,902.30,true,40.00,340.26,985.64,0.12,852964.78
2025-01-17,913.75,914.65,905.50,910.70,912.25,SHORT,913.75,933,912.25,912.25,true,40.00,340.73,1018.77,0.12,853983.55
2025-01-20,959.80,959.80,945.45,947.70,968.01,LONG,959.80,889,968.01,947.50,false,40.00,339.12,-11313.82,-1.33,842669.73
2025-01-21,950.05,951.15,944.10,946.90,952.43,LONG,950.05,886,952.43,952.43,true,40.00,337.12,1731.56,0.21,844401.29
2025-01-22,955.45,956.90,943.00,943.75,972.35,LONG,955.45,883,972.35,940.15,false,40.00,334.76,-13884.66,-1.65,830516.63
2025-01-23,938.15,941.70,937.10,940.80,932.09,SHORT,938.15,885,932.09,971.40,false,40.00,337.99,-29804.24,-3.59,800712.39
2025-01-24,974.70,975.30,966.25,969.35,969.30,SHORT,974.70,821,969.30,969.30,true,40.00,319.20,4074.20,0.51,804786.58
