date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,709.40,717.65,709.40,715.60,707.83,SHORT,709.40,1409,707.83,707.83,true,40.00,399.38,1772.75,0.18,1001772.75
2025-01-03,721.10,723.70,718.80,721.35,720.53,SKIP,,,,,,,,,,1001772.75
2025-01-06,739.00,739.00,728.05,728.85,732.86,SHORT,739.00,1355,732.86,732.86,true,40.00,398.87,7880.83,0.79,1009653.58
2025-01-07,721.95,725.00,717.50,718.60,728.42,LONG,721.95,1398,728.42,728.42,true,40.00,405.52,8599.54,0.85,1018253.12
2025-01-08,739.55,739.55,726.85,729.00,727.26,SHORT,739.55,1376,727.26,727.26,true,40.00,403.67,16467.37,1.62,1034720.49
2025-01-09,723.90,725.00,713.05,715.45,724.41,SKIP,,,,,,,,,,1034720.49
2025-01-10,712.05,716.20,708.55,714.00,710.62,SHORT,712.05,1453,710.62,710.62,true,40.00,413.43,1624.36,0.16,1036344.85
2025-01-13,684.00,686.95,676.70,678.55,696.52,LONG,684.00,1515,696.52,662.15,false,40.00,407.88,-33550.63,-3.24,1002794.22
2025-01-14,669.45,674.00,666.80,673.05,666.75,SHORT,669.45,1497,666.75,666.75,true,40.00,400.06,3601.84,0.36,1006396.06
2025-01-15,666.00,667.50,666.00,666.65,660.36,SHORT,666.00,1511,660.36,660.36,true,40.00,400.83,8081.21,0.80,1014477.28
2025-01-16,655.00,660.70,655.00,660.05,654.02,SHORT,655.00,1548,654.02,662.75,false,40.00,407.98,-12444.98,-1.23,1002032.30
2025-01-17,664.80,664.80,657.55,659.85,667.53,LONG,664.80,1507,667.53,644.40,false,40.00,394.59,-31177.39,-3.11,970854.91
2025-01-20,648.50,648.50,641.55,644.50,648.23,SKIP,,,,,,,,,,970854.91
2025-01-21,656.05,659.70,655.40,657.65,647.43,SHORT,656.05,1479,647.43,647.43,true,40.00,385.57,12323.41,1.27,983178.32
2025-01-22,641.00,642.20,632.25,633.10,643.77,LONG,641.00,1533,643.77,629.25,false,40.00,389.46,-18442.21,-1.88,964736.11
2025-01-23,629.65,629.90,625.50,626.90,629.29,SKIP,,,,,,,,,,964736.11
2025-01-24,639.00,641.55,637.00,638.00,636.69,SHORT,639.00,1509,636.69,636.69,true,40.00,385.00,3060.79,0.32,967796.90
2025-01-27,605.55,611.15,597.30,598.90,620.72,LONG,605.55,1598,620.72,591.40,false,40.00,382.55,-23034.25,-2.38,944762.65
2025-01-28,592.55,596.00,582.30,582.30,594.87,LONG,592.55,1594,594.87,594.87,true,40.00,378.55,3279.53,0.35,948042.18
2025-01-29,580.05,583.20,578.65,582.55,581.23,LONG,580.05,1634,581.23,581.23,true,40.00,379.51,1508.61,0.16,949550.79
2025-01-30,628.00,635.15,627.00,635.00,616.55,SHORT,628.00,1512,616.55,648.15,false,40.00,385.91,-30892.71,-3.25,918658.09
2025-01-31,647.50,650.80,643.55,645.15,646.30,SHORT,647.50,1418,646.30,646.30,true,40.00,366.92,1294.68,0.14,919952.77
2025-02-01,644.00,649.95,642.05,649.95,640.25,SHORT,644.00,1428,640.25,640.25,true,40.00,366.78,4948.22,0.54,924900.98
2025-02-03,625.45,637.95,623.00,632.85,630.89,LONG,625.45,1478,630.89,630.89,true,40.00,371.37,7628.95,0.83,932529.93
2025-02-04,622.00,627.70,621.15,625.30,626.52,LONG,622.00,1499,626.52,626.52,true,40.00,374.31,6361.17,0.68,938891.10
2025-02-05,630.00,645.00,630.00,643.20,625.46,SHORT,630.00,1490,625.46,670.75,false,40.00,387.62,-61145.12,-6.51,877745.98
2025-02-06,669.65,669.65,660.00,660.00,661.29,SHORT,669.65,1310,661.29,661.29,true,40.00,348.71,10562.89,1.20,888308.87
2025-02-07,651.00,657.40,651.00,654.30,651.15,SKIP,,,,,,,,,,888308.87
2025-02-10,658.00,661.65,648.35,648.35,651.48,SHORT,658.00,1350,651.48,651.48,true,40.00,353.56,8408.44,0.95,896717.31
2025-02-11,627.40,631.05,627.40,629.15,631.69,LONG,627.40,1429,631.69,631.69,true,40.00,359.85,5730.56,0.64,902447.88
2025-02-12,614.70,615.00,607.70,607.95,619.49,LONG,614.70,1468,619.49,619.49,true,40.00,362.36,6629.36,0.73,909077.24
2025-02-13,614.55,618.55,614.55,618.55,613.56,SHORT,614.55,1479,613.56,613.56,true,40.00,363.27,1060.94,0.12,910138.17
2025-02-14,618.95,618.95,614.05,616.15,611.66,SHORT,618.95,1470,611.66,611.66,true,40.00,361.80,10314.50,1.13,920452.67
2025-02-17,591.00,596.25,589.00,594.15,602.08,LONG,591.00,1557,602.08,602.08,true,40.00,371.53,16840.03,1.83,937292.71
2025-02-18,614.95,619.90,612.60,619.65,603.05,SHORT,614.95,1524,603.05,603.05,true,40.00,371.25,17724.35,1.89,955017.06
2025-02-19,601.00,602.40,597.90,599.65,605.05,LONG,601.00,1589,605.05,605.05,true,40.00,383.28,6012.17,0.63,961029.23
2025-02-20,605.60,609.55,602.90,609.55,603.22,SHORT,605.60,1586,603.22,603.22,true,40.00,383.44,3351.24,0.35,964380.47
2025-02-21,608.10,619.70,608.10,619.70,610.95,LONG,608.10,1585,610.95,610.95,true,40.00,386.44,4090.81,0.42,968471.28
2025-02-24,614.90,617.50,608.20,610.60,613.14,SHORT,614.90,1575,613.14,613.14,true,40.00,386.83,2345.17,0.24,970816.45
2025-02-25,598.10,598.10,591.20,591.90,604.72,LONG,598.10,1623,604.72,604.72,true,40.00,390.44,10313.82,1.06,981130.27
2025-02-27,610.00,615.20,609.25,613.65,600.19,SHORT,610.00,1608,600.19,614.95,false,40.00,393.94,-8393.54,-0.86,972736.73
2025-02-28,613.05,619.20,611.15,619.20,615.13,LONG,613.05,1586,615.13,615.13,true,40.00,389.58,2869.30,0.30,975606.03
2025-03-03,602.00,610.70,602.00,604.80,610.82,LONG,602.00,1620,610.82,610.82,true,40.00,392.95,13855.45,1.42,989461.48
2025-03-04,627.45,631.40,626.00,628.15,624.21,SHORT,627.45,1576,624.21,624.21,true,40.00,394.52,4671.72,0.47,994133.20
2025-03-05,643.05,645.70,630.90,630.90,641.85,SHORT,643.05,1545,641.85,641.85,true,40.00,397.03,1416.97,0.14,995550.16
2025-03-06,666.00,666.00,654.00,658.35,661.19,SHORT,666.00,1494,661.19,661.19,true,40.00,396.56,6749.58,0.68,1002299.74
2025-03-07,644.20,644.75,639.80,642.90,661.01,LONG,644.20,1555,661.01,627.80,false,40.00,395.59,-25937.59,-2.59,976362.14
2025-03-10,631.10,633.20,628.45,631.90,640.36,LONG,631.10,1547,640.36,618.75,false,40.00,386.70,-19532.15,-2.00,956829.99
2025-03-11,614.20,623.20,614.15,623.20,624.08,LONG,614.20,1557,624.08,624.08,true,40.00,385.60,14957.56,1.56,971787.55
2025-03-12,629.95,629.95,621.20,622.80,627.64,SHORT,629.95,1542,627.64,627.64,true,40.00,387.84,3134.18,0.32,974921.73
2025-03-13,616.75,620.00,616.20,618.15,617.42,LONG,616.75,1580,617.42,617.42,true,40.00,390.00,628.60,0.06,975550.33
2025-03-17,603.10,604.15,599.00,599.00,607.07,LONG,603.10,1617,607.07,607.07,true,40.00,391.37,5988.12,0.61,981538.45
2025-03-18,600.00,604.80,600.00,602.85,601.19,LONG,600.00,1635,601.19,601.19,true,40.00,392.79,1512.86,0.15,983051.31
2025-03-19,614.00,616.00,610.10,610.10,614.89,LONG,614.00,1601,614.89,614.89,true,40.00,393.49,991.40,0.10,984042.71
2025-03-20,618.00,618.00,612.85,615.95,610.14,SHORT,618.00,1592,610.14,627.10,false,40.00,396.44,-14923.64,-1.52,969119.07
2025-03-21,632.00,634.45,628.85,634.45,625.73,SHORT,632.00,1533,625.73,625.73,true,40.00,385.62,9186.29,0.95,978305.36
2025-03-24,637.90,639.50,635.05,637.10,629.43,SHORT,637.90,1533,629.43,653.55,false,40.00,395.96,-24427.41,-2.50,953877.96
2025-03-25,660.00,661.70,654.00,654.00,644.48,SHORT,660.00,1445,644.48,644.48,true,40.00,376.99,22009.41,2.31,975887.36
2025-03-26,650.00,653.85,643.85,648.45,646.63,SHORT,650.00,1501,646.63,646.63,true,40.00,389.25,4629.12,0.47,980516.48
2025-03-27,639.70,640.10,636.30,637.30,644.04,LONG,639.70,1532,644.04,644.04,true,40.00,393.34,6215.54,0.63,986732.02
