date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,375.80,375.95,373.35,374.30,383.03,LONG,375.80,2660,383.03,383.03,true,40.00,403.70,18788.10,1.88,1018788.10
2025-01-03,386.05,388.30,384.80,388.05,396.92,LONG,386.05,2639,396.92,396.92,true,40.00,413.25,28232.68,2.77,1047020.78
2025-01-06,392.70,392.70,388.80,391.50,402.19,LONG,392.70,2666,402.19,382.65,false,40.00,413.42,-27246.72,-2.60,1019774.06
2025-01-07,382.65,388.50,378.20,388.50,396.18,LONG,382.65,2665,396.18,396.18,true,40.00,415.12,35602.33,3.49,1055376.40
2025-01-08,398.25,400.15,396.45,398.70,411.51,LONG,398.25,2650,411.51,388.75,false,40.00,417.11,-25632.11,-2.43,1029744.29
2025-01-09,386.25,386.25,383.15,385.50,397.96,LONG,386.25,2666,397.96,386.35,false,40.00,411.95,-185.35,-0.02,1029558.94
2025-01-10,384.70,391.30,384.60,390.60,395.96,LONG,384.70,2676,395.96,395.96,true,40.00,417.81,29673.95,2.88,1059232.89
2025-01-13,366.55,370.85,365.70,367.60,390.21,LONG,366.55,2889,390.21,353.80,false,40.00,416.22,-37290.97,-3.52,1021941.92
2025-01-14,352.85,356.80,352.80,354.90,367.97,LONG,352.85,2896,367.97,362.20,false,40.00,414.16,26623.44,2.61,1048565.36
2025-01-15,364.50,366.70,364.25,366.70,362.87,SHORT,364.50,2876,362.87,362.87,true,40.00,418.38,4229.50,0.40,1052794.86
2025-01-16,375.15,383.20,375.15,379.50,375.38,SKIP,,,,,,,,,,1052794.86
2025-01-17,374.80,374.80,370.35,370.75,385.99,LONG,374.80,2808,385.99,383.90,false,40.00,426.09,25086.71,2.38,1077881.57
2025-01-20,384.60,386.65,381.80,383.15,383.60,SHORT,384.60,2802,383.60,383.60,true,40.00,430.50,2331.50,0.22,1080213.07
2025-01-21,379.35,379.55,375.65,378.25,392.37,LONG,379.35,2847,392.37,353.20,false,40.00,417.11,-74906.16,-6.94,1005306.91
2025-01-22,355.15,356.95,349.45,350.20,371.53,LONG,355.15,2830,371.53,343.35,false,40.00,395.35,-33829.35,-3.37,971477.56
2025-01-23,345.05,345.30,342.90,344.35,348.78,LONG,345.05,2815,348.78,348.78,true,40.00,390.63,10069.32,1.04,981546.88
2025-01-24,348.80,349.50,345.55,347.20,356.01,LONG,348.80,2814,356.01,356.01,true,40.00,396.67,19852.27,2.02,1001399.16
2025-01-27,351.55,355.50,348.50,354.45,371.48,LONG,351.55,2848,371.48,344.15,false,40.00,396.27,-21511.47,-2.15,979887.69
2025-01-28,345.75,348.20,345.45,346.10,353.26,LONG,345.75,2834,353.26,317.20,false,40.00,375.76,-81326.46,-8.30,898561.23
2025-01-29,314.10,315.45,311.60,312.15,331.15,LONG,314.10,2860,331.15,331.15,true,40.00,369.08,48353.92,5.38,946915.14
2025-01-30,339.60,340.40,337.90,339.40,340.76,LONG,339.60,2788,340.76,340.76,true,40.00,379.37,2814.71,0.30,949729.85
2025-01-31,332.75,333.40,328.95,329.05,344.51,LONG,332.75,2854,344.51,327.70,false,40.00,376.98,-14829.68,-1.56,934900.17
2025-02-01,331.75,335.65,331.70,335.50,335.47,LONG,331.75,2818,335.47,335.47,true,40.00,376.05,10066.91,1.08,944967.08
2025-02-03,325.95,330.00,323.25,327.50,341.88,LONG,325.95,2899,341.88,324.20,false,40.00,376.96,-5490.21,-0.58,939476.88
2025-02-04,327.85,329.60,327.45,328.75,332.49,LONG,327.85,2865,332.49,332.49,true,40.00,378.37,12875.23,1.37,952352.10
2025-02-05,330.20,335.90,330.05,334.10,331.15,LONG,330.20,2884,331.15,331.15,true,40.00,381.47,2318.33,0.24,954670.44
2025-02-06,343.55,345.40,341.05,341.05,349.97,LONG,343.55,2778,349.97,344.75,false,40.00,382.42,2911.18,0.31,957581.62
2025-02-07,344.85,345.00,340.90,342.10,351.37,LONG,344.85,2776,351.37,351.37,true,40.00,386.54,17672.98,1.85,975254.59
2025-02-10,360.15,361.60,356.40,356.70,355.06,SHORT,360.15,2707,355.06,355.06,true,40.00,387.21,13351.42,1.37,988606.01
2025-02-11,340.20,345.65,340.20,345.65,355.60,LONG,340.20,2905,355.60,351.00,false,40.00,401.59,30932.41,3.13,1019538.42
2025-02-12,349.05,350.10,345.55,348.45,355.36,LONG,349.05,2920,355.36,355.36,true,40.00,411.38,17973.82,1.76,1037512.25
2025-02-13,349.55,353.70,349.00,353.00,354.52,LONG,349.55,2968,354.52,354.52,true,40.00,417.94,14293.02,1.38,1051805.27
2025-02-14,353.80,354.05,350.35,351.40,361.98,LONG,353.80,2972,361.98,344.95,false,40.00,415.34,-26757.54,-2.54,1025047.73
2025-02-17,341.10,342.00,338.40,338.40,352.50,LONG,341.10,3005,352.50,337.30,false,40.00,407.72,-11866.72,-1.16,1013181.02
2025-02-18,338.60,341.20,337.90,341.20,343.26,LONG,338.60,2992,343.26,343.26,true,40.00,408.03,13494.69,1.33,1026675.71
2025-02-19,341.45,341.45,338.60,340.60,344.58,LONG,341.45,3006,344.58,344.58,true,40.00,412.44,8956.34,0.87,1035632.05
2025-02-20,347.40,349.50,345.25,349.50,356.31,LONG,347.40,2981,356.31,356.31,true,40.00,419.55,26101.16,2.52,1061733.21
2025-02-21,353.35,356.30,353.05,355.85,361.24,LONG,353.35,3004,361.24,361.24,true,40.00,429.33,23232.23,2.19,1084965.44
2025-02-24,356.25,356.25,351.80,354.05,363.65,LONG,356.25,3045,363.65,352.65,false,40.00,431.72,-11433.72,-1.05,1073531.72
2025-02-25,350.35,352.25,349.05,350.35,359.16,LONG,350.35,3064,359.16,346.35,false,40.00,426.94,-12722.94,-1.19,1060808.78
2025-02-27,349.35,353.50,348.40,353.50,357.48,LONG,349.35,3036,357.48,349.00,false,40.00,424.04,-1526.64,-0.14,1059282.15
2025-02-28,345.45,347.75,343.60,344.15,354.04,LONG,345.45,3066,354.04,338.85,false,40.00,419.61,-20695.21,-1.95,1038586.93
2025-03-03,335.20,338.05,333.35,333.55,345.79,LONG,335.20,3098,345.79,345.79,true,40.00,421.94,32345.88,3.11,1070932.81
2025-03-04,344.45,345.40,339.90,343.65,342.05,SHORT,344.45,3109,342.05,342.05,true,40.00,426.87,6994.73,0.65,1077927.55
2025-03-05,346.50,351.20,345.30,345.75,354.18,LONG,346.50,3110,354.18,354.18,true,40.00,435.82,23408.98,2.17,1101336.52
2025-03-06,356.70,359.10,354.65,355.05,359.28,LONG,356.70,3087,359.28,347.55,false,40.00,434.80,-28720.85,-2.61,1072615.67
2025-03-07,351.35,351.35,347.45,347.45,357.09,LONG,351.35,3052,357.09,346.00,false,40.00,425.66,-16793.86,-1.57,1055821.81
2025-03-10,346.40,346.95,344.80,345.65,353.06,LONG,346.40,3047,353.06,331.35,false,40.00,413.02,-46310.37,-4.39,1009511.44
2025-03-11,327.45,328.50,325.80,325.80,346.12,LONG,327.45,3082,346.12,324.75,false,40.00,402.02,-8763.42,-0.87,1000748.02
2025-03-12,326.80,331.00,325.15,325.55,331.84,LONG,326.80,3062,331.84,299.35,false,40.00,383.45,-84475.35,-8.44,916272.67
2025-03-13,300.60,301.70,298.10,298.60,311.42,LONG,300.60,3048,311.42,296.50,false,40.00,363.99,-12900.79,-1.41,903371.87
2025-03-17,293.45,293.55,288.10,288.10,301.01,LONG,293.45,3078,301.01,272.85,false,40.00,348.61,-63795.41,-7.06,839576.46
2025-03-18,274.00,275.15,268.55,269.05,282.83,LONG,274.00,3064,282.83,277.75,false,40.00,338.11,11111.89,1.32,850688.35
2025-03-19,280.65,283.20,279.60,281.55,278.86,SHORT,280.65,3031,278.86,288.50,false,40.00,345.02,-24178.37,-2.84,826509.98
2025-03-20,293.20,294.00,289.80,291.05,292.33,SHORT,293.20,2818,292.33,292.33,true,40.00,330.00,2081.66,0.25,828591.63
2025-03-21,298.50,301.20,298.15,300.20,303.46,LONG,298.50,2775,303.46,303.46,true,40.00,334.09,13389.91,1.62,841981.55
2025-03-24,316.35,318.50,314.10,317.55,312.03,SHORT,316.35,2661,312.03,312.03,true,40.00,334.42,11121.10,1.32,853102.64
2025-03-25,314.00,316.05,314.00,315.60,319.44,LONG,314.00,2716,319.44,319.44,true,40.00,344.08,14390.96,1.69,867493.60
2025-03-26,319.05,319.05,317.10,318.80,325.92,LONG,319.05,2718,325.92,317.40,false,40.00,345.97,-4870.67,-0.56,862622.92
2025-03-27,315.00,319.85,313.50,319.20,326.41,LONG,315.00,2738,326.41,326.41,true,40.00,351.24,30849.34,3.58,893472.27
2025-03-28,343.20,345.85,340.15,340.15,346.77,LONG,343.20,2603,346.77,346.77,true,40.00,359.20,8893.51,1.00,902365.78
2025-04-01,329.90,333.45,327.85,331.45,348.63,LONG,329.90,2735,348.63,326.10,false,40.00,358.83,-10791.83,-1.20,891573.95
2025-04-02,326.30,329.05,326.30,328.15,336.84,LONG,326.30,2732,336.84,328.60,false,40.00,357.84,5885.76,0.66,897459.71
2025-04-03,325.40,329.10,324.40,327.35,334.53,LONG,325.40,2758,334.53,334.53,true,40.00,364.02,24776.52,2.76,922236.23
2025-04-04,337.55,337.55,334.50,335.10,341.29,LONG,337.55,2732,341.29,316.60,false,40.00,357.43,-57632.83,-6.25,864603.40
2025-04-07,264.25,289.10,264.25,287.70,329.46,LONG,264.25,3271,329.46,302.75,false,40.00,370.93,125522.57,14.52,990125.97
2025-04-08,308.25,316.45,308.25,313.70,303.01,SHORT,308.25,3212,303.01,303.01,true,40.00,392.67,16398.21,1.66,1006524.18
