date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2250.00,2258.10,2208.00,2219.75,2246.69,SHORT,2250.00,444,2246.69,2246.69,true,40.00,399.31,1030.33,0.10,1001030.33
2025-01-03,2221.95,2249.95,2215.40,2241.05,2223.45,SKIP,,,,,,,,,,1001030.33
2025-01-06,2236.00,2248.95,2179.95,2201.10,2240.64,LONG,2236.00,447,2240.64,2240.64,true,40.00,400.21,1633.87,0.16,1002664.20
2025-01-07,2232.00,2239.90,2188.80,2231.10,2206.94,SHORT,2232.00,449,2206.94,2206.94,true,40.00,398.62,10813.32,1.08,1013477.53
2025-01-08,2231.10,2241.55,2185.10,2208.00,2221.77,SHORT,2231.10,454,2221.77,2221.77,true,40.00,404.32,3791.50,0.37,1017269.02
2025-01-09,2201.00,2231.00,2201.00,2208.35,2208.99,LONG,2201.00,462,2208.99,2208.99,true,40.00,407.48,3243.90,0.32,1020512.92
2025-01-10,2208.35,2213.90,2141.35,2190.40,2215.21,LONG,2208.35,462,2215.21,2190.40,false,40.00,406.44,-8739.34,-0.86,1011773.58
2025-01-13,2143.00,2165.80,2078.95,2093.35,2173.08,LONG,2143.00,472,2173.08,2093.35,false,40.00,399.91,-23874.71,-2.36,987898.87
2025-01-14,2100.05,2118.00,2051.00,2072.05,2111.89,LONG,2100.05,470,2111.89,2111.89,true,40.00,395.92,5128.88,0.52,993027.74
2025-01-15,2086.00,2116.40,1987.00,2042.50,2077.83,SHORT,2086.00,476,2077.83,2077.83,true,40.00,396.40,3452.52,0.35,996480.27
2025-01-16,2052.00,2069.20,2013.30,2053.05,2061.90,LONG,2052.00,485,2061.90,2061.90,true,40.00,399.05,4362.45,0.44,1000842.72
2025-01-17,2050.00,2069.70,2013.85,2063.30,2040.13,SHORT,2050.00,488,2040.13,2040.13,true,40.00,399.20,4377.36,0.44,1005220.08
2025-01-20,2065.00,2149.50,2048.00,2135.50,2032.96,SHORT,2065.00,486,2032.96,2135.50,false,40.00,408.29,-34711.29,-3.46,970508.79
2025-01-21,2128.30,2202.00,2110.10,2146.00,2100.33,SHORT,2128.30,456,2100.33,2146.00,false,40.00,389.82,-8501.02,-0.88,962007.78
2025-01-22,2151.35,2164.85,2089.40,2107.85,2173.24,LONG,2151.35,447,2173.24,2107.85,false,40.00,380.77,-19865.27,-2.07,942142.50
2025-01-23,2105.00,2141.45,2080.00,2087.60,2110.42,LONG,2105.00,447,2110.42,2110.42,true,40.00,376.86,2005.88,0.21,944148.39
2025-01-24,2104.50,2113.30,2039.05,2099.55,2108.57,LONG,2104.50,448,2108.57,2108.57,true,40.00,377.49,1405.87,0.15,945554.26
2025-01-27,2094.15,2094.15,2031.50,2062.30,2069.33,SHORT,2094.15,451,2069.33,2069.33,true,40.00,375.55,10778.27,1.14,956332.53
2025-01-28,2064.85,2077.45,1981.10,2023.15,2053.16,SHORT,2064.85,463,2053.16,2053.16,true,40.00,381.33,4991.14,0.52,961323.67
2025-01-29,2028.20,2028.20,1969.95,1983.95,2008.13,SHORT,2028.20,473,2008.13,2008.13,true,40.00,381.84,9071.27,0.95,970394.94
2025-01-30,2003.75,2009.95,1975.00,1980.05,1992.07,SHORT,2003.75,484,1992.07,1992.07,true,40.00,386.80,5226.32,0.54,975621.27
2025-01-31,1994.75,2013.70,1961.55,1977.15,1986.67,SHORT,1994.75,489,1986.67,1986.67,true,40.00,389.38,3521.74,0.36,979143.01
2025-02-01,1980.30,1995.95,1940.50,1956.20,1982.05,SKIP,,,,,,,,,,979143.01
2025-02-03,1955.95,1994.85,1921.00,1981.45,1959.13,LONG,1955.95,500,1959.13,1959.13,true,40.00,391.51,1158.49,0.12,980301.50
2025-02-04,1981.45,2007.00,1950.60,1960.40,1949.00,SHORT,1981.45,494,1949.00,1960.40,false,40.00,389.45,9969.25,1.02,990270.74
2025-02-05,1969.00,2016.85,1960.00,1999.35,1961.87,SHORT,1969.00,502,1961.87,1961.87,true,40.00,394.66,3144.60,0.32,993415.34
2025-02-06,2000.00,2364.00,1992.00,2260.65,1990.45,SHORT,2000.00,496,1990.45,2260.65,false,40.00,422.66,-129745.06,-13.08,863670.29
2025-02-07,2202.00,2249.70,2175.15,2208.15,2179.14,SHORT,2202.00,392,2179.14,2179.14,true,40.00,343.48,8577.64,0.99,872247.93
2025-02-10,2182.10,2206.40,2133.00,2141.40,2206.84,LONG,2182.10,399,2206.84,2141.40,false,40.00,345.02,-16624.32,-1.91,855623.61
2025-02-11,2142.85,2149.90,2035.55,2058.20,2155.27,LONG,2142.85,399,2155.27,2058.20,false,40.00,335.24,-34150.59,-3.99,821473.02
2025-02-12,2056.90,2074.95,2003.60,2030.55,2075.80,LONG,2056.90,399,2075.80,2030.55,false,40.00,326.18,-10879.83,-1.33,810593.19
2025-02-13,2030.00,2059.45,1981.00,1998.80,2028.50,SKIP,,,,,,,,,,810593.19
