date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,571.00,582.70,568.00,569.65,568.03,SHORT,571.00,1751,568.03,568.03,true,40.00,398.89,4761.58,0.48,1004761.58
2025-01-03,570.00,585.90,568.10,570.30,574.63,LONG,570.00,1762,574.63,574.63,true,40.00,403.37,7714.69,0.77,1012476.27
2025-01-06,571.00,571.00,547.95,555.45,577.47,LONG,571.00,1773,577.47,555.45,false,40.00,399.44,-28009.59,-2.77,984466.68
2025-01-07,556.25,562.10,551.60,553.15,555.29,SHORT,556.25,1769,555.29,555.29,true,40.00,393.26,1264.98,0.13,985731.66
2025-01-08,553.15,554.00,542.35,547.05,556.33,LONG,553.15,1782,556.33,547.05,false,40.00,392.11,-11302.31,-1.15,974429.35
2025-01-09,547.45,551.95,541.60,547.05,546.94,SKIP,,,,,,,,,,974429.35
2025-01-10,544.00,545.15,522.95,525.25,547.01,LONG,544.00,1791,547.01,525.25,false,40.00,383.01,-34004.26,-3.49,940425.10
2025-01-13,518.50,525.00,492.80,498.25,526.77,LONG,518.50,1813,526.77,498.25,false,40.00,368.67,-37121.92,-3.95,903303.17
2025-01-14,502.70,508.00,496.05,498.15,507.14,LONG,502.70,1796,507.14,507.14,true,40.00,362.73,7571.51,0.84,910874.68
2025-01-15,506.00,516.70,501.00,509.65,500.57,SHORT,506.00,1800,500.57,509.65,false,40.00,365.63,-6975.63,-0.77,903899.04
2025-01-16,511.50,518.90,504.00,506.05,510.96,SHORT,511.50,1767,510.96,510.96,true,40.00,361.34,552.84,0.06,904451.89
2025-01-17,507.80,514.25,502.30,511.75,512.19,LONG,507.80,1781,512.19,512.19,true,40.00,363.32,7415.27,0.82,911867.16
2025-01-20,514.90,516.90,508.95,513.15,509.82,SHORT,514.90,1770,509.82,509.82,true,40.00,362.75,8588.85,0.94,920456.00
2025-01-21,515.00,517.40,493.00,495.10,513.54,SHORT,515.00,1787,513.54,513.54,true,40.00,367.60,2201.42,0.24,922657.42
2025-01-22,495.10,497.00,482.10,491.60,503.84,LONG,495.10,1863,503.84,491.60,false,40.00,367.64,-6928.14,-0.75,915729.28
2025-01-23,490.80,496.60,485.95,488.45,487.44,SHORT,490.80,1865,487.44,487.44,true,40.00,364.88,5861.52,0.64,921590.80
2025-01-24,489.70,504.95,487.10,501.10,492.03,LONG,489.70,1881,492.03,492.03,true,40.00,369.33,3973.40,0.43,925564.20
2025-01-27,495.00,496.05,466.85,483.05,497.74,LONG,495.00,1869,497.74,483.05,false,40.00,365.60,-22740.15,-2.46,902824.05
2025-01-28,485.45,486.95,458.00,460.55,479.77,SHORT,485.45,1859,479.77,479.77,true,40.00,358.87,10160.25,1.13,912984.31
2025-01-29,462.50,475.75,462.45,472.30,469.29,LONG,462.50,1974,469.29,469.29,true,40.00,367.87,12995.59,1.42,925979.90
2025-01-30,476.00,478.95,464.80,466.15,471.44,SHORT,476.00,1945,471.44,471.44,true,40.00,368.55,8460.65,0.91,934440.54
2025-01-31,463.05,476.95,463.00,475.90,471.24,LONG,463.05,2018,471.24,471.24,true,40.00,377.08,16110.34,1.72,950550.88
2025-02-01,476.00,484.95,471.10,480.45,472.85,SHORT,476.00,1996,472.85,472.85,true,40.00,378.78,5868.62,0.62,956419.50
2025-02-03,469.95,484.60,466.55,469.85,478.89,LONG,469.95,2035,478.89,478.89,true,40.00,386.18,17766.72,1.86,974186.22
2025-02-04,473.15,502.00,470.05,499.95,471.60,SHORT,473.15,2058,471.60,471.60,true,40.00,388.86,2761.04,0.28,976947.26
2025-02-05,499.90,508.20,497.95,499.55,490.94,SHORT,499.90,1954,490.94,499.55,false,40.00,390.59,253.31,0.03,977200.58
2025-02-06,501.95,520.60,499.50,502.25,502.12,SKIP,,,,,,,,,,977200.58
2025-02-07,505.70,505.70,492.25,496.45,510.73,LONG,505.70,1932,510.73,496.45,false,40.00,387.23,-18298.23,-1.87,958902.35
2025-02-10,496.40,496.45,481.45,484.50,498.82,LONG,496.40,1931,498.82,484.50,false,40.00,378.82,-23397.72,-2.44,935504.62
2025-02-11,484.75,486.00,451.25,455.40,486.78,LONG,484.75,1929,486.78,455.40,false,40.00,362.71,-57018.86,-6.10,878485.76
2025-02-12,456.00,466.00,402.50,441.75,462.96,LONG,456.00,1926,462.96,462.96,true,40.00,353.98,13010.98,1.48,891496.74
2025-02-13,433.95,447.95,427.50,439.60,434.30,SKIP,,,,,,,,,,891496.74
2025-02-14,444.00,446.00,406.00,409.30,439.46,SHORT,444.00,2007,439.46,439.46,true,40.00,354.62,8717.16,0.98,900213.90
2025-02-17,407.00,409.85,390.05,400.70,419.00,LONG,407.00,2211,419.00,400.70,false,40.00,357.16,-14326.46,-1.59,885887.44
2025-02-18,400.70,402.95,385.15,389.45,398.18,SHORT,400.70,2210,398.18,398.18,true,40.00,353.10,5176.10,0.58,891063.53
2025-02-19,389.95,408.50,389.95,401.45,392.19,LONG,389.95,2285,392.19,392.19,true,40.00,357.44,4720.96,0.53,895784.49
2025-02-20,401.35,429.40,396.20,424.80,400.90,SHORT,401.35,2231,400.90,400.90,true,40.00,357.96,605.99,0.07,896390.48
2025-02-21,420.05,424.90,407.50,420.40,414.99,SHORT,420.05,2134,414.99,414.99,true,40.00,356.40,10401.64,1.16,906792.12
2025-02-24,419.50,422.80,406.50,409.65,415.46,SHORT,419.50,2161,415.46,415.46,true,40.00,360.87,8329.57,0.92,915121.69
2025-02-25,411.00,417.35,398.35,401.05,413.83,LONG,411.00,2226,413.83,413.83,true,40.00,367.21,5892.37,0.64,921014.06
2025-02-27,406.00,406.00,390.10,394.20,407.80,LONG,406.00,2268,407.80,394.20,false,40.00,362.97,-27165.37,-2.95,893848.69
2025-02-28,392.30,398.50,382.50,391.45,394.84,LONG,392.30,2278,394.84,394.84,true,40.00,358.62,5387.50,0.60,899236.19
2025-03-03,387.00,394.25,367.00,374.45,391.29,LONG,387.00,2323,391.29,391.29,true,40.00,361.59,9564.08,1.06,908800.26
2025-03-04,370.95,382.95,365.75,379.60,375.57,LONG,370.95,2449,375.57,375.57,true,40.00,365.65,10908.73,1.20,919709.00
2025-03-05,377.05,395.65,377.05,391.95,377.57,LONG,377.05,2439,377.57,377.57,true,40.00,368.10,860.18,0.09,920569.17
2025-03-06,393.00,413.00,393.00,410.90,389.29,SHORT,393.00,2342,389.29,410.90,false,40.00,376.55,-42338.35,-4.60,878230.83
