date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-02-20,749.70,806.70,745.75,798.10,759.95,LONG,749.70,1333,759.95,759.95,true,40.00,402.47,13220.78,1.32,1013220.78
2025-02-21,801.10,824.00,775.00,817.40,786.65,SHORT,801.10,1264,786.65,786.65,true,40.00,401.38,17823.42,1.76,1031044.19
2025-02-24,808.65,840.50,797.50,805.10,805.22,SHORT,808.65,1275,805.22,805.22,true,40.00,411.54,3921.71,0.38,1034965.91
2025-02-25,805.10,828.65,787.85,822.80,817.74,LONG,805.10,1285,817.74,817.74,true,40.00,417.07,15785.33,1.53,1050751.24
2025-02-27,830.00,847.00,784.45,826.60,811.47,SHORT,830.00,1265,811.47,811.47,true,40.00,415.29,22985.16,2.19,1073736.40
2025-02-28,817.90,826.60,793.20,808.45,818.32,LONG,817.90,1312,818.32,818.32,true,40.00,429.34,81.70,0.01,1073818.09
2025-03-03,803.00,817.00,790.25,809.75,805.04,LONG,803.00,1337,805.04,805.04,true,40.00,429.99,2257.49,0.21,1076075.58
2025-03-04,799.00,808.90,793.25,801.15,806.19,LONG,799.00,1346,806.19,806.19,true,40.00,432.12,9205.62,0.86,1085281.20
2025-03-05,806.10,816.80,798.00,801.00,800.73,SHORT,806.10,1346,800.73,800.73,true,40.00,432.56,6755.46,0.62,1092036.67
2025-03-06,809.95,827.90,805.10,819.25,807.61,SHORT,809.95,1348,807.61,807.61,true,40.00,436.09,2678.23,0.25,1094714.89
2025-03-07,827.00,827.00,758.60,781.75,814.16,SHORT,827.00,1323,814.16,814.16,true,40.00,434.25,16513.07,1.51,1111227.96
2025-03-10,780.05,800.25,768.00,778.95,784.27,LONG,780.05,1424,784.27,784.27,true,40.00,445.52,5523.76,0.50,1116751.72
2025-03-11,770.00,801.65,765.00,799.20,785.35,LONG,770.00,1450,785.35,785.35,true,40.00,451.05,21766.45,1.95,1138518.17
2025-03-12,799.20,803.45,762.50,768.65,786.84,SHORT,799.20,1424,786.84,786.84,true,40.00,451.70,17108.94,1.50,1155627.11
2025-03-13,779.00,779.00,753.00,758.95,778.54,SHORT,779.00,1483,778.54,778.54,true,40.00,461.97,180.21,0.02,1155807.32
2025-03-17,757.00,757.00,719.80,752.20,766.36,LONG,757.00,1526,766.36,752.20,false,40.00,460.61,-7825.41,-0.68,1147981.91
2025-03-18,750.00,789.95,745.35,759.15,731.43,SHORT,750.00,1530,731.43,759.15,false,40.00,461.80,-14501.30,-1.26,1133480.61
2025-03-19,735.20,742.00,722.60,736.10,770.65,LONG,735.20,1541,770.65,736.10,false,40.00,453.45,893.45,0.08,1134374.06
2025-03-20,744.00,747.95,728.50,732.45,735.71,SHORT,744.00,1524,735.71,735.71,true,40.00,451.02,12142.94,1.07,1146517.00
2025-03-21,731.85,745.00,714.80,728.60,735.98,LONG,731.85,1566,735.98,735.98,true,40.00,459.72,5967.86,0.52,1152484.86
2025-03-24,732.00,740.00,719.85,733.20,734.86,LONG,732.00,1574,734.86,734.86,true,40.00,461.77,3999.87,0.35,1156484.73
2025-03-25,732.00,737.00,721.30,725.00,735.25,LONG,732.00,1579,735.25,735.25,true,40.00,463.36,4628.39,0.40,1161113.12
2025-03-26,725.00,730.00,715.00,721.40,729.88,LONG,725.00,1601,729.88,729.88,true,40.00,465.85,7307.03,0.63,1168420.15
2025-03-27,719.10,726.00,709.50,711.50,722.98,LONG,719.10,1624,722.98,722.98,true,40.00,468.39,5792.73,0.50,1174212.88
2025-03-28,715.90,723.80,698.00,700.75,716.77,LONG,715.90,1640,716.77,716.77,true,40.00,469.92,916.88,0.08,1175129.77
2025-04-01,695.00,709.90,683.50,702.40,705.40,LONG,695.00,1690,705.40,705.40,true,40.00,473.34,17062.66,1.45,1192192.43
2025-04-02,705.00,707.90,685.00,702.40,702.26,SHORT,705.00,1691,702.26,702.26,true,40.00,475.94,4117.40,0.35,1196309.84
2025-04-03,702.00,706.75,680.10,683.65,694.01,SHORT,702.00,1704,694.01,694.01,true,40.00,475.76,13099.20,1.10,1209409.04
2025-04-04,680.05,680.10,645.10,655.55,692.81,LONG,680.05,1778,692.81,655.55,false,40.00,474.94,-44075.94,-3.65,1165333.10
2025-04-07,590.50,663.55,590.30,655.45,655.31,LONG,590.50,1973,655.31,655.31,true,40.00,491.60,127338.53,10.93,1292671.63
