date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1045.00,1083.90,1036.20,1076.15,1051.26,LONG,1045.00,956,1051.26,1051.26,true,40.00,400.80,5543.76,0.55,1005543.76
2025-01-03,1070.00,1094.00,1065.05,1068.05,1067.02,SHORT,1070.00,939,1067.02,1067.02,true,40.00,401.33,2356.89,0.23,1007900.64
2025-01-06,1068.05,1081.25,1017.55,1036.65,1080.82,LONG,1068.05,943,1080.82,1080.82,true,40.00,405.28,11596.83,1.15,1019497.48
2025-01-07,1044.95,1072.65,1032.10,1061.30,1050.58,LONG,1044.95,975,1050.58,1050.58,true,40.00,408.63,5040.62,0.49,1024538.10
2025-01-08,1061.00,1066.60,1023.25,1054.70,1057.28,SHORT,1061.00,965,1057.28,1057.28,true,40.00,408.83,3140.97,0.31,1027679.07
2025-01-09,1069.95,1069.95,1030.10,1041.00,1044.85,SHORT,1069.95,960,1044.85,1044.85,true,40.00,406.04,23649.96,2.30,1051329.03
2025-01-10,1044.10,1055.00,1005.20,1036.70,1049.08,LONG,1044.10,1006,1049.08,1049.08,true,40.00,421.15,4548.73,0.43,1055877.76
2025-01-13,1036.65,1036.65,999.20,1018.40,1030.11,SHORT,1036.65,1018,1030.11,1030.11,true,40.00,420.79,6196.93,0.59,1062074.69
2025-01-14,1020.00,1053.40,1002.15,1041.15,1012.60,SHORT,1020.00,1041,1012.60,1012.60,true,40.00,423.19,7240.21,0.68,1069314.90
2025-01-15,1055.00,1074.90,1022.70,1027.25,1021.97,SHORT,1055.00,1013,1021.97,1027.25,false,40.00,421.86,27648.89,2.59,1096963.79
2025-01-16,1032.25,1057.45,1032.25,1048.45,1047.26,LONG,1032.25,1062,1047.26,1047.26,true,40.00,441.69,15458.93,1.41,1112422.72
2025-01-17,1055.00,1073.05,1020.00,1030.20,1042.10,SHORT,1055.00,1054,1042.10,1042.10,true,40.00,442.07,13114.53,1.18,1125537.25
2025-01-20,1028.50,1072.45,1026.20,1038.20,1041.14,LONG,1028.50,1094,1041.14,1041.14,true,40.00,452.84,13335.32,1.19,1138872.57
2025-01-21,1044.00,1051.15,1015.10,1020.40,1049.85,LONG,1044.00,1090,1049.85,1049.85,true,40.00,456.46,5880.04,0.52,1144752.61
2025-01-22,1021.65,1029.95,973.75,987.45,1022.46,SKIP,,,,,,,,,,1144752.61
2025-01-23,987.50,1001.35,974.60,993.70,991.10,LONG,987.50,1159,991.10,991.10,true,40.00,458.64,3673.76,0.32,1148426.37
2025-01-24,994.50,1005.25,988.75,995.90,992.10,SHORT,994.50,1154,992.10,992.10,true,40.00,458.51,2271.09,0.20,1150697.47
2025-01-27,990.00,993.65,964.00,977.10,996.21,LONG,990.00,1162,996.21,977.10,false,40.00,457.15,-15486.95,-1.35,1135210.51
2025-01-28,987.00,987.00,930.05,961.95,975.54,SHORT,987.00,1150,975.54,975.54,true,40.00,451.38,12687.62,1.12,1147898.13
2025-01-29,975.00,987.00,938.00,969.90,955.58,SHORT,975.00,1177,955.58,955.58,true,40.00,454.46,22362.88,1.95,1170261.01
2025-01-30,984.15,984.15,923.05,945.10,961.32,SHORT,984.15,1189,961.32,961.32,true,40.00,462.63,26642.24,2.28,1196903.25
2025-01-31,947.30,1000.00,936.05,995.95,957.82,LONG,947.30,1263,957.82,957.82,true,40.00,481.23,12765.53,1.07,1209668.77
2025-02-01,990.00,1019.90,955.10,962.60,987.24,SHORT,990.00,1221,987.24,987.24,true,40.00,482.84,2847.12,0.24,1212515.89
2025-02-03,964.90,1000.00,956.95,992.85,980.77,LONG,964.90,1256,980.77,980.77,true,40.00,488.75,19403.97,1.60,1231919.86
2025-02-04,992.85,1018.55,990.10,998.70,990.68,SHORT,992.85,1240,990.68,990.68,true,40.00,491.92,2158.88,0.18,1234078.74
2025-02-05,1008.00,1009.85,996.70,1000.95,999.36,SHORT,1008.00,1224,999.36,999.36,true,40.00,491.40,10043.96,0.81,1244122.70
2025-02-06,1002.55,1033.15,999.30,1015.95,1002.44,SKIP,,,,,,,,,,1244122.70
2025-02-07,1019.00,1019.10,1000.00,1005.30,1021.30,LONG,1019.00,1220,1021.30,1005.30,false,40.00,493.93,-17247.93,-1.39,1226874.77
2025-02-10,1005.05,1007.95,970.15,981.10,1008.97,LONG,1005.05,1220,1008.97,981.10,false,40.00,484.62,-29743.62,-2.43,1197131.15
2025-02-11,974.95,977.00,945.40,959.35,985.39,LONG,974.95,1227,985.39,959.35,false,40.00,474.68,-19655.88,-1.64,1177475.28
2025-02-12,945.00,959.30,926.35,939.65,954.24,LONG,945.00,1246,954.24,954.24,true,40.00,473.29,10999.75,0.93,1188475.02
2025-02-13,940.80,974.20,939.00,969.60,940.98,SKIP,,,,,,,,,,1188475.02
2025-02-14,968.00,969.55,917.80,936.30,957.59,SHORT,968.00,1227,957.59,957.59,true,40.00,472.54,12260.53,1.03,1200735.55
2025-02-17,939.00,967.00,922.55,954.75,934.11,SHORT,939.00,1278,934.11,934.11,true,40.00,478.77,5730.65,0.48,1206466.21
2025-02-18,957.50,960.05,923.45,932.80,946.86,SHORT,957.50,1260,946.86,946.86,true,40.00,479.90,12886.50,1.07,1219352.71
2025-02-19,930.15,930.20,898.55,926.45,936.86,LONG,930.15,1310,936.86,926.45,false,40.00,486.43,-5373.43,-0.44,1213979.28
2025-02-20,920.00,946.55,915.15,941.95,913.30,SHORT,920.00,1319,913.30,941.95,false,40.00,491.18,-29483.23,-2.43,1184496.05
2025-02-21,941.00,953.95,928.60,933.65,937.51,SHORT,941.00,1258,937.51,937.51,true,40.00,472.63,3877.79,0.33,1188373.83
2025-02-24,920.10,931.75,905.00,908.30,940.25,LONG,920.10,1291,940.25,908.30,false,40.00,472.09,-15745.89,-1.33,1172627.94
2025-02-25,912.95,917.65,880.05,885.00,912.64,SKIP,,,,,,,,,,1172627.94
2025-02-27,888.10,941.00,888.10,924.90,895.76,LONG,888.10,1320,895.76,895.76,true,40.00,470.94,9600.26,0.82,1182228.20
2025-02-28,911.50,1076.60,909.00,1018.65,922.89,LONG,911.50,1297,922.89,922.89,true,40.00,475.84,14256.99,1.21,1196485.19
2025-03-03,1018.20,1027.35,953.10,998.90,994.61,SHORT,1018.20,1175,994.61,994.61,true,40.00,473.01,27205.24,2.27,1223690.43
2025-03-04,987.20,1017.50,975.35,998.65,990.01,LONG,987.20,1239,990.01,990.01,true,40.00,489.95,2951.64,0.24,1226642.07
2025-03-05,999.40,1037.70,999.40,1009.75,996.20,SHORT,999.40,1227,996.20,1009.75,false,40.00,493.05,-13232.50,-1.08,1213409.57
2025-03-06,1010.90,1019.95,991.50,1000.70,1014.07,LONG,1010.90,1200,1014.07,1014.07,true,40.00,485.99,3278.01,0.27,1216687.58
2025-03-07,995.70,1029.55,989.65,999.55,1003.10,LONG,995.70,1221,1003.10,1003.10,true,40.00,488.11,8507.29,0.70,1225194.87
2025-03-10,999.60,1017.60,990.00,1004.75,1008.36,LONG,999.60,1225,1008.36,1008.36,true,40.00,491.95,10199.05,0.83,1235393.92
2025-03-11,1003.40,1011.30,979.80,985.05,1004.03,SKIP,,,,,,,,,,1235393.92
2025-03-12,999.95,1028.95,987.30,999.20,991.08,SHORT,999.95,1235,991.08,991.08,true,40.00,491.78,10422.67,0.84,1245816.59
2025-03-13,1005.00,1008.65,985.15,992.95,1003.88,SHORT,1005.00,1239,1003.88,1003.88,true,40.00,497.80,849.88,0.07,1246666.47
2025-03-17,993.05,1013.60,993.05,1002.30,995.90,LONG,993.05,1255,995.90,995.90,true,40.00,499.23,3037.52,0.24,1249703.99
2025-03-18,1014.00,1014.00,974.55,992.90,1005.14,SHORT,1014.00,1232,1005.14,1005.14,true,40.00,497.52,10378.00,0.83,1260082.00
2025-03-19,992.90,1007.60,987.35,991.00,986.99,SHORT,992.90,1269,986.99,991.00,false,40.00,503.51,1867.59,0.15,1261949.58
2025-03-20,1003.30,1023.75,983.80,1010.60,996.77,SHORT,1003.30,1257,996.77,996.77,true,40.00,502.82,7665.39,0.61,1269614.97
2025-03-21,1007.85,1121.70,1001.50,1103.15,1003.37,SHORT,1007.85,1259,1003.37,1003.37,true,40.00,506.43,5093.89,0.40,1274708.87
2025-03-24,1109.85,1113.70,1075.25,1086.50,1084.63,SHORT,1109.85,1148,1084.63,1084.63,true,40.00,503.85,28408.71,2.23,1303117.58
2025-03-25,1095.00,1099.95,1021.00,1027.80,1086.06,SHORT,1095.00,1190,1086.06,1086.06,true,40.00,519.09,10079.51,0.77,1313197.08
2025-03-26,1027.80,1030.00,1000.10,1016.70,1050.20,LONG,1027.80,1277,1050.20,1016.70,false,40.00,522.17,-14736.87,-1.12,1298460.22
2025-03-27,1019.05,1066.00,1011.00,1049.45,1010.92,SHORT,1019.05,1274,1010.92,1049.45,false,40.00,527.05,-39296.65,-3.03,1259163.57
2025-03-28,1063.00,1067.65,1010.20,1014.15,1042.34,SHORT,1063.00,1184,1042.34,1042.34,true,40.00,498.54,23922.90,1.90,1283086.46
2025-04-01,1006.50,1014.00,981.20,987.95,1027.32,LONG,1006.50,1274,1027.32,987.95,false,40.00,508.19,-24180.89,-1.89,1258905.58
2025-04-02,990.00,1003.00,978.50,991.50,990.52,SKIP,,,,,,,,,,1258905.58
2025-04-03,988.50,1029.60,988.50,1025.45,992.58,LONG,988.50,1273,992.58,992.58,true,40.00,504.38,4649.46,0.37,1263555.03
2025-04-04,1025.00,1035.00,995.10,1007.50,1012.71,SHORT,1025.00,1232,1012.71,1012.71,true,40.00,502.09,14599.19,1.16,1278154.22
2025-04-07,900.00,1015.00,878.40,999.95,1006.79,LONG,900.00,1420,1006.79,1006.79,true,40.00,541.53,151060.27,11.82,1429214.49
2025-04-08,1008.95,1049.00,975.00,987.90,979.82,SHORT,1008.95,1416,979.82,979.82,true,40.00,563.22,40644.86,2.84,1469859.35
2025-04-09,1010.00,1066.20,998.00,1048.55,992.02,SHORT,1010.00,1455,992.02,1048.55,false,40.00,599.04,-56729.29,-3.86,1413130.06
2025-04-11,1043.95,1068.00,1027.55,1059.00,1028.64,SHORT,1043.95,1353,1028.64,1028.64,true,40.00,560.84,20113.59,1.42,1433243.65
2025-04-15,1084.90,1151.20,1061.10,1138.10,1052.14,SHORT,1084.90,1321,1052.14,1138.10,false,40.00,587.32,-70904.52,-4.95,1362339.13
2025-04-16,1110.00,1185.70,1105.00,1175.10,1125.96,LONG,1110.00,1227,1125.96,1125.96,true,40.00,548.70,18994.22,1.39,1381333.35
2025-04-17,1175.80,1224.00,1145.80,1202.30,1152.48,SHORT,1175.80,1174,1152.48,1152.48,true,40.00,546.68,26791.00,1.94,1408124.35
2025-04-21,1190.00,1226.80,1172.00,1208.90,1186.02,SHORT,1190.00,1183,1186.02,1186.02,true,40.00,562.17,4106.17,0.29,1412230.52
2025-04-22,1208.90,1250.00,1200.10,1230.30,1199.74,SHORT,1208.90,1168,1199.74,1230.30,false,40.00,569.80,-25605.00,-1.81,1386625.53
2025-04-23,1237.20,1319.80,1205.10,1301.10,1226.12,SHORT,1237.20,1120,1226.12,1226.12,true,40.00,551.78,11817.82,0.85,1398443.34
2025-04-24,1290.00,1309.00,1252.70,1262.20,1247.04,SHORT,1290.00,1084,1247.04,1262.20,false,40.00,553.32,29541.88,2.11,1427985.23
2025-04-25,1271.00,1278.70,1211.10,1234.50,1287.45,LONG,1271.00,1123,1287.45,1234.50,false,40.00,562.74,-41592.24,-2.91,1386392.99
2025-04-28,1220.90,1254.00,1217.60,1242.40,1254.51,LONG,1220.90,1135,1254.51,1242.40,false,40.00,559.17,23803.33,1.72,1410196.32
2025-04-29,1252.00,1292.00,1242.60,1274.30,1241.25,SHORT,1252.00,1126,1241.25,1274.30,false,40.00,568.92,-25718.72,-1.82,1384477.60
2025-04-30,1265.00,1271.20,1215.00,1229.30,1275.26,LONG,1265.00,1094,1275.26,1229.30,false,40.00,545.75,-39641.55,-2.86,1344836.05
2025-05-02,1241.10,1248.70,1168.20,1193.30,1239.20,SHORT,1241.10,1083,1239.20,1239.20,true,40.00,537.23,1480.47,0.11,1346316.51
2025-05-05,1194.80,1203.70,1163.20,1181.80,1193.29,SHORT,1194.80,1126,1193.29,1193.29,true,40.00,537.80,1122.46,0.08,1347438.98
2025-05-06,1181.80,1185.00,1144.00,1152.10,1187.11,LONG,1181.80,1140,1187.11,1152.10,false,40.00,532.13,-34430.13,-2.56,1313008.85
2025-05-07,1125.00,1160.20,1120.30,1152.50,1157.25,LONG,1125.00,1167,1157.25,1157.25,true,40.00,532.68,37063.07,2.82,1350071.92
2025-05-08,1165.00,1187.10,1148.00,1161.70,1148.01,SHORT,1165.00,1158,1148.01,1148.01,true,40.00,535.69,19098.73,1.42,1369170.65
2025-05-09,1130.00,1160.40,1125.00,1147.40,1169.96,LONG,1130.00,1211,1169.96,1147.40,false,40.00,551.59,20479.81,1.50,1389650.46
2025-05-12,1175.00,1185.00,1155.60,1170.30,1146.17,SHORT,1175.00,1182,1146.17,1170.30,false,40.00,554.43,4960.97,0.36,1394611.43
2025-05-13,1165.00,1178.00,1139.30,1169.90,1169.69,LONG,1165.00,1197,1169.69,1169.69,true,40.00,558.92,5015.01,0.36,1399626.44
2025-05-14,1179.00,1199.00,1144.20,1188.30,1166.33,SHORT,1179.00,1187,1166.33,1166.33,true,40.00,556.78,14442.51,1.03,1414068.94
2025-05-15,1231.00,1235.00,1167.40,1181.10,1169.97,SHORT,1231.00,1148,1169.97,1169.97,true,40.00,551.26,69471.18,4.92,1483540.12
2025-05-16,1178.10,1180.20,1155.00,1166.80,1184.56,LONG,1178.10,1259,1184.56,1166.80,false,40.00,590.45,-14857.15,-1.00,1468682.98
2025-05-19,1175.00,1241.00,1168.10,1207.40,1166.53,SHORT,1175.00,1249,1166.53,1207.40,false,40.00,595.12,-41102.72,-2.80,1427580.25
2025-05-20,1212.60,1213.60,1170.10,1178.50,1216.69,LONG,1212.60,1177,1216.69,1178.50,false,40.00,562.86,-40738.56,-2.85,1386841.69
2025-05-21,1180.00,1194.90,1168.90,1178.00,1186.66,LONG,1180.00,1175,1186.66,1186.66,true,40.00,556.17,7229.33,0.52,1394071.02
2025-05-22,1180.30,1180.70,1142.30,1151.30,1180.51,SKIP,,,,,,,,,,1394071.02
