date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,249.95,252.45,249.95,251.50,250.72,LONG,249.95,4000,250.72,250.72,true,40.00,400.54,2639.46,0.26,1002639.46
2025-01-03,251.00,253.50,251.00,251.65,249.46,SHORT,251.00,3994,249.46,252.35,false,40.00,402.08,-5833.98,-0.58,996805.49
2025-01-06,252.05,252.05,250.60,250.65,253.04,LONG,252.05,3954,253.04,244.90,false,40.00,392.99,-28704.09,-2.88,968101.40
2025-01-07,244.45,246.85,244.15,246.70,245.79,LONG,244.45,3960,245.79,245.79,true,40.00,388.27,4878.13,0.50,972979.53
2025-01-08,248.00,251.00,248.00,250.50,245.74,SHORT,248.00,3923,245.74,245.74,true,40.00,387.39,8438.59,0.87,981418.12
2025-01-09,247.30,247.30,245.50,246.15,249.43,LONG,247.30,3968,249.43,249.43,true,40.00,394.20,8017.64,0.82,989435.76
2025-01-10,245.00,246.20,243.60,244.15,247.74,LONG,245.00,4038,247.74,241.70,false,40.00,393.06,-13758.46,-1.39,975677.30
2025-01-13,242.60,244.00,242.20,243.50,243.12,LONG,242.60,4021,243.12,243.12,true,40.00,390.62,1660.30,0.17,977337.60
2025-01-14,241.00,245.95,240.95,245.95,240.29,SHORT,241.00,4055,240.29,240.29,true,40.00,390.33,2448.72,0.25,979786.33
2025-01-15,246.00,246.30,245.15,246.30,241.32,SHORT,246.00,3982,241.32,242.25,false,40.00,388.84,14503.66,1.48,994289.98
2025-01-16,245.05,247.65,245.05,246.50,245.32,LONG,245.05,4057,245.32,245.32,true,40.00,397.89,657.50,0.07,994947.49
2025-01-17,247.70,247.70,246.45,247.00,246.08,SHORT,247.70,4016,246.08,246.08,true,40.00,396.60,6069.32,0.61,1001016.80
2025-01-20,247.30,249.60,246.40,246.40,247.05,SHORT,247.30,4047,247.05,247.05,true,40.00,400.13,571.62,0.06,1001588.43
2025-01-21,253.00,253.00,251.00,252.30,250.93,SHORT,253.00,3958,250.93,250.93,true,40.00,398.91,7754.15,0.77,1009342.57
2025-01-22,251.70,251.70,248.45,248.75,249.17,SHORT,251.70,4010,249.17,249.17,true,40.00,401.70,9703.60,0.96,1019046.18
