date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,4605.00,4630.00,4587.00,4589.20,4599.42,SHORT,4605.00,217,4599.42,4599.42,true,40.00,399.47,771.39,0.08,1000771.39
2025-01-03,4563.95,4563.95,4522.00,4522.05,4548.69,SHORT,4563.95,219,4548.69,4548.69,true,40.00,399.13,2902.81,0.29,1003674.19
2025-01-06,4466.00,4473.00,4441.05,4473.00,4473.04,LONG,4466.00,224,4473.04,4473.04,true,40.00,400.47,1136.49,0.11,1004810.69
2025-01-07,4300.00,4328.95,4285.10,4323.55,4295.51,SHORT,4300.00,233,4295.51,4295.51,true,40.00,400.55,605.62,0.06,1005416.30
2025-01-08,4352.30,4352.30,4310.00,4310.00,4326.40,SHORT,4352.30,231,4326.40,4326.40,true,40.00,400.96,5541.94,0.55,1010958.25
2025-01-09,4278.00,4307.45,4262.15,4296.10,4258.75,SHORT,4278.00,236,4258.75,4258.75,true,40.00,402.93,4100.07,0.41,1015058.31
2025-01-10,4259.00,4274.00,4259.00,4261.70,4263.12,SKIP,,,,,,,,,,1015058.31
2025-01-13,4100.00,4129.95,3955.95,3995.80,4250.84,LONG,4100.00,247,4250.84,4001.50,false,40.00,400.21,-24769.71,-2.45,990288.60
2025-01-14,3961.05,3990.95,3955.85,3990.95,4026.73,LONG,3961.05,250,4026.73,3983.45,false,40.00,397.23,5162.77,0.52,995451.38
2025-01-15,4053.60,4053.60,4038.00,4042.40,3986.87,SHORT,4053.60,245,3986.87,4061.30,false,40.00,397.63,-2324.13,-0.23,993127.25
2025-01-16,4090.00,4092.30,4075.25,4081.40,4075.18,SHORT,4090.00,242,4075.18,4110.05,false,40.00,396.88,-5288.98,-0.53,987838.26
2025-01-17,4100.00,4100.00,4077.50,4080.20,4118.62,LONG,4100.00,240,4118.62,4118.62,true,40.00,394.49,4034.31,0.41,991872.57
