date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,51.91,52.50,51.36,52.14,51.79,SHORT,51.91,19264,51.79,51.79,true,40.00,399.54,1872.14,0.19,1001872.14
2025-01-03,52.35,54.40,52.35,53.10,52.00,SHORT,52.35,19137,52.00,53.10,false,40.00,403.60,-14796.35,-1.48,987075.80
2025-01-06,53.31,53.35,50.50,50.69,53.57,LONG,53.31,18515,53.57,50.69,false,40.00,385.11,-48934.41,-4.96,938141.38
2025-01-07,51.00,51.53,50.36,51.11,51.49,LONG,51.00,18394,51.49,51.49,true,40.00,377.04,8596.02,0.92,946737.40
2025-01-08,51.00,51.08,50.27,50.77,50.99,SHORT,51.00,18563,50.99,50.99,true,40.00,378.65,-233.02,-0.02,946504.39
2025-01-09,50.50,50.72,49.60,49.94,50.67,LONG,50.50,18742,50.67,50.67,true,40.00,379.23,2766.91,0.29,949271.30
2025-01-10,50.00,50.19,47.90,48.11,50.24,LONG,50.00,18985,50.24,48.11,false,40.00,372.52,-36294.17,-3.82,912977.13
2025-01-13,47.00,47.80,45.05,45.45,48.63,LONG,47.00,19425,48.63,45.45,false,40.00,359.17,-30507.92,-3.34,882469.21
2025-01-14,45.61,54.54,45.61,53.77,46.44,LONG,45.61,19348,46.44,46.44,true,40.00,356.20,15662.64,1.77,898131.85
2025-01-15,51.80,51.80,49.20,49.91,51.72,SHORT,51.80,17338,51.72,51.72,true,40.00,358.97,988.07,0.11,899119.92
2025-01-16,50.55,51.84,50.10,50.37,50.04,SHORT,50.55,17786,50.04,50.37,false,40.00,358.99,2802.49,0.31,901922.41
2025-01-17,50.37,50.98,49.80,50.64,50.83,LONG,50.37,17905,50.83,50.83,true,40.00,362.40,7833.90,0.87,909756.32
2025-01-20,50.95,53.65,50.70,52.52,50.47,SHORT,50.95,17855,50.47,52.52,false,40.00,369.49,-28441.84,-3.13,881314.47
2025-01-21,52.39,52.39,50.80,51.20,52.63,LONG,52.39,16822,52.63,51.20,false,40.00,348.52,-20406.70,-2.32,860907.78
2025-01-22,51.21,51.38,49.36,50.30,51.65,LONG,51.21,16811,51.65,50.30,false,40.00,341.30,-15679.31,-1.82,845228.47
2025-01-23,50.00,51.12,49.70,50.64,50.11,LONG,50.00,16904,50.11,50.11,true,40.00,338.45,1480.99,0.18,846709.46
2025-01-24,50.64,50.84,48.86,49.04,50.55,SHORT,50.64,16720,50.55,50.55,true,40.00,338.38,1126.42,0.13,847835.88
2025-01-27,49.04,51.39,47.42,49.93,49.59,LONG,49.04,17288,49.59,49.59,true,40.00,341.02,9127.38,1.08,856963.25
2025-01-28,50.50,51.26,48.90,49.49,49.66,SHORT,50.50,16969,49.66,49.66,true,40.00,339.92,13874.04,1.62,870837.29
2025-01-29,49.60,50.34,49.45,50.10,50.01,LONG,49.60,17557,50.01,50.01,true,40.00,349.77,6808.60,0.78,877645.89
2025-01-30,49.97,50.79,49.73,50.19,49.99,LONG,49.97,17563,49.99,49.99,true,40.00,351.12,-39.86,-0.00,877606.03
2025-01-31,50.14,51.65,49.49,51.00,50.39,LONG,50.14,17503,50.39,50.39,true,40.00,351.92,3983.83,0.45,881589.87
2025-02-01,51.09,52.14,50.02,50.31,50.70,SHORT,51.09,17255,50.70,50.70,true,40.00,351.28,6338.17,0.72,887928.04
2025-02-03,50.10,50.21,48.71,48.85,51.11,LONG,50.10,17723,51.11,48.85,false,40.00,350.74,-22544.49,-2.54,865383.55
2025-02-04,49.59,50.30,49.16,49.70,49.27,SHORT,49.59,17450,49.27,49.27,true,40.00,345.02,5198.98,0.60,870582.53
