date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,4599.65,4753.70,4599.65,4745.35,4563.29,SHORT,4599.65,217,4563.29,4745.35,false,40.00,405.57,-32062.47,-3.21,967937.53
2025-01-03,4745.35,4756.60,4697.40,4726.55,4712.72,SHORT,4745.35,203,4712.72,4712.72,true,40.00,384.00,6199.89,0.64,974137.42
2025-01-06,4726.55,4743.00,4657.60,4701.75,4722.42,SHORT,4726.55,206,4722.42,4722.42,true,40.00,389.30,421.48,0.04,974558.90
2025-01-07,4701.75,4850.00,4668.20,4823.55,4694.05,SHORT,4701.75,207,4694.05,4694.05,true,40.00,388.99,1164.91,0.12,975723.82
2025-01-08,4840.00,4842.00,4734.15,4753.10,4792.58,SHORT,4840.00,201,4792.58,4792.58,true,40.00,387.23,9104.19,0.94,984828.01
2025-01-09,4735.00,4780.85,4713.45,4738.80,4763.31,LONG,4735.00,207,4763.31,4763.31,true,40.00,393.23,5426.94,0.55,990254.95
2025-01-10,4720.10,4737.00,4481.35,4543.55,4744.54,LONG,4720.10,209,4744.54,4543.55,false,40.00,387.22,-37326.17,-3.78,952928.78
2025-01-13,4542.95,4570.00,4343.70,4364.35,4564.10,LONG,4542.95,209,4564.10,4564.10,true,40.00,380.67,3999.68,0.42,956928.45
2025-01-14,4359.90,4428.80,4343.50,4388.55,4444.25,LONG,4359.90,219,4444.25,4388.55,false,40.00,383.18,5851.17,0.61,962779.62
2025-01-15,4393.85,4507.75,4385.50,4457.70,4385.50,SHORT,4393.85,219,4385.50,4385.50,true,40.00,384.54,1404.11,0.15,964183.73
2025-01-16,4468.05,4600.80,4451.00,4544.90,4455.97,SHORT,4468.05,215,4455.97,4455.97,true,40.00,383.73,2173.47,0.23,966357.20
2025-01-17,4527.20,4587.45,4434.05,4541.20,4549.21,LONG,4527.20,213,4549.21,4549.21,true,40.00,386.66,4261.47,0.44,970618.68
2025-01-20,4541.20,4580.95,4477.75,4503.20,4523.07,SHORT,4541.20,213,4523.07,4523.07,true,40.00,386.14,3435.55,0.36,974054.23
2025-01-21,4508.40,4649.50,4492.75,4578.00,4499.69,SHORT,4508.40,216,4499.69,4499.69,true,40.00,389.15,1452.21,0.15,975506.44
2025-01-22,4614.90,4664.70,4492.60,4638.45,4577.51,SHORT,4614.90,211,4577.51,4577.51,true,40.00,387.92,7461.37,0.77,982967.81
2025-01-23,4577.80,4841.20,4577.80,4789.05,4556.48,SHORT,4577.80,214,4556.48,4789.05,false,40.00,400.90,-45648.40,-4.66,937319.41
2025-01-24,4787.95,4840.00,4721.50,4755.90,4747.92,SHORT,4787.95,195,4747.92,4747.92,true,40.00,371.90,7393.95,0.79,944713.36
2025-01-27,4682.05,4916.20,4605.00,4786.30,4789.03,LONG,4682.05,201,4789.03,4789.03,true,40.00,380.74,21082.24,2.24,965795.60
2025-01-28,4753.10,4855.25,4655.05,4831.20,4810.86,LONG,4753.10,203,4810.86,4810.86,true,40.00,388.30,11296.98,1.17,977092.58
2025-01-29,4807.00,4970.00,4801.95,4890.80,4772.12,SHORT,4807.00,203,4772.12,4890.80,false,40.00,393.73,-17445.13,-1.79,959647.45
2025-01-30,4892.70,4931.65,4745.00,4800.35,4904.54,LONG,4892.70,196,4904.54,4904.54,true,40.00,384.05,1896.59,0.20,961544.04
2025-01-31,4845.75,4875.00,4755.00,4834.85,4801.74,SHORT,4845.75,198,4801.74,4801.74,true,40.00,382.04,8291.94,0.86,969835.98
2025-02-01,4834.85,4894.80,4640.60,4725.10,4810.11,SHORT,4834.85,200,4810.11,4810.11,true,40.00,385.80,4522.20,0.47,974358.18
2025-02-03,4725.10,4845.00,4711.80,4751.35,4755.09,LONG,4725.10,206,4755.09,4755.09,true,40.00,390.58,5747.36,0.59,980105.54
2025-02-04,4751.00,4911.60,4700.00,4878.95,4766.29,LONG,4751.00,206,4766.29,4766.29,true,40.00,392.11,2717.63,0.28,982823.17
2025-02-05,4929.60,4988.95,4867.35,4934.85,4835.08,SHORT,4929.60,199,4835.08,4934.85,false,40.00,392.61,-1477.36,-0.15,981345.81
2025-02-06,4934.00,4946.95,4823.95,4898.30,4950.38,LONG,4934.00,198,4950.38,4898.30,false,40.00,389.36,-7497.96,-0.77,973847.85
2025-02-07,4898.30,4928.85,4825.00,4879.70,4878.88,SHORT,4898.30,198,4878.88,4878.88,true,40.00,387.18,3417.98,0.35,977265.84
