date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1166.00,1166.75,1143.00,1144.70,1166.90,SKIP,,,,,,,,,,1000000.00
2025-01-03,1145.20,1150.45,1133.30,1138.95,1148.25,LONG,1145.20,873,1148.25,1148.25,true,40.00,400.44,2222.21,0.22,1002222.21
2025-01-06,1143.95,1144.00,1091.65,1107.20,1140.19,SHORT,1143.95,876,1140.19,1140.19,true,40.00,400.18,2853.58,0.28,1005075.79
2025-01-07,1110.10,1124.60,1077.35,1083.70,1109.42,SKIP,,,,,,,,,,1005075.79
2025-01-08,1088.65,1088.65,1057.80,1060.70,1092.59,LONG,1088.65,923,1092.59,1060.70,false,40.00,396.77,-26234.62,-2.61,978841.17
2025-01-09,1060.70,1086.00,1060.70,1082.15,1064.69,LONG,1060.70,922,1064.69,1064.69,true,40.00,391.92,3246.86,0.33,982088.03
2025-01-10,1089.65,1094.45,1061.10,1071.25,1076.32,SHORT,1089.65,901,1076.32,1076.32,true,40.00,390.31,11580.02,1.18,993668.05
2025-01-13,1055.00,1059.95,1015.80,1020.30,1078.14,LONG,1055.00,941,1078.14,1020.30,false,40.00,390.57,-33083.27,-3.33,960584.78
2025-01-14,1020.30,1043.05,1020.30,1032.65,1029.94,LONG,1020.30,941,1029.94,1029.94,true,40.00,385.86,8645.38,0.90,969230.17
2025-01-15,1039.00,1059.25,1022.05,1046.15,1034.97,SHORT,1039.00,932,1034.97,1034.97,true,40.00,386.59,3329.37,0.34,972559.54
2025-01-16,1055.00,1082.30,1055.00,1062.65,1039.40,SHORT,1055.00,921,1039.40,1062.65,false,40.00,390.07,-7475.72,-0.77,965083.82
2025-01-17,1068.00,1070.00,1050.10,1054.75,1066.71,SHORT,1068.00,903,1066.71,1066.71,true,40.00,385.53,739.34,0.08,965823.16
2025-01-20,1060.00,1062.45,1046.90,1055.80,1057.88,SHORT,1060.00,911,1057.88,1057.88,true,40.00,385.88,1505.44,0.16,967328.60
2025-01-21,1051.50,1076.45,1036.00,1043.70,1053.60,LONG,1051.50,919,1053.60,1053.60,true,40.00,386.92,1502.98,0.16,968831.58
2025-01-22,1045.00,1048.90,1019.00,1031.65,1046.71,LONG,1045.00,927,1046.71,1046.71,true,40.00,387.80,1157.37,0.12,969988.95
2025-01-23,1036.85,1053.00,1021.00,1046.30,1024.71,SHORT,1036.85,935,1024.71,1024.71,true,40.00,385.51,10925.39,1.13,980914.34
2025-01-24,1051.55,1051.55,1030.25,1039.70,1041.11,SHORT,1051.55,932,1041.11,1041.11,true,40.00,390.07,9300.01,0.95,990214.35
2025-01-27,1020.05,1032.30,992.60,1007.70,1039.52,LONG,1020.05,970,1039.52,1007.70,false,40.00,393.38,-12412.88,-1.25,977801.46
2025-01-28,1007.70,1007.70,979.00,989.30,1008.46,SKIP,,,,,,,,,,977801.46
2025-01-29,985.35,1018.30,983.15,1000.65,989.41,LONG,985.35,992,989.41,989.41,true,40.00,391.79,3595.73,0.37,981397.19
2025-01-30,1002.00,1014.80,990.00,995.15,1001.35,SKIP,,,,,,,,,,981397.19
2025-01-31,1006.65,1006.65,987.00,991.40,1001.08,SHORT,1006.65,974,1001.08,1001.08,true,40.00,391.11,4994.07,0.51,986391.26
2025-02-01,1003.65,1005.35,975.00,993.35,991.94,SHORT,1003.65,982,991.94,991.94,true,40.00,391.93,11067.29,1.12,997458.55
2025-02-03,997.90,998.55,973.10,983.45,989.33,SHORT,997.90,999,989.33,989.33,true,40.00,397.05,8124.38,0.81,1005582.93
2025-02-04,986.30,994.85,955.50,959.85,983.38,SHORT,986.30,1019,983.38,983.38,true,40.00,401.42,2534.06,0.25,1008116.99
2025-02-05,960.10,1004.20,948.00,979.95,969.35,LONG,960.10,1050,969.35,969.35,true,40.00,405.18,9267.32,0.92,1017384.31
2025-02-06,989.65,989.65,954.40,973.20,979.24,SHORT,989.65,1028,979.24,979.24,true,40.00,404.80,10256.68,1.01,1027640.98
2025-02-07,980.00,983.60,961.85,969.00,966.96,SHORT,980.00,1048,966.96,966.96,true,40.00,408.08,13217.84,1.29,1040858.82
