date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,3058.70,3062.20,2977.00,3001.00,3039.29,SHORT,3058.70,326,3039.29,3039.29,true,40.00,397.59,5890.07,0.59,1005890.07
2025-01-03,3002.05,3034.90,2908.25,2944.65,2998.43,SHORT,3002.05,335,2998.43,2998.43,true,40.00,402.03,770.67,0.08,1006660.74
2025-01-06,2985.00,3077.05,2950.20,3000.45,2970.77,SHORT,2985.00,337,2970.77,2970.77,true,40.00,401.42,4354.09,0.43,1011014.83
2025-01-07,3000.05,3143.90,2982.15,3100.65,3006.23,LONG,3000.05,336,3006.23,3006.23,true,40.00,403.62,1632.86,0.16,1012647.69
2025-01-08,3100.70,3111.00,2981.30,2994.55,3089.19,SHORT,3100.70,326,3089.19,3089.19,true,40.00,403.58,3308.68,0.33,1015956.37
2025-01-09,3009.50,3012.50,2964.80,3004.25,3025.72,LONG,3009.50,337,3025.72,3004.25,false,40.00,405.33,-2214.58,-0.22,1013741.79
2025-01-10,3003.45,3003.45,2908.65,2928.15,2995.42,SHORT,3003.45,337,2995.42,2995.42,true,40.00,404.32,2261.79,0.22,1016003.58
2025-01-13,2900.05,2912.00,2850.00,2863.80,2941.23,LONG,2900.05,350,2941.23,2863.80,false,40.00,403.47,-13130.97,-1.29,1002872.61
2025-01-14,2862.00,2872.20,2785.50,2803.05,2875.03,LONG,2862.00,350,2875.03,2803.05,false,40.00,396.55,-21069.05,-2.10,981803.55
2025-01-15,2805.00,2821.10,2730.10,2771.45,2810.87,LONG,2805.00,350,2810.87,2810.87,true,40.00,393.11,1621.39,0.17,983424.94
2025-01-16,2804.40,2819.60,2755.95,2813.45,2761.78,SHORT,2804.40,350,2761.78,2761.78,true,40.00,389.63,14487.37,1.48,997912.31
2025-01-17,2825.00,2829.95,2793.00,2810.05,2797.50,SHORT,2825.00,353,2797.50,2797.50,true,40.00,396.95,9270.55,0.93,1007182.86
2025-01-20,2810.05,2839.05,2793.00,2820.50,2807.55,SKIP,,,,,,,,,,1007182.86
