date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-11-11,401.00,417.90,400.00,415.35,396.85,SHORT,401.00,2493,396.85,415.35,false,40.00,407.03,-36221.58,-3.62,963778.42
2025-11-12,415.00,425.25,408.05,421.20,411.86,SHORT,415.00,2322,411.86,411.86,true,40.00,383.99,6867.09,0.71,970645.50
2025-11-13,421.20,429.00,397.00,400.15,415.10,SHORT,421.20,2304,415.10,415.10,true,40.00,385.37,13629.03,1.40,984274.54
2025-11-14,399.05,411.00,388.70,409.05,410.26,LONG,399.05,2466,410.26,410.26,true,40.00,399.15,27204.71,2.76,1011479.25
2025-11-17,409.05,438.85,408.30,431.45,401.31,SHORT,409.05,2472,401.31,431.45,false,40.00,415.54,-55828.34,-5.52,955650.90
2025-11-18,431.00,435.85,417.85,424.80,424.47,SHORT,431.00,2217,424.47,424.47,true,40.00,379.32,14057.69,1.47,969708.60
2025-11-19,421.95,432.70,409.30,428.75,425.77,LONG,421.95,2298,425.77,425.77,true,40.00,389.61,8348.75,0.86,978057.34
2025-11-20,429.55,429.90,413.55,416.70,422.46,SHORT,429.55,2276,422.46,422.46,true,40.00,387.83,15709.01,1.61,993766.35
2025-11-21,411.10,420.40,410.55,417.45,419.99,LONG,411.10,2417,419.99,419.99,true,40.00,401.75,21045.38,2.12,1014811.73
2025-11-24,415.10,418.15,410.50,414.50,415.12,LONG,415.10,2444,415.12,415.12,true,40.00,405.81,-396.93,-0.04,1014414.80
2025-11-25,412.95,426.70,412.95,414.95,413.39,LONG,412.95,2456,413.39,413.39,true,40.00,405.90,634.74,0.06,1015049.54
2025-11-26,417.90,423.90,403.00,405.00,417.69,SHORT,417.90,2428,417.69,417.69,true,40.00,405.76,64.12,0.01,1015113.66
2025-11-27,405.50,410.00,401.15,407.70,411.28,LONG,405.50,2503,411.28,407.70,false,40.00,407.09,5059.51,0.50,1020173.17
2025-11-28,415.00,428.90,408.05,410.45,406.09,SHORT,415.00,2458,406.09,410.45,false,40.00,405.79,10738.11,1.05,1030911.28
2025-12-01,428.00,448.80,417.05,430.50,416.70,SHORT,428.00,2408,416.70,430.50,false,40.00,413.45,-6473.45,-0.63,1024437.83
2025-12-02,430.00,431.60,422.25,425.95,432.21,LONG,430.00,2382,432.21,425.95,false,40.00,407.77,-10094.87,-0.99,1014342.95
2025-12-03,424.95,424.95,408.30,410.15,428.00,LONG,424.95,2386,428.00,410.15,false,40.00,398.51,-35751.31,-3.53,978591.64
