date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,137.65,143.27,137.65,142.85,137.01,SHORT,137.65,7264,137.01,142.85,false,40.00,407.51,-38220.31,-3.82,961779.69
2025-01-03,142.85,144.22,141.65,143.44,141.50,SHORT,142.85,6732,141.50,143.44,false,40.00,385.46,-4397.34,-0.46,957382.35
2025-01-06,143.44,143.81,136.62,138.39,143.13,SHORT,143.44,6674,143.13,143.13,true,40.00,382.51,1646.43,0.17,959028.78
2025-01-07,139.00,141.24,137.51,139.36,139.10,LONG,139.00,6899,139.10,139.10,true,40.00,383.72,266.18,0.03,959294.95
2025-01-08,139.36,145.87,137.45,143.40,139.29,SHORT,139.36,6883,139.29,139.29,true,40.00,383.59,58.22,0.01,959353.17
2025-01-09,141.93,144.40,140.83,142.70,143.03,LONG,141.93,6759,143.03,143.03,true,40.00,385.21,7009.69,0.73,966362.86
2025-01-10,142.50,142.50,137.10,139.28,141.93,SHORT,142.50,6781,141.93,141.93,true,40.00,385.74,3439.43,0.36,969802.29
2025-01-13,134.12,136.75,129.20,130.89,138.96,LONG,134.12,7230,138.96,130.89,false,40.00,383.20,-23776.10,-2.45,946026.19
2025-01-14,132.00,135.10,131.69,133.73,132.93,LONG,132.00,7166,132.93,132.93,true,40.00,379.70,6244.68,0.66,952270.87
2025-01-15,134.81,142.35,132.45,140.07,133.55,SHORT,134.81,7063,133.55,133.55,true,40.00,379.09,8480.29,0.89,960751.16
2025-01-16,140.07,142.94,140.01,142.33,136.64,SHORT,140.07,6859,136.64,142.33,false,40.00,387.40,-15928.74,-1.66,944822.43
2025-01-17,141.01,144.24,140.39,143.03,141.87,LONG,141.01,6700,141.87,141.87,true,40.00,379.06,5342.94,0.57,950165.37
2025-01-20,143.00,145.49,141.33,144.47,142.81,SHORT,143.00,6644,142.81,142.81,true,40.00,379.78,842.58,0.09,951007.94
2025-01-21,141.31,147.57,140.00,146.07,143.59,LONG,141.31,6729,143.59,143.59,true,40.00,383.42,14918.70,1.57,965926.64
2025-01-22,145.93,145.94,138.00,139.37,145.62,SHORT,145.93,6619,145.62,145.62,true,40.00,385.95,1625.94,0.17,967552.58
2025-01-23,140.00,142.00,138.50,139.93,140.35,LONG,140.00,6911,140.35,140.35,true,40.00,387.50,1991.35,0.21,969543.93
2025-01-24,140.71,142.31,137.86,139.68,140.02,SHORT,140.71,6890,140.02,140.02,true,40.00,386.85,4327.25,0.45,973871.18
2025-01-27,139.61,142.15,134.20,141.55,140.11,LONG,139.61,6975,140.11,140.11,true,40.00,390.21,3057.29,0.31,976928.48
2025-01-28,142.59,144.23,137.00,141.87,138.21,SHORT,142.59,6851,138.21,138.21,true,40.00,384.75,29582.63,3.03,1006511.10
2025-01-29,141.87,147.37,141.59,146.16,140.90,SHORT,141.87,7094,140.90,146.16,false,40.00,408.66,-30881.92,-3.07,975629.19
2025-01-30,146.20,147.83,143.60,144.37,145.93,SHORT,146.20,6673,145.93,145.93,true,40.00,389.88,1371.83,0.14,977001.02
2025-01-31,144.35,146.70,143.64,145.47,146.13,LONG,144.35,6768,146.13,146.13,true,40.00,393.19,11613.85,1.19,988614.87
2025-02-01,146.95,147.60,142.65,145.97,145.52,SHORT,146.95,6727,145.52,145.52,true,40.00,393.49,9186.12,0.93,997800.99
2025-02-03,145.00,150.09,141.94,149.56,145.61,LONG,145.00,6881,145.61,145.61,true,40.00,399.94,3757.47,0.38,1001558.46
2025-02-04,150.00,152.94,148.79,152.03,147.91,SHORT,150.00,6677,147.91,152.03,false,40.00,403.33,-13997.64,-1.40,987560.82
2025-02-05,152.65,154.89,151.62,152.86,150.74,SHORT,152.65,6469,150.74,152.86,false,40.00,395.27,-1793.76,-0.18,985767.06
2025-02-06,152.86,153.90,150.11,150.76,153.11,LONG,152.86,6448,153.11,153.11,true,40.00,394.58,1177.42,0.12,986944.48
2025-02-07,150.76,152.80,148.12,149.21,151.96,LONG,150.76,6546,151.96,151.96,true,40.00,396.32,7418.88,0.75,994363.36
2025-02-10,151.00,152.21,147.10,147.60,150.76,SHORT,151.00,6585,150.76,150.76,true,40.00,397.42,1142.98,0.11,995506.34
2025-02-11,147.51,147.76,138.21,140.97,148.74,LONG,147.51,6748,148.74,140.97,false,40.00,389.33,-44561.25,-4.48,950945.09
2025-02-12,140.00,142.33,135.84,140.73,141.26,LONG,140.00,6792,141.26,141.26,true,40.00,382.06,8135.86,0.86,959080.95
2025-02-13,140.01,143.34,139.67,140.33,139.79,SHORT,140.01,6850,139.79,139.79,true,40.00,383.33,1083.67,0.11,960164.62
2025-02-14,142.22,142.44,135.00,136.96,141.30,SHORT,142.22,6751,141.30,141.30,true,40.00,382.81,5788.11,0.60,965952.73
