date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,148.50,150.90,147.65,149.71,148.72,LONG,148.50,6734,148.72,148.72,true,40.00,400.30,1041.18,0.10,1001041.18
2025-01-03,148.69,152.74,148.69,149.53,149.30,LONG,148.69,6732,149.30,149.30,true,40.00,401.21,3665.31,0.37,1004706.49
2025-01-06,149.69,149.70,142.75,144.00,150.35,LONG,149.69,6711,150.35,144.00,false,40.00,394.19,-38619.78,-3.84,966086.71
2025-01-07,144.00,149.35,144.00,144.52,145.05,LONG,144.00,6708,145.05,145.05,true,40.00,387.79,6615.61,0.68,972702.32
2025-01-08,145.00,154.50,144.61,148.48,145.83,LONG,145.00,6708,145.83,145.83,true,40.00,390.18,5137.46,0.53,977839.78
2025-01-09,149.20,149.50,145.10,145.99,150.20,LONG,149.20,6553,150.20,145.99,false,40.00,386.88,-21462.01,-2.20,956377.78
2025-01-10,145.98,146.20,140.10,140.78,147.01,LONG,145.98,6551,147.01,140.78,false,40.00,375.71,-34480.91,-3.61,921896.86
2025-01-13,139.00,144.44,132.51,134.12,142.45,LONG,139.00,6632,142.45,142.45,true,40.00,373.32,22467.08,2.44,944363.95
2025-01-14,134.99,137.67,133.11,136.81,138.81,LONG,134.99,6995,138.81,136.81,false,40.00,380.25,12310.65,1.30,956674.60
2025-01-15,137.60,143.50,136.56,137.56,135.65,SHORT,137.60,6952,135.65,137.56,false,40.00,382.58,-144.50,-0.02,956530.10
2025-01-16,138.50,140.68,138.11,138.57,139.56,LONG,138.50,6906,139.56,139.56,true,40.00,384.06,6896.30,0.72,963426.40
2025-01-17,138.57,144.41,137.57,140.52,139.16,LONG,138.57,6952,139.16,139.16,true,40.00,386.16,3675.52,0.38,967101.93
2025-01-20,140.75,148.58,140.02,143.88,141.69,LONG,140.75,6871,141.69,141.69,true,40.00,388.13,6030.61,0.62,973132.54
2025-01-21,145.00,145.74,140.00,140.98,144.66,SHORT,145.00,6711,144.66,144.66,true,40.00,388.78,1852.96,0.19,974985.49
2025-01-22,140.99,140.99,135.37,137.69,142.61,LONG,140.99,6915,142.61,137.69,false,40.00,385.41,-23244.91,-2.38,951740.58
2025-01-23,137.50,139.64,136.09,137.03,137.36,SHORT,137.50,6921,137.36,137.36,true,40.00,380.46,548.48,0.06,952289.06
2025-01-24,137.40,139.20,132.72,133.59,137.69,LONG,137.40,6930,137.69,137.69,true,40.00,381.27,1588.43,0.17,953877.48
2025-01-27,131.96,131.96,126.00,126.93,134.99,LONG,131.96,7228,134.99,126.93,false,40.00,374.25,-36771.09,-3.86,917106.39
2025-01-28,127.10,128.90,120.60,123.07,127.61,LONG,127.10,7215,127.61,127.61,true,40.00,367.55,3272.10,0.36,920378.50
2025-01-29,123.25,126.80,123.25,126.15,123.31,LONG,123.25,7467,123.31,123.31,true,40.00,368.21,39.81,0.00,920418.30
2025-01-30,127.21,129.23,125.73,126.39,125.57,SHORT,127.21,7235,125.57,126.39,false,40.00,366.96,5525.74,0.60,925944.04
2025-01-31,126.00,129.98,125.72,129.50,127.59,LONG,126.00,7348,127.59,127.59,true,40.00,372.68,11270.64,1.22,937214.69
2025-02-01,130.00,132.33,126.78,128.17,128.22,SHORT,130.00,7209,128.22,128.22,true,40.00,372.30,12419.72,1.33,949634.41
2025-02-03,126.00,126.48,120.51,121.87,129.59,LONG,126.00,7536,129.59,121.87,false,40.00,373.59,-31537.27,-3.32,918097.14
2025-02-04,122.55,124.40,122.13,124.04,122.32,SHORT,122.55,7491,122.32,122.32,true,40.00,366.86,1316.07,0.14,919413.20
2025-02-05,126.00,128.73,125.29,127.20,123.40,SHORT,126.00,7296,123.40,127.20,false,40.00,369.47,-9164.67,-1.00,910248.53
