date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1746.00,1760.00,1745.00,1745.50,8676.23,LONG,1746.00,572,8676.23,1775.50,false,40.00,402.86,16431.14,1.65,1016431.14
2025-01-03,1782.00,1791.50,1782.00,1790.00,8846.44,LONG,1782.00,570,8846.44,1806.50,false,40.00,409.09,13515.91,1.33,1029947.05
2025-01-06,1824.00,1826.00,1810.50,1817.50,8978.41,LONG,1824.00,564,8978.41,1759.00,false,40.00,404.16,-37104.16,-3.61,992842.89
2025-01-07,1756.00,1763.00,1720.00,1739.50,8941.29,LONG,1756.00,565,8941.29,1688.00,false,40.00,389.17,-38849.17,-3.92,953993.72
2025-01-08,1690.00,1694.00,1678.00,1681.50,8480.77,LONG,1690.00,564,8480.77,1650.00,false,40.00,376.75,-22976.75,-2.41,931016.96
2025-01-09,1647.50,1651.50,1643.00,1644.50,8250.79,LONG,1647.50,565,8250.79,1591.00,false,40.00,365.95,-32328.45,-3.47,898688.51
2025-01-10,1583.00,1612.00,1583.00,1610.50,8033.03,LONG,1583.00,567,8033.03,1566.50,false,40.00,357.15,-9752.65,-1.09,888935.86
2025-01-13,1533.00,1551.00,1533.00,1545.00,7887.62,LONG,1533.00,579,7887.62,1446.50,false,40.00,345.03,-50468.53,-5.69,838467.34
2025-01-14,1462.00,1470.00,1458.00,1469.50,7414.26,LONG,1462.00,573,7414.26,1492.50,false,40.00,338.59,17097.91,2.04,855565.25
2025-01-15,1500.00,1500.00,1494.00,1495.00,7442.64,LONG,1500.00,570,7442.64,1490.50,false,40.00,340.92,-5795.92,-0.68,849769.33
2025-01-16,1492.50,1523.00,1492.50,1522.50,7445.25,LONG,1492.50,569,7445.25,1526.50,false,40.00,343.56,18962.44,2.23,868731.77
2025-01-17,1532.00,1533.00,1525.50,1527.50,7670.55,LONG,1532.00,567,7670.55,1547.00,false,40.00,349.16,8115.84,0.93,876847.61
2025-01-20,1544.50,1554.50,1544.00,1551.50,7731.22,LONG,1544.50,567,7731.22,1562.00,false,40.00,352.28,9530.22,1.09,886377.83
2025-01-21,1536.00,1537.50,1517.50,1518.00,7768.32,LONG,1536.00,577,7768.32,1492.50,false,40.00,349.49,-25488.99,-2.88,860888.85
2025-01-22,1503.50,1504.50,1496.00,1503.50,7492.94,LONG,1503.50,572,7492.94,1448.50,false,40.00,337.71,-31837.71,-3.70,829051.14
2025-01-23,1437.00,1457.00,1437.00,1454.50,7224.17,LONG,1437.00,576,7224.17,1506.50,false,40.00,339.09,39652.91,4.79,868704.05
2025-01-24,1505.00,1511.00,1497.00,1501.00,7507.82,LONG,1505.00,577,7507.82,1490.00,false,40.00,345.62,-9040.62,-1.04,859663.42
