date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1317.95,1318.00,1298.00,1300.25,1297.03,SHORT,1317.95,758,1297.03,1300.25,false,40.00,396.92,12979.68,1.30,1012979.68
2025-01-03,1309.00,1312.95,1298.20,1310.40,1305.81,SHORT,1309.00,773,1305.81,1305.81,true,40.00,404.25,2021.62,0.20,1015001.30
2025-01-06,1315.00,1355.00,1304.55,1311.55,1308.19,SHORT,1315.00,771,1308.19,1308.19,true,40.00,404.50,4806.01,0.47,1019807.32
2025-01-07,1318.00,1367.55,1309.00,1351.30,1327.57,LONG,1318.00,773,1327.57,1327.57,true,40.00,409.01,6948.60,0.68,1026755.92
2025-01-08,1380.00,1398.00,1335.05,1365.40,1350.62,SHORT,1380.00,744,1350.62,1350.62,true,40.00,406.32,21412.40,2.09,1048168.32
2025-01-09,1350.00,1366.20,1325.80,1330.30,1368.86,LONG,1350.00,776,1368.86,1330.30,false,40.00,415.98,-15743.18,-1.50,1032425.14
2025-01-10,1339.50,1343.90,1301.40,1312.15,1340.78,LONG,1339.50,770,1340.78,1340.78,true,40.00,412.76,532.84,0.05,1032957.98
2025-01-13,1297.05,1302.35,1256.55,1271.40,1318.05,LONG,1297.05,796,1318.05,1271.40,false,40.00,408.90,-20866.30,-2.02,1012091.68
2025-01-14,1275.00,1301.30,1263.85,1292.05,1284.57,LONG,1275.00,793,1284.57,1284.57,true,40.00,405.95,7143.06,0.71,1019234.74
2025-01-15,1305.00,1305.55,1275.00,1288.00,1282.65,SHORT,1305.00,781,1282.65,1282.65,true,40.00,404.19,17011.16,1.67,1036245.90
2025-01-16,1290.00,1324.00,1285.00,1310.15,1286.57,SHORT,1290.00,803,1286.57,1286.57,true,40.00,413.80,2300.49,0.22,1038546.40
2025-01-17,1310.15,1310.15,1289.45,1299.65,1305.26,SHORT,1310.15,792,1305.26,1305.26,true,40.00,414.28,3418.60,0.33,1041964.99
2025-01-20,1309.90,1345.00,1292.65,1329.55,1300.24,SHORT,1309.90,795,1300.24,1300.24,true,40.00,415.01,7224.69,0.69,1049189.68
2025-01-21,1330.55,1338.80,1305.65,1319.30,1310.98,SHORT,1330.55,788,1310.98,1310.98,true,40.00,416.31,14964.85,1.43,1064154.54
2025-01-22,1324.95,1334.15,1293.55,1325.70,1317.81,SHORT,1324.95,803,1317.81,1317.81,true,40.00,424.43,5268.99,0.50,1069423.53
2025-01-23,1325.05,1338.15,1305.05,1327.15,1309.47,SHORT,1325.05,807,1309.47,1309.47,true,40.00,425.21,12107.85,1.13,1081531.38
2025-01-24,1330.95,1330.95,1296.25,1305.35,1323.92,SHORT,1330.95,812,1323.92,1323.92,true,40.00,431.15,5237.21,0.48,1086768.59
2025-01-27,1306.00,1308.00,1260.50,1292.50,1309.89,LONG,1306.00,832,1309.89,1292.50,false,40.00,432.39,-11704.39,-1.08,1075064.20
2025-01-28,1297.35,1301.45,1260.00,1269.10,1281.28,SHORT,1297.35,828,1281.28,1281.28,true,40.00,427.02,12838.94,1.20,1087903.14
2025-01-29,1275.00,1318.75,1265.20,1303.20,1271.28,SHORT,1275.00,853,1271.28,1271.28,true,40.00,434.40,2698.76,0.25,1090601.90
2025-01-30,1315.00,1326.45,1290.80,1304.20,1282.81,SHORT,1315.00,829,1282.81,1304.20,false,40.00,434.26,8478.94,0.78,1099080.84
2025-01-31,1303.00,1401.85,1300.05,1387.15,1309.43,LONG,1303.00,843,1309.43,1309.43,true,40.00,440.46,4940.03,0.45,1104020.87
2025-02-01,1379.00,1390.45,1341.00,1352.20,1361.80,SHORT,1379.00,800,1361.80,1361.80,true,40.00,438.53,13281.47,1.20,1117302.34
2025-02-03,1355.40,1374.60,1342.20,1354.95,1364.13,LONG,1355.40,824,1364.13,1364.13,true,40.00,448.18,6705.34,0.60,1124007.68
2025-02-04,1360.05,1377.00,1331.05,1346.80,1357.40,SHORT,1360.05,826,1357.40,1357.40,true,40.00,448.92,1699.98,0.15,1125707.66
2025-02-05,1335.00,1365.85,1335.00,1356.10,1349.51,LONG,1335.00,843,1349.51,1349.51,true,40.00,452.61,11739.32,1.04,1137446.98
2025-02-06,1365.00,1409.95,1357.80,1373.70,1356.25,SHORT,1365.00,833,1356.25,1373.70,false,40.00,456.27,-7743.37,-0.68,1129703.62
2025-02-07,1396.00,1409.00,1362.55,1405.00,1386.66,SHORT,1396.00,809,1386.66,1386.66,true,40.00,450.23,7065.83,0.63,1136769.44
2025-02-10,1415.70,1417.50,1390.00,1394.15,1391.94,SHORT,1415.70,802,1391.94,1391.94,true,40.00,450.35,18565.17,1.64,1155334.62
2025-02-11,1370.00,1383.65,1321.15,1350.60,1399.32,LONG,1370.00,843,1399.32,1350.60,false,40.00,458.69,-16852.89,-1.46,1138481.72
2025-02-12,1361.50,1387.60,1312.20,1381.15,1346.80,SHORT,1361.50,836,1346.80,1346.80,true,40.00,452.83,11796.37,1.04,1150278.10
2025-02-13,1394.00,1394.00,1323.00,1329.00,1350.66,SHORT,1394.00,825,1350.66,1350.66,true,40.00,452.87,35262.63,3.07,1185540.73
2025-02-14,1329.00,1362.95,1300.95,1328.25,1347.62,LONG,1329.00,892,1347.62,1347.62,true,40.00,477.51,16091.53,1.36,1201632.26
2025-02-17,1335.00,1343.20,1304.75,1326.75,1337.46,LONG,1335.00,900,1337.46,1337.46,true,40.00,481.04,1692.96,0.14,1203325.21
2025-02-18,1320.00,1374.00,1315.00,1367.80,1319.97,SHORT,1320.00,911,1319.97,1319.97,true,40.00,481.00,-493.67,-0.04,1202831.54
2025-02-19,1367.80,1377.20,1352.40,1374.35,1362.84,SHORT,1367.80,879,1362.84,1362.84,true,40.00,480.05,3839.79,0.32,1206671.34
