date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2130.95,2230.00,2115.00,2203.25,2114.96,SHORT,2130.95,469,2114.96,2203.25,false,40.00,406.55,-34355.25,-3.44,965644.75
2025-01-03,2212.00,2246.90,2175.00,2215.85,2190.37,SHORT,2212.00,436,2190.37,2190.37,true,40.00,383.89,9006.79,0.93,974651.55
2025-01-06,2220.00,2236.95,2100.00,2120.00,2215.31,SHORT,2220.00,439,2215.31,2215.31,true,40.00,389.42,1629.49,0.17,976281.04
2025-01-07,2120.00,2152.45,2069.45,2079.55,2155.61,LONG,2120.00,460,2155.61,2079.55,false,40.00,386.36,-19033.36,-1.95,957247.68
2025-01-08,2080.10,2084.85,1968.45,2002.85,2119.02,LONG,2080.10,460,2119.02,2002.85,false,40.00,375.63,-35950.63,-3.76,921297.05
2025-01-09,1991.25,1997.30,1915.00,1919.55,2003.37,LONG,1991.25,462,2003.37,1919.55,false,40.00,361.36,-33526.76,-3.64,887770.29
2025-01-10,1918.05,1930.75,1840.85,1862.95,1941.35,LONG,1918.05,462,1941.35,1862.95,false,40.00,349.36,-25845.56,-2.92,861924.72
2025-01-13,1784.80,1802.95,1680.15,1697.15,1868.65,LONG,1784.80,482,1868.65,1697.15,false,40.00,335.66,-42622.96,-4.95,819301.76
2025-01-14,1680.00,1770.00,1676.00,1743.85,1745.66,LONG,1680.00,487,1745.66,1745.66,true,40.00,333.66,31602.76,3.86,850904.52
2025-01-15,1743.85,1778.00,1700.05,1763.65,1720.59,SHORT,1743.85,487,1720.59,1720.59,true,40.00,337.44,10950.18,1.29,861854.71
2025-01-16,1791.00,1841.35,1791.00,1813.30,1749.26,SHORT,1791.00,481,1749.26,1813.30,false,40.00,346.73,-11113.03,-1.29,850741.67
2025-01-17,1815.00,1817.40,1706.00,1724.40,1819.62,LONG,1815.00,468,1819.62,1724.40,false,40.00,331.29,-42772.09,-5.04,807969.59
2025-01-20,1714.40,1774.00,1695.00,1749.80,1732.30,LONG,1714.40,471,1732.30,1732.30,true,40.00,324.68,8066.22,1.00,816035.81
2025-01-21,1752.95,1752.95,1641.35,1651.45,1747.36,SHORT,1752.95,465,1747.36,1747.36,true,40.00,325.53,2233.82,0.27,818269.63
2025-01-22,1664.90,1664.90,1547.25,1610.70,1675.34,LONG,1664.90,491,1675.34,1610.70,false,40.00,321.66,-26973.86,-3.30,791295.76
2025-01-23,1612.85,1704.75,1605.00,1686.80,1580.58,SHORT,1612.85,490,1580.58,1686.80,false,40.00,323.37,-36598.87,-4.63,754696.90
2025-01-24,1686.80,1713.95,1672.00,1694.70,1678.42,SHORT,1686.80,447,1678.42,1678.42,true,40.00,300.85,3405.01,0.45,758101.91
2025-01-27,1670.00,1705.95,1665.00,1694.05,1695.73,LONG,1670.00,453,1695.73,1695.73,true,40.00,304.94,11310.75,1.50,769412.66
